DateTime,AddedIPs,RemovedIPs
1540987402,0,1
1540990999,3,0
1541041397,1,0
1541052210,0,1
1541347403,0,1
1541387000,1,0
1541397795,0,1
1541405004,1,0
1541534599,1,0
1541541803,0,1
1541545404,0,8
1541595791,3,0
1541635405,0,1
1541642609,1,0
1541646212,1,0
1541657018,0,1
1541674997,0,1
1541682251,1,0
1541707402,7,0
1541711016,2,0
1541721779,0,4
1541862214,1,0
1541872999,0,1
1541883802,0,1
1541991802,1,1
1541995403,1,0
1542002603,0,1
1542024206,0,1
1542035012,1,0
1542053004,0,1
1542056597,1,0
1542078199,0,1
1542085397,1,0
1542196998,0,1
1542200597,1,0
1542250989,1,0
1542261797,0,1
1542272603,0,1
1542279794,1,0
1542355381,0,1
1542359000,1,0
1542405786,0,1
1542413001,1,0
1542474189,0,1
1542477794,1,0
1542506596,0,1
1542596599,1,0
1542607396,0,1
1542625408,0,1
1542628991,1,0
1542772999,0,1
1542780206,1,0
1542855798,1,0
1542866608,0,1
1542942188,0,1
1542952984,1,0
1542981798,0,1
1542985411,1,0
1543032194,0,1
1543042989,1,0
1543161810,0,1
1543172602,1,0
1543201405,1,0
1543212203,0,2
1543223001,1,0
1543262601,0,1
1543280588,1,0
1543399414,0,1
1543406605,0,1
1543410209,2,0
1543460629,1,0
1543471406,0,1
1543478607,0,1
1543482210,1,0
1543503804,0,1
1543514608,1,0
1543543414,0,1
1543547002,1,0
1543554200,0,1
1543557792,1,0
1543644198,0,1
1543647805,1,0
1543665796,0,2
1543669405,1,0
1543673008,1,0
1543737796,0,1
1543741406,1,0
1543806194,1,0
1543817000,0,2
1543820596,1,0
1543957395,0,1
1543968204,1,0
1544014985,1,0
1544018592,0,1
1544022202,1,0
1544033001,0,1
1544043805,0,1
1544047404,1,0
1544065405,1,1
1544068993,1,0
1544076200,0,1
1544141465,1,0
1544245416,0,1
1544252604,1,0
1544303001,0,1
1544306605,1,0
1544378587,0,1
1544389394,1,0
1544411001,1,0
1544421802,0,1
1544425398,1,0
1544447000,0,1
1544627003,0,1
1544634207,1,0
1544666595,1,0
1544670202,1,0
1544680999,0,1
1544702606,0,1
1544724200,1,0
1544727792,1,0
1544749398,0,1
1544861000,0,1
1544864597,1,0
1544900594,0,1
1544904196,1,0
1545015806,1,0
1545026581,0,1
1545228204,0,1
1545249807,1,0
1545275003,0,1
1545289398,0,1
1545296602,1,0
1545357808,0,1
1545361406,1,0
1545383011,1,0
1545401003,3,0
1545473000,1,0
1545480214,0,1
1545552194,0,1
1545559394,1,0
1545620599,1,0
1545631399,0,1
1545879807,1,0
1545890592,0,1
1545966197,0,2
1545984192,0,1
1545987803,1,0
1545991393,0,1
1545998599,1,0
1546012994,0,1
1546052608,0,1
1546124598,1,0
1546139008,0,1
1546225405,1,0
1546236199,0,1
1546239809,0,2
1546243403,2,0
1546246996,1,0
1546257804,0,1
1546293796,1,0
1546304610,0,1
1546308201,0,1
1546311807,1,0
1546329804,2,0
1546340608,1,0
1546344206,0,1
1546347800,0,1
1546354997,0,1
1546358595,1,0
1546373007,0,1
1546376596,1,0
1546391010,0,1
1546423406,1,0
1546426996,1,0
1546448588,0,2
1546455805,1,0
1546484597,1,0
1546495400,0,1
1546506196,1,0
1546531398,0,1
1546538597,1,0
1546560200,0,1
1546563808,1,0
1546571009,0,1
1546578200,1,0
1546589002,1,0
1546599794,1,0
1546603389,0,1
1546614193,0,1
1546625000,0,1
1546628601,1,0
1546646606,0,2
1546650187,1,0
1546653807,1,0
1546675402,0,1
1546682599,1,0
1546686193,0,1
1546689797,1,0
1546696999,1,1
1546725805,0,1
1546743797,1,0
1546765402,0,1
1546769003,1,0
1546776198,0,1
1546815799,0,1
1546819405,2,0
1546830201,1,0
1546833807,0,1
1546841008,0,1
1546866216,0,1
1546877038,1,0
