DateTime,AddedIPs,RemovedIPs
1538499678,3,0
1538517690,0,2
1538550073,0,3
1538553672,5,0
1538571673,0,2
1538582480,2,0
1538586081,0,3
1538589672,3,0
1538607684,0,2
1538618488,2,0
1538632889,0,2
1538640080,0,3
1538643678,3,0
1538647289,2,0
1538661680,0,2
1538676090,2,0
1538690479,0,2
1538715678,2,0
1538737288,0,2
1538751687,2,0
1538766077,0,2
1538784081,0,3
1538798482,3,0
1538809279,2,0
1538823679,0,2
1538845282,2,0
1538870484,0,2
1538884890,2,0
1538899279,0,2
1538910078,2,0
1538924478,0,2
1538931684,1,0
1538946076,0,1
1538949679,1,0
1538953282,2,0
1538978481,0,1
1538985677,1,0
1538989284,0,2
1539000077,0,1
1539010881,2,0
1539028891,0,2
1539039686,2,0
1539054078,0,2
1539061271,0,3
1539064877,4,0
1539068473,2,0
1539086476,0,1
1539090071,1,2
1539104475,2,0
1539144072,0,1
1539151271,0,2
1539165672,1,0
1539169282,2,0
1539187271,0,2
1539194478,3,1
1539208873,0,3
1539244877,2,0
1539262888,0,3
1539270088,3,0
1539284488,0,2
1539316879,2,0
1539327679,0,3
1539331291,3,2
1539334890,2,0
1539360077,0,2
1539381690,0,3
1539385288,5,0
1539399680,0,2
1539424880,0,3
1539432077,3,0
1539439282,2,0
1539464479,1,0
1539475279,0,2
1539500480,0,1
1539507688,0,3
1539514887,3,0
1539536488,2,0
1539554479,0,2
1539565278,2,0
1539579677,0,2
1539612084,2,0
1539626489,0,2
1539648082,2,0
1539666073,0,2
1539720040,1,0
1539730838,0,3
1539738070,3,0
1539756070,0,3
1539759670,3,1
1539763271,1,0
1539777670,0,1
1539784870,0,3
1539792070,2,0
1539806471,0,2
1539842474,2,0
1539856874,0,2
1539860477,1,0
1539910876,2,1
1539939676,0,2
1539954076,2,0
1539968474,1,2
1539972078,1,0
1539982877,0,1
1539990077,0,1
1540004487,2,0
1540018876,1,2
1540036883,2,1
1540054876,1,0
1540072878,0,1
1540105277,0,2
1540112486,1,0
1540116078,2,0
1540123277,1,0
1540130475,0,1
1540137678,0,1
1540141288,0,2
1540148476,2,0
1540155687,1,0
1540162876,0,2
1540184476,0,1
1540206076,2,0
1540242086,0,2
1540256472,2,0
1540278080,0,2
1540288880,2,0
1540357270,0,2
1540360871,2,0
1540375270,0,2
1540400481,3,0
1540418481,0,1
1540425672,0,2
1540443676,2,0
1540458074,1,0
1540472485,0,2
1540476077,0,1
1540479674,2,0
1540494074,0,2
1540497686,2,0
1540526476,0,2
1540551688,1,0
1540555285,2,0
1540573276,0,2
1540634486,2,0
1540648876,0,2
1540652486,0,1
1540659686,1,0
1540663275,2,0
1540688474,0,2
1540695676,2,0
1540720875,0,2
1540753287,2,0
1540810892,0,2
1540828890,2,0
1540843279,0,2
1540861277,2,0
1540882879,2,2
1540886477,1,0
1540897286,0,2
1540900876,0,1
1540904488,3,0
1540940476,0,3
1540944077,2,0
1540958476,0,2
1540990874,2,0
1541005276,0,2
1541012489,2,0
1541026877,0,2
1541037684,2,0
1541066477,0,2
1541084474,2,0
1541098877,0,2
1541102477,2,0
1541116877,0,2
1541160077,2,0
1541174484,0,2
1541188877,2,1
1541192487,1,0
1541203277,0,2
1541214070,2,0
1541246480,0,2
1541307676,2,0
1541322086,0,2
1541340087,2,0
1541354474,0,2
1541361677,2,0
1541379677,0,2
1541404884,2,0
1541426477,0,2
1541430077,2,0
1541476874,0,2
1541484084,2,0
1541502076,0,2
1541545277,2,0
1541563277,0,2
1541595677,5,0
1541610087,0,2
1541613676,2,0
1541649676,0,2
1541692877,2,0
1541707276,0,2
1541714474,3,0
1541728870,0,2
1541736071,0,1
1541739681,2,0
1541768470,0,2
1541772081,2,0
1541793670,0,2
1541797271,2,0
1541818870,0,2
1541862077,2,0
1541876476,0,2
1541887269,2,0
1541901681,0,2
1541930481,2,0
1541944870,0,2
1541952081,1,0
1541970080,0,1
1541991682,2,0
1542006082,0,2
1542009672,2,0
1542024080,0,2
1542031282,2,0
1542070872,0,2
1542081681,2,0
1542096070,0,2
1542099680,2,0
1542114080,3,0
1542117681,0,2
1542128480,0,3
1542146481,3,0
1542160879,0,3
1542204072,2,0
1542207681,1,0
1542218482,0,1
1542222081,0,2
1542265281,2,0
1542297681,0,2
1542304872,2,0
1542326471,0,2
1542344477,2,0
1542358878,0,2
1542373268,1,0
1542387677,0,1
1542412877,2,0
1542441676,0,2
1542445276,2,0
1542452477,1,0
1542459675,0,2
1542474075,0,1
1542477677,2,0
1542492077,0,2
1542535280,2,0
1542600069,0,2
1542621680,2,0
1542636071,0,2
1542661281,2,0
1542700880,0,2
1542708071,2,0
1542722469,0,2
1542733283,2,0
1542751281,0,2
1542758471,2,0
1542787283,0,2
1542826880,2,0
1542848481,0,2
1542866481,2,0
1542880883,0,2
1542920483,3,0
1542934868,0,3
1542942077,3,0
1542963677,0,1
1542967275,1,0
1542970875,0,2
1542978076,2,0
1542981677,0,1
1542985276,1,0
1542999677,0,1
1543006876,0,2
1543028478,2,0
1543039277,1,0
1543053677,0,2
1543064478,0,1
1543071677,2,0
1543086076,0,2
1543096875,2,0
1543111284,0,2
1543114880,2,0
1543129283,0,2
1543168881,2,0
1543183281,0,2
1543212083,2,0
1543226480,0,2
1543240881,1,0
1543248084,2,0
1543255283,0,1
1543269682,0,2
1543291282,2,0
1543312883,0,2
1543334483,2,0
1543338082,1,0
1543352483,0,1
1543384882,0,2
1543392085,2,0
1543406485,1,2
1543420888,2,0
1543424485,0,1
1543431685,2,0
1543435284,0,2
1543446086,0,2
1543467684,2,0
1543482085,2,2
1543496486,0,2
1543507284,2,0
1543521684,0,2
1543528886,2,0
1543543284,0,2
1543546881,2,0
1543586480,0,2
1543618883,0,1
1546012848,0,4
1546016482,4,0
1546059652,0,4
1546063285,4,0
1546081254,0,4
1546088484,4,0
1546110053,0,4
1548860481,4,0
1549936881,1,0
1549954880,0,1
1549987281,1,0
1550001683,0,1
1550019680,1,0
1550034082,0,1
1550041280,1,0
1550055680,0,1
1550095283,1,0
1550109680,0,1
1550142083,1,0
1550156482,0,1
1550196079,1,0
1550214080,0,1
1550235683,1,0
1550250080,0,1
1550268083,1,0
1550282478,0,1
1550289677,1,0
1550372477,0,1
