DateTime,AddedIPs,RemovedIPs
1552711702,142,134
1552713638,123,109
1552715530,145,125
1552717466,108,122
1552719390,122,140
1552721315,187,142
1552723236,1090,166
1552725144,298,153
1552727324,153,168
1552729215,155,153
1552731143,119,246
1552733075,199,166
1552735218,156,188
1552737150,346,139
1552739058,1053,151
1552740972,1620,192
1552742918,450,148
1552745800,178,258
1552747696,128,105
1552749648,1012,159
1552751536,1171,193
1552753454,127,131
1552755396,136,157
1552757287,126,241
1552759255,156,109
1552761159,281,136
1552763067,228,135
1552764966,209,131
1552766919,248,210
1552768809,217,121
1552770731,212,130
1552772676,434,141
1552774571,274,157
1552776490,258,122
1552779213,368,231
1552781175,233,132
1552782983,251,113
1552784913,534,136
1552786811,325,125
1552788746,276,101
1552790685,281,107
1552792574,214,97
1552794496,215,127
1552796437,203,143
1552798352,220,140
1552800262,197,121
1552802193,222,124
1552804090,194,111
1552806992,305,175
1552808905,251,831
1552810809,181,524
1552812751,186,109
1552814663,194,132
1552816569,185,167
1552818489,159,132
1552821373,2101,252
1552823322,5392,309
1552825244,2188,798
1552827152,1612,1284
1552829063,151,612
1552831001,171,135
1552832889,138,115
1552834710,163,139
1552836752,302,155
1552838681,905,111
1552840576,1414,138
1552842516,388,108
1552844409,231,118
1552846341,236,118
1552848274,765,150
1552850172,715,125
1552852098,211,162
1552854029,227,158
1552855930,602,174
1552857865,191,190
1552859806,215,323
1552861958,206,190
1552863856,143,171
1552866340,192,193
1552868201,711,188
1552870093,1402,267
1552872018,1138,398
1552873950,1457,127
1552875856,1167,152
1552877781,1025,147
1552879690,1064,135
1552881637,1030,120
1552883563,897,127
1552885461,942,118
1552887379,506,168
1552889321,130,157
1552891216,167,179
1552893141,175,135
1552895087,127,196
1552896974,154,149
1552898901,162,153
1552900840,239,147
1552902737,223,154
1552904654,240,143
1552906587,271,152
1552908488,223,3730
1552910430,237,3970
1552912363,229,2883
1552914277,258,382
1552916196,280,126
1552918098,1459,150
1552920011,845,142
1552921832,131,502
1552923640,166,1552
1552925601,195,155
1552927471,267,298
1552929373,617,410
1552931292,2390,864
1552933241,2012,931
1552935293,2858,1209
1552937288,2211,290
1552939241,264,149
1552942576,303,694
1552944499,314,183
1552946522,263,156
1552948366,188,155
1552950272,231,136
1552952171,155,144
1552954012,179,405
1552956012,186,1513
1552957934,173,1131
1552959877,175,1531
1552961772,184,1263
1552963691,172,1104
1552965642,207,1137
1552967548,180,1223
1552969451,174,885
1552971377,169,1121
1552973290,142,609
1552975224,184,165
1552977183,258,156
1552979094,218,186
1552980988,290,148
1552982914,294,169
1552984820,147,168
1552986739,110,234
1552988673,107,252
1552990580,132,262
1552992492,138,323
1552994409,104,246
1552996339,112,266
1552998255,110,235
1553000219,80,274
1553002091,97,243
1553004028,115,1365
1553005964,128,1200
1553007790,107,178
1553009778,116,238
1553012002,134,248
1553013851,108,164
1553015784,125,646
1553017717,126,2467
1553019518,299,1923
1553021547,238,2931
1553023479,158,2221
1553025400,170,579
1553027292,164,200
1553029235,149,260
1553031156,190,489
1553034030,378,425
1553035931,200,321
1553037864,202,245
1553039790,172,301
1553041701,140,304
1553043658,139,377
1553045553,135,291
1553047725,149,310
1553049631,246,275
1553051543,124,266
1553053451,140,226
1553055640,129,244
1553057532,127,244
1553059466,127,208
1553061369,130,252
1553063327,156,371
1553065236,143,346
1553067148,121,423
1553069079,147,448
1553071225,153,266
1553073133,150,153
1553075056,134,140
1553077002,144,158
1553078897,221,161
1553080809,427,142
1553082761,186,146
1553084660,209,135
1553086605,190,127
1553088516,144,116
1553090425,154,142
1553092348,157,158
1553094276,143,155
1553096170,169,145
1553098167,645,168
1553100018,2930,138
1553101962,2837,169
1553103859,2442,169
1553105783,128,304
1553107691,134,290
1553109640,139,191
1553111552,251,169
1553113456,129,197
1553115847,122,173
1553117798,118,142
1553119713,130,154
1553121614,100,151
1553123532,102,145
1553125482,116,137
1553127376,99,136
1553129304,95,129
1553131230,93,131
1553133140,127,128
1553135064,105,231
1553136992,123,180
1553138891,119,128
1553140845,104,165
1553142755,124,141
1553144676,98,160
1553146588,111,125
1553148515,151,169
1553150411,105,235
1553152341,152,154
1553154271,127,148
1553156190,131,151
1553158098,147,137
1553160011,290,151
1553161940,443,139
1553163857,502,168
1553165787,168,241
1553167686,355,307
1553169656,159,156
1553171537,227,166
1553173495,267,298
1553175377,198,134
1553177291,1236,162
1553179229,3695,158
1553181143,3489,164
1553183051,3987,202
1553184995,3536,1118
1553186887,3720,3131
1553188808,2600,2729
1553190758,282,1708
1553193535,291,184
1553195535,222,134
1553197462,277,228
1553199395,229,126
1553201292,276,112
1553203219,260,109
1553205154,228,126
1553207057,116,94
1553208981,115,85
1553210907,101,95
1553212838,182,104
1553214740,228,83
1553216673,281,101
1553218611,130,91
1553220521,136,102
1553222412,123,99
1553224338,101,109
1553226283,111,95
1553228178,145,101
1553230095,128,112
1553232016,118,94
1553233949,130,137
1553235855,112,115
1553237788,140,99
1553239711,115,116
1553241639,144,125
1553243533,146,135
1553245491,136,144
1553247378,126,276
1553249320,149,243
1553251212,264,278
1553253146,204,144
1553255077,300,221
1553256994,143,154
1553258898,200,252
1553260809,161,228
1553262763,337,299
1553264929,688,3467
1553266882,551,3640
1553268746,548,3580
1553270669,506,3472
1553272635,538,3820
1553274517,248,3309
1553276417,188,857
1553278331,131,218
1553280277,127,210
1553282181,131,253
1553284115,130,283
1553286008,129,228
1553287941,993,343
1553289852,258,265
1553291798,639,246
1553293691,711,110
1553295626,2924,134
1553297560,2978,102
1553299477,1545,175
1553301376,154,291
1553303455,366,280
1553305469,138,157
1553307399,107,122
1553309333,128,142
1553311458,2386,117
1553313370,3432,150
1553315324,2977,140
1553317239,3461,118
1553319163,3050,247
1553321058,2826,124
1553322972,109,158
1553324935,213,132
1553326813,136,140
1553328756,152,127
1553330680,3994,108
1553332576,87,111
1553334496,101,139
1553336423,130,203
1553338351,174,262
1553340256,77,287
1553342198,94,186
1553344113,99,167
1553346036,90,187
1553347946,311,154
1553349875,315,470
1553351772,188,654
1553353708,98,488
1553355634,94,542
1553357572,91,477
1553359461,88,504
1553361397,88,215
1553363305,88,132
1553365208,82,128
1553367151,121,103
1553369059,90,102
1553370990,817,115
1553372897,140,108
1553374854,192,118
1553376762,241,121
1553378697,187,425
1553380574,216,1460
1553382526,130,2104
1553384419,130,2386
1553386347,98,1071
1553388280,96,152
1553390177,108,359
1553392097,90,109
1553394052,81,102
1553395937,112,85
1553397858,67,2695
1553399803,112,4081
1553401693,104,3362
1553403635,90,4108
1553405565,168,3678
1553407474,117,3236
1553409377,106,98
1553411339,99,153
1553413217,119,141
1553415147,126,140
1553417086,93,4163
1553418984,347,110
1553420899,107,122
1553422823,119,136
1553424755,115,212
1553426662,105,88
1553428591,496,104
1553430525,1760,116
1553433401,163,211
1553435294,181,429
1553437224,103,343
1553439183,111,110
1553441067,121,108
1553442969,619,120
1553444885,847,102
1553447792,1184,177
1553449703,906,109
1553451607,803,110
1553453548,226,147
1553455461,2690,113
1553457393,5390,935
1553459295,2583,124
1553461233,1393,162
1553463137,341,241
1553465336,209,227
1553467239,162,225
1553470468,300,244
1553472306,624,110
1553474176,1226,136
1553476362,1245,133
1553478526,1619,126
1553480447,1120,97
1553482337,1062,112
1553484260,1025,88
1553486206,1113,124
1553488105,824,113
1553490058,1277,90
1553491940,865,90
1553493878,267,105
1553495790,127,136
1553497749,132,102
1553499645,140,131
1553501551,143,122
1553503460,193,109
1553505402,595,219
1553507304,814,108
1553509238,726,98
1553511152,878,105
1553513067,618,109
1553514996,104,111
1553516918,122,101
1553518879,168,111
1553520762,121,100
1553522930,185,171
1553524817,230,111
1553526747,157,112
1553528681,173,340
1553530588,152,632
1553532505,160,682
1553534413,185,654
1553536355,194,794
1553538266,163,639
1553540200,141,152
1553542093,167,1918
1553544980,462,1388
1553546839,180,133
1553548832,116,150
1553550740,190,206
1553552653,178,145
1553554589,160,157
1553556488,160,102
1553558438,805,613
1553560348,1199,1141
1553562264,1289,1013
1553564170,1185,1255
1553566102,134,1167
1553568012,99,1014
1553569933,105,849
1553571859,120,997
1553573791,123,724
1553575694,121,1037
1553577619,107,919
1553579548,98,502
1553581452,115,97
1553583368,153,128
1553585308,160,130
1553587234,165,159
1553589135,138,124
1553591321,144,591
1553593210,180,759
1553595165,121,785
1553597055,207,1454
1553598981,236,1605
1553600908,185,121
1553602841,248,111
1553604753,193,160
1553606680,214,138
1553608570,160,165
1553610529,153,234
1553612442,152,1017
1553614335,353,2957
1553616260,1212,2563
1553618207,1758,2069
1553620233,1416,194
1553622164,699,214
1553624371,134,256
1553626351,128,259
1553628254,226,280
1553630436,298,158
1553632364,743,774
1553634280,1000,117
1553636172,239,182
1553638118,221,129
1553640031,203,125
1553641933,187,131
1553643867,179,423
1553645799,186,1654
1553647692,194,2137
1553649626,295,1824
1553651568,263,939
1553653464,267,109
1553655391,294,137
1553657291,230,113
1553659265,242,138
1553661153,464,146
1553663062,198,111
1553664979,149,119
1553666911,165,116
1553668811,244,323
1553670742,204,215
1553672673,482,125
1553674569,180,131
1553676498,175,107
1553678427,171,169
1553680332,150,162
1553682262,181,165
1553684190,165,236
1553686096,133,204
