DateTime,Entries,UniqueIPs
1552707370,1344,1344
1552709545,1345,1345
1552711455,1341,1341
1552713374,1341,1341
1552715303,1338,1338
1552717234,1337,1337
1552719132,1336,1336
1552721062,1331,1331
1552722972,1716,1716
1552724909,1786,1786
1552726847,1790,1790
1552728754,1789,1789
1552730679,1776,1776
1552732578,1751,1751
1552734788,1755,1755
1552736676,1760,1760
1552738596,1781,1781
1552740495,1837,1837
1552742656,1879,1879
1552744571,1869,1869
1552746517,1872,1872
1552748437,1872,1872
1552750363,2853,2853
1552752289,3126,3126
1552754172,3129,3129
1552756129,3130,3130
1552758013,3125,3125
1552759936,3126,3126
1552761881,3125,3125
1552763775,3133,3133
1552765694,3113,3113
1552767638,3069,3069
1552769532,3075,3075
1552771455,3093,3093
1552773414,3152,3152
1552775299,3159,3159
1552777229,3166,3166
1552779216,3171,3171
1552781175,3180,3180
1552782983,3183,3183
1552784914,3201,3201
1552786811,3210,3210
1552788747,3223,3223
1552790685,3227,3227
1552792574,3235,3235
1552794497,3234,3234
1552796437,3243,3243
1552798353,3241,3241
1552800263,3242,3242
1552802193,3251,3251
1552804091,3250,3250
1552806051,3251,3251
1552807935,3189,3189
1552809875,2927,2927
1552811780,2831,2831
1552813692,2838,2838
1552815632,2846,2846
1552817559,2843,2843
1552819454,2835,2835
1552821374,3270,3270
1552823323,4072,4072
1552825244,4141,4141
1552827153,4241,4241
1552829064,4211,4211
1552831001,4215,4215
1552832889,4215,4215
1552834711,4215,4215
1552836753,4211,4211
1552838685,4248,4248
1552840576,4409,4409
1552842516,4435,4435
1552844410,4443,4443
1552846341,4451,4451
1552848274,4489,4489
1552850173,4505,4505
1552852099,4499,4499
1552854030,4503,4503
1552855930,4664,4664
1552857866,4653,4653
1552859807,4605,4605
1552861959,4605,4605
1552863857,4608,4608
1552866341,4613,4613
1552868202,4892,4892
1552870093,5609,5609
1552872019,5979,5979
1552873951,6424,6424
1552875857,6872,6872
1552877782,7174,7174
1552879691,7675,7675
1552881649,8031,8031
1552883564,8429,8429
1552885463,8854,8854
1552887380,9013,9013
1552889322,9013,9013
1552891217,9010,9010
1552893142,9015,9015
1552895088,9011,9011
1552896975,9008,9008
1552898902,9003,9003
1552900841,9001,9001
1552902738,8997,8997
1552904655,9000,9000
1552906588,9009,9009
1552908489,8344,8344
1552910446,8002,8002
1552912364,7685,7685
1552914311,7646,7646
1552916197,7646,7646
1552918099,8058,8058
1552920013,8236,8236
1552921833,8022,8022
1552923640,7100,7100
1552925602,7106,7106
1552927472,6999,6999
1552929374,7006,7006
1552931293,7173,7173
1552933242,7238,7238
1552935294,7526,7526
1552937289,7741,7741
1552939254,7760,7760
1552942576,7601,7601
1552944500,7602,7602
1552946529,7610,7610
1552948367,7610,7610
1552950281,7605,7605
1552952171,7602,7602
1552954013,7441,7441
1552956013,6758,6758
1552957935,6268,6268
1552959878,5806,5806
1552961773,5364,5364
1552963692,5051,5051
1552965643,4565,4565
1552967548,4141,4141
1552969452,3778,3778
1552971378,3300,3300
1552973291,3092,3092
1552975240,3092,3092
1552977184,3105,3105
1552979096,3106,3106
1552980989,3116,3116
1552982915,3127,3127
1552984820,3141,3141
1552986739,3144,3144
1552988674,3143,3143
1552990581,3140,3140
1552992493,3132,3132
1552994410,3132,3132
1552996340,3120,3120
1552998256,3115,3115
1553000220,3113,3113
1553002092,3110,3110
1553004038,2699,2699
1553005965,2396,2396
1553007796,2397,2397
1553009779,2390,2390
1553012003,2376,2376
1553013852,2370,2370
1553015784,2349,2349
1553017717,2147,2147
1553019519,2073,2073
1553021548,1731,1731
1553023479,1522,1522
1553025401,1460,1460
1553027292,1455,1455
1553029246,1439,1439
1553031156,1410,1410
1553034030,1409,1409
1553035931,1397,1397
1553037865,1404,1404
1553039791,1401,1401
1553041702,1388,1388
1553043670,1374,1374
1553045554,1363,1363
1553047726,1353,1353
1553049632,1349,1349
1553051544,1329,1329
1553053451,1315,1315
1553055641,1309,1309
1553057532,1295,1295
1553059467,1291,1291
1553061371,1275,1275
1553063328,1258,1258
1553065244,1244,1244
1553067149,1215,1215
1553069081,1192,1192
1553071225,1170,1170
1553073134,1159,1159
1553075056,1153,1153
1553077011,1150,1150
1553078898,1147,1147
1553080810,1183,1183
1553082761,1187,1187
1553084661,1194,1194
1553086606,1202,1202
1553088517,1220,1220
