DateTime,AddedIPs,RemovedIPs
1547474953,1,0
1547476825,2,0
1547479004,1,0
1547480920,0,2
1547484734,2,0
1547486671,0,1
1547496265,1,0
1547500362,0,1
1547506595,1,0
1547517155,1,0
1547520977,1,0
1547538732,1,0
1547540669,1,0
1547542886,0,1
1547546689,1,0
1547548857,1,0
1547552688,0,1
1547554852,0,1
1547560585,0,1
1547562517,1,1
1547564506,0,3
1547570655,1,2
1547582699,0,1
1547584607,1,0
1547594453,0,1
1547604097,0,1
1547605949,1,0
1547607871,1,1
1547613869,1,0
1547621802,1,0
1547628802,0,1
1547632600,0,1
1547634502,0,1
1547638343,1,0
1547647943,1,0
1547670051,0,1
1547675773,0,2
1547691619,0,1
1547693544,0,1
1547699541,0,1
1547707478,1,0
1547725008,0,1
1547737003,1,0
1547740835,0,1
1547744701,0,2
1547768194,1,0
1547793856,1,1
1547803813,1,0
1547806589,1,0
1547824359,0,1
1547826251,1,0
1547853860,1,0
1547855801,0,1
1547867544,1,0
1547875468,1,0
1547879292,0,1
1547889154,0,1
1547893243,1,1
1547900897,1,0
1547913929,0,1
1547917731,1,0
1547927540,1,0
1547929477,1,0
1547941221,0,1
1547949162,1,0
1547952969,1,1
1547960654,0,1
1547978174,0,1
1547985892,0,1
1547993549,1,0
1548003379,0,1
1548013451,0,1
1548015654,0,1
1548019459,2,0
1548025472,1,0
1548035299,0,1
1548039143,0,1
1548052573,1,0
1548078524,1,0
1548080432,0,1
1548082378,1,0
1548086476,2,0
1548098185,1,0
1548106162,0,2
1548111908,0,1
1548115973,1,0
1548139216,0,1
1548141162,1,0
1548147158,1,0
1548154881,1,0
1548156767,1,0
1548168258,0,1
1548172362,0,1
1548174256,0,1
1548183887,0,1
1548185773,2,1
1548201676,0,1
1548217286,1,0
1548227099,1,1
1548232846,0,1
1548239667,0,1
1548241489,0,1
1548272177,0,2
1548274360,1,0
1548276506,1,0
1548280376,1,0
1548282271,1,0
1548288505,1,0
1548304353,0,1
1548310377,1,0
1548312288,1,0
1548314217,0,1
1548318265,1,0
1548326202,1,0
1548332216,1,0
1548341904,1,0
1548343968,1,0
1548345890,1,0
1548360290,0,1
1548362198,0,1
1548368211,1,2
1548370533,1,0
1548388574,0,1
1548396499,0,1
1548398453,0,1
1548404192,0,1
1548412340,0,1
1548418100,0,1
1548420015,1,0
1548427955,0,1
1548429865,0,1
1548431804,0,1
1548439973,1,0
1548443830,1,0
1548455810,0,2
1548459614,1,0
1548486773,1,0
1548488668,1,0
1548490586,1,0
1548504266,1,0
1548506203,0,1
1548527543,0,1
1548529711,0,1
1548539571,1,0
1548543380,1,0
1548545291,0,1
1548553012,1,0
1548572507,0,1
1548574469,0,1
1548576292,1,0
1548578191,0,1
1548589948,0,1
1548599797,1,0
1548624749,0,1
1548628579,0,1
1548631047,1,0
1548639884,0,1
1548651799,1,0
1548653672,1,0
1548663161,0,1
1548685249,0,1
1548696735,1,0
1548698689,1,0
1548716213,0,1
1548728208,1,0
1548741667,0,1
1548757237,1,0
1548776663,1,1
1548782660,0,1
1548784600,0,1
1548814863,0,1
1548840282,1,0
1548842180,1,0
1548844109,0,1
1548859941,1,0
1548861858,1,1
1548900737,1,0
1548926658,0,1
1548928603,0,1
1548946098,0,1
1548948021,0,1
1548977558,1,0
1548983564,1,0
1548987658,0,1
1549045697,1,0
1549063474,1,1
1549067542,1,0
1549069492,1,1
1549101151,1,0
1549123758,16,0
1549131861,0,1
1549151563,0,1
1549153459,0,1
1549155370,0,1
1549189217,0,1
1549221868,2,16
1549257376,1,0
1549293180,1,0
1549298900,2,0
1549309035,0,2
1549311152,1,0
1549331079,1,0
1549343104,1,0
1549344997,0,1
1549375943,1,0
1549378962,0,1
1549387009,0,2
1549396870,0,1
1549418204,0,1
1549427799,0,1
1549458738,0,1
1549487563,1,0
1549497127,1,0
1549510571,1,0
1549524023,1,0
1549533637,1,0
1549539376,1,0
1549543228,1,0
1549553052,1,0
1549574179,0,1
1549583596,0,1
1549597456,0,1
1549610927,0,1
1549618581,0,1
1549626254,0,1
1549630357,0,1
1549636116,0,1
1549694759,1,0
1549779394,0,1
1549786590,1,0
1549881138,1,0
1549900363,1,0
1549902271,1,0
1549908023,0,1
1549968261,0,1
1549977861,1,0
1549986802,0,1
1549988906,0,1
1550008092,1,0
1550062881,0,1
1550093796,0,1
1550188114,1,0
1550242094,1,0
1550274967,0,1
1550277167,1,0
1550323240,1,0
1550327056,0,1
1550364285,0,1
1550375802,1,0
1550410367,0,1
1550427653,1,0
1550460772,0,1
1550508516,1,0
1550514254,0,1
1550524333,1,0
1550545501,1,0
1550593695,0,1
1550611455,0,1
1550619400,1,0
1550632837,0,1
1550651049,2,0
1550705329,0,1
1550732180,1,0
1550738182,0,2
1550747800,1,0
1550749697,1,0
1550751646,1,0
1550767214,1,0
1550771071,1,0
1550786690,1,0
1550790504,1,0
1550817612,0,1
1550833305,0,1
1550835164,0,1
1550838993,0,1
1550844990,1,0
1550852661,0,1
1550859416,0,1
1550872845,0,1
1550876698,0,1
1550880787,1,0
1550931861,0,1
1550965240,0,1
1550977720,1,0
1550983505,1,0
1550987292,1,0
1551010335,1,0
1551027668,1,0
1551052364,1,0
1551065795,0,1
1551069853,0,1
1551073714,0,1
1551075637,1,0
1551095063,0,1
1551100814,1,0
1551102766,1,0
1551114274,0,1
1551138509,0,1
1551161799,1,1
1551187256,0,2
1551244857,1,0
1551246734,1,0
1551248688,0,1
1551260193,1,0
1551262099,1,0
1551277692,1,0
1551330738,0,1
1551332673,0,1
1551348053,0,2
1551361728,0,1
1551383054,1,0
1551408969,1,0
1551462260,1,0
1551470501,0,1
1551495724,0,1
1551517460,1,0
1551521565,1,0
1551548680,0,1
1551592099,1,0
1551599782,1,0
1551603696,0,1
1551607501,0,1
1551678730,0,1
1551684845,0,1
1551719798,1,0
1551723632,1,0
1551778812,1,0
1551786504,1,0
1551807845,0,1
1551811696,0,1
1551813632,1,0
1551838570,1,0
1551854445,1,0
1551860172,1,0
1551864011,0,1
1551867855,1,0
1551871214,1,0
1551873131,0,1
1551875064,1,0
1551900011,0,1
1551924497,0,1
1551939856,0,1
1551947560,0,1
1551955227,0,1
1551957136,0,1
1551959065,1,0
1551961015,1,1
1552026733,1,0
1552046169,0,1
1552048361,0,1
1552080967,1,0
1552111696,0,1
1552165487,0,1
1552168114,1,0
1552170017,1,0
1552184461,1,0
1552201723,1,0
1552223779,1,0
1552225702,1,0
1552229533,1,0
1552243960,1,0
1552254494,0,1
1552256421,0,1
1552270596,0,1
1552288841,0,1
1552296491,2,0
1552309933,0,1
1552311884,0,1
1552315937,0,1
1552321719,1,0
1552330351,0,1
1552342027,1,0
1552345940,1,0
1552347855,1,0
1552349810,1,0
1552353886,1,0
1552371139,1,0
1552382663,0,2
1552399002,1,0
1552402888,1,0
1552408588,0,1
1552427916,0,1
1552429934,1,0
1552431907,0,1
1552435755,2,1
1552437616,0,1
1552439576,0,1
1552457794,0,1
1552459692,1,0
1552479135,1,0
1552481061,1,0
1552486837,0,1
1552488729,0,1
1552496470,1,0
1552500296,1,0
1552514898,0,1
1552520905,0,1
1552522827,0,1
1552546101,0,1
1552549962,1,0
1552555955,1,0
1552563623,1,0
1552565540,0,1
1552567466,0,1
1552582887,0,1
1552586691,0,1
1552636603,0,1
1552642365,0,1
1552648133,1,0
1552650036,0,1
1552671164,1,0
1552673090,1,0
1552690509,2,0
1552733077,1,0
1552735219,0,1
1552757289,0,1
1552759284,0,1
1552761160,95,0
1552763078,45,0
1552764968,39,0
1552766920,54,0
1552768810,42,0
1552770732,13,0
1552774572,1,0
1552776492,0,2
1552819456,0,1
1552825247,1,0
1552846344,0,23
1552848277,0,89
1552850177,0,38
1552852101,0,49
1552854032,1,41
1552855932,0,45
1552857868,1,1
1552859809,0,1
1552868205,0,1
1552885464,1,0
1552893143,0,1
1552898903,1,0
1552911386,0,1
1552919085,1,0
1552927708,1,0
1552929637,1,0
1552940171,0,1
1552944503,0,1
1552959880,1,0
