DateTime,Entries,UniqueIPs
1549942828,5,5
1549946680,4,4
1549952672,3,3
1549986802,2,2
1549990911,3,3
1549992749,4,4
1549998540,5,5
1550010014,6,6
1550011942,7,7
1550017695,6,6
1550029215,5,5
1550042671,6,6
1550076427,5,5
1550080352,4,4
1550086104,3,3
1550088113,4,4
1550093796,5,5
1550095723,5,5
1550098347,4,4
1550107960,5,5
1550127150,6,6
1550130986,5,5
1550132892,6,6
1550138691,7,7
1550146356,8,8
1550156193,13,13
1550160098,14,14
1550161958,15,15
1550163868,18,18
1550173477,17,17
1550181149,15,15
1550186911,16,16
1550194851,15,15
1550196768,16,16
1550206378,17,17
1550214095,16,16
1550216041,18,18
1550219797,19,19
1550225549,18,18
1550233460,17,17
1550241150,16,16
1550243087,13,13
1550246973,12,12
1550248816,11,11
1550250740,10,10
1550252701,9,9
1550260580,10,10
1550268516,9,9
1550274255,9,9
1550276191,10,10
1550283888,9,9
1550289877,11,11
1550291803,10,10
1550301372,8,8
1550305118,7,7
1550307130,6,6
1550310994,7,7
1550320572,8,8
1550328497,7,7
1550330416,8,8
1550338891,9,9
1550340777,10,10
1550346497,9,9
1550356105,10,10
1550360443,9,9
1550362367,10,10
1550371944,9,9
1550375802,8,8
1550400738,7,7
1550406516,6,6
1550418016,5,5
1550423802,4,4
1550427667,3,3
1550429568,2,2
1550433400,3,3
1550435309,4,4
1550449256,3,3
1550455004,4,4
1550456890,3,3
1550460772,4,4
1550466499,7,7
1550476101,8,8
1550497231,10,10
1550506714,12,12
1550512341,13,13
1550520425,12,12
1550522423,11,11
1550524333,13,13
1550526272,14,14
1550541697,15,15
1550545501,14,14
1550547374,15,15
1550553385,12,12
1550562967,11,11
1550568499,12,12
1550570480,13,13
1550582205,11,11
1550593695,9,9
1550599496,8,8
1550605460,9,9
1550607380,10,10
1550611455,9,9
1550613404,8,8
1550615535,7,7
1550623210,8,8
1550627051,7,7
1550628995,8,8
1550630909,9,9
1550634748,8,8
1550636661,7,7
1550643392,8,8
1550645327,9,9
1550654959,7,7
1550672439,8,8
1550691855,7,7
1550693802,6,6
1550699549,8,8
1550707265,9,9
1550709148,8,8
1550714905,7,7
1550722576,9,9
1550732181,8,8
1550740097,9,9
1550747800,8,8
1550751647,9,9
1550759545,9,9
1550772995,9,9
1550786690,8,8
1550794358,7,7
1550798175,9,9
1550809939,6,6
1550817613,7,7
1550827472,6,6
1550829400,7,7
1550837126,7,7
1550838994,8,8
1550846896,7,7
1550859417,6,6
1550870942,7,7
1550876699,8,8
1550884577,6,6
1550899000,7,7
1550902814,6,6
1550916299,7,7
1550924169,6,6
1550926120,5,5
1550935694,4,4
1550953689,5,5
1550957562,6,6
1550963313,7,7
1550982070,8,8
1550983974,7,7
1550985869,5,5
1551001713,4,4
1551039859,4,4
1551043709,3,3
1551050473,2,2
1551066273,3,3
1551068190,2,2
1551081646,3,3
1551095324,4,4
1551119292,5,5
1551126974,4,4
1551138743,5,5
1551144522,6,6
1551152181,5,5
1551167774,4,4
1551181461,3,3
1551195148,4,4
1551206901,3,3
1551215300,4,4
1551225318,3,3
1551229460,2,2
1551260194,3,3
1551267853,4,4
1551282384,3,3
1551301705,2,2
1551311325,3,3
1551315144,6,6
1551322960,7,7
1551342285,8,8
1551344205,9,9
1551346096,8,8
