DateTime,AddedIPs,RemovedIPs
1552703538,2,3
1552705491,2,2
1552707371,2,2
1552709545,3,3
1552711456,5,3
1552713374,3,2
1552715303,3,2
1552717234,3,5
1552721063,2,4
1552722973,0,2
1552724909,3,3
1552726859,2,4
1552728755,5,2
1552730684,1,2
1552732578,5,1
1552734789,4,4
1552736677,5,1
1552738597,1,2
1552740495,4,5
1552742657,4,7
1552744571,4,2
1552746517,1,2
1552748450,3,1
1552750364,3,4
1552752300,3,3
1552754173,1,1
1552756129,3,7
1552758013,1,1
1552759936,27,3
1552761881,103,4
1552763776,48,1
1552765694,66,3
1552767639,52,1
1552769533,53,0
1552771456,6,0
1552773414,3,2
1552775300,2,3
1552777236,2,3
1552779216,1,2
1552781176,5,1
1552782984,2,4
1552784914,2,2
1552786812,1,4
1552788748,1,1
1552790686,4,4
1552792575,5,2
1552794498,2,0
1552796439,3,6
1552798353,3,2
1552800264,3,4
1552802194,0,5
1552804092,1,3
1552806061,1,0
1552807936,1,2
1552809876,2,0
1552811781,0,2
1552813693,2,2
1552815633,3,8
1552817560,0,3
1552819454,0,5
1552821374,5,4
1552823323,1,2
1552825245,7,2
1552827153,4,1
1552829064,1,4
1552831002,4,5
1552832890,4,1
1552834711,2,4
1552836753,5,1
1552838686,4,3
1552840577,6,1
1552842517,2,3
1552844410,1,1
1552846342,2,12
1552848275,6,61
1552850174,4,29
1552852100,2,43
1552854030,7,35
1552855931,0,55
1552857866,3,38
1552859807,1,37
1552861960,0,38
1552863858,2,13
1552866341,5,0
1552868203,3,7
1552870094,3,4
1552872020,3,0
1552873952,0,1
1552875858,0,4
1552877788,5,4
1552879691,7,5
1552882600,3,3
1552884502,1,2
1552886430,2,4
1552888330,1,1
1552890262,2,0
1552892189,2,0
1552894093,1,1
1552896035,4,3
1552897960,0,2
1552900121,6,3
1552902023,3,5
1552903954,3,0
1552905872,6,0
1552907780,5,5
1552909694,4,1
1552911645,4,6
1552913528,7,2
1552915497,4,1
1552917369,3,5
1552919289,3,3
1552922188,8,4
1552924113,3,6
1552926009,2,4
1552927939,2,3
1552929854,4,2
1552931797,2,2
1552933693,4,3
1552936574,5,9
1552938502,7,2
1552940429,6,6
1552942577,4,0
1552944500,5,3
1552946534,2,3
1552948368,2,0
1552950300,2,2
1552952172,5,2
1552954014,3,5
1552956014,4,2
1552957936,4,2
1552959878,5,2
1552961774,4,0
1552963693,1,2
1552965643,2,10
1552967549,4,4
1552969452,13,0
1552971378,7,1
1552973291,2,1
1552975249,1,1
1552977185,4,1
1552979103,4,3
1552980989,6,1
1552982916,4,3
1552984821,0,2
1552986740,6,5
1552988675,3,3
1552990581,3,4
1552992493,4,4
1552994410,2,4
1552996341,5,4
1552998256,2,3
1553000220,1,3
1553002093,6,5
1553004972,5,4
1553006899,7,2
1553008836,4,8
1553010750,1,2
1553012679,3,2
1553014566,2,1
1553016498,7,5
1553019519,6,4
1553021548,9,2
1553023480,4,4
1553025416,3,5
1553027293,5,6
1553030172,9,4
1553032100,4,5
1553034031,5,2
1553035932,4,1
1553037865,7,5
1553039792,5,2
1553041703,5,3
1553043682,7,5
1553045554,6,5
1553047726,5,4
1553049632,2,0
1553051544,7,2
1553053452,2,1
1553055641,4,12
1553057533,5,5
1553059467,5,6
1553061372,4,1
1553063328,6,3
1553065251,4,6
1553067149,4,6
1553069081,7,1
1553071226,4,1
1553073134,6,6
1553075057,5,2
1553077012,2,2
1553078898,2,5
1553080810,120,2
1553082762,19,8
1553084662,14,1
1553086606,10,2
1553088517,10,4
1553090436,18,4
1553092349,5,8
1553094282,5,4
1553096171,3,3
1553098169,9,1
1553100020,5,2
1553101964,7,7
1553103860,3,4
1553105785,2,4
1553107693,8,9
1553109641,3,3
1553111553,4,4
1553113458,6,6
1553115870,4,8
1553117800,2,3
1553119714,3,3
1553121616,4,7
1553123534,3,8
1553125483,5,5
1553127377,5,7
1553129305,3,6
1553131231,4,6
1553133141,4,3
