DateTime,AddedIPs,RemovedIPs
1543415086,0,1
1543554525,1,0
1543798577,0,1
1543841063,1,0
1543926282,0,1
1544296124,1,0
1544379876,0,1
1544384416,1,0
1544470161,0,1
1544548592,1,0
1544623332,1,0
1544634984,0,1
1544707627,0,1
1544822885,1,0
1544909081,0,1
1545579617,1,0
1545593816,1,0
1545601854,1,0
1545606121,1,0
1545666765,0,1
1545680420,0,1
1545688364,0,1
1545690284,0,1
1546535792,1,0
1546543701,1,0
1546545628,1,0
1546549492,3,0
1546551635,1,0
1546585330,1,0
1546622683,0,1
1546630612,1,0
1546648013,0,4
1546655798,1,0
1546687464,0,2
1546716498,0,1
1546726353,0,1
1546739782,0,1
1546878011,1,0
1546901541,1,0
1546907573,1,0
1546923172,1,0
1546950913,1,0
1546964900,0,1
1546988711,0,1
1546994419,0,1
1547008374,0,1
1547035515,0,1
1547185958,1,0
1547208767,2,0
1547273823,0,1
1547293458,0,2
1547436989,1,0
1547484735,3,0
1547524881,0,1
1547534899,1,0
1547550747,1,0
1547554853,1,0
1547570656,0,3
1547605950,2,0
1547621803,0,1
1547626595,1,0
1547636512,0,1
1547642202,0,1
1547691620,0,1
1547693545,0,1
1547701543,1,0
1547711320,0,1
1547730999,1,0
1547742759,1,0
1547787920,0,1
1547795804,2,0
1547799666,1,0
1547817386,1,1
1547829781,0,1
1547841930,1,0
1547881302,0,1
1547883163,0,1
1547886971,0,1
1547904766,0,1
1547934764,0,1
1548083563,1,0
1548168762,0,1
1548705904,1,0
1548791098,0,1
1548870756,1,0
1548954988,0,1
1549375944,1,0
1549460553,0,1
1549490662,1,0
1549495248,1,0
1549578467,0,1
1549580474,0,1
1549671172,1,0
1549756096,0,1
1549816842,1,0
1549820654,1,0
1549892210,1,0
1549903715,0,1
1549907545,0,1
1549977862,0,1
1549998973,1,0
1550084173,0,1
1550172043,3,0
1550173944,1,0
1550175862,1,0
1550179702,1,0
1550185964,1,0
1550197480,1,0
1550201318,1,0
1550203237,1,0
1550205138,1,0
1550208972,2,0
1550214750,1,0
1550226256,1,0
1550228173,2,0
1550230118,1,0
1550237770,1,0
1550239701,2,0
1550241639,1,0
1550243557,1,0
1550247403,2,0
1550251242,1,0
1550259162,0,1
1550263005,1,0
1550272836,1,0
1550278569,2,0
1550286295,1,0
1550288198,0,1
1550292012,0,1
1550295851,1,0
1550301633,0,1
1550303572,1,1
1550307392,1,1
1550312173,0,1
1550316039,1,0
1550323698,0,1
1550325636,0,1
1550329484,0,1
1550333212,0,1
1550337503,0,1
1550339859,0,1
1550341951,0,1
1550347952,0,1
1550349855,0,1
1550351816,0,1
1550353694,0,1
1550362368,0,1
1550366198,0,2
1550371944,0,1
1550373857,0,1
1550375803,0,1
1550377715,0,1
1550381567,0,1
1550383470,0,1
1550385404,0,1
1550391157,0,1
1550394975,0,1
1550398839,0,1
1550400738,0,1
1550515258,1,3
1550520980,1,0
1550526741,1,0
1550528657,1,0
1550534452,1,0
1550536365,1,0
1550542345,2,0
1550548096,1,0
1550550019,1,0
1550551942,1,0
1550553863,2,0
1550555792,1,0
1550559654,2,0
1550565390,2,0
1550586985,1,0
1550595058,1,0
1550600912,1,0
1550604742,1,0
1550610526,1,0
1550614384,1,1
1550616288,2,0
1550622266,0,1
1550626344,1,0
1550628296,0,1
1550632369,1,0
1550636194,0,1
1550638106,0,1
1550640027,0,1
1550645796,1,1
1550648050,1,0
1550652506,0,1
1550654463,2,0
1550658258,0,2
1550660193,1,0
1550664073,1,1
1550665947,2,0
1550680130,0,1
1550689937,0,1
1550695696,0,1
1550701476,0,3
1550703382,0,1
1550718774,0,1
1550726419,0,1
1550732181,0,1
1550734365,0,1
1550736295,0,2
1550740098,0,4
1550743947,0,2
1550745874,0,1
1550747801,0,1
1550749698,0,1
1550770106,1,3
1550775876,1,0
1550777769,1,0
1550785457,1,0
1550789306,1,0
1550792480,2,0
1550796188,1,0
1550800099,2,0
1550802031,3,0
1550803931,2,0
1550805892,1,0
1550815717,1,0
1550817613,1,0
1550825582,1,0
1550827473,1,0
1550831304,3,0
1550835166,1,0
1550838994,1,0
1550841153,1,0
1550852662,1,0
1550862284,0,1
1550873812,1,0
1550877620,0,1
1550879538,0,1
1550881460,1,0
1550891325,0,1
1550902815,1,0
1550908595,0,1
1550918198,0,2
1550924169,1,0
1550926120,2,1
1550928011,0,2
1550947944,0,1
1550949869,0,1
1550953689,0,1
1550955633,0,1
1550961399,0,2
1550965240,0,1
1550967166,0,2
1550969049,0,1
1550971217,0,1
1550973150,0,1
1550983975,0,1
1550988117,0,1
1550990249,0,1
1550992114,0,2
1550999801,0,1
1551005570,0,1
1551011330,0,3
1551116899,1,1
1551118731,1,0
1551121140,2,0
1551123137,2,0
1551129171,1,0
1551131063,1,0
1551132987,1,0
1551140667,1,0
1551146513,1,0
1551152181,1,0
1551154351,2,0
1551160106,2,0
1551163946,4,0
1551173564,1,0
1551181461,1,0
1551185301,1,0
1551187256,2,0
1551189131,1,0
1551191089,1,0
1551193276,1,0
1551204968,1,0
1551208831,0,1
1551220148,0,1
1551225881,0,1
1551227778,0,1
1551233540,1,1
1551235470,1,0
1551237373,0,1
1551239298,1,1
1551241235,1,1
1551245062,0,1
1551246968,0,1
1551249143,0,2
1551252971,1,0
1551260652,1,0
1551262587,1,0
1551268573,0,1
1551272668,0,2
1551276511,0,1
1551278412,0,1
1551299816,0,1
