DateTime,AddedIPs,RemovedIPs
1552532681,2,0
1552534580,1,3
1552536506,0,5
1552538439,0,2
1552540376,2,2
1552542273,3,2
1552544207,1,0
1552546103,0,3
1552548042,0,1
1552549963,0,1
1552551864,0,2
1552553790,1,1
1552555957,1,0
1552559820,0,1
1552561732,1,0
1552563625,0,1
1552565541,0,2
1552567467,1,3
1552569416,0,2
1552571301,0,3
1552573233,2,4
1552577063,1,0
1552578990,0,1
1552580926,1,0
1552582911,8,1
1552586692,0,1
1552588578,1,0
1552590536,1,0
1552592459,0,1
1552598188,0,1
1552600104,1,1
1552602019,2,3
1552603965,1,0
1552605879,1,2
1552607809,1,1
1552612835,3,1
1552614729,0,1
1552616651,0,2
1552618595,0,1
1552620492,1,2
1552622457,0,1
1552626528,2,3
1552628413,1,1
1552630581,3,1
1552632493,2,0
1552634445,1,1
1552640200,0,3
1552642102,0,2
1552645963,2,0
1552648135,0,4
1552651951,1,0
1552653883,0,1
1552655796,1,0
1552657710,3,1
1552659636,2,0
1552661544,1,1
1552663489,2,0
1552665383,0,1
1552667338,2,0
1552669325,0,1
1552673092,3,0
1552674975,1,0
1552676935,1,0
1552678816,2,0
1552680741,1,2
1552682683,4,0
1552686498,0,2
1552688446,1,3
1552690511,1,0
1552692528,0,1
1552695616,0,2
1552697547,1,2
1552699451,0,1
1552701376,3,1
1552705240,0,2
1552707138,0,1
1552709085,2,0
1552710978,1,0
1552712912,2,0
1552714810,1,1
1552716739,1,0
1552718671,2,0
1552720571,0,3
1552722510,2,0
1552724411,0,1
1552726353,0,1
1552730189,1,1
1552732087,1,1
1552743644,0,4
1552745534,0,2
1552749378,0,2
1552751239,1,1
1552753237,2,1
1552757057,1,0
1552758997,1,0
1552760906,0,1
1552763777,3,1
1552765695,0,2
1552767640,0,3
1552769534,1,1
1552771457,1,2
1552773415,2,0
1552775301,0,1
1552779220,4,0
1552781180,2,0
1552782987,0,1
1552784918,1,1
1552786815,1,0
1552788751,1,0
1552790689,1,0
1552792579,2,0
1552794501,0,1
1552796443,2,1
1552798382,1,2
1552800267,1,2
1552802198,0,2
1552804097,0,1
1552806164,0,1
1552810091,2,0
1552813938,1,1
1552815848,2,0
1552817785,1,1
1552819724,0,2
1552823525,1,0
1552825465,2,0
1552827370,4,1
1552831282,2,2
1552836978,1,0
1552838956,6,1
1552840815,1,1
1552842751,0,1
1552844686,1,1
1552846572,2,0
1552848500,3,2
1552850438,2,0
1552852334,2,0
1552854265,1,0
1552856190,1,0
1552858087,0,2
1552860077,1,1
1552861963,1,1
1552863877,4,1
1552866345,2,5
