DateTime,Entries,UniqueIPs
1552710979,1609,1609
1552712913,1616,1616
1552714811,1625,1625
1552716739,1621,1621
1552718672,1621,1621
1552720572,1620,1620
1552722510,2456,2456
1552724411,2838,2838
1552726354,2840,2840
1552728263,2849,2849
1552730189,2851,2851
1552732088,2733,2733
1552734079,2735,2735
1552735950,2731,2731
1552737887,2807,2807
1552739784,3867,3867
1552741691,5438,5438
1552743645,5439,5439
1552745535,5443,5443
1552747413,5439,5439
1552749379,5418,5418
1552751240,5421,5421
1552753237,5419,5419
1552755132,5418,5418
1552757057,5301,5301
1552758998,5303,5303
1552760907,5306,5306
1552763778,5310,5310
1552765696,5310,5310
1552767641,5309,5309
1552769535,5308,5308
1552771457,5308,5308
1552773416,5446,5446
1552775302,5452,5452
1552777264,5465,5465
1552779220,5475,5475
1552781181,5477,5477
1552782988,5478,5478
1552784919,5481,5481
1552786816,5481,5481
1552788752,5483,5483
1552790690,5477,5477
1552792579,5478,5478
1552794502,5478,5478
1552796444,5478,5478
1552798383,5474,5474
1552800268,5471,5471
1552802198,5605,5605
1552804097,5610,5610
1552806177,5753,5753
1552808179,5508,5508
1552810092,4884,4884
1552812028,4672,4672
1552813938,4673,4673
1552815849,4680,4680
1552817786,4678,4678
1552819725,4677,4677
1552821607,5012,5012
1552823526,5022,5022
1552825465,4379,4379
1552827371,2822,2822
1552829287,2375,2375
1552831295,2371,2371
1552833153,2373,2373
1552835081,2383,2383
1552836978,2381,2381
1552838956,2382,2382
1552840816,2662,2662
1552842751,2664,2664
1552844686,2663,2663
1552846573,2661,2661
1552848501,2657,2657
1552850439,2658,2658
1552852334,2655,2655
1552854265,2728,2728
1552856191,3129,3129
1552858088,3037,3037
1552860103,2985,2985
1552861964,2987,2987
1552863880,2989,2989
1552866345,2988,2988
1552868207,2989,2989
1552870098,2991,2991
1552872024,3049,3049
1552873955,3052,3052
1552875862,3056,3056
1552877792,3062,3062
1552879695,3067,3067
1552881707,3060,3060
