DateTime,Entries,UniqueIPs
1552705496,1650,1650
1552707373,1651,1651
1552709547,1653,1653
1552711471,1660,1660
1552713376,1661,1661
1552715304,1669,1669
1552717235,1664,1664
1552719134,1665,1665
1552721064,1665,1665
1552722974,2628,2628
1552724911,2887,2887
1552726879,2887,2887
1552728756,2896,2896
1552730688,2894,2894
1552732580,2770,2770
1552734790,2776,2776
1552736678,2773,2773
1552738598,3132,3132
1552740497,4407,4407
1552742658,5484,5484
1552744572,5485,5485
1552746518,5488,5488
1552748462,5486,5486
1552750365,5462,5462
1552752302,5460,5460
1552754173,5463,5463
1552756130,5463,5463
1552758014,5355,5355
1552759937,5358,5358
1552761883,5352,5352
1552763778,5357,5357
1552765696,5357,5357
1552767641,5355,5355
1552769536,5353,5353
1552771458,5354,5354
1552773417,5490,5490
1552775302,5494,5494
1552777275,5508,5508
1552779221,5516,5516
1552781183,5517,5517
1552782988,5518,5518
1552784920,5522,5522
1552786816,5522,5522
1552788753,5524,5524
1552790691,5518,5518
1552792580,5519,5519
1552794503,5520,5520
1552796445,5518,5518
1552798383,5516,5516
1552800268,5514,5514
1552802199,5649,5649
1552804098,5657,5657
1552806187,5798,5798
1552808179,5551,5551
1552810092,4926,4926
1552812029,4712,4712
1552813939,4712,4712
1552815850,4723,4723
1552817786,4721,4721
1552819725,4722,4722
1552821607,5057,5057
1552823527,5067,5067
1552825466,4418,4418
1552827372,2857,2857
1552829288,2416,2416
1552831308,2410,2410
1552833153,2410,2410
1552835083,2419,2419
1552836979,2417,2417
1552838957,2417,2417
1552840817,2698,2698
1552842752,2698,2698
1552844687,2695,2695
1552846573,2694,2694
1552848501,2692,2692
1552850441,2695,2695
1552852335,2692,2692
1552854266,2764,2764
1552856191,3164,3164
1552858089,3072,3072
1552860114,3021,3021
1552861964,3024,3024
1552863881,3026,3026
1552866346,3025,3025
1552868208,3026,3026
1552870099,3029,3029
1552872024,3086,3086
1552873956,3090,3090
1552875863,3094,3094
1552877793,3100,3100
1552879696,3104,3104
1552881715,3097,3097
1552883568,3099,3099
1552885467,3098,3098
1552887384,2962,2962
1552889326,2964,2964
1552891221,2895,2895
1552893145,2805,2805
1552895092,2813,2813
1552896979,2814,2814
1552898906,2808,2808
1552900848,2812,2812
1552902764,2804,2804
1552904659,2804,2804
1552906593,2807,2807
1552908497,2471,2471
1552910530,2465,2465
1552912367,2468,2468
1552914340,2467,2467
1552916212,2469,2469
1552918102,2515,2515
1552920016,2517,2517
1552921837,2520,2520
1552923643,2527,2527
1552925605,2529,2529
1552927475,2229,2229
1552929377,2229,2229
1552931296,2240,2240
1552933245,2241,2241
1552935297,2248,2248
1552937292,2250,2250
1552939297,2370,2370
1552942582,1834,1834
1552944506,1821,1821
1552946578,1844,1844
1552948567,1846,1846
1552950521,1847,1847
1552952410,1840,1840
1552954366,1838,1838
1552956281,1836,1836
1552958174,1787,1787
1552960094,1798,1798
1552962042,1802,1802
1552963932,1798,1798
1552965855,1802,1802
1552967779,1811,1811
1552969715,1819,1819
1552971665,1822,1822
1552973569,1814,1814
1552975496,1817,1817
1552977634,1806,1806
1552979551,1802,1802
1552981454,1790,1790
1552983390,1793,1793
1552985294,1794,1794
1552987232,1799,1799
1552989141,1802,1802
1552991055,1796,1796
1552992992,1795,1795
1552994902,1798,1798
1552996852,1802,1802
1552998768,1804,1804
1553000678,1807,1807
1553002956,1815,1815
1553004974,1773,1773
1553006901,1776,1776
1553008839,1764,1764
1553010752,1762,1762
1553012681,1767,1767
1553014569,1765,1765
1553016500,1763,1763
1553019523,1754,1754
1553021553,1741,1741
1553023484,1733,1733
1553025431,1607,1607
1553027297,1599,1599
1553029307,1593,1593
1553031160,1587,1587
1553033098,1568,1568
1553034983,1580,1580
1553036916,1577,1577
1553038815,1576,1576
1553040746,1573,1573
1553042665,1577,1577
1553044583,1566,1566
1553046511,1578,1578
1553048416,1572,1572
1553050358,1575,1575
1553052265,1569,1569
1553054193,1571,1571
1553056100,1571,1571
1553058166,1572,1572
1553060175,1579,1579
1553062092,1574,1574
1553064029,1538,1538
1553065942,1589,1589
1553067852,1590,1590
1553069794,1585,1585
1553071705,1586,1586
1553073616,1577,1577
1553075567,1572,1572
1553077460,1574,1574
1553079391,1571,1571
1553081346,1695,1695
1553083350,1692,1692
1553085172,1692,1692
1553087084,1718,1718
1553088991,1710,1710
1553090911,1704,1704
1553092838,1695,1695
1553094742,1696,1696
