DateTime,AddedIPs,RemovedIPs
1542562817,111,4
1542584682,24,30
1542606762,7,629
1542628860,4,8
1542650910,4,2
1542673291,52,3
1542695299,5,6
1542717160,11,53
1542739525,12,17
1542761536,607,593
1542783669,10,4
1542805947,17,380
1542828032,650,38
1542849880,7,0
1542872172,5,7
1542894019,743,3
1542916100,590,193
1542938198,5,5
1542960085,2,7
1542982135,22,5
1543004433,179,2
1543026519,6,3
1543048595,134,119
1543070680,5,4
1543092744,19,1
1543125880,128,7
1543148192,242,7
1543170272,2110,3
1543192343,888,5
1543214447,4,51
1543236508,15,4
1543258615,2,4
1543280686,3,55
1543303007,0,4
1543325061,76,1
1543347405,55,5
1543369467,8,265
1543391321,1,0
1543413162,132,2
1543435473,14,21
1543457543,5,25
1543479391,2,5
1543501467,21,674
1543523696,275,455
1543545640,4,3
1543567955,2,2
1543590288,3,192
1543612366,4,0
1543634673,37,2
1543656767,569,135
1543679062,43,0
1543701156,2,35
1543734270,0,168
1543756368,3,166
1543778413,4,2526
1543800526,8,200
1543822597,3,0
1543844650,47,502
1543866757,6,1
1543888599,3,2
1543910686,3,2
1543932529,2,1
1543954598,96,4
1543976659,5,8
1543998748,3,4
1544020616,0,2
1544042670,38,132
1544064769,2,2
1544086828,12,6
1544108937,476,2
1544131007,46,646
1544153311,6,0
1544175167,23,0
1544197246,1,3
1544219294,0,2
1544241158,4,74
1544274252,131,435
1544296125,2,91
1544318431,1,20
1544340283,1,74
1544362599,1,40
1544384669,88,40
1544406768,26,4
1544428613,2,219
1544450506,5,53
1544473015,145,6
1544495301,4,1
1544517169,3,129
1544539222,6,2
1544561326,4,234
1544583669,0,7
1544605717,219,1
1544627817,812,0
1544650104,4,21
1544671960,2,2
1544694015,2,15
1544716092,2,855
1544737955,4,52
1544760058,610,8
1544782145,5,56
1544804025,0,20
1544826029,3,18
1544847889,2,21
1544869941,0,11
1544891799,4,5
1544913871,2,2
1544935935,3,10
1544957787,196,114
1544990680,140,83
1545012541,3,18
1545034598,0,21
1545056650,1371,3
1545078765,2970,133
1545100822,348,111
1545122677,18,6
1545144747,1,1
1545166909,4,1
1545188929,9,3
1545211000,4,91
1545233053,5,520
1545254896,3,10
1545276993,2,3
1545299050,3,4
1545320916,291,24
1545343317,2,8
1545365567,3,571
1545387611,2,0
1545409746,1,4
1545431769,3,0
1545453618,3,1
1545475460,4,219
1545497538,6,7
1545519382,3,1
1545541481,1,2
1545563540,240,18
1545585403,6,8
1545607483,4,4
1545629547,0,4
1545651609,41,1
1545673460,2,1247
1545695563,0,3
1545717659,5,3
1545739971,274,55
1545762024,5,5
1545783883,55,9
1545805948,3,67
1545828015,6,3
1545850121,0,6
1545872203,4,2
1545894063,1,6
1545916095,7,600
1545938184,2,16
1545960308,1,12
1545982408,1,3
1546004410,3,6
1546026256,2,2
1546048417,2,355
1546070507,0,2
1546092523,60,4
1546114574,1,3
1546136451,31,13
1546158492,4,2
1546180369,0,387
1546202433,3,1
1546224496,164,30
1546246351,2,5
1546268439,96,54
1546290291,213,2
1546312340,0,2473
1546334225,633,284
1546356251,74,3
1546378370,13,64
1546400666,143,2
1546422733,2,3
1546444577,415,0
1546466691,2,2
1546488762,1,11
1546510822,1,3
1546532688,139,2
1546554567,1,0
1546576606,8,0
1546598699,1,1
1546620789,180,0
1546642908,1,3
1546665160,2,0
1546687005,2,1
1546709316,11,1
1546731191,1,19
1546753224,3,1
1546775563,1,2
1546797708,64,275
1546819950,6,2
1546842058,0,2
1546864094,3,1
1546885979,601,969
1546908022,106,18
1546930095,3,178
1546952195,7,120
1546974293,117,10
1546996394,13,1
1547018535,6,231
1547040530,6,535
1547062830,630,42
1547084904,179,58
1547106779,0,119
1547128939,73,201
1547151167,3,9
1547173225,3,11
1547195294,6,147
1547217382,2,6
1547239463,4,200
1547261572,3185,1
1547283640,9,3
1547305514,1,41
1547327803,1,5
1547349649,39,1
1547371721,61,4
1547393565,18,1
1547415886,558,0
1547437945,4,8
1547459794,8,175
1547481664,174,4
1547503940,5,755
1547525809,325,3
1547547858,4,7
1547569941,5,114
1547592048,105,1
1547614367,94,11
1547636553,184,5
1547658528,482,8
1547680593,2,44
1547702676,2,0
1547724739,2,17
1547746845,3,52
1547768914,2,0
1547790994,2,2
1547813094,26,1
1547835169,0,1
1547857253,255,0
1547879296,1,0
1547901136,1,1
1547922993,2,0
1547945054,0,19
1547966917,2,2
1547988979,3,2
1548010837,12,3
1548032744,18,507
1548054746,22,33
1548076821,5,3
1548098689,103,250
1548120739,1,294
1548142597,72,5
1548164653,1,2
1548186509,60,2
1548208355,2,41
1548230208,3,8
1548252293,1,476
1548274362,665,105
1548296429,2,63
1548318810,3,1
1548340815,4,3
1548362657,0,2
1548384745,2,1
1548417851,5,1
1548439976,2,2
1548462023,2,1
1548483874,3,0
1548505953,5,214
1548527796,0,10
1548549855,7,1
1548571696,4,4
1548593553,44,2
1548626693,16,24
1548648654,2,1
1548670604,2,25
1548692673,0,2200
1548714517,6,509
1548736371,3,6
1548758419,6,35
1548780272,395,1
1548802357,1,2
1548824219,6,6
1548846153,110,310
1548868347,2,376
1548890475,4,1043
1548912770,8,6
1548934812,19,6
1548956659,3,41
1548978564,19,2
1549000597,262,2
1549022680,723,3
1549044763,441,4
1549066813,5,2
1549088904,1,1
1549110983,6,7
1549133026,1,1
1549154909,54,81
1549176769,0,10
1549198685,79,2
1549220677,1,23
1549242527,20,19
