DateTime,AddedIPs,RemovedIPs
1552707374,6,6
1552709547,7,8
1552711471,7,2
1552713377,4,5
1552715304,6,4
1552717236,4,6
1552719134,12,8
1552721064,4,7
1552722975,6,15
1552724911,7,5
1552726891,5,3
1552728756,5,4
1552730689,6,7
1552732580,8,7
1552734790,5,3
1552736679,7,21
1552738598,5,7
1552740498,2,2
1552742658,10,11
1552744573,4,3
1552746519,5,6
1552748475,4,2
1552750365,6,8
1552752302,5,7
1552754174,7,3
1552756131,7,4
1552758015,5,8
1552759937,3,3
1552761884,4,5
1552763779,2,7
1552765697,9,6
1552767642,7,7
1552769536,5,6
1552771458,11,6
1552773417,10,8
1552775303,7,9
1552777288,1,6
1552779221,2,5
1552781184,1,2
1552782989,8,10
1552784920,8,15
1552786817,5,8
1552788753,5,1
1552790691,4,9
1552792581,5,5
1552794503,3,9
1552796445,8,3
1552798384,2,8
1552800269,4,8
1552802200,2,1
1552804099,1,6
1552806201,7,11
1552808180,2,2
1552810093,7,6
1552812029,11,11
1552813940,13,7
1552815850,5,7
1552817788,3,6
1552819726,3,10
1552821608,2,7
1552823529,3,6
1552825467,0,5
1552827372,6,4
1552829289,5,8
1552831320,3,4
1552833154,2,7
1552835083,4,4
1552836979,5,12
1552838957,3,8
1552840818,4,7
1552842752,3,9
1552844687,11,5
1552846574,12,3
1552848502,8,3
1552850442,3,4
1552852336,5,11
1552854267,11,6
1552856192,11,7
1552858090,5,9
1552860127,10,7
1552861965,8,3
1552863881,7,2
1552866346,3,3
1552868208,6,4
1552870100,10,10
1552872025,8,9
1552873956,8,8
1552875863,0,2
1552877794,3,6
1552879696,4,3
1552881724,5,6
1552883569,6,3
1552885468,7,2
1552887385,3,5
1552889327,3,2
1552891222,2,5
1552893146,3,6
1552895092,2,4
1552896980,1,4
1552898907,4,9
1552900849,3,11
1552902764,0,3
1552904660,4,3
1552906593,1,6
1552908498,7,3
1552910542,9,3
1552912367,8,3
1552914341,9,9
1552916212,5,1
1552918103,1,3
1552920017,6,3
1552921837,4,6
1552923644,10,2
1552925605,6,2
1552927476,6,4
1552929377,1,2
1552931296,2,8
1552933245,9,10
1552935298,14,9
1552937293,15,1
1552939318,13,6
1552942583,18,20
1552944507,12,4
1552946582,14,10
1552948567,15,6
1552950522,18,8
1552952411,18,4
1552954367,19,8
1552956281,14,11
1552958175,11,10
1552960095,16,8
1552962043,8,2
1552963933,14,4
1552965855,14,5
1552967779,12,2
1552969715,17,10
1552972582,19,10
1552974493,8,3
1552976438,17,1
1552978352,15,2
1552980300,19,5
1552982170,12,2
1552984095,15,0
1552986978,15,6
1552988895,13,2
1552990830,20,3
1552992735,14,0
1552994675,11,6
1552996567,13,6
1552998487,9,10
1553000442,17,9
1553002957,17,6
1553004975,5,3
1553006902,15,5
1553008840,10,5
1553010752,13,8
1553012682,11,8
1553014569,10,8
1553016501,6,0
1553018464,7,2
1553020342,253,10
1553022291,11,19
1553024181,8,14
1553026112,9,7
1553028012,11,8
1553029941,10,17
1553031873,7,7
1553033780,5,14
1553035715,8,17
1553037636,10,13
1553039551,7,19
1553041365,5,11
1553043370,4,14
1553045312,6,12
1553047284,12,10
1553049133,4,7
1553051083,6,15
1553052981,8,9
1553054896,8,12
1553056811,12,13
1553058743,5,11
1553060652,9,5
1553062593,11,15
1553064502,8,12
1553066409,13,18
1553068349,21,14
1553070264,14,14
1553072170,11,19
1553074124,10,12
1553076078,21,13
1553077934,17,11
1553079895,17,8
1553081791,8,12
1553083734,15,9
1553085614,16,12
1553087543,13,13
1553089462,12,8
1553091407,5,8
1553093298,3,11
1553095218,5,10
1553097150,7,14
1553099085,8,6
1553101001,18,9
1553102907,15,6
1553105786,20,125
1553107694,10,138
1553109643,15,17
1553111555,24,8
1553113460,15,12
1553115901,15,8
1553117805,8,7
1553119719,15,5
1553121621,15,9
1553123539,10,14
1553125488,14,7
1553127382,5,9
1553129310,10,6
1553131236,5,10
1553133147,8,6
1553135071,15,7
1553137000,10,4
1553138898,6,9
1553140940,12,12
1553142759,12,10
1553144694,6,8
1553146592,9,13
1553148518,9,8
1553150415,18,7
1553152345,12,7
1553154275,12,14
1553156196,14,19
1553158103,17,9
1553160093,163,7
1553162000,316,10
1553163864,234,13
1553165792,54,8
1553167707,40,3
1553169765,43,4
1553171782,81,4
1553173716,72,7
1553175632,33,8
1553177550,30,4
1553179465,25,4
1553181390,11,1
1553183323,15,6
1553185216,5,2
1553187165,4,11
1553189058,2,6
1553190972,3,7
1553193568,8,6
1553195556,7,5
1553197467,10,12
1553199401,2,12
1553201298,4,3
1553203224,1,7
1553205160,5,1
1553207064,3,6
1553209003,3,1
1553210914,2,5
1553212966,4,3
1553214998,8,2
1553216893,3,4
1553218810,5,4
1553220746,8,4
1553222674,4,7
1553224585,3,4
1553226492,4,7
1553228433,2,1
1553230342,4,5
1553232258,4,6
1553234180,3,4
1553236116,5,8
1553238095,3,4
1553239934,5,1
1553241888,6,3
1553243787,2,4
1553245694,25,5
1553247875,18,166
1553249774,40,128
1553251702,62,41
1553253635,46,31
1553255533,48,14
1553257484,26,35
1553259371,22,75
1553261331,26,58
1553264223,24,89
1553266164,21,77
1553268016,18,40
1553269938,33,37
1553271934,25,5
1553273773,23,4
1553275719,13,4
1553277681,15,6
1553279564,17,8
1553281500,17,14
1553283415,18,12
1553285300,10,19
1553287230,13,20
1553289388,9,15
1553291314,10,9
1553293243,10,17
1553295139,10,15
1553297062,9,16
1553299005,9,2
1553300896,8,14
1553303779,13,13
1553305708,14,12
1553307614,2,11
1553309533,5,7
1553311464,9,7
1553313377,9,5
1553315332,1,4
1553317400,22,4
1553319369,17,5
1553321321,12,7
1553323212,15,7
1553325407,20,9
1553327323,25,5
1553329221,12,6
1553331132,9,10
1553333082,11,20
1553334983,8,16
1553336914,4,60
1553338895,4,79
1553340765,2,77
1553342708,6,80
1553344594,4,56
1553346509,11,48
1553348432,12,35
1553350337,8,33
1553352262,8,32
1553354197,8,38
1553356106,11,43
1553358019,11,51
1553359955,6,45
1553361864,7,26
1553363771,16,29
1553365712,9,25
1553367763,16,23
1553369777,8,24
1553371714,12,19
1553373621,15,20
1553375787,14,20
1553377708,15,14
1553379639,11,16
1553381540,7,9
1553383456,15,12
1553385399,17,10
1553387316,4,11
1553390183,15,21
1553392102,6,20
1553394094,10,4
1553395941,12,7
1553397862,5,8
1553399808,8,13
1553401697,9,9
1553403709,16,30
1553405568,3,17
1553407484,11,17
1553409380,12,16
1553411346,16,11
1553413222,16,40
1553415150,9,15
1553417103,5,17
1553418988,11,10
1553420903,8,13
1553422827,18,7
1553424759,12,3
1553426666,10,1
1553428596,10,5
1553430530,10,6
1553432485,8,8
1553434348,1,17
1553436290,51,12
1553438183,12,9
1553440104,11,11
1553442049,8,12
1553444199,6,8
1553446117,13,9
1553448016,8,13
1553449961,8,13
1553451870,8,22
1553453776,7,16
1553455695,6,12
1553458594,15,22
1553460499,8,13
1553462674,11,15
1553464575,7,15
1553466513,16,10
1553468537,14,6
1553470476,14,12
1553472332,14,16
1553474182,7,5
1553476368,14,11
1553478533,18,8
1553480454,16,13
1553482358,11,12
1553484268,14,9
1553486229,12,9
1553488112,7,7
1553490275,12,14
1553492202,14,4
1553494126,9,14
1553496033,10,12
1553497947,9,11
1553499860,10,16
1553501797,18,6
1553503701,17,6
1553505615,16,12
1553507559,13,14
1553509466,12,15
1553511396,17,10
1553513303,20,11
1553515345,14,10
1553517382,12,9
1553519328,12,5
1553521235,8,7
1553523145,8,42
1553525073,14,12
1553527243,9,11
1553529136,10,9
1553531069,14,9
1553532881,11,16
1553534912,13,7
1553536970,11,10
1553538977,14,12
1553541168,11,9
1553543059,15,11
1553544984,6,12
1553546848,16,9
1553548839,13,8
1553550747,12,7
1553552661,5,16
1553554597,10,9
1553556496,10,12
1553558607,16,18
1553560595,16,4
1553562523,10,13
1553564415,8,15
1553566354,11,15
1553568274,8,15
1553570198,11,13
1553572104,10,12
1553574031,7,13
1553575960,16,11
1553577858,14,13
1553579787,6,10
1553581717,13,9
1553584603,17,12
1553586513,10,10
1553588427,10,18
1553590337,10,15
1553592288,24,16
1553594189,19,16
1553596097,17,12
1553598116,15,19
1553599957,12,23
1553601903,16,9
1553603785,10,10
1553605736,7,10
1553607643,11,10
1553609548,10,9
1553611477,11,14
1553613390,14,7
1553615326,15,9
1553617247,20,9
1553619162,4,10
1553621061,4,13
1553624379,13,22
1553626357,2,12
1553628262,5,15
1553630577,11,12
1553632821,73,21
1553634744,37,14
1553636690,44,12
1553638601,43,5
1553640509,37,7
1553642448,34,7
1553644356,33,9
1553646264,28,11
1553648184,32,9
1553650118,27,13
1553652072,22,8
1553653961,32,10
1553655925,19,10
1553657791,22,8
1553659740,31,10
1553661616,16,15
1553663551,14,11
1553665476,16,14
1553667383,15,10
1553669305,13,10
1553671233,7,6
1553673135,8,8
1553675066,12,7
1553676994,15,15
1553678891,16,19
1553680865,5,9
1553682760,4,10
1553684675,23,8
