DateTime,Entries,UniqueIPs
1542530667,883,883
1542552738,877,877
1542574590,904,904
1542596662,950,950
1542618741,965,965
1542640588,957,957
1542662659,953,953
1542684752,909,909
1542707058,871,871
1542729143,867,867
1542751230,929,929
1542773316,956,956
1542795376,949,949
1542817475,954,954
1542839545,946,946
1542861391,979,979
1542883468,972,972
1542905796,975,975
1542927872,992,992
1542949943,1015,1015
1542972024,1030,1030
1542994087,1074,1074
1543015972,1069,1069
1543038031,1058,1058
1543060347,1054,1054
1543082428,1058,1058
1543104533,1051,1051
1543126572,1050,1050
1543148433,1054,1054
1543170273,1060,1060
1543192343,1038,1038
1543214447,1025,1025
1543236508,1024,1024
1543258616,1031,1031
1543280687,1029,1029
1543303008,1025,1025
1543325061,1042,1042
1543347405,1037,1037
1543369467,1011,1011
1543391322,1024,1024
1543413163,1031,1031
1543435474,1028,1028
1543457544,1002,1002
1543479392,982,982
1543501468,1007,1007
1543523697,1017,1017
1543545640,975,975
1543567956,954,954
1543590289,887,887
1543612366,871,871
1543634674,866,866
1543656768,856,856
1543679062,821,821
1543701157,810,810
1543723277,802,802
1543745327,788,788
1543767399,769,769
1543789463,744,744
1543811304,737,737
1543833403,741,741
1543855453,720,720
1543877319,716,716
1543899725,690,690
1543921969,668,668
1543944266,571,571
1543966375,568,568
1543988446,509,509
1544010765,470,470
1544033080,495,495
1544054922,486,486
1544077243,469,469
1544099335,361,361
1544121402,291,291
1544143472,438,438
1544165799,552,552
1544187709,6865,6865
1544209715,6913,6913
1544231570,6990,6990
1544253876,7027,7027
1544275950,7045,7045
1544297791,7057,7057
1544319884,7170,7170
1544341952,7192,7192
1544364106,7229,7229
1544386121,7262,7262
1544408195,7282,7282
1544430515,7307,7307
1544452850,7330,7330
1544474915,7335,7335
1544496765,7347,7347
1544518921,7351,7351
1544541163,7344,7344
1544563224,7339,7339
1544585076,7339,7339
1544607414,7338,7338
1544629477,7299,7299
1544651554,7296,7296
1544673940,7293,7293
1544695934,7293,7293
1544718052,7284,7284
1544740360,7258,7258
1544762348,7238,7238
1544784515,945,945
1544806362,940,940
1544828687,919,919
1544850764,900,900
1544872808,888,888
1544894654,880,880
1544916749,849,849
1544938601,791,791
1544960443,765,765
1544982512,692,692
1545004373,668,668
1545026527,649,649
1545048504,614,614
1545070355,601,601
1545092198,536,536
1545114044,487,487
1545136118,492,492
1545158419,528,528
1545180280,572,572
1545202363,570,570
1545224493,583,583
1545246512,585,585
1545268366,599,599
1545290677,597,597
1545312766,596,596
1545334822,595,595
1545356919,580,580
1545379308,542,542
1545401297,528,528
1545423411,518,518
1545445485,515,515
1545467806,504,504
1545489882,501,501
1545511962,508,508
1545534069,513,513
1545556117,505,505
1545577960,556,556
1545600022,574,574
1545622109,564,564
1545643957,528,528
1545666279,491,491
1545688368,466,466
1545710721,464,464
1545732760,456,456
1545754840,434,434
1545777143,363,363
1545798995,365,365
1545821079,351,351
1545843167,348,348
1545865234,331,331
1545887317,339,339
