DateTime,Entries,UniqueIPs
1552711472,933,933
1552713378,934,934
1552715305,951,951
1552717237,945,945
1552719135,952,952
1552721065,954,954
1552722976,951,951
1552724912,952,952
1552726904,956,956
1552728758,955,955
1552730690,941,941
1552732582,949,949
1552734791,944,944
1552736693,964,964
1552738599,970,970
1552740499,980,980
1552742659,973,973
1552744574,970,970
1552746520,972,972
1552748494,969,969
1552750366,968,968
1552752304,964,964
1552754175,959,959
1552756132,939,939
1552758016,930,930
1552759938,941,941
1552761885,939,939
1552763780,920,920
1552765698,921,921
1552767643,920,920
1552769537,918,918
1552771459,922,922
1552773418,931,931
1552775304,938,938
1552777307,947,947
1552779222,937,937
1552781186,925,925
1552782990,918,918
1552784922,924,924
1552786818,921,921
1552788754,926,926
1552790692,925,925
1552792581,925,925
1552794504,928,928
1552796446,936,936
1552798384,932,932
1552800269,936,936
1552802201,913,913
1552804099,905,905
1552806207,911,911
1552808180,897,897
1552810095,892,892
1552812030,891,891
1552813941,888,888
1552815851,891,891
1552817789,890,890
1552819727,885,885
1552821619,893,893
1552823529,879,879
1552825468,853,853
1552827374,887,887
1552829290,899,899
1552831352,910,910
1552833155,906,906
1552835085,912,912
1552836981,926,926
1552838958,931,931
1552840819,945,945
1552842753,964,964
1552844688,981,981
1552846575,976,976
1552848503,983,983
1552850443,1006,1006
1552852337,1025,1025
1552854268,1046,1046
1552856193,1057,1057
1552858091,1062,1062
1552860157,1062,1062
1552861966,1070,1070
1552863882,1083,1083
1552866347,1092,1092
1552868209,1109,1109
1552870100,1133,1133
1552872026,1145,1145
1552873958,1140,1140
1552875864,1144,1144
1552877795,1156,1156
1552879697,1153,1153
1552881763,1179,1179
1552883570,1184,1184
1552885469,1173,1173
1552887386,1201,1201
1552889328,1217,1217
1552891223,1232,1232
1552893147,1237,1237
1552895094,1237,1237
1552896982,1250,1250
1552898908,1247,1247
1552900852,1238,1238
1552902765,1247,1247
1552904661,1254,1254
1552906594,1263,1263
1552908499,1272,1272
1552910564,1279,1279
1552912368,1292,1292
1552914342,1286,1286
1552916214,1293,1293
1552918104,1291,1291
1552920018,1291,1291
1552921838,1294,1294
1552923645,1292,1292
1552925606,1307,1307
1552927477,1307,1307
1552929378,1310,1310
1552931297,1305,1305
1552933246,1298,1298
1552935298,1297,1297
1552937294,1291,1291
1552939332,1301,1301
1552942584,1267,1267
1552944508,1262,1262
1552946589,1265,1265
1552948568,1256,1256
1552950523,1255,1255
1552952412,1260,1260
1552954368,1262,1262
1552956282,1252,1252
1552958176,1238,1238
1552960096,1246,1246
1552962044,1240,1240
1552963934,1244,1244
1552965857,1241,1241
1552967780,1241,1241
1552969717,1245,1245
1552971677,1252,1252
1552973570,1234,1234
1552975499,1225,1225
1552977634,1213,1213
1552979552,1212,1212
1552981455,1217,1217
1552983403,1213,1213
1552985295,1213,1213
1552987232,1214,1214
1552989142,1211,1211
1552991056,1219,1219
1552992992,1219,1219
1552994903,1216,1216
1552996858,1216,1216
1552998769,1226,1226
1553000679,1227,1227
1553002958,1211,1211
1553004976,1211,1211
1553006902,1235,1235
1553008840,1222,1222
1553010753,1219,1219
1553012683,1219,1219
1553014570,1209,1209
1553016501,1212,1212
1553018472,1198,1198
1553020343,1188,1188
1553022293,1158,1158
1553024182,1127,1127
1553026112,1099,1099
1553028013,1076,1076
1553029941,1063,1063
1553031874,1062,1062
1553033780,1084,1084
1553035716,1080,1080
1553037636,1096,1096
1553039552,1093,1093
1553041366,1095,1095
1553043371,1078,1078
1553045313,1112,1112
1553047296,1117,1117
1553049134,1115,1115
1553051084,1103,1103
1553052982,1088,1088
1553054897,1101,1101
1553056812,1101,1101
1553058744,1089,1089
1553060653,1121,1121
1553062594,1122,1122
1553064502,1117,1117
1553066410,1116,1116
1553068350,1124,1124
1553070264,1133,1133
1553072171,1149,1149
1553074125,1155,1155
1553076094,1146,1146
1553077935,1153,1153
1553079907,1133,1133
1553081792,1115,1115
1553083736,1113,1113
1553085616,1113,1113
1553087544,1116,1116
1553089463,1116,1116
1553091408,1106,1106
1553093299,1088,1088
1553095219,1096,1096
1553097151,1127,1127
1553099086,1116,1116
1553101002,1113,1113
1553102908,1112,1112
1553104864,1124,1124
1553106771,1133,1133
1553109643,1172,1172
1553111556,1191,1191
1553113461,1195,1195
1553115902,1199,1199
1553117806,1198,1198
1553119720,1187,1187
1553121622,1182,1182
1553123540,1169,1169
1553125489,1163,1163
1553127397,1168,1168
1553129311,1169,1169
1553131237,1167,1167
1553133149,1147,1147
1553135072,1133,1133
1553137000,1124,1124
1553138898,1137,1137
1553140950,1120,1120
1553142759,1126,1126
1553144695,1129,1129
1553146593,1122,1122
1553148520,1116,1116
1553150416,1130,1130
1553152345,1126,1126
1553154276,1119,1119
1553156196,1120,1120
1553158104,1099,1099
1553160094,1107,1107
1553162002,1108,1108
1553163865,1099,1099
1553165793,1103,1103
1553167708,1115,1115
1553169769,1111,1111
1553171782,1096,1096
1553173717,1073,1073
1553175632,1072,1072
1553177551,1080,1080
1553179466,1067,1067
1553181391,1053,1053
1553183323,1032,1032
1553185216,1027,1027
1553187165,1028,1028
1553189058,1008,1008
1553190973,1002,1002
1553193569,993,993
1553195556,979,979
1553197468,984,984
1553199401,1015,1015
1553201299,1025,1025
1553203225,1035,1035
1553205161,1026,1026
1553207064,1039,1039
1553209004,1039,1039
1553210914,1032,1032
1553213018,1056,1056
1553214999,1068,1068
1553216894,1083,1083
1553218812,1090,1090
1553220748,1081,1081
1553222676,1088,1088
1553224586,1081,1081
1553226493,1084,1084
1553228434,1086,1086
1553230343,1063,1063
1553232258,1079,1079
1553234181,1059,1059
1553236117,1065,1065
1553238108,1075,1075
1553239935,1058,1058
1553241888,1065,1065
1553243788,1064,1064
1553245695,1061,1061
1553247875,1052,1052
1553249775,1041,1041
1553251703,1041,1041
1553253635,1056,1056
1553255534,1067,1067
1553257484,1074,1074
1553259372,1085,1085
1553261332,1090,1090
1553263229,1460,1460
1553265405,1941,1941
1553267306,2446,2446
1553269211,3252,3252
1553271281,3661,3661
1553273319,4051,4051
1553275393,4072,4072
1553277399,4084,4084
1553279297,4091,4091
1553281239,4083,4083
1553283130,4083,4083
1553285088,4074,4074
1553286990,4062,4062
1553288930,4051,4051
1553290812,4057,4057
1553292737,4043,4043
1553294684,4022,4022
1553296573,4033,4033
1553298514,4022,4022
1553300440,4007,4007
1553302348,3978,3978
1553304262,3953,3953
1553306208,3941,3941
1553308091,3955,3955
1553310103,3962,3962
1553311935,3968,3968
1553313898,3956,3956
1553315777,3949,3949
1553317730,3926,3926
1553319613,3920,3920
1553321536,3923,3923
1553323507,3912,3912
1553325408,3930,3930
1553327324,3942,3942
1553329222,3937,3937
1553331133,3940,3940
1553333084,3939,3939
1553334984,3945,3945
1553336915,3954,3954
1553338921,3946,3946
1553340767,3957,3957
1553342710,3953,3953
1553344596,3947,3947
1553346510,3949,3949
1553348433,3942,3942
1553350337,3413,3413
1553352263,3009,3009
1553354199,2384,2384
1553356107,1679,1679
1553358020,1309,1309
1553359957,1018,1018
1553361865,1018,1018
1553363772,1020,1020
1553365713,1039,1039
1553367774,1045,1045
1553369779,1066,1066
1553371715,1072,1072
