DateTime,AddedIPs,RemovedIPs
1542606763,7,5
1542628867,3,2
1542650912,2,8
1542673302,1,6
1542695300,0,16
1542717160,9,14
1542739537,11,9
1542761537,11,10
1542783692,14,6
1542805950,12,13
1542828032,6,3
1542849881,0,21
1542872172,0,9
1542894020,2,8
1542916100,4,5
1542938198,1,4
1542960089,3,2
1542982136,2,0
1543004434,2,3
1543026520,2,1
1543048596,4,6
1543070682,0,3
1543092745,5,9
1543125881,6,10
1543148194,7,5
1543170275,7,4
1543192344,7,14
1543214448,1,7
1543236510,3,3
1543258617,2,1
1543280687,11,1
1543303009,11,0
1543325062,11,10
1543347406,15,14
1543369468,15,12
1543391323,14,10
1543413164,25,12
1543435475,32,6
1543457545,28,2
1543479392,27,1
1543501468,16,3
1543523697,22,4
1543545641,23,1
1543567956,9,3
1543590290,13,2
1543612367,14,3
1543634674,10,5
1543656769,8,2
1543679063,6,4
1543701158,3,2
1543723285,7,1
1543745328,6,3
1543767400,10,5
1543789464,16,3
1543811305,8,2
1543833404,5,2
1543855454,6,0
1543877320,6,5
1543899730,5,8
1543921970,6,11
1543944267,4,14
1543966376,6,14
1543988447,7,18
1544010766,11,15
1544033081,7,36
1544054922,18,19
1544077244,18,27
1544099336,13,16
1544121403,8,23
1544143472,18,23
1544165799,7,8
1544187711,8,15
1544209715,13,11
1544231571,20,16
1544253876,15,6
1544275952,14,7
1544298016,14,4
1544319885,23,3
1544341953,15,2
1544364108,11,8
1544386121,8,9
1544408196,9,13
1544430516,8,8
1544452851,4,8
1544474916,15,6
1544496766,9,5
1544518924,9,4
1544541164,0,5
1544563226,4,1
1544585078,8,3
1544607415,7,4
1544629477,5,4
1544651555,7,9
1544673941,8,13
1544695935,4,7
1544718052,5,4
1544740361,6,5
1544762349,7,4
1544784516,7,4
1544806365,5,7
1544828688,5,10
1544850764,6,8
1544872809,9,6
1544894655,4,10
1544916749,8,12
1544938602,7,12
1544960443,1,12
1544982512,7,11
1545004375,7,11
1545026528,4,19
1545048505,5,11
1545070356,8,14
1545092201,4,14
1545114045,4,9
1545136119,6,7
1545158419,10,2
1545180280,11,7
1545202363,7,7
1545224501,6,5
1545246512,2,3
1545268367,8,9
1545290678,2,6
1545312779,9,8
1545334823,6,3
1545356920,3,8
1545379321,4,6
1545401297,5,12
1545423413,5,5
1545445486,7,8
1545467806,8,9
1545489883,2,3
1545511963,5,8
1545534103,10,8
1545556119,11,6
1545577961,11,8
1545600023,11,3
1545622110,8,5
1545643958,5,8
1545666279,9,3
1545688370,1,9
1545710722,3,4
1545732761,7,11
1545754840,5,10
1545776681,5,9
1545798521,4,11
1545820820,4,10
1545843169,5,12
1545865235,0,12
1545887317,4,9
1545909377,4,8
1545931232,5,6
1545953090,7,8
1545975148,6,10
1545997228,5,3
1546019296,3,2
1546041142,10,7
1546063230,14,6
1546085322,5,6
1546107401,6,4
1546129262,13,15
1546151563,13,17
1546173649,10,8
1546195695,10,15
1546217569,8,11
1546239677,4,12
1546261963,6,9
1546284044,10,4
1546306095,7,3
1546327939,9,8
1546349788,6,7
1546371874,7,3
1546393934,12,3
1546415824,11,5
1546437890,13,5
1546459940,9,1
1546482025,15,1
1546504127,9,6
1546526202,14,5
1546548268,10,5
1546570334,0,5
1546592489,2,7
1546614785,2,2
1546637094,2,1
1546659152,2,4
1546681003,0,6
1546703084,1,8
1546725160,0,4
1546747296,5,12
1546769328,1,11
1546791227,3,14
1546813288,8,7
1546835574,8,4
1546857860,7,5
1546879939,10,7
1546913064,17,14
1546934925,12,4
1546957003,6,5
1546979070,8,2
1547001156,9,10
1547023210,6,12
1547045054,2,12
1547067184,4,12
1547100303,7,21
1547122353,5,13
1547144194,2,22
1547166043,7,4
1547187887,4,4
1547210209,6,5
1547232522,4,3
1547254593,9,0
1547276446,8,0
1547298766,4,1
1547320852,1,1
1547342919,9,3
1547364765,8,5
1547386812,9,3
1547408679,9,3
1547430781,9,4
1547452648,7,5
1547474656,3,5
1547496767,8,20
1547518822,10,13
1547540675,3,7
1547562522,7,7
1547584612,8,9
1547606666,7,13
1547628808,19,8
1547651077,8,6
1547672923,8,3
1547694983,3,5
1547716843,7,6
1547738899,6,2
1547760745,2,4
1547782601,2,3
1547804689,2,8
1547826758,7,4
1547848877,6,6
1547870720,2,10
1547892774,2,2
1547914665,7,1
1547936673,5,5
1547958760,5,7
1547980816,8,7
1548002677,11,10
1548024803,4,5
1548046893,12,7
1548069172,5,1
1548091242,10,5
1548113298,5,6
1548135153,8,5
