DateTime,AddedIPs,RemovedIPs
1552652428,1,2
1552660237,1,2
1552662110,2,0
1552665887,1,1
1552667781,2,0
1552669744,1,0
1552671614,1,0
1552673534,1,0
1552675480,1,0
1552679293,2,0
1552681240,1,0
1552683132,3,1
1552685053,1,0
1552687015,0,1
1552690057,2,0
1552695866,1,0
1552697780,3,0
1552699715,0,1
1552701741,1,0
1552705499,1,0
1552709549,2,0
1552711473,1,0
1552713379,1,0
1552717238,1,0
1552719136,2,0
1552721066,1,2
1552724913,1,0
1552726923,3,0
1552728759,2,0
1552734793,3,0
1552736694,196,0
1552738600,545,0
1552740500,482,0
1552742660,4,0
1552744575,1,0
1552746521,0,1
1552748517,2,1
1552750368,1,0
1552752305,3,1
1552754176,5,2
1552756133,7,1
1552758017,2,1
1552759939,6,1
1552761886,7,1
1552763781,13,0
1552765699,11,2
1552767644,10,1
1552769538,5,3
1552771460,13,1
1552773419,13,0
1552775305,20,1
1552777329,19,0
1552779224,18,0
1552781189,8,1
1552782991,21,0
1552784923,24,3
1552786820,21,0
1552788756,24,0
1552790694,23,0
1552792583,31,1
1552794505,29,1
1552796448,24,0
1552798386,31,1
1552800271,35,1
1552802202,30,0
1552804101,33,1
1552806215,28,1
1552808182,32,1
1552810096,44,0
1552812032,36,0
1552813942,47,2
1552815853,35,1
1552817791,45,0
1552819728,48,1
1552821621,36,1
1552823531,47,304
1552825469,44,581
1552827376,42,327
1552829292,37,2
1552831379,46,2
1552833387,34,2
1552835314,52,2
1552837211,37,1
1552839138,40,4
1552841074,46,7
1552842971,32,6
1552844902,42,5
1552846828,41,2
1552848732,30,10
1552850663,47,11
1552852589,40,14
1552854490,30,8
1552856511,48,8
1552858358,46,11
1552860181,40,15
1552862191,49,23
1552864110,37,19
1552866349,37,16
1552868211,40,12
1552870102,35,24
1552872027,35,22
1552873959,31,21
1552875866,31,21
1552877796,40,28
1552879699,40,28
1552881805,38,31
1552883786,36,28
1552885711,24,32
1552887614,31,33
1552889544,26,33
1552891473,35,29
1552893371,30,23
1552895302,25,37
1552897232,39,44
1552899131,15,36
1552901063,31,48
1552902994,18,29
1552904905,30,56
1552907784,52,57
1552909697,24,47
1552911647,24,44
1552913535,23,40
1552915513,41,38
1552917373,26,41
1552919293,32,35
1552921282,26,51
1552923135,21,38
1552925102,26,37
1552927018,19,42
1552928934,167,37
1552930842,1937,27
1552932738,2040,40
1552934689,2484,22
1552936578,2264,21
1552938506,791,20
1552940433,8,19
1552942587,12,21
1552944510,9,24
1552946594,13,19
1552948570,10,19
1552950525,9,19
1552952414,6,12
1552954370,10,26
1552956284,15,17
1552958178,14,13
1552960097,10,18
1552962045,5,16
1552963935,14,21
1552965858,7,21
1552967782,8,20
1552969718,8,18
1552971698,6,12
1552973571,10,16
1552975502,7,15
1552977636,7,20
1552979553,6,19
1552981456,9,12
1552983405,4,20
1552985296,6,6
1552987234,7,9
1552989143,7,6
1552991057,7,17
1552992994,8,26
1552994904,10,8
1552996878,5,8
1552998771,11,16
1553000681,8,15
1553002959,9,20
1553004977,10,11
1553006903,5,20
1553008841,5,11
1553010754,10,9
1553012684,8,9
1553014571,10,14
1553016503,9,1140
1553018491,11,2597
1553020344,11,2136
1553022295,7,2518
1553024197,10,1700
1553026113,7,16
1553028014,9,19
1553029942,16,17
1553031875,6,17
1553033781,10,22
1553035717,6,16
1553037637,10,13
1553039553,8,15
1553041367,5,22
1553043373,10,22
1553045315,8,18
1553047324,5,17
1553049135,8,17
1553051086,10,20
1553052983,7,15
1553054898,3,21
1553056813,12,14
1553058745,8,12
1553060654,8,16
1553062596,14,16
1553064504,12,13
1553066412,8,11
1553068351,12,19
1553070265,14,14
1553072172,9,7
1553074126,8,15
1553076107,7,12
1553077936,8,10
1553079922,11,19
1553081793,5,14
1553083737,6,13
1553085617,11,14
1553087545,7,16
1553089465,8,13
1553091409,12,12
1553093301,12,10
1553095220,5,14
1553097152,10,17
1553099087,3,10
1553101003,4,16
1553102924,3,13
1553104900,7,14
1553106772,6,16
1553109644,11,12
1553111557,4,12
1553113462,4,9
1553115921,9,19
1553117807,10,6
1553119721,6,8
1553121623,3,8
1553123541,3,9
1553125491,3,7
1553127399,4,6
1553129313,2,11
1553131238,6,7
1553133151,5,5
1553135073,6,7
1553137002,7,9
1553138900,10,7
1553141003,8,6
1553142980,5,12
1553144923,3,10
1553146809,8,4
1553148742,5,15
1553150675,3,15
1553152568,2,7
1553154498,7,13
1553156407,7,12
1553158381,3,11
1553160316,10,9
1553162248,8,7
1553164093,6,6
1553166974,7,15
1553168898,3,5
1553170841,8,10
1553172751,3,9
1553174665,2,7
1553176572,7,10
1553178511,8,12
1553180496,5,10
1553182343,2,6
1553184295,2,7
1553186180,4,4
1553188102,0,3
1553190044,0,4
