DateTime,AddedIPs,RemovedIPs
1552673535,0,3
1552675482,1,2
1552677384,5,0
1552679295,3,0
1552681241,5,2
1552683133,2,2
1552685069,0,2
1552687016,2,3
1552690058,2,2
1552692025,2,0
1552693935,2,1
1552695868,4,0
1552697782,3,0
1552699718,4,3
1552701802,2,3
1552703771,0,3
1552705697,2,1
1552707659,2,2
1552709551,3,1
1552711476,1,1
1552713382,2,0
1552715309,0,2
1552717240,1,1
1552719138,1,0
1552721068,2,0
1552722979,1,0
1552724915,0,1
1552726977,3,0
1552728980,1,1
1552730912,0,1
1552732813,2,4
1552734794,0,2
1552736696,1,0
1552738602,27,2
1552740501,4,4
1552742662,2,1
1552744578,0,2
1552746522,3,1
1552750369,1,2
1552752307,1,1
1552756134,0,2
1552758019,1,2
1552759941,5,1
1552761888,0,1
1552763783,1,4
1552765700,2,1
1552767645,0,3
1552769540,1,1
1552773420,2,1
1552775307,1,1
1552777394,5,1
1552779225,0,3
1552781192,1,3
1552782993,2,2
1552784926,6,4
1552786828,0,3
1552788757,1,3
1552790695,3,0
1552792592,1,2
1552794507,0,2
1552796449,1,1
1552798388,4,1
1552800273,2,2
1552802205,1,0
1552804118,2,2
1552806216,4,2
1552808185,0,1
1552810099,2,0
1552812034,3,1
1552813945,5,3
1552815855,2,1
1552817793,3,0
1552819730,2,1
1552821623,938,1
1552823533,212,1
1552825471,0,29
1552827378,2,2
1552829294,1,2
1552831416,3,0
1552833389,1,2
1552835316,1,0
1552837215,0,1
1552839140,2,1
1552842973,2,1
1552844904,2,2
1552846830,1,2
1552848734,3,0
1552850666,7,3
1552852592,1,0
1552854492,1,1
1552856534,2,1
1552858360,1,1
1552860196,3,1
1552862193,1,0
1552864112,0,2
1552866351,3,2
1552870104,1,3
1552872029,1,5
1552873976,0,1
1552875868,2,1
1552877799,0,2
1552879700,1,0
1552881896,1,0
1552883789,1,2
1552885714,0,2
1552887616,2,5
1552889546,1,1
1552891475,0,3
1552893373,2,2
1552895304,2,1
1552897234,4,2
1552899134,0,3
1552901066,0,3
1552902997,1,4
1552904906,1,3
1552907786,4,682
1552909698,3,476
1552911655,3,0
1552913537,0,1
