DateTime,AddedIPs,RemovedIPs
1552709551,8,11
1552711476,14,6
1552713383,6,8
1552715309,11,5
1552717240,7,12
1552719139,15,10
1552721068,6,10
1552722980,10,18
1552724917,10,11
1552726984,8,7
1552728980,14,9
1552730912,8,10
1552732814,14,11
1552734795,8,6
1552736696,13,22
1552738602,6,9
1552740501,7,7
1552742663,14,17
1552744578,8,5
1552746522,7,8
1552748569,10,4
1552750370,11,13
1552752308,7,11
1552754178,8,6
1552756135,8,13
1552758019,7,11
1552759942,30,8
1552761890,106,9
1552763784,50,10
1552765701,76,9
1552767645,58,8
1552769540,59,7
1552771462,17,8
1552773421,14,11
1552775307,11,11
1552777412,4,9
1552779226,3,8
1552781192,9,7
1552782994,10,14
1552784926,11,19
1552786828,7,11
1552788758,8,4
1552790696,8,12
1552792593,10,9
1552794507,5,9
1552796449,13,8
1552798389,4,12
1552800273,7,12
1552802206,2,4
1552804118,3,9
1552806217,10,15
1552808185,4,6
1552810099,10,9
1552812036,13,14
1552813946,15,12
1552815856,9,15
1552817794,3,10
1552819730,3,14
1552821624,7,11
1552823534,5,8
1552825472,7,7
1552827379,11,5
1552829295,6,12
1552831431,8,10
1552833389,5,11
1552835317,8,10
1552837215,11,16
1552839141,7,10
1552841077,9,8
1552842974,11,12
1552844905,20,8
1552846832,11,36
1552848735,19,49
1552850668,10,37
1552852592,9,55
1552854493,18,51
1552856546,13,56
1552858361,7,47
1552860197,15,37
1552862193,7,42
1552864113,10,10
1552866352,8,4
1552868214,11,14
1552870105,12,17
1552872029,12,10
1552873977,8,11
1552875868,1,6
1552877800,9,10
1552879701,9,9
1552881920,7,10
1552883791,8,6
1552885716,10,5
1552887617,4,7
1552889547,6,2
1552891475,5,9
1552893374,5,6
1552895305,8,9
1552897235,2,9
1552899135,11,12
1552901068,7,13
1552902999,5,8
1552904907,12,1
1552907786,14,13
1552909699,11,4
1552911656,18,8
1552913538,16,10
1552915516,9,6
1552917377,6,7
1552919295,8,6
1552921309,7,7
1552923138,14,9
1552925108,14,5
1552927021,12,10
1552928936,9,10
1552930857,6,11
1552932740,6,11
1552934719,18,20
1552936581,17,14
1552938508,25,6
1552940435,14,14
1552942590,17,16
1552944513,20,7
1552946596,16,15
1552948572,16,5
1552950527,21,11
1552952417,24,8
1552954372,24,13
1552956286,17,14
1552958180,15,12
1552960099,23,10
1552962047,10,4
1552963938,17,10
1552965860,16,12
1552967785,17,4
1552969721,29,11
1552971721,21,13
1552973573,10,6
1552975504,15,3
1552977638,22,5
1552979555,22,4
1552981459,23,9
1552983407,15,3
1552985298,21,9
1552987235,9,9
1552989145,16,6
1552991059,23,9
1552992997,18,4
1552994907,14,12
1552996918,21,14
1552998772,9,11
1553000697,19,14
1553002963,20,10
1553004979,13,7
1553006905,23,8
1553008843,15,14
1553010756,14,13
1553012685,15,12
1553014573,13,12
1553016505,15,7
1553018524,11,3
1553020346,263,14
1553022297,16,18
1553024199,14,18
1553026115,11,13
1553028016,17,15
1553029944,21,22
1553031877,10,13
1553033784,12,15
1553035718,13,18
1553037641,18,19
1553039554,12,21
1553041369,12,14
1553043374,10,20
1553045316,13,17
1553047360,15,14
1553049384,9,11
1553051292,13,17
1553053231,11,11
1553055146,13,21
1553057073,16,20
1553058997,10,15
1553060902,13,9
1553062813,14,19
1553064754,15,20
1553066668,22,24
1553068573,27,14
1553070517,21,19
1553072460,15,23
1553074332,16,15
1553076291,26,12
1553078169,23,18
1553080341,132,11
1553082257,33,18
1553084183,30,11
1553086100,29,15
1553088019,24,13
1553089954,33,14
1553091860,5,21
1553093787,12,14
1553095718,9,18
1553097667,17,12
1553099553,23,9
1553101490,25,13
