DateTime,AddedIPs,RemovedIPs
1549794749,1,0
1549800780,1,0
1549814201,0,1
1549818119,0,1
1549823782,0,1
1549825716,0,1
1549827659,1,0
1549831472,0,1
1549839153,0,1
1549844904,0,2
1549846916,0,1
1549852599,0,1
1549854788,0,1
1549858851,1,0
1549860764,0,1
1549862695,0,1
1549864580,0,2
1549870583,0,1
1549872511,0,1
1549878265,0,1
1549880213,0,1
1549882105,0,1
1549886523,3,0
1549888352,1,1
1549899888,1,0
1549901790,1,0
1549903723,2,0
1549911388,1,0
1549913567,0,1
1549915737,2,0
1549917635,2,0
1549919566,1,0
1549921471,1,0
1549927294,2,0
1549929152,2,0
1549931069,2,0
1549933013,1,0
1549936935,1,0
1549944764,0,1
1549946689,1,0
1549950770,1,0
1549952680,1,0
1549958700,1,0
1549966375,1,0
1549968270,1,0
1549972132,1,0
1549974056,0,4
1549975975,1,0
1549977869,1,0
1549979818,1,0
1549986811,0,2
1549990919,0,2
1549996606,0,1
1549998551,1,0
1550002352,1,2
1550004284,0,2
1550006194,0,1
1550008113,0,1
1550010021,2,0
1550013872,0,2
1550015805,0,4
1550017702,1,0
1550019722,0,1
1550023491,0,1
1550025404,1,0
1550033061,0,1
1550036910,1,1
1550040786,0,1
1550044614,0,1
1550052302,0,1
1550056364,0,1
1550058254,0,1
1550062100,1,1
1550064055,0,1
1550067901,0,1
1550079395,1,0
1550083220,0,1
1550085139,1,0
1550088985,0,1
1550090892,1,0
1550096658,0,2
1550104360,0,1
1550110121,0,1
1550113948,1,0
1550123798,0,1
1550146848,0,1
1550164343,0,1
1550172046,0,1
1550175865,1,1
1550201336,0,1
1550218580,1,0
1550239704,1,0
1550263007,0,1
1550268746,1,0
1550274748,1,0
1550305471,0,1
1550319393,1,0
1550327058,0,1
1550330928,1,0
1550343884,1,0
1550355618,0,1
1550360453,0,1
1550364294,1,0
1550406524,0,1
1550418024,0,1
1550425838,1,0
1550429576,0,1
1550441108,1,0
1550445158,1,0
1550449264,0,1
1550451163,1,0
1550453076,1,0
1550455013,2,0
1550460781,1,0
1550470359,1,0
1550499156,1,0
1550502989,1,0
1550512349,0,1
1550522431,1,0
1550526280,1,1
1550532031,0,1
1550537801,0,1
1550539711,0,1
1550541723,0,2
1550547397,0,1
1550557246,0,1
1550578371,1,0
1550580283,2,0
1550582214,2,0
1550584115,0,1
1550587980,1,0
1550589875,0,1
1550591788,2,0
1550597544,2,0
1550603570,1,0
1550607388,0,1
1550609544,1,0
1550611463,1,0
1550613411,0,1
1550617473,1,0
1550627059,1,0
1550642521,1,0
1550664103,1,1
1550667898,1,4
1550671987,2,0
1550675796,1,1
1550677726,0,2
1550682188,1,0
1550684216,0,2
1550689944,1,1
1550691864,1,0
1550695706,0,1
1550697625,0,1
1550699560,1,0
1550701484,1,0
1550703389,0,1
1550709400,1,0
1550711571,1,0
1550713453,0,1
1550723084,3,0
1550729106,0,1
1550734837,1,0
1550744671,1,0
1550746580,1,0
1550750698,0,1
1550754746,0,1
1550756657,0,1
1550758609,2,1
1550762656,0,1
1550768478,0,1
1550772284,5,0
1550776115,0,1
1550778046,1,1
1550785715,0,1
1550787626,0,1
1550789534,1,0
1550794368,0,1
1550798184,0,1
1550809949,0,3
1550819584,0,1
1550831312,0,1
1550833352,0,1
1550843060,1,0
1550845000,0,2
1550858532,0,5
1550864181,0,1
1550875703,0,1
1550887348,1,0
1550929937,0,1
1550937744,2,0
1550972657,0,1
1551021613,0,2
1551036264,1,0
1551042079,1,0
1551050481,1,0
1551115391,1,0
1551123146,0,1
1551125080,1,0
1551126984,0,1
1551133011,1,0
1551134919,5,1
1551138752,1,0
1551140674,3,0
1551146586,1,0
1551201160,0,1
1551206908,1,0
1551211512,0,1
1551219187,0,1
1551222087,0,5
1551225887,0,3
1551227796,0,1
1551231617,0,1
1551246973,1,0
1551294169,0,1
1551317575,1,0
1551332898,1,1
1551338664,1,0
1551361955,1,0
1551402986,0,1
1551420504,0,1
1551426264,0,1
1551446178,0,1
1551521575,1,0
1551531142,1,0
1551574588,1,0
1551594519,1,0
1551608210,0,1
1551618152,0,1
1551627628,1,0
1551648988,6,0
1551651165,1,0
1551660996,3,1
1551678277,1,0
1551680174,0,1
1551713304,0,1
1551719304,1,0
1551721293,1,0
1551734675,0,6
1551736596,0,1
1551746415,0,3
1551763693,0,1
1551805294,0,1
1551817352,1,1
1551901217,0,1
1551933641,1,0
1551970092,1,0
1552020275,0,1
1552026017,2,0
1552051216,1,0
1552055069,0,1
1552112678,0,2
1552130937,2,0
1552138593,0,1
1552165494,1,0
1552218732,0,2
1552234167,1,0
1552237933,1,0
1552241808,2,0
1552245638,1,0
1552247575,4,0
1552251384,4,1
1552255290,2,0
1552280197,1,0
1552319788,1,1
1552325771,0,1
1552327701,0,2
1552333464,0,5
1552337302,0,2
1552339226,0,2
1552341179,0,2
1552367611,0,1
1552404036,0,1
1552406950,1,0
1552464528,1,0
1552493797,0,1
1552495738,1,0
1552499548,1,0
1552503407,2,0
1552505321,2,0
1552517114,1,0
1552519006,1,0
1552522851,1,0
1552524739,1,0
1552532692,1,0
1552540384,1,0
1552544217,1,0
1552546114,1,0
1552549971,0,1
1552571307,1,0
1552582975,0,1
1552586704,0,1
1552588586,1,0
1552590543,0,2
1552592467,2,2
1552602025,1,0
1552603971,2,1
1552605887,0,1
1552607815,1,0
1552609737,0,2
1552611805,1,0
1552617620,1,0
1552619538,1,1
1552625298,1,0
1552627243,0,1
1552631060,1,2
1552642577,1,0
1552644528,1,0
1552646415,1,0
1552648585,1,0
1552652431,2,0
1552656264,1,0
1552658201,0,1
1552660240,2,0
1552664302,1,0
1552666152,1,0
1552670189,1,0
1552672095,1,0
1552674047,2,1
1552677871,2,1
1552679801,0,1
1552681695,2,0
1552683684,3,0
1552685566,1,0
1552690059,3,2
1552692026,0,1
1552693936,1,1
1552695869,1,0
1552697783,3,1
1552701808,2,0
1552703772,1,0
1552705698,0,2
1552707660,1,0
1552709552,4,0
1552711477,0,1
1552715309,1,0
1552717241,0,1
1552719139,1,0
