DateTime,AddedIPs,RemovedIPs
1552707660,70,53
1552709552,82,46
1552711478,87,55
1552713390,69,43
1552715310,91,52
1552717241,44,50
1552719140,53,61
1552721069,86,59
1552722981,199,89
1552724918,47,65
1552726993,66,82
1552728981,93,86
1552730913,71,62
1552732815,118,53
1552734796,100,135
1552736697,207,49
1552738603,488,62
1552740503,497,105
1552742664,66,87
1552744579,70,125
1552746523,65,67
1552748583,81,58
1552750578,73,89
1552752560,60,85
1552754423,69,57
1552756584,59,58
1552758504,54,48
1552760447,38,53
1552762336,41,66
1552764259,57,62
1552766202,67,66
1552768096,61,54
1552770976,78,95
1552772893,51,62
1552774844,66,52
1552776734,79,59
1552779227,111,75
1552781194,70,72
1552782995,93,53
1552784949,110,67
1552786829,73,56
1552788759,83,50
1552790697,79,52
1552792600,89,48
1552794508,63,62
1552796450,62,88
1552798390,65,87
1552800274,84,55
1552802213,81,77
1552804120,104,49
1552806218,99,62
1552808186,109,121
1552810101,94,125
1552812037,87,39
1552813947,88,64
1552815857,82,90
1552817795,84,52
1552819732,77,111
1552821631,1174,75
1552823535,3758,284
1552825473,2241,479
1552827387,1146,358
1552829302,76,56
1552831476,91,74
1552833391,72,67
1552835318,88,75
1552837216,83,62
1552839149,80,60
1552841085,70,72
1552842982,69,52
1552844906,78,47
1552846833,69,37
1552848736,67,35
1552850676,74,56
1552852594,85,52
1552854494,79,59
1552856559,103,52
1552858362,85,46
1552860200,94,63
1552862194,106,65
1552864114,70,77
1552866353,80,82
1552868215,82,70
1552870106,71,84
1552872030,115,102
1552873978,69,65
1552875870,62,81
1552877802,84,79
1552879702,101,70
1552881931,143,63
1552883798,79,63
1552885724,77,70
1552887618,67,60
1552889548,65,108
1552891477,99,102
1552893375,71,56
1552895306,67,128
1552897236,63,90
1552899136,76,81
1552901076,154,79
1552903008,162,72
1552904908,165,81
1552907787,259,682
1552909700,156,3563
1552911657,150,2480
1552913539,155,1707
1552915517,157,79
1552917378,391,73
1552919296,757,70
1552921326,65,92
1552923139,53,80
1552925122,65,87
1552927022,66,88
1552928938,243,73
1552930858,1958,62
1552932741,1978,66
1552934720,2487,54
1552936582,2194,53
1552938510,773,54
1552940436,46,64
1552942597,65,81
1552944515,101,75
1552946597,93,76
1552948573,82,76
1552950528,105,70
1552952424,61,52
1552954373,75,60
1552956287,81,67
1552958187,66,105
1552960100,53,59
1552962055,45,49
1552963939,55,65
1552965862,27,98
1552967786,65,114
1552969722,51,86
1552971729,61,69
1552973574,54,47
1552975506,50,57
1552977639,46,90
1552979557,49,81
1552981460,57,48
1552983408,110,50
1552985299,66,50
1552987237,40,139
1552989147,73,153
1552991060,51,161
1552993005,55,188
1552994908,49,138
1552996944,66,153
1552998774,52,146
1553000700,43,122
1553002971,49,169
1553004980,51,902
1553006906,32,182
1553008844,44,57
1553010757,60,44
1553012687,67,50
1553014574,59,72
1553016506,60,1157
1553018561,69,2537
1553020577,82,2396
1553022497,117,2415
1553024411,89,1397
1553026351,99,74
1553028271,78,71
1553030179,69,85
1553032101,61,140
1553034032,70,86
1553035933,63,139
1553037866,63,80
1553039793,56,95
1553041704,56,94
1553043708,49,108
1553045555,57,62
1553047379,48,58
1553049385,191,84
1553051293,58,62
1553053238,57,60
1553055147,47,65
1553057074,57,75
1553059005,54,62
1553060903,55,64
