DateTime,AddedIPs,RemovedIPs
1539512218,6,95
1539514124,2,125
1539516057,5,122
1539517969,3,70
1539519899,4,72
1539521801,4,77
1539523716,4,45
1539525698,5,71
1539527573,2,26
1539529526,6,49
1539531407,1,6
1539533352,7,84
1539535248,1,6
1539537150,7,62
1539539093,1,15
1539541019,6,43
1539542923,2,22
1539544840,5,41
1539546764,4,11
1539548681,4,9
1539550600,5,10
1539552518,3,8
1539554530,4,11
1539556425,2,5
1539558790,7,17
1539560692,2,6
1539562611,14,12
1539564527,3,8
1539566442,7,10
1539568394,3,2
1539570402,4,7
1539572217,6,5
1539574118,6,5
1539576100,6,7
1539577967,4,4
1539579896,5,6
1539581785,6,1
1539583731,7,6
1539585647,4,1
1539587552,11,5
1539589484,5,2
1539591557,7,6
1539593569,6,3
1539595474,5,4
1539597391,5,5
1539599313,5,3
1539601302,7,5
1539603158,4,2
1539605131,10,4
1539606995,4,2
1539608934,8,6
1539610823,3,0
1539612769,8,6
1539614667,5,2
1539616843,6,6
1539618759,5,3
1539620675,5,4
1539622621,5,4
1539624522,5,4
1539626484,6,5
1539628603,16,2
1539630530,7,7
1539632441,0,1
1539634350,0,8
1539636303,0,2
1539638185,0,6
1539640115,0,2
1539642268,0,4
1539644215,0,5
1539646105,0,4
1539648032,0,8
1539649964,0,4
1539651874,0,9
1539653799,0,3
1539655715,0,8
1539657625,0,3
1539659572,0,9
1539661478,0,6
1539663405,0,6
1539665305,0,4
1539667228,0,6
1539669147,0,6
1539671093,0,7
1539672989,0,8
1539674908,0,6
1539676897,0,6
1539678880,0,4
1539680683,0,7
1539682578,0,3
1539684534,0,9
1539686415,0,3
1539688368,0,8
1539690266,0,6
1539692227,0,7
1539694124,0,6
1539696040,0,7
1539697955,0,5
1539699884,0,7
1539702095,0,6
1539703969,0,5
1539706063,0,7
1539708283,0,5
1539710194,0,8
1539712355,0,10
1539714269,0,5
1539745508,1,22
1539813396,1,0
1539833087,0,1
1539847005,1,0
1539901001,0,1
1539931729,0,1
1539964624,1,0
1540005176,1,0
1540045961,1,0
1540051769,0,1
1540082455,1,0
1540092051,0,1
1540133067,0,1
1540168123,0,1
1540186822,1,0
1540196429,1,0
1540241298,1,0
1540272262,1,0
1540274181,0,1
1540284034,1,0
1540328904,0,1
1540330823,0,1
1540364691,0,1
1540368769,0,1
1540410755,1,0
1540440069,1,0
1540463335,1,0
1540497149,0,1
1540508935,1,0
1540526482,0,1
1540549952,0,1
1540593865,0,1
1540637097,1,0
1540660605,1,0
1540678595,1,0
1540741014,0,1
1540746778,0,1
1540762369,0,1
1540868173,1,0
1540884268,1,0
1540888355,1,0
1540916016,1,0
1540945960,1,0
1540956044,1,0
1540959883,1,0
1540967818,0,1
1540969712,0,1
1540973560,0,1
1541002615,0,1
1541016773,1,0
1541032350,0,1
1541041969,0,1
1541045834,0,1
1541049862,1,0
1541103158,0,1
1541133148,0,1
1541274312,1,0
1541285936,1,0
1541326822,1,0
1541344109,1,0
1541361260,0,1
1541373162,0,1
1541418532,0,1
1541430261,0,1
1541468682,1,0
1541474415,1,0
1541541396,2,0
1541555548,0,1
1541559398,0,1
1541578824,1,0
1541627550,0,1
1541629480,0,1
1541662107,0,1
1541737943,1,0
1541810451,1,0
1541824829,0,1
1541861779,1,0
1541875465,1,0
1541897335,0,1
1541922525,1,0
1541955862,0,1
1541961641,0,1
1541975298,1,0
1542008428,0,1
1542058843,0,1
1542079452,1,0
1542100826,1,0
1542139968,1,0
1542167304,0,1
1542187003,0,1
1542224344,0,1
1542242661,1,0
1542246497,1,0
1542328837,0,1
1542330776,0,1
1542334593,1,0
1542420113,0,1
1542479556,1,0
1542485292,1,0
1542493493,1,0
1542495400,1,0
1542505236,1,0
1542567698,0,1
1542579394,0,1
1542583219,0,1
1542585166,0,1
1542612030,1,0
1542625472,0,1
1542695303,0,1
1542840503,1,0
