DateTime,AddedIPs,RemovedIPs
1539689795,2,1
1539733964,2,1
1539778365,0,2
1539800680,2,1
1539822734,1,1
1539844809,0,1
1539910587,1,2
1539932681,0,1
1539976832,1,1
1539998902,2,1
1540020990,2,0
1540043063,1,1
1540087295,1,1
1540109326,2,3
1540131173,2,1
1540153220,1,1
1540196915,1,1
1540218985,0,1
1540240836,0,1
1540263163,1,2
1540285025,0,1
1540307074,1,1
1540351483,1,1
1540373567,1,0
1540395544,2,0
1540417485,4,2
1540439541,2,0
1540461416,1,0
1540505332,0,2
1540527390,1,1
1540571789,2,2
1540593639,0,1
1540615488,0,1
1540659666,0,1
1540681519,1,1
1540703572,2,2
1540725623,2,269
1540747967,269,1
1540770038,1,2
1540791887,0,2
1540813834,1,0
1540880441,3,0
1540902284,2,1
1540924139,2,1
1540946183,1,1
1540968286,2,0
1540990594,3,0
1541012493,2,1
1541034748,1,1
1541056848,0,1
1541079150,1,0
1541101222,1,1
1541123070,0,2
1541166778,2,1
1541211133,1,0
1541255297,5,0
1541277148,3,2
1541299220,2,0
1541321075,2,1
1541343163,0,2
1541365004,2,2
1541387087,0,1
1541409173,2,1
1541431471,2,1
1541453564,1,1
1541475408,0,1
1541497249,1,0
1541541397,0,1
1541563309,0,3
1541585315,0,3
1541607649,1,5
1541629946,1,2
1541673913,4,0
1541695957,4,2
1541718095,0,1
1541740371,2,0
1541762657,1,1
1541784518,2,2
1541806583,2,0
1541850516,0,2
1541872601,3,1
1541894520,4,3
1541916768,0,2
1541938645,1,2
1541960679,4,0
1541982829,3,0
1542005055,0,2
1542071568,1,2
1542115487,1,0
1542159619,1,0
1542181706,1,0
1542203554,1,0
1542225647,1,1
1542247489,0,1
1542269553,0,4
1542291639,2,0
1542313937,3,1
1542335785,2,1
1542357774,3,1
1542379942,0,1
1542413325,0,2
1542479567,0,730
1542501609,0,333
1542523463,1,1
1542545558,4,1
1542567705,0,4
1542589959,2,2
1542612032,2,0
1542634103,2,3
1542655959,4,1
1542678046,1059,0
1542722484,0,1
1542744508,1,1
1542788241,0,1
1542810278,1,3
1542832346,1,1
1542854199,2,0
1542876269,2,0
1542898339,2,1
1542920505,0,3
1542942518,0,1
1542986707,1,0
1543008745,1,0
1543030819,1,1
1543074997,0,4
1543118907,2,0
1543140990,3,1
1543163063,0,2
1543184916,2,1
1543207268,1,0
1543229545,1,2
1543251386,0,1
1543273260,0,1
1543361548,2,0
1543405478,5,0
1543427536,1,0
1543450113,3,1
1543472212,1,0
1543494267,0,1
1543538456,1,2
1543560762,0,2
1543583078,2,0
1543605161,3,2
1543627735,1,0
1543650013,1,0
1543671868,1,0
1543693962,3,1
1543716084,1,0
1543738106,0,2
1543760197,0,2
1543782047,2,2
1543826436,0,1
1543848511,0,1
1543870366,0,1
1543892283,0,1
1543914128,3,0
1543936376,1,0
1543958446,1,0
1543980521,0,2
1544002842,1,1
1544024897,1,0
1544046992,0,1
1544079892,0,2
1544102194,0,2
1544124289,3,0
1544146614,1,1
1544168653,1,0
1544190742,2,3
1544212894,1,4
1544234918,1,0
1544257013,0,8
1544279073,0,3
1544323255,0,1
1544345301,3,0
1544389303,2,1
1544433890,1,0
1544478039,2,0
1544500140,1,0
1544522175,1,1
1544544573,3,2
1544566591,1,0
1544633095,2,0
1544677619,1,0
1544722096,2,0
1544744220,0,1
1544766266,1,0
1544788338,1,0
1544810502,1,2
1544832766,2,0
1544855074,0,2
1544876923,1,2
1544898770,2,1
1544920811,1,3
1544965008,0,1073
1544986909,1071,0
1545031009,0,1
1545053079,1,0
1545096969,0,2
1545118859,1,0
1545140931,1,4
1545163279,1,0
1545229458,2,1
1545295942,1,1
1545317798,2,0
1545339903,1,0
1545406110,4,2
1545428200,1,0
1545450257,2,0
1545472105,1,1
1545493955,4,1
1545516287,0,2
1545538132,2,1
1545604363,1,1078
1545626436,2,1
1545648525,0,1
1545670586,1,1
1545692550,1,1
1545714767,1,1
1545736834,0,2
1545758887,803,2
1545780738,278,0
1545802844,0,1
1545825178,1,0
1545847304,0,1
1545869569,2,1
1545891639,0,1
1545913497,0,1
1545935534,0,1
1545957395,1,0
1546001543,0,3
1546045720,0,1
1546067799,0,2
1546111979,0,2
1546134253,0,1
1546156099,0,1
1546200096,0,1
1546222372,1,0
1546266523,1,0
1546288371,1,1
1546310447,0,1
1546332494,1,0
1546354368,1,0
1546376426,2,0
1546420338,0,1
1546464491,1,3
1546486610,1,0
1546552827,1,1
1546574683,1,0
1546619088,0,1
1546641430,0,2
1546663477,1,1
1546729731,1,0
1546752056,2,0
1546774355,1,1
1546796456,1,224
1546818771,224,0
1546840948,2,1
1546862928,1,0
1546884983,2,1
1546907061,3,2
1546928959,2,0
1546950930,3,0
1546972814,1,0
1547016769,1,1
1547105080,1,0
1547149251,5,0
1547171551,0,1
1547193641,1,0
1547237807,2,0
1547259884,2,0
1547303799,1,0
1547325888,2,2
1547347960,2,0
1547370098,3,1
1547392384,1,0
1547414416,2,1
1547436318,1,0
1547458360,2,0
1547480220,1,1
1547502281,2,1
1547524348,0,1
1547557485,2,3
1547579331,3,0
1547601379,0,1
1547623244,0,3
1547645568,3,0
1547667420,1,1
1547711333,3,1
1547733735,3,0
1547755981,2,2
1547778031,1,0
1547800114,0,2
1547843827,0,4
1547866104,0,2
1547887971,1,1
1547910111,1,1
1547932105,0,1
1547953966,4,3
1547976297,0,4
1547998362,1,0
1548020435,2,3
1548042524,0,2
1548064609,1,0
1548086496,0,1
1548108522,0,2
1548152438,1,0
1548174771,0,1
1548262913,0,3
1548284970,1,0
1548307022,1,2
1548329069,1,2
1548351414,0,2
1548373261,1,0
1548417372,1,0
1548439249,1,1
1548461098,1,0
1548482939,0,2
1548505244,0,1
1548527551,0,1
1548549397,1,1
1548593328,2,1
1548615196,5,2
1548637358,0,2
1548659346,3,0
1548681379,0,1
1548703231,1,0
1548747161,0,1
1548813159,1,0
1548857092,2,0
1548901003,2,0
1548923061,0,1
1548944919,2,0
1548966774,0,1
1548988624,0,1
1549010672,2,2
1549032738,1,0
1549054606,1,0
1549076461,1,0
1549098764,3,0
1549120849,2,0
1549142922,0,1118
1549165243,1,0
1549187301,0,1
1549209410,1117,3
1549231273,1,0
1549253567,1,1
1549275646,0,2
1549297867,2,0
1549319802,1,0
1549363725,1,1
1549385792,2,1
1549451803,2,3
1549473677,3,1
1549495703,0,2
1549539614,0,2
1549561454,0,3
1549605374,0,1
1549649318,0,1
1549671174,1,0
1549693223,2,2
1549715317,1,2
1549737161,5,0
1549802923,0,1125
1549824983,1125,2
1549846920,3,1
1549869018,0,1
1549934908,2,0
1549956761,2,0
1549978812,1,1
1550000674,2,1
1550022751,1,0
1550044618,1,1
1550088764,2,1
1550132900,3,1
1550154761,2,0
1550176833,1,0
1550220970,1,1
1550242833,1,0
1550264944,0,1
1550287220,2,1
1550309071,0,1
1550330935,4,2
1550374816,2,0
1550396673,1,0
1550418731,2,0
1550440832,1,2
1550462705,1,0
1550506727,3,0
1550528660,2,1
1550550537,1,1
1550572599,1,1
1550594649,1,1
1550616501,1,1
1550638608,0,1
1550660678,2,0
1550682528,0,1
1550704601,1,1
1550726687,0,1
1550748771,2,0
1550770844,0,1
1550792710,1,2
1550814735,1,0
1550836832,0,1
1550858928,1,1
1550880792,1,0
1550902827,1,2
1550924682,1,3
1550946759,0,3
1550990675,2,1
1551056917,1,2
1551078977,1,4
1551123162,0,1
1551145238,2,1
1551233547,0,1
1551255397,0,2
1551277242,0,2
1551299300,1,0
1551321415,1,0
1551343454,0,2
1551365547,2,1
1551387674,0,1
1551409959,0,4
1551432030,1,0
1551453886,0,1
