DateTime,AddedIPs,RemovedIPs
1552709554,58,32
1552711479,69,28
1552713392,51,29
1552715312,68,28
1552717243,24,25
1552719141,35,38
1552721071,34,35
1552722983,46,78
1552724919,35,54
1552727000,43,72
1552728983,77,67
1552730915,52,44
1552732817,71,42
1552734797,84,117
1552736699,50,31
1552738605,45,45
1552740504,104,107
1552742666,36,75
1552744581,44,116
1552746525,44,50
1552748637,51,34
1552750580,44,59
1552752562,46,75
1552754439,31,40
1552756589,27,41
1552758509,37,39
1552760449,29,32
1552762338,26,32
1552764261,29,43
1552766204,30,41
1552768097,36,31
1552770978,46,56
1552772895,18,39
1552774845,30,44
1552776736,36,40
1552779229,73,53
1552781197,53,33
1552783210,67,40
1552785138,80,34
1552787073,42,42
1552788971,58,26
1552790898,50,37
1552792828,57,23
1552794751,20,48
1552796658,26,73
1552798586,35,66
1552800493,28,41
1552802478,55,59
1552804360,70,33
1552806220,48,40
1552808188,86,33
1552810104,59,46
1552812042,45,32
1552813949,37,57
1552815858,34,82
1552817797,35,34
1552819733,29,99
1552821634,31,66
1552823537,23,56
1552825478,33,48
1552827389,37,104
1552829305,39,29
1552831489,40,51
1552833392,25,49
1552835320,31,53
1552837218,42,45
1552839151,35,44
1552841089,30,39
1552842984,41,25
1552844910,33,36
1552846835,30,26
1552848741,34,26
1552850682,25,37
1552852599,42,31
1552854500,54,33
1552856585,71,41
1552858583,54,18
1552860546,59,33
1552862418,58,31
1552864345,38,50
1552866355,38,53
1552868217,37,61
1552870108,28,47
1552872032,85,84
1552873980,30,37
1552875871,35,55
1552877804,49,52
1552879705,83,44
1552881935,94,25
1552883800,38,33
1552885729,65,28
1552887623,43,29
1552889550,30,74
1552891479,56,84
1552893377,27,31
1552895308,27,107
1552897241,29,46
1552899138,46,54
1552901078,109,29
1552903010,137,41
1552904910,125,25
1552907790,189,51
1552909720,135,21
1552911658,117,36
1552913544,120,39
1552915522,100,34
1552917383,51,25
1552919298,26,26
1552921349,22,26
1552923390,33,44
1552925610,24,37
1552927480,26,31
1552929381,68,32
1552931300,32,35
1552933248,47,28
1552935303,65,34
1552937296,39,26
1552939389,31,48
1552942599,78,110
1552944516,100,55
1552946600,74,58
1552948575,68,68
1552950534,89,34
1552952427,51,37
1552954376,67,33
1552956288,64,35
1552958189,55,80
1552960102,35,25
1552962056,35,31
1552963941,30,38
1552965863,21,77
1552967791,39,91
1552969727,49,51
1552971743,40,62
1552973576,29,43
1552975508,29,34
1552977641,24,55
1552979558,24,38
1552981462,33,22
1552983410,75,28
1552985301,41,36
1552987238,27,110
1552989163,64,125
1552991062,39,123
1552993008,26,140
1552994910,31,116
1552996973,53,133
1552998775,33,117
1553000703,23,98
1553002974,34,127
1553004982,27,27
1553006908,28,33
1553008846,32,34
1553010773,44,21
1553012689,56,19
1553014590,44,34
1553016508,52,76
1553018586,58,38
1553020578,77,72
1553022499,100,32
1553024412,63,42
1553026352,82,37
1553028272,61,40
1553030181,47,70
1553032102,31,109
1553034033,46,44
1553035934,38,89
1553037867,35,60
1553039794,31,62
1553041705,27,55
1553043743,22,72
1553045557,29,29
1553047405,26,31
1553049386,32,34
1553051295,29,26
1553053240,30,32
1553055148,30,36
1553057076,29,44
1553059008,36,33
1553060905,30,27
1553062816,32,20
1553064757,39,29
1553066677,33,31
1553068586,36,56
1553070520,31,57
1553072503,45,44
1553074334,46,35
1553076294,24,58
1553078175,118,30
1553080343,129,39
1553082265,39,46
1553084186,34,47
1553086102,41,33
1553088021,38,26
1553089958,45,26
1553091862,49,30
1553093789,61,34
1553095720,70,36
1553097697,86,53
1553099569,66,50
1553101512,61,43
1553103399,50,49
1553105333,61,56
1553107216,50,88
1553109137,51,107
1553111092,50,66
1553113001,32,67
1553115932,52,77
1553117812,39,35
1553119725,39,57
1553121636,29,35
1553123547,21,38
1553125496,29,35
1553127403,29,28
1553129318,22,18
1553131246,35,25
1553133176,31,35
1553135086,28,21
1553137007,37,32
1553138905,28,23
1553141099,27,38
1553142985,30,33
1553144943,32,29
1553146814,28,33
1553148747,51,38
1553150680,32,36
1553152573,37,37
1553154502,40,31
1553156413,47,24
1553158410,43,37
1553160352,85,56
1553162256,32,20
1553164098,48,98
1553166042,54,134
1553167961,58,50
1553169785,40,27
1553171785,72,46
1553173718,75,41
1553175634,58,44
1553177552,48,44
1553179467,49,75
1553181392,47,61
1553183324,70,102
1553185218,59,45
1553187166,57,67
1553189060,55,68
1553190981,53,64
1553193581,56,66
1553195558,40,52
1553197470,37,53
1553199403,40,30
1553201301,54,39
1553203227,34,33
1553205163,36,44
1553207067,42,29
1553209006,40,21
1553210917,28,27
1553213071,93,29
1553215003,62,30
1553216899,96,32
1553218816,65,28
1553220752,49,27
1553222680,70,30
1553224590,41,35
1553226497,63,32
1553228438,75,34
1553230346,67,35
1553232263,57,21
1553234184,69,42
1553236123,52,35
1553238188,68,38
1553240181,62,38
1553242099,62,48
1553244032,56,48
1553245947,37,68
1553247880,70,81
1553249781,97,33
1553251708,127,54
1553253640,65,52
1553255538,73,42
1553257488,54,69
1553259377,40,69
1553261335,53,66
1553263334,77,60
1553265478,49,56
1553267338,51,46
1553269220,24,55
1553271316,44,63
1553273323,36,64
1553275397,36,47
1553277403,40,58
1553279301,30,35
1553281303,38,34
1553283135,29,35
1553285092,23,36
1553286995,43,46
1553288934,28,32
1553290815,37,32
1553292741,38,36
1553294688,40,38
1553296576,28,34
1553298517,42,65
1553300443,57,57
1553302350,41,79
1553304265,39,82
1553306210,48,56
1553308094,47,54
1553310195,45,68
1553312175,51,51
1553314091,57,76
1553316039,54,58
1553317935,51,70
1553319884,38,72
1553321776,32,44
1553323696,48,61
1553325623,47,67
1553327530,53,65
1553329480,52,52
1553331396,40,61
1553333293,38,36
1553335285,49,96
1553337150,43,144
1553338997,22,81
1553340976,39,91
1553342926,30,60
1553344839,25,45
1553346737,33,45
1553348671,25,46
1553350597,19,71
1553352497,33,49
1553354423,32,36
1553356369,18,32
1553358274,45,35
1553360181,26,34
1553362117,19,35
1553364194,25,35
1553366179,21,33
1553368125,10,27
1553370015,767,26
1553371936,27,28
1553373895,73,46
1553375795,135,27
1553377716,99,33
1553379647,113,34
1553381552,110,33
1553383473,90,35
1553385414,45,48
1553387325,68,38
1553389333,42,40
1553391179,31,42
1553393341,30,44
1553395228,31,37
1553397143,28,46
1553399091,42,53
1553400982,48,60
1553402906,24,41
1553404846,16,43
1553406762,19,37
1553408659,21,28
1553410628,26,54
1553412499,24,50
1553414500,63,53
1553416371,40,41
1553418285,30,43
1553420444,32,40
1553422340,25,46
1553424269,32,36
1553426449,30,22
1553428353,29,29
1553430259,27,33
1553432511,21,22
1553434365,18,25
1553436298,20,14
1553438190,25,33
1553440118,26,21
1553442056,43,17
1553444206,33,26
1553446123,37,35
1553448023,71,19
1553449968,96,24
1553451886,102,13
1553453783,81,10
1553455702,104,468
1553457779,65,396
1553459773,65,55
1553461694,73,101
1553463632,56,147
1553465801,62,136
1553467697,51,106
1553470485,51,112
1553472341,39,38
1553474191,42,80
1553476376,36,48
1553478540,36,31
1553480462,29,38
1553482370,33,30
1553484284,25,27
1553486238,16,55
1553488120,32,44
1553490306,32,22
1553492219,33,23
1553494138,28,19
1553496051,48,29
1553497954,38,20
1553499868,43,45
1553501812,44,46
1553503710,37,44
1553505623,31,31
1553507570,37,20
1553509477,27,23
1553511404,41,27
1553513325,31,30
1553515404,27,35
1553517389,68,26
1553519337,49,19
1553521247,36,15
1553523160,59,26
1553525082,96,27
1553527251,85,35
1553529144,75,36
1553531077,73,35
1553532889,44,41
1553534928,54,87
1553537124,42,100
1553539000,41,102
1553541176,37,105
1553543074,36,86
1553544995,24,62
1553546864,45,66
1553548847,20,83
1553550756,25,37
1553552669,29,71
1553554614,35,48
1553556504,43,36
1553558633,39,36
1553560610,45,54
1553562534,39,27
1553564431,31,28
1553566361,27,34
1553568289,32,27
1553570212,28,30
1553572114,35,25
1553574040,32,26
1553575968,27,36
1553577865,21,23
1553579794,17,37
1553581724,25,37
1553583700,20,46
1553585539,25,39
1553587510,27,38
1553589402,23,36
1553591327,33,32
1553593216,75,18
1553595170,33,32
1553597060,104,35
1553598986,96,35
1553600917,96,19
1553602848,108,29
1553604758,97,66
1553606685,102,34
1553608600,69,35
1553610535,54,102
1553612515,39,77
1553614354,56,64
1553616268,32,65
1553618211,51,90
1553620237,38,52
1553622167,42,58
1553624388,37,38
1553626364,32,24
1553628277,32,40
1553630685,43,31
1553632836,46,66
1553634753,34,26
1553636706,32,29
1553638609,30,32
1553640517,69,37
1553642457,35,39
1553644380,29,38
1553646272,38,36
1553648209,32,35
1553650127,21,37
1553652198,28,20
1553654181,27,41
1553656109,30,29
1553658025,64,26
1553659948,22,34
1553661876,23,31
1553663776,20,21
1553665707,25,23
1553667631,69,21
1553669532,90,17
1553671465,112,45
1553673410,96,27
1553675312,120,24
1553678182,126,42
1553680102,79,75
1553682028,73,34
1553683930,65,126
1553685859,49,92
