DateTime,AddedIPs,RemovedIPs
1541788815,1,3
1541810921,1,0
1541832997,4,2
1541855066,1,9
1541876924,2,2
1541898801,2,1
1541920814,3,1
1541942686,2,3
1541964758,1,1
1541986848,4,4
1542008937,2,5
1542030979,3,3
1542053082,4,2
1542074962,4,3
1542097003,2,2
1542118847,2,4
1542140926,3,2
1542163002,2,4
1542185070,4,3
1542206919,2,194
1542228971,5,0
1542251087,1,5
1542273156,2,2
1542295479,7,2
1542317805,2,6
1542339874,2,4
1542362192,3,3
1542384076,2,1
1542406117,2,2
1542428204,0,1
1542450257,0,4
1542472354,1,1
1542494410,2,3
1542516258,2,1
1542538374,1,4
1542560483,1,2
1542582745,0,2
1542604819,2,2
1542626664,3,1
1542648923,2,9
1542670858,2,7
1542692894,1,3
1542714756,0,2
1542737089,0,6
1542759173,0,2
1542781469,1,1
1542803563,2,5
1542825630,0,4
1542847480,0,1
1542869547,0,1
1542891655,2,4
1542913745,0,3
1542935794,2,1
1542957656,0,3
1542979709,0,3
1543001558,2,1
1543023672,4,1
1543067782,3,0
1543089658,1,1
1543111962,1,6
1543156355,0,3
1543178207,2,3
1543200517,1,0
1543222882,1,1
1543245164,1,2
1543267247,2,1
1543289540,1,1
1543311644,2,1
1543333688,1,1
1543355546,3,0
1543377395,2,2
1543410269,3,3
1543432606,1,0
1543454685,3,0
1543476734,1,1
1543498590,0,3
1543520432,1,0
1543542735,2,2
1543586493,1,0
1543608520,6,2
1543630603,0,2
1543652667,2,1
1543674748,1,1
1543696831,3,2
1543718927,0,1
1543740979,3,1
1543763098,1,5
1543785390,0,2
1543807467,3,1
1543829327,3,1
1543851399,2,3
1543873628,0,3
1543895800,2,2
1543917939,4,4
1543939996,2,1
1543962271,3,0
1543984130,2,3
1544028538,4,1
1544050575,1,1
1544072926,0,1
1544094994,1,0
1544117094,0,1
1544139410,0,1
1544161457,2,0
1544183549,194,0
1544205516,1,7
1544227731,2,0
1544249805,0,1
1544271648,0,1
1544293706,2,1
1544316035,1,0
1544338367,0,1
1544360682,1,2
1544382989,2,1
1544405049,0,1
1544449487,0,3
1544471798,4,1
1544516187,4,2
1544538257,4,1
1544560338,0,2
1544582416,1,1
1544604288,1,0
1544626135,3,1
1544648183,1,1
1544670165,1,3
1544692363,45,0
1544714529,2,2
1544736746,2,1
1544758613,3,0
1544780679,2,196
1544803015,1,3
1544825320,2,2
1544869252,0,2
1544891290,4,0
1544913148,2,2
1544935019,2,1
1544957054,0,1
1544978928,1,1
1545000990,2,1
1545023083,2,1
1545044962,2,0
1545067248,1,3
1545089461,3,1
1545111372,0,3
1545133255,2,5
1545155319,3,3
1545177418,2,1
1545199729,1,2
1545221777,0,2
1545243861,2,3
1545265724,2810,1
1545287903,0,38
1545309859,1,2
1545331952,0,1
1545353799,1,1
1545375680,4,2
1545397701,2,2
1545419544,2,2
1545441386,0,1
1545463472,2,0
1545485326,1,1
1545507394,1,1
1545529246,2,3
1545573684,1,0
1545595747,2,3
1545618056,0,1
1545639901,0,2
1545661951,3,2
1545684013,2,1
1545706114,2,3
1545728171,1,1
1545750069,3,2
1545772363,2,1
1545794450,1,1
1545816495,1,0
1545838372,1,1
1545860409,1,807
1545882272,0,2013
1545948315,1,1
1545970405,1,1
1545992413,1,2
1546014291,1,5
1546058461,0,2
1546080496,3,1
1546102587,0,1
1546124676,4,3
1546168592,1,1
1546190480,2,3
1546212786,1,2
1546235075,0,1
1546257160,0,3
1546279482,0,2
1546301365,0,2
1546323635,1,2
1546345719,1,2
1546367564,1,3
1546389618,2,2
1546411496,1,1
1546455697,5,3
1546477749,2,1
1546499590,3,0
1546521903,1,0
1546565801,2,1
1546587875,1,1
1546609959,2,2
1546632087,1,2
1546654366,1,0
1546676681,1,0
1546698763,3,1
1546720828,5,3
1546742928,4,2
1546764989,2,0
1546787084,1,2
1546809186,1,0
1546831230,4,0
1546853298,4,0
1546875166,2,1
1546897324,1,0
1546919317,2,1
1546941170,2,2
1546963257,2,1
1546985573,2,1
1547007614,1,0
1547029457,2,3
1547051342,2,5
1547073671,3,2
1547095985,2,4
1547118069,3,0
1547140131,5,1
1547162201,2,4
1547184293,3,0
1547206617,0,2
1547228674,3,1
1547250753,2,2
1547272883,3,0
1547294794,2,2
1547316743,4,3
1547338634,2,4
1547360905,1,3
1547382975,3,0
1547404825,3,2
1547426679,3,1
1547448519,4,3
1547470599,2,5
1547492547,2,2
1547514766,5,0
1547558915,4,2
1547580796,3,2
1547602839,3,0
1547624681,3,2
1547646773,5,3
1547668892,3,3
1547691154,0,1
1547712996,4,4
1547735111,2,3
1547757157,3,4
1547779236,2,4
1547801100,0,4
1547823165,3,4
1547845289,2,4
1547867142,1,1
1547889167,2,3
1547911233,1,3
1547933320,2,4
1547955408,1,1
1547977452,2,6
1547999570,0,2
1548021918,2,6
1548043935,2,2
1548065786,0,5
1548087669,4,2
1548109701,4,1
1548131582,3,4
1548153618,1,2
1548175483,2,2
1548197612,0,4
1548219665,1,2
1548241507,1,3
1548263537,1,2
1548285433,1,2
1548307505,1,2
1548329563,4,4
1548351419,1,2
1548373264,1,1
1548395299,1,0
1548417375,4,2
1548439283,1,1
1548461301,0,1
1548483431,1,2
1548505481,1,2
1548527554,2,1
1548549399,1,0
1548571457,1,0
1548593330,1,2
1548615200,0,1
1548637360,1,3
1548659350,1,0
1548681381,0,1
1548703234,2,3
1548725081,2,3
1548747164,0,4
1548769235,1,1
1548791113,17,2
1548813162,1,3
1548835262,1,1
1548879421,1,0
1548901456,3,3
1548923572,1,0
1548945643,0,2
1548967726,0,2
1548990134,0,1
1549012364,1,4
1549034206,0,2
1549056255,0,1
1549078347,3,1
1549100441,3,2
1549122501,0,2
1549144373,1,1
1549166495,1,1
1549210843,2,0
1549233161,1,1
1549277098,2,0
1549299176,3,2
1549321294,2,1
1549343563,2,0
1549365628,1,0
1549387489,3,4
1549409559,1,17
1549431641,2,0
1549453481,2,0
1549475332,3,0
1549497393,0,1
1549519341,0,3
1549541317,3,0
1549563396,2,1
1549585250,1,1
1549607411,0,1
1549629378,0,1
1549651218,2,0
1549673060,1,1
1549695167,2,2
1549717299,5,0
1549739300,2,2
1549761389,0,2
1549783249,1,1
1549805300,3,1
1549827370,2,1
1549849238,3,2
1549871297,1,0
1549893368,1,0
1549915296,2,0
1549937340,0,2
1549959402,1,1
1549981459,1,2
1550003299,1,3
1550025409,0,1
1550047487,1,0
1550069529,2,1
1550091389,1,2
1550113312,0,1
1550135335,0,1
1550157380,3,1
1550179225,0,1
1550201341,2,0
1550223369,0,1
1550245212,2,1
1550267073,1,3
1550288924,202,1
1550311003,0,4
1550332918,2,1
1550377250,1,3
1550399293,1,2
1550421139,2,2
1550442991,0,1
1550465068,1,1
1550487155,3,1
1550509311,2,1
1550531564,1,0
1550553620,2,1
1550575499,0,2
1550597549,1,2
1550619413,3,1
1550641475,1,0
1550663318,0,1
1550685370,3,2
1550729293,1,3
1550751149,1,0
1550773002,0,3
1550794850,1,3
1550816916,1,0
1550839010,1,0
1550861064,0,1
1550883138,1,1
1550905292,0,2
1550927297,0,1
1550949142,0,3
1550971223,1,1
1550993087,0,2
1551015144,1,0
1551037228,0,1
1551059076,1,2
1551081154,1,2
1551102999,0,1
1551124904,3,1
1551146974,2,3
1551168989,2,1
1551191101,1,1
1551213148,1,3
1551235226,2,4
1551279167,3,3
1551312255,0,1
1551334115,1,0
1551356224,0,2
1551378267,0,1
1551400387,1,3
1551422478,1,1
1551444522,1,1
1551466434,1,0
1551543615,2,1
1551587561,1,1
1551631728,2,0
