DateTime,AddedIPs,RemovedIPs
1549841097,0,1
1549842993,1,0
1549844919,2,0
1549868693,2,0
1549878271,0,1
1549882112,1,0
1549886545,0,1
1549899908,1,0
1549909513,0,1
1549915745,0,1
1549919572,0,1
1549921477,0,2
1549923411,1,0
1549929157,0,1
1549931076,0,2
1549946695,1,0
1549952685,1,0
1549954737,0,2
1549966383,1,0
1549968276,1,1
1549981732,1,0
1549990925,1,0
1550002357,1,1
1550004289,1,0
1550006200,2,0
1550008129,1,1
1550010026,2,1
1550013877,1,0
1550015810,1,0
1550033067,0,1
1550038828,1,0
1550042683,0,2
1550046529,0,2
1550054190,0,1
1550075566,1,0
1550079403,0,1
1550083231,1,0
1550087084,1,1
1550090904,0,1
1550092821,1,0
1550094756,0,1
1550098623,1,0
1550102471,0,1
1550110132,1,0
1550121878,1,1
1550127736,4,0
1550129670,2,0
1550144922,1,0
1550148766,1,0
1550158491,1,0
1550162423,0,1
1550170106,0,2
1550172052,1,0
1550179709,0,1
1550184097,0,1
1550187871,1,0
1550197491,0,1
1550199378,1,0
1550208980,0,1
1550210907,1,0
1550214758,0,6
1550220527,4,0
1550230148,0,1
1550235911,0,1
1550243579,0,1
1550245468,1,0
1550255320,1,1
1550259194,0,1
1550270664,0,1
1550274754,1,1
1550284361,0,1
1550286345,1,0
1550301641,0,1
1550303580,1,0
1550305479,0,4
1550311293,1,0
1550323250,1,0
1550332922,0,1
1550336686,1,0
1550346521,1,0
1550348430,1,0
1550362381,0,1
1550371958,1,0
1550373870,0,1
1550385418,1,0
1550391170,0,1
1550396912,0,1
1550398854,1,0
1550408511,0,1
1550419961,1,0
1550421869,0,1
1550425891,1,0
1550431472,1,0
1550433419,0,1
1550449271,2,0
1550451173,1,0
1550453088,1,0
1550456909,0,1
1550466514,1,0
1550476117,1,0
1550497259,0,1
1550506731,0,1
1550508533,1,1
1550510452,1,0
1550518380,1,2
1550526286,3,0
1550528202,1,0
1550535868,0,3
1550537806,0,2
1550539717,1,0
1550541729,1,0
1550553402,1,1
1550557250,1,0
1550562979,0,1
1550564909,1,0
1550572603,0,1
1550578376,0,2
1550580288,1,1
1550599601,1,1
1550601639,1,0
1550605473,0,1
1550619413,0,1
1550627065,1,2
1550629008,0,1
1550630925,1,0
1550644384,1,0
1550652524,0,1
1550654477,1,0
1550665974,0,1
1550677737,2,0
1550686109,0,1
1550701490,1,0
1550713459,0,1
1550717331,0,1
1550727151,1,0
1550731027,0,1
1550740850,0,1
1550742762,0,1
1550750704,1,0
1550756662,1,0
1550764608,1,2
1550772290,1,0
1550781872,1,0
1550787648,1,1
1550807814,1,0
1550817628,1,0
1550819590,1,0
1550837156,0,1
1550843075,1,1
1550850752,0,1
1550858553,0,1
1550868059,0,1
1550873829,0,1
1550875714,1,0
1550877651,1,0
1550881488,1,0
1550883423,1,0
1550885359,1,0
1550887355,1,0
1550893231,1,0
1550895166,0,1
1550899029,1,0
1550904769,1,2
1550929943,0,1
1550941718,1,0
1550945557,1,1
1550949386,1,0
1550953272,1,0
1550961152,0,1
1550965008,0,1
1550970780,1,0
1550972663,0,1
1550974588,1,0
1550980369,0,1
1550986578,0,1
1550988769,1,0
1550990680,0,1
1551006139,1,0
1551029315,0,1
1551035345,0,2
1551037229,1,0
1551039151,0,1
1551045142,1,0
1551056922,0,1
1551060753,1,1
1551074588,0,1
1551084736,1,0
1551092514,0,1
1551104012,1,0
1551123167,0,1
1551142588,0,2
1551146675,2,1
1551152687,1,0
1551156510,1,0
1551160355,2,0
1551173579,0,1
1551179585,1,0
1551185320,0,1
1551191102,0,1
1551193388,0,1
1551195397,0,4
1551203092,0,1
1551211519,0,1
1551215313,1,0
1551217255,2,0
1551219219,1,0
1551223218,3,0
1551233322,0,2
1551239085,0,1
1551242910,0,1
1551246740,1,1
1551265969,0,1
1551279712,1,0
1551294177,1,0
1551300279,1,0
1551302208,1,1
1551315781,1,0
1551319498,1,1
1551329067,0,1
1551332904,0,1
1551365817,0,1
1551375414,1,0
1551379229,0,1
1551385236,0,1
1551387181,2,0
1551389101,2,0
1551391011,1,0
1551393504,1,0
1551401110,0,1
1551405174,0,1
1551418597,1,0
1551440436,2,0
1551448133,1,0
1551455806,1,1
1551457971,0,3
1551461805,0,1
1551470588,1,0
1551478335,0,1
1551486051,0,1
1551505738,0,1
1551521581,1,0
1551525437,0,1
1551542964,0,1
1551555306,0,1
1551566934,0,1
1551572687,0,1
1551584686,1,0
1551586587,1,0
1551590688,1,0
1551602418,1,0
1551606296,2,0
1551608216,1,0
1551621897,1,0
1551623801,1,0
1551639384,1,0
1551647154,1,0
1551651172,1,1
1551668783,1,0
1551672515,0,1
1551676363,0,1
1551678283,1,0
1551688141,0,1
1551691977,0,2
1551693964,0,1
1551701555,1,0
1551709529,0,1
1551713310,1,0
1551715395,1,1
1551717380,1,1
1551723151,1,0
1551725080,0,1
1551730850,1,0
1551732772,3,0
1551734695,2,0
1551738529,0,1
1551740712,3,0
1551742583,2,0
1551754115,0,1
1551761819,0,1
1551785096,1,0
1551788921,0,2
1551794676,1,1
1551804276,1,0
1551806174,0,2
1551808137,0,4
1551810037,2,1
1551817700,0,1
1551828259,1,0
1551843882,6,0
1551872210,0,1
1551874118,1,0
1551881804,0,1
1551883714,1,0
1551887547,0,2
1551889480,0,1
1551895381,0,1
1551910894,1,0
1551914909,0,1
1551930504,0,6
1551932422,1,1
1551934370,1,0
1551949730,0,1
1551957412,1,0
1551961281,0,1
1551995792,0,1
1552018861,0,1
1552020743,0,1
1552034439,1,0
1552036353,3,0
1552038258,1,2
1552040206,0,2
1552044040,0,1
1552065407,2,0
1552088679,1,0
1552090590,1,0
1552121544,1,1
1552123481,0,4
1552136897,1,0
1552152298,0,2
1552166666,2,0
1552168584,1,0
1552174570,1,2
1552199804,1,0
1552201728,1,0
1552207464,0,1
1552220916,1,0
1552223785,0,1
1552252601,0,1
1552254499,0,2
1552266754,1,0
1552270609,1,0
1552285976,0,1
1552287887,1,1
1552307296,0,2
1552311167,1,0
1552314978,2,0
1552342055,1,0
1552344052,1,0
1552353901,0,1
1552355844,0,1
1552373322,0,1
1552392743,0,1
1552394654,0,4
1552398623,0,1
1552400442,0,1
