DateTime,AddedIPs,RemovedIPs
1551623802,2,0
1551627635,1,2
1551629840,2,1
1551633656,1,0
1551639384,2,0
1551643363,2,0
1551645225,0,2
1551647155,0,2
1551651173,0,1
1551655265,1,2
1551657142,1,0
1551659097,0,1
1551661002,2,0
1551662919,0,1
1551664949,0,1
1551666782,0,1
1551686184,1,0
1551688147,0,1
1551693965,0,2
1551695807,1,0
1551697723,3,0
1551699664,1,1
1551705500,0,1
1551709530,0,2
1551713311,0,1
1551715396,1,1
1551717381,1,1
1551719310,1,0
1551721342,2,1
1551725081,0,3
1551727019,1,0
1551728920,0,1
1551730851,1,0
1551740716,0,1
1551742584,0,1
1551746427,0,1
1551757952,1,0
1551763699,1,0
1551771653,0,1
1551783139,1,2
1551785097,1,2
1551788922,0,1
1551792759,1,0
1551798524,1,0
1551802363,0,1
1551806174,1,1
1551810051,1,1
1551811943,1,1
1551813861,1,1
1551815794,0,1
1551817700,1,1
1551819634,1,0
1551827324,1,0
1551838829,0,1
1551840735,1,0
1551846493,1,1
1551850603,0,1
1551867887,0,1
1551872210,0,1
1551877948,2,0
1551879885,0,1
1551883714,0,1
1551887548,1,0
1551891388,0,1
1551895381,1,0
1551897382,0,1
1551899339,0,2
1551903155,1,0
1551905089,0,1
1551907015,1,0
1551908902,1,0
1551913015,0,1
1551919020,1,0
1551922875,1,0
1551926666,1,0
1551928613,0,1
1551930504,1,0
1551932422,1,0
1551938182,0,1
1551942175,1,0
1551943993,1,0
1551953561,1,0
1551963178,0,2
1551970978,1,0
1551972799,0,1
1551980436,0,1
1551986206,1,0
1551988124,1,0
1551990059,0,1
1551993880,0,1
1551995792,0,1
1552006098,1,1
1552008022,1,0
1552009992,0,1
1552013800,0,1
1552020748,0,1
1552028684,0,1
1552030586,1,1
1552032523,2,0
1552038258,1,0
1552040207,0,1
1552046001,1,0
1552049931,1,0
1552053900,1,0
1552057711,1,1
1552065408,0,1
1552073108,0,1
1552074996,0,1
1552084843,0,1
1552092500,0,1
1552094439,0,1
1552104168,0,1
1552106174,1,0
1552113865,1,0
1552117699,1,2
1552119640,0,1
1552123482,1,0
1552125395,0,1
1552131140,0,1
1552134985,0,1
1552142665,0,1
1552144585,0,1
1552148444,1,0
1552152299,2,0
1552154198,1,0
1552166666,2,0
1552189953,1,0
1552193777,1,0
1552205570,0,1
1552209398,0,1
1552211324,1,0
1552223785,1,0
1552227638,1,0
1552231474,1,0
1552235307,0,1
1552237369,0,1
1552239178,0,1
1552241088,0,1
1552242978,1,0
1552246841,2,0
1552252602,2,2
1552256428,1,0
1552260999,1,0
1552268673,1,0
1552280218,0,2
1552284115,1,1
1552289790,1,0
1552293617,1,0
1552295537,1,0
1552297501,0,1
1552311167,0,1
1552314978,0,1
1552316929,1,0
1552318827,0,1
1552328429,0,1
1552334207,0,2
1552338107,0,1
1552342056,1,2
1552344053,1,1
1552347864,1,1
1552355845,0,1
1552357735,1,0
1552359796,1,0
1552365643,1,0
1552371419,1,0
1552377184,0,1
1552379081,1,0
1552382923,0,1
1552398623,1,0
1552402332,1,2
1552404275,1,0
1552415784,1,0
1552423474,2,0
1552427560,0,1
1552429479,1,1
1552433309,2,0
1552435405,0,1
1552446976,0,1
1552451074,0,1
1552458805,1,1
1552460692,2,0
1552464533,1,0
1552466460,1,1
1552470276,1,0
1552472187,0,1
1552477976,1,1
1552481799,1,0
1552483795,1,0
1552485897,0,1
1552488031,0,1
1552491895,0,1
1552495741,1,0
1552501465,0,1
1552509384,2,1
1552511324,0,1
1552513273,1,0
1552515302,2,1
1552519019,0,1
1552520924,0,1
1552522858,1,0
1552534602,1,0
1552540389,1,0
1552546126,0,1
1552549976,0,1
1552551882,2,0
1552555969,1,1
1552565558,1,1
1552569427,0,1
1552571312,0,1
1552573251,1,0
1552575174,1,0
1552580940,1,0
1552582990,0,2
1552589096,2,0
1552591003,2,0
1552594836,0,2
1552596742,1,0
1552600607,0,1
1552602659,1,1
1552608742,0,1
1552610678,1,0
1552620269,0,1
1552624098,1,0
1552627966,0,1
1552637780,0,2
1552639698,0,1
1552641652,0,1
1552643538,2,0
1552645705,1,1
1552647764,1,0
1552649772,2,0
1552651955,0,1
1552659639,1,1
1552661548,0,1
1552663494,1,0
1552667341,2,1
1552669375,1,0
1552675210,0,2
1552677133,0,2
1552690065,0,1
1552692032,1,0
1552697789,0,1
1552701879,1,0
1552709558,2,1
1552721074,1,0
1552727006,1,0
1552730919,0,4
1552732821,1,0
1552734802,0,1
1552736704,0,2
1552740522,1,0
1552744585,0,1
1552746529,1,0
1552748685,1,0
1552754444,0,2
1552756593,1,1
1552766207,1,0
1552772898,1,0
1552774849,1,0
1552779233,0,1
1552788975,0,1
1552792832,2,0
1552796662,0,2
1552800513,1,0
1552806250,0,1
1552808192,0,1
1552812046,0,1
1552821637,1,0
1552823541,4,0
1552831495,1,1
1552833397,1,2
1552835324,1,0
1552841093,0,1
1552842988,0,1
1552844915,1,0
1552852604,0,1
1552860550,0,2
1552862422,1,0
1552868221,1,0
1552877808,1,1
1552879709,0,1
1552881940,1,0
1552883804,2,0
1552887628,1,1
1552897246,1,0
1552901093,1,0
1552906899,1,1
1552908766,0,1
1552910687,2,0
1552914771,0,4
1552916654,3,1
1552918578,1,1
1552920524,1,0
1552922683,1,0
1552926506,1,0
1552928504,1,0
1552930382,1,0
1552939951,2,0
1552942604,1,0
1552944521,4,0
1552946605,2,0
1552948579,1,1
1552950538,2,0
1552952432,2,0
1552956292,0,1
1552958193,1,0
1552960106,2,0
1552962060,3,0
1552963945,0,1
1552969732,2,3
1552971787,1,0
1552973773,1,1
1552981480,2,0
1552985305,1,0
1552987242,0,1
1552993012,0,1
1552994955,0,1
1552997014,0,1
1553002978,0,3
1553004993,0,1
1553006911,0,1
1553012693,0,1
1553014606,1,1
1553016512,0,1
1553022503,1,0
1553026356,0,2
1553028276,2,1
1553030184,0,3
1553034037,0,3
1553035938,0,2
1553037872,1,2
1553039798,0,1
1553041708,1,0
1553043810,0,1
1553045780,0,1
1553047731,0,2
1553049637,0,1
1553051549,0,1
1553055647,0,2
1553057537,0,1
1553059472,1,1
1553067153,0,1
1553069086,0,1
1553071230,0,2
1553086610,1,0
1553092354,2,0
1553100025,0,1
1553101967,1,0
1553105805,0,1
1553111575,1,0
1553115938,1,2
1553117815,0,1
1553127407,1,1
1553142988,2,0
1553146818,1,0
1553156416,1,0
1553158414,2,0
1553166095,3,1
1553167966,1,0
1553169888,1,0
1553173722,1,1
1553175637,1,1
1553179471,1,2
1553181396,1,0
1553189065,1,1
1553193585,1,0
1553195562,1,1
1553197473,1,1
1553199407,3,0
1553201305,2,0
1553207071,0,1
1553210921,1,0
1553213094,1,0
1553218820,23,0
1553220756,3,0
1553222691,2,0
1553224594,3,0
1553226501,1,0
1553228458,0,1
1553232266,0,1
1553234188,2,0
1553244035,0,1
1553245951,1,2
1553251712,2,4
1553253644,0,1
1553255542,0,2
1553257491,0,1
1553259380,0,1
1553261339,2,1
1553265551,0,1
1553269223,0,1
1553271351,1,0
1553275400,0,1
1553279318,0,1
1553281378,0,1
1553285305,1,4
1553287236,0,1
1553291320,1,0
1553299011,1,1
1553306931,0,1
1553308818,1,0
1553311020,0,1
1553320625,0,2
1553322501,1,0
1553328289,0,1
1553334039,0,1
1553337868,0,2
1553339781,1,0
1553341708,0,1
1553343658,2,0
1553349409,1,0
1553355148,0,1
1553357090,0,1
1553362846,1,0
1553370754,2,0
1553372661,2,1
1553374602,2,0
1553376519,0,1
1553378719,1,0
1553384426,0,1
1553386356,0,1
1553388290,1,0
1553392107,1,0
1553399813,1,0
1553409889,2,1
1553411808,0,1
1553415646,1,0
1553417558,1,0
1553421384,1,0
1553423317,1,0
1553425537,1,0
1553427383,0,1
1553433136,4,1
1553435068,0,1
1553437009,0,1
1553438893,0,2
1553441074,0,1
1553442976,0,1
1553444894,0,1
1553446971,0,1
1553448987,0,9
1553450898,1,1
1553452846,1,1
1553454747,0,3
1553456681,0,6
1553458600,0,3
1553460505,0,7
1553462680,1,1
1553464581,2,1
1553468641,1,0
1553474195,1,1
1553476380,1,0
1553478545,0,1
1553480486,1,0
1553486242,0,1
1553488124,1,0
1553496055,0,2
1553499874,1,0
1553501817,0,1
1553505627,0,1
1553507575,0,1
1553509481,2,1
1553511426,0,1
1553513330,2,0
1553517394,1,1
1553523165,1,4
1553529149,1,0
1553531081,1,0
1553534933,1,0
1553543079,1,0
1553545000,1,0
1553560614,0,1
1553562539,0,1
1553572118,1,0
1553574044,1,1
1553587699,0,1
1553589628,0,2
1553591568,2,0
1553595631,0,1
1553597540,1,0
1553599473,1,2
1553605340,0,1
1553618922,1,1
1553620852,0,1
1553622736,1,0
1553624954,1,0
1553629700,1,0
1553631643,0,1
1553635704,1,7
1553638612,3,0
1553642461,1,0
1553650130,1,0
1553654183,1,0
1553658027,0,1
1553661879,1,1
1553663778,1,0
1553665709,1,0
1553671468,1,0
1553677316,0,2
1553684926,0,1
