DateTime,AddedIPs,RemovedIPs
1542664113,7,10
1542686198,4,12
1542708107,8,5
1542730187,6,8
1542752191,5,7
1542774281,3,6
1542796360,1,6
1542818424,9,2
1542840517,4,4
1542862368,5,1
1542884223,5,12
1542906262,5,6
1542928112,7,8
1542950430,3,7
1542972747,12,8
1542994817,6,6
1543016687,7,5
1543038744,6,8
1543060920,2,7
1543082889,11,5
1543104984,7,8
1543126831,4,2
1543149154,9,5
1543171238,5,8
1543193301,1,5
1543215174,8,4
1543237299,7,5
1543259313,8,5
1543281244,5,5
1543303486,12,6
1543325562,10,10
1543347408,6,5
1543369470,3,6
1543391324,7,5
1543413174,11,8
1543435480,18,7
1543457547,8,4
1543479395,6,7
1543501240,6,9
1543523702,6,6
1543545643,5,4
1543567958,5,6
1543590296,4,8
1543612369,5,4
1543634676,7,6
1543656775,8,4
1543679065,8,11
1543701165,8,5
1543723305,5,2
1543745335,5,6
1543767402,7,9
1543789466,3,2
1543811307,6,4
1543833406,12,5
1543855456,10,3
1543877321,10,7
1543899761,4,7
1543921978,14,11
1543944284,6,7
1543966385,8,3
1543988452,7,7
1544010770,9,9
1544033084,10,8
1544054924,9,8
1544077246,17,6
1544099341,12,8
1544121405,5,4
1544143474,8,6
1544165801,7,7
1544187741,6,4
1544209718,4,5
1544231573,3,3
1544253879,6,7
1544275959,4,6
1544298018,6,6
1544319887,5,4
1544341955,2,9
1544364117,4,7
1544386123,5,6
1544408198,3,10
1544430042,8,10
1544452347,7,6
1544474208,8,11
1544496282,9,14
1544518342,6,8
1544540200,7,9
1544562103,6,7
1544584123,10,10
1544606197,14,9
1544628295,6,13
1544650351,7,12
1544672448,7,5
1544694760,9,22
1544716601,7,7
1544738933,4,4
1544761012,8,7
1544783094,6,7
1544805135,1,5
1544827006,6,5
1544849054,6,4
1544870908,4,3
1544892762,5,10
1544914904,3,4
1544937164,1,3
1544959009,2,5
1544981072,7,7
1545003157,9,7
1545025216,17,4
1545047080,4,11
1545069159,7,10
1545091280,7,6
1545113672,25,10
1545135652,5,7
1545157967,6,11
1545180013,5,7
1545201859,4,8
1545223699,9,8
1545245545,1,7
1545267396,2,6
1545289345,10,9
1545311309,6,8
1545333386,9,9
1545355474,6,7
1545377563,9,4
1545399613,8,5
1545421490,17,5
1545443566,13,4
1545465716,10,4
1545487953,8,3
1545509800,7,5
1545531644,4,0
1545553974,6,3
1545576062,5,4
1545598112,6,8
1545619966,7,14
1545642090,12,5
1545664097,8,2
1545686197,5,7
1545708254,6,20
1545730363,5,10
1545752422,2,5
1545774276,6,7
1545796368,2,4
1545818485,2,8
1545840790,0,3
1545862815,1,1
1545884898,6,12
1545906743,12,8
1545928844,5,2
1545950705,7,6
1545972751,4,7
1545994596,10,16
1546016483,4,14
1546038520,6,17
1546060374,2,8
1546082447,5,11
1546104499,3,5
1546126606,2,9
1546148661,2,2
1546170524,3,5
1546192591,8,4
1546214459,7,10
1546236528,9,7
1546258610,9,14
1546280653,9,5
1546302759,6,6
1546324632,8,1
1546346660,8,7
1546368741,6,2
1546390608,3,2
