DateTime,AddedIPs,RemovedIPs
1552665389,1,0
1552667343,4,3
1552669386,3,2
1552671385,2,4
1552673336,4,2
1552675211,2,2
1552677134,1,1
1552679081,0,1
1552680981,2,2
1552682907,2,3
1552684839,2,2
1552686730,1,2
1552690068,6,4
1552692035,3,3
1552693945,1,6
1552695877,3,1
1552697792,4,0
1552699726,1,1
1552701883,0,2
1552703780,4,2
1552705706,2,4
1552707672,0,1
1552709561,3,4
1552711485,5,3
1552713398,1,2
1552715317,3,2
1552717249,4,1
1552719162,4,1
1552721077,5,0
1552722989,1,0
1552724925,2,1
1552727008,4,0
1552728989,2,1
1552730921,3,2
1552732824,0,2
1552734804,1,4
1552736706,4,3
1552740525,3,1
1552742672,3,3
1552744587,1,6
1552746532,2,3
1552748688,1,0
1552750586,1,1
1552752568,1,1
1552754457,1,2
1552756595,2,3
1552758515,2,2
1552760469,2,3
1552762344,2,3
1552766210,0,1
1552768104,2,1
1552771000,1,5
1552772901,0,1
1552774852,0,5
1552776742,4,2
1552779245,2,4
1552783218,5,6
1552785145,1,3
1552788978,1,3
1552790904,1,3
1552792835,0,1
1552794758,1,2
1552796665,0,2
1552798592,0,5
1552800515,1,0
1552802592,0,5
1552804585,3,2
1552806544,5,4
1552808439,0,4
1552810348,1,1
1552812258,2,2
1552814200,1,4
1552816119,2,1
1552818013,3,3
1552819955,1,1
1552821909,1,1
1552823777,1,3
1552825713,1,1
1552828832,3,5
1552830733,3,1
1552832668,2,3
1552834718,4,1
1552836760,5,2
1552838690,1,1
1552840582,2,0
1552842521,3,2
1552844416,1,3
1552846347,5,1
1552848280,0,2
1552850182,7,2
1552852106,3,0
1552854036,3,2
1552855936,1,1
1552857872,3,0
1552859813,5,0
1552861969,0,4
1552863892,4,0
1552866363,1,2
1552868225,7,0
1552870115,3,5
1552872054,2,1
1552873987,6,1
1552875887,4,0
1552877811,3,1
1552879713,3,0
1552881943,1,1
1552883807,4,1
1552885736,5,0
1552887631,2,1
1552889558,7,2
1552891487,1,5
1552893385,4,1
1552895315,4,0
1552899146,4,0
1552901097,1,3
1552903019,4,2
1552904928,6,1
1552906971,0,1
1552908994,1,1
1552910937,4,2
1552912820,3,1
1552914775,1,2
1552916657,0,1
1552918581,5,2
1552920527,1,4
1552922686,1,3
1552924598,2,1
1552926517,2,1
1552928550,3,2
1552930386,2,3
1552932290,3,3
1552934180,0,2
1552936121,3,5
1552938021,1,4
1552939954,2,2
1552942615,2,3
1552944524,0,3
1552946609,4,4
1552948600,2,2
1552950540,3,3
