DateTime,AddedIPs,RemovedIPs
1552400446,0,1
1552402335,1,1
1552404279,2,0
1552406206,3,0
1552408103,2,0
1552410171,0,3
1552412177,1,1
1552414122,1,1
1552419876,2,1
1552421774,1,2
1552423703,1,1
1552425631,2,2
1552427564,1,0
1552429482,2,0
1552431388,2,0
1552433313,1,0
1552435420,1,1
1552437396,1,0
1552439304,1,0
1552441239,1,0
1552443141,2,1
1552445064,1,1
1552446988,1,1
1552449157,0,2
1552453003,2,2
1552454932,1,1
1552457036,1,0
1552458982,1,1
1552460913,0,1
1552464738,1,0
1552466669,1,1
1552468574,0,1
1552472419,1,3
1552476260,0,1
1552478203,1,1
1552480120,1,1
1552482105,0,1
1552483966,0,1
1552489977,2,2
1552491908,0,2
1552493805,0,3
1552495753,1,0
1552497681,0,1
1552499563,3,1
1552501477,0,1
1552505328,0,1
1552507491,2,2
1552509388,0,1
1552511335,0,2
1552513277,1,0
1552515317,1,2
1552517136,0,1
1552519022,1,2
1552520927,2,1
1552524749,4,2
1552526679,1,1
1552528658,0,2
1552530803,1,1
1552532715,3,1
1552538459,2,0
1552540392,1,3
1552542321,0,1
1552544233,0,1
1552551886,0,1
1552555972,1,0
1552557935,1,0
1552559854,1,2
1552561748,0,1
1552563641,1,1
1552565561,0,1
1552567484,1,0
1552573256,1,1
1552575177,1,0
1552577096,0,3
1552580959,1,1
1552584992,4,1
1552586960,1,2
1552589100,2,0
1552591007,1,0
1552592923,1,0
1552594840,1,2
1552596745,2,0
1552598670,1,0
1552600610,1,1
1552602671,2,1
1552604643,0,1
1552606824,2,2
1552610691,0,2
1552612593,1,3
1552616456,0,1
1552618354,0,2
1552624101,0,1
1552626187,2,2
1552628175,1,0
1552635904,1,0
1552637782,1,0
1552643541,0,1
1552645707,0,1
1552647798,2,0
1552649774,1,1
1552651957,2,0
1552653892,1,1
1552655802,1,0
1552657715,1,0
1552659641,0,1
1552661550,1,1
1552663495,3,0
1552665390,1,0
1552667343,1,1
1552669388,1,1
1552671386,1,4
1552673337,2,1
1552675211,0,1
1552677135,2,1
1552679081,1,2
1552680981,1,1
1552682908,2,1
1552684839,0,2
1552686730,0,1
1552690069,1,2
1552692035,0,2
1552693945,2,0
1552695877,3,0
