DateTime,AddedIPs,RemovedIPs
1552707672,59,59
1552709560,31,85
1552711485,40,72
1552713398,51,57
1552715317,40,65
1552717248,47,49
1552719161,44,73
1552721076,32,63
1552722988,45,61
1552724925,50,55
1552727008,53,84
1552728989,55,65
1552730920,40,59
1552732824,54,85
1552734804,54,60
1552736706,39,50
1552738611,68,77
1552740524,48,71
1552742671,54,73
1552744587,48,68
1552746531,45,56
1552748687,61,59
1552750586,1807,68
1552752568,236,67
1552754456,58,82
1552756595,74,75
1552758515,89,58
1552760468,139,54
1552762344,153,71
1552764266,99,47
1552766210,130,145
1552768103,105,64
1552770999,234,88
1552772900,299,59
1552774852,232,85
1552776741,218,51
1552779244,251,141
1552781204,173,54
1552783218,187,43
1552785144,451,49
1552787079,247,57
1552788977,207,44
1552790904,195,47
1552792834,123,35
1552794757,161,53
1552796664,130,38
1552798591,150,45
1552800515,112,44
1552802589,117,48
1552804585,113,49
1552806543,107,42
1552808438,118,37
1552810347,97,49
1552812258,85,52
1552814199,86,51
1552816118,102,56
1552818013,61,63
1552819955,104,54
1552821908,1239,52
1552823777,555,46
1552825712,80,78
1552827726,98,54
1552829555,64,47
1552831498,81,56
1552833399,66,42
1552835326,73,60
1552837224,429,60
1552839156,889,56
1552841112,1061,50
1552842990,107,44
1552844918,163,50
1552846841,141,57
1552848747,929,60
1552850688,380,41
1552852606,127,62
1552854506,110,57
1552856625,136,69
1552858590,102,110
1552860553,66,85
1552862424,79,66
1552864352,71,80
1552866363,71,74
1552868224,642,104
1552870114,1368,169
1552872053,1004,288
1552873987,1417,49
1552875886,1136,60
1552877811,946,58
1552879712,1000,54
1552881942,940,63
1552883807,955,53
1552885736,870,41
1552887630,328,68
1552889557,64,54
1552891486,62,58
1552893384,63,59
1552895315,54,58
1552897249,91,56
1552899146,85,58
1552901096,83,53
1552903019,59,67
1552904927,71,45
1552906957,60,77
1552908768,72,1594
1552910722,53,58
1552912582,65,65
1552914774,115,77
1552916657,115,50
1552918580,735,66
1552920526,89,52
1552922685,76,1132
