DateTime,Entries,UniqueIPs
1552707672,9983,9983
1552709560,9929,9929
1552711485,9897,9897
1552713398,9891,9891
1552715317,9866,9866
1552717248,9864,9864
1552719161,9835,9835
1552721076,9804,9804
1552722988,9788,9788
1552724925,9783,9783
1552727008,9752,9752
1552728989,9742,9742
1552730920,9723,9723
1552732824,9692,9692
1552734804,9686,9686
1552736706,9675,9675
1552738611,9666,9666
1552740524,9643,9643
1552742671,9624,9624
1552744587,9604,9604
1552746531,9593,9593
1552748687,9595,9595
1552750586,11334,11334
1552752568,11503,11503
1552754456,11479,11479
1552756595,11478,11478
1552758515,11509,11509
1552760468,11594,11594
1552762344,11676,11676
1552764266,11728,11728
1552766210,11713,11713
1552768103,11754,11754
1552770999,11900,11900
1552772900,12140,12140
1552774852,12287,12287
1552776741,12454,12454
1552779244,12564,12564
1552781204,12683,12683
1552783218,12827,12827
1552785144,13229,13229
1552787079,13419,13419
1552788977,13582,13582
1552790904,13730,13730
1552792834,13818,13818
1552794757,13926,13926
1552796664,14018,14018
1552798591,14123,14123
1552800515,14191,14191
1552802589,14260,14260
1552804585,14324,14324
1552806543,14389,14389
1552808438,14470,14470
1552810347,14518,14518
1552812258,14551,14551
1552814199,14586,14586
1552816118,14632,14632
1552818013,14630,14630
1552819955,14680,14680
1552821908,15867,15867
1552823777,16376,16376
1552825712,16378,16378
1552827726,16422,16422
1552829555,16439,16439
1552831498,16464,16464
1552833399,16488,16488
1552835326,16501,16501
1552837224,16870,16870
1552839156,17703,17703
1552841112,18714,18714
1552842990,18777,18777
1552844918,18890,18890
1552846841,18974,18974
1552848747,19843,19843
1552850688,20182,20182
1552852606,20247,20247
1552854506,20300,20300
1552856625,20367,20367
1552858590,20359,20359
1552860553,20340,20340
1552862424,20353,20353
1552864352,20344,20344
1552866363,20341,20341
1552868224,20879,20879
1552870114,22078,22078
1552872053,22794,22794
1552873987,24162,24162
1552875886,25238,25238
1552877811,26126,26126
1552879712,27072,27072
1552881942,27949,27949
1552883807,28851,28851
1552885736,29680,29680
1552887630,29940,29940
1552889557,29950,29950
1552891486,29954,29954
1552893384,29958,29958
1552895315,29954,29954
1552897249,29989,29989
1552899146,30016,30016
1552901096,30046,30046
1552903019,30038,30038
1552904927,30064,30064
1552906957,30047,30047
1552908768,28525,28525
1552910722,28520,28520
1552912582,28520,28520
1552914774,28558,28558
1552916657,28623,28623
1552918580,29292,29292
1552920526,29329,29329
1552922685,28273,28273
1552924597,27567,27567
1552926516,27662,27662
1552928541,27781,27781
1552930386,27222,27222
1552932289,26507,26507
1552934180,25667,25667
1552936120,24946,24946
1552938020,24979,24979
1552939954,25008,25008
1552942614,25033,25033
1552944523,25146,25146
1552946608,25217,25217
1552948599,25256,25256
1552950540,25280,25280
1552952443,25292,25292
1552954383,24801,24801
1552956295,23537,23537
1552958203,22589,22589
1552960108,21187,21187
1552962071,20114,20114
1552963947,19227,19227
1552965870,18335,18335
1552967805,17408,17408
1552969735,16628,16628
1552971796,15679,15679
1552973775,15303,15303
1552975720,15339,15339
1552977648,15451,15451
1552979565,15541,15541
1552981482,15651,15651
1552983416,15684,15684
1552985307,15649,15649
1552987245,15579,15579
1552989169,15522,15522
1552991068,15460,15460
1552993014,15398,15398
1552994957,15336,15336
1552997022,15275,15275
1552998976,15228,15228
1553000923,15136,15136
1553002994,15026,15026
1553004995,14171,14171
1553006913,14107,14107
1553008852,14021,14021
1553010779,13889,13889
1553012695,13782,13782
1553014608,13723,13723
1553016514,13607,13607
1553018683,13539,13539
1553020584,13461,13461
1553022505,13402,13402
1553024418,13316,13316
1553026357,13277,13277
1553028278,13181,13181
1553030187,13092,13092
1553032111,12857,12857
1553034039,12875,12875
1553035940,12835,12835
1553037874,12805,12805
1553039800,12714,12714
1553041710,12581,12581
1553043831,12385,12385
1553045783,12213,12213
1553047754,12064,12064
1553049640,11924,11924
1553051551,11789,11789
1553053458,11696,11696
1553055649,11610,11610
1553057539,11508,11508
