DateTime,AddedIPs,RemovedIPs
1552707673,60,63
1552709562,49,47
1552711487,49,63
1552713400,43,43
1552715319,35,73
1552717250,45,71
1552719163,39,51
1552721078,47,56
1552722990,40,49
1552724926,57,56
1552727009,46,59
1552728990,49,51
1552730922,32,55
1552732825,39,60
1552734806,54,64
1552736708,35,56
1552738613,43,52
1552740526,39,46
1552742673,41,75
1552744588,34,52
1552746533,44,34
1552748690,60,58
1552750587,1789,47
1552752570,227,45
1552754458,51,48
1552756596,58,60
1552758516,47,37
1552760470,50,53
1552762346,49,35
1552764268,54,46
1552766211,48,40
1552768105,43,64
1552771001,74,75
1552772902,42,54
1552774854,54,79
1552776743,55,41
1552779246,40,50
1552781206,51,44
1552783219,44,57
1552785146,44,42
1552787081,44,61
1552788979,25,45
1552790905,59,45
1552792836,38,42
1552794759,46,58
1552796666,38,48
1552798593,38,56
1552800517,53,49
1552802597,40,65
1552804587,36,48
1552806545,48,53
1552808440,48,36
1552810349,50,65
1552812260,39,57
1552814201,48,51
1552816120,44,46
1552818015,33,43
1552819957,49,42
1552821910,1244,51
1552823778,507,36
1552825714,46,58
1552827759,62,40
1552829780,59,59
1552831723,65,57
1552833619,54,50
1552835546,39,58
1552837480,1040,41
1552839375,1738,24
1552841305,1616,33
1552843231,46,22
1552845148,52,36
1552847068,69,22
1552848996,1735,22
1552850899,250,24
1552853778,92,42
1552855707,42,15
1552857644,56,20
1552859541,48,21
1552861489,45,15
1552863397,44,31
1552866365,52,18
1552868226,33,20
1552870116,30,25
1552872056,45,22
1552873989,37,15
1552875888,29,48
1552877813,35,22
1552879714,24,11
1552881945,48,18
1552883809,29,22
1552885738,23,18
1552887632,18,25
1552889559,21,33
1552891488,14,19
1552893386,18,10
1552895317,13,21
1552897251,21,19
1552899162,22,23
1552901098,22,25
1552903021,25,19
1552904930,21,24
1552907009,21,23
1552908996,31,1602
1552910939,22,12
1552912822,20,19
1552914777,25,20
1552916659,38,20
1552918582,676,33
1552920529,16,18
1552922687,29,1093
1552924599,32,772
1552926518,37,17
1552928569,100,22
1552930388,64,1346
1552932293,41,1513
1552934182,56,1740
1552936122,71,1359
1552938022,59,52
1552939955,57,40
1552942616,70,67
1552944525,71,45
1552946614,51,49
1552948601,52,44
1552950542,56,42
1552952445,50,34
1552954385,37,48
1552956297,38,43
1552958205,56,52
1552960110,43,56
1552962073,34,54
1552963949,42,52
1552965871,42,38
1552967807,34,76
1552969739,35,40
1552971799,38,47
1552973777,35,48
1552975722,41,34
1552977649,47,35
1552979566,44,45
1552981484,51,26
1552983418,42,51
1552985309,79,55
1552987247,36,42
1552989171,28,39
1552991070,40,44
1552993016,32,48
1552994960,29,44
1552997024,37,40
1552998978,27,39
1553000925,32,42
1553002995,30,40
1553004997,27,855
1553006915,35,33
1553008853,35,44
1553010781,39,44
1553012697,23,22
1553014610,21,56
1553016516,31,173
1553018686,32,50
1553020586,21,47
1553022507,15,51
1553024420,16,35
1553026359,34,54
1553028280,33,51
1553030188,60,62
1553032129,81,66
1553034041,92,75
1553035942,94,60
1553037875,73,44
1553039801,92,69
1553041712,86,50
1553043845,84,78
1553045784,58,67
1553047762,67,58
1553049641,72,60
1553051552,63,50
1553053460,56,47
1553055651,58,56
1553057554,51,52
1553059476,55,61
1553061382,44,60
1553063336,58,59
1553065396,47,56
1553067380,54,73
1553069294,52,57
1553071233,50,78
1553073141,39,62
1553075086,54,73
1553077020,39,65
1553078908,59,46
1553080818,55,50
1553082773,49,51
1553084669,56,58
1553086614,59,57
1553088540,69,66
1553090554,49,61
1553092358,52,53
1553094301,53,68
1553096209,48,42
1553098199,53,82
1553100036,60,53
1553101971,50,54
1553103870,41,68
1553105817,30,63
1553107710,46,18
1553109652,48,23
1553111587,45,13
1553113479,37,34
1553115943,61,56
1553117819,34,53
1553119733,43,72
1553121644,36,63
1553123554,47,55
1553125503,42,63
1553127411,43,59
1553129325,35,49
1553131261,41,53
1553133192,41,46
1553135093,59,53
1553137014,47,57
1553138921,40,54
1553141157,51,56
1553143000,35,50
1553144950,40,58
1553146823,43,49
1553148763,37,62
1553150695,35,60
1553152594,31,54
1553154509,36,47
1553156428,32,57
1553158418,37,66
1553160368,46,46
1553162307,40,55
1553164357,41,49
1553166285,40,64
1553168179,39,60
1553170138,39,58
1553172032,36,50
1553173943,35,62
1553175867,33,44
1553177788,27,52
1553179698,31,62
1553181611,33,65
1553183528,30,53
1553185453,27,61
1553187368,24,46
1553189331,45,48
1553191293,41,33
1553193589,46,46
1553195567,36,57
1553197478,60,55
1553199417,73,51
1553201309,90,45
1553203236,93,52
1553205171,82,36
1553207075,74,49
1553209033,77,59
1553210926,87,40
1553213099,88,43
1553215012,63,56
1553216918,75,50
1553218825,78,43
1553220760,58,64
1553222696,51,37
1553224606,71,48
1553226514,53,54
1553228462,53,54
1553230354,56,56
1553232286,52,46
1553234200,55,42
1553236131,43,53
1553238298,53,58
1553240190,53,36
1553242108,38,54
1553244040,70,47
1553245955,43,51
1553247888,44,47
