DateTime,Entries,UniqueIPs
1552707673,6609,6609
1552709562,6611,6611
1552711487,6597,6597
1552713400,6597,6597
1552715319,6559,6559
1552717250,6533,6533
1552719163,6521,6521
1552721078,6512,6512
1552722990,6503,6503
1552724926,6504,6504
1552727009,6491,6491
1552728990,6489,6489
1552730922,6466,6466
1552732825,6445,6445
1552734806,6435,6435
1552736708,6414,6414
1552738613,6405,6405
1552740526,6398,6398
1552742673,6364,6364
1552744588,6346,6346
1552746533,6356,6356
1552748690,6358,6358
1552750587,8100,8100
1552752570,8282,8282
1552754458,8285,8285
1552756596,8283,8283
1552758516,8293,8293
1552760470,8290,8290
1552762346,8304,8304
1552764268,8312,8312
1552766211,8320,8320
1552768105,8299,8299
1552771001,8298,8298
1552772902,8286,8286
1552774854,8261,8261
1552776743,8275,8275
1552779246,8265,8265
1552781206,8272,8272
1552783219,8259,8259
1552785146,8261,8261
1552787081,8244,8244
1552788979,8224,8224
1552790905,8238,8238
1552792836,8234,8234
1552794759,8222,8222
1552796666,8212,8212
1552798593,8194,8194
1552800517,8198,8198
1552802597,8173,8173
1552804587,8161,8161
1552806545,8156,8156
1552808440,8168,8168
1552810349,8153,8153
1552812260,8135,8135
1552814201,8132,8132
1552816120,8130,8130
1552818015,8120,8120
1552819957,8127,8127
1552821910,9320,9320
1552823778,9791,9791
1552825714,9779,9779
1552827759,9801,9801
1552829780,9801,9801
1552831723,9809,9809
1552833619,9813,9813
1552835546,9794,9794
1552837480,10793,10793
1552839375,12507,12507
1552841305,14090,14090
1552843231,14114,14114
1552845148,14130,14130
1552847068,14177,14177
1552848996,15890,15890
1552850899,16116,16116
1552853778,16166,16166
1552855707,16193,16193
1552857644,16229,16229
1552859541,16256,16256
1552861489,16286,16286
1552863397,16299,16299
1552866365,16333,16333
1552868226,16346,16346
1552870116,16351,16351
1552872056,16374,16374
1552873989,16396,16396
1552875888,16377,16377
1552877813,16390,16390
1552879714,16403,16403
1552881945,16433,16433
1552883809,16440,16440
1552885738,16445,16445
1552887632,16438,16438
1552889559,16426,16426
1552891488,16421,16421
1552893386,16429,16429
1552895317,16421,16421
1552897251,16423,16423
1552899162,16422,16422
1552901098,16419,16419
1552903021,16425,16425
1552904930,16422,16422
1552907009,16420,16420
1552908996,14849,14849
1552910939,14859,14859
1552912822,14860,14860
1552914777,14865,14865
1552916659,14883,14883
1552918582,15526,15526
1552920529,15524,15524
1552922687,14460,14460
1552924599,13720,13720
1552926518,13740,13740
1552928569,13818,13818
1552930388,12536,12536
1552932293,11064,11064
1552934182,9380,9380
1552936122,8092,8092
1552938022,8099,8099
1552939955,8116,8116
1552942616,8119,8119
1552944525,8145,8145
1552946614,8147,8147
1552948601,8155,8155
1552950542,8169,8169
1552952445,8185,8185
1552954385,8174,8174
1552956297,8169,8169
1552958205,8173,8173
1552960110,8160,8160
1552962073,8140,8140
1552963949,8130,8130
1552965871,8134,8134
1552967807,8092,8092
1552969739,8087,8087
1552971799,8078,8078
1552973777,8065,8065
1552975722,8072,8072
1552977649,8084,8084
1552979566,8083,8083
1552981484,8108,8108
1552983418,8099,8099
1552985309,8123,8123
1552987247,8117,8117
1552989171,8106,8106
1552991070,8102,8102
1552993016,8086,8086
1552994960,8071,8071
1552997024,8068,8068
1552998978,8056,8056
1553000925,8046,8046
1553002995,8036,8036
1553004997,7208,7208
1553006915,7210,7210
1553008853,7201,7201
1553010781,7196,7196
1553012697,7197,7197
1553014610,7162,7162
1553016516,7020,7020
1553018686,7002,7002
1553020586,6976,6976
1553022507,6940,6940
1553024420,6921,6921
1553026359,6901,6901
1553028280,6883,6883
1553030188,6881,6881
1553032129,6896,6896
1553034041,6913,6913
1553035942,6947,6947
1553037875,6976,6976
1553039801,6999,6999
1553041712,7035,7035
1553043845,7041,7041
1553045784,7032,7032
1553047762,7041,7041
1553049641,7053,7053
1553051552,7066,7066
1553053460,7075,7075
1553055651,7077,7077
1553057554,7076,7076
1553059476,7070,7070
1553061382,7054,7054
1553063336,7053,7053
1553065396,7044,7044
1553067380,7025,7025
1553069294,7020,7020
1553071233,6992,6992
1553073141,6969,6969
1553075086,6950,6950
1553077020,6924,6924
1553078908,6937,6937
1553080818,6942,6942
1553082773,6940,6940
1553084669,6938,6938
1553086614,6940,6940
1553088540,6943,6943
1553090554,6931,6931
1553092358,6930,6930
1553094301,6915,6915
1553096209,6921,6921
1553098199,6892,6892
1553100036,6899,6899
1553101971,6895,6895
1553103870,6868,6868
1553105817,6835,6835
1553107710,6863,6863
1553109652,6888,6888
1553111587,6920,6920
1553113479,6923,6923
1553115943,6928,6928
1553117819,6909,6909
1553119733,6880,6880
1553121644,6853,6853
1553123554,6845,6845
1553125503,6824,6824
1553127411,6808,6808
1553129325,6794,6794
1553131261,6782,6782
1553133192,6777,6777
1553135093,6783,6783
1553137014,6773,6773
1553138921,6759,6759
1553141157,6754,6754
1553143000,6739,6739
1553144950,6721,6721
1553146823,6715,6715
1553148763,6690,6690
1553150695,6665,6665
1553152594,6642,6642
1553154509,6631,6631
1553156428,6606,6606
1553158418,6577,6577
1553160368,6577,6577
1553162307,6562,6562
1553164357,6554,6554
1553166285,6530,6530
1553168179,6509,6509
1553170138,6490,6490
1553172032,6476,6476
1553173943,6449,6449
1553175867,6438,6438
1553177788,6413,6413
1553179698,6382,6382
1553181611,6350,6350
1553183528,6327,6327
1553185453,6293,6293
1553187368,6271,6271
1553189331,6268,6268
1553191293,6276,6276
1553193589,6276,6276
1553195567,6255,6255
1553197478,6260,6260
1553199417,6282,6282
1553201309,6327,6327
1553203236,6368,6368
1553205171,6414,6414
1553207075,6439,6439
1553209033,6457,6457
1553210926,6504,6504
1553213099,6549,6549
1553215012,6556,6556
1553216918,6581,6581
1553218825,6616,6616
1553220760,6610,6610
1553222696,6624,6624
1553224606,6647,6647
1553226514,6646,6646
1553228462,6645,6645
1553230354,6645,6645
1553232286,6651,6651
1553234200,6664,6664
1553236131,6654,6654
1553238298,6649,6649
1553240190,6666,6666
1553242108,6650,6650
1553244040,6673,6673
1553245955,6665,6665
1553247888,6662,6662
1553249828,6663,6663
1553251716,6642,6642
1553253648,6640,6640
1553255555,6634,6634
1553257497,6631,6631
1553259386,6638,6638
1553261359,6641,6641
1553263512,6643,6643
1553265611,6655,6655
1553267578,6648,6648
1553269462,6643,6643
1553271417,6649,6649
1553273330,6669,6669
1553275404,6657,6657
1553277410,6650,6650
1553279321,6646,6646
1553281392,6636,6636
1553283425,6625,6625
1553285309,6616,6616
1553287240,6934,6934
1553289397,7698,7698
1553291324,8314,8314
1553293254,8522,8522
1553295147,11473,11473
1553297072,14536,14536
1553299016,17021,17021
1553300905,17113,17113
1553302958,17108,17108
1553304776,17100,17100
1553306934,17091,17091
1553308821,17080,17080
1553311022,17080,17080
1553312905,17084,17084
1553314819,17101,17101
1553316779,17093,17093
1553318667,17079,17079
1553320628,17072,17072
1553322504,17065,17065
1553324636,17052,17052
1553326592,17049,17049
1553328505,17042,17042
1553330413,17024,17024
1553332335,17024,17024
1553334262,17028,17028
1553336194,17023,17023
1553338109,17024,17024
1553340042,17023,17023
1553341931,17023,17023
1553343854,17018,17018
1553345779,17016,17016
1553347713,17010,17010
1553350603,17012,17012
1553352503,17015,17015
1553354443,17018,17018
1553356375,17026,17026
1553358280,17024,17024
1553360201,17014,17014
1553362122,17019,17019
1553364268,17017,17017
1553366186,17019,17019
1553368131,17018,17018
1553370021,17027,17027
1553371942,17022,17022
1553373901,17047,17047
1553375801,17059,17059
1553377722,16940,16940
1553379652,15654,15654
1553381558,12249,12249
1553383478,9023,9023
1553385420,6260,6260
1553387330,6154,6154
1553389377,6163,6163
1553391185,6145,6145
1553393034,6156,6156
1553395000,6159,6159
1553396921,6155,6155
1553398813,6162,6162
1553400737,6167,6167
1553402675,6186,6186
1553404581,6172,6172
1553406501,6169,6169
1553408448,6168,6168
1553410347,6162,6162
1553412287,6168,6168
1553414195,6158,6158
1553416103,6158,6158
1553418130,6151,6151
1553419986,6161,6161
1553421891,6168,6168
1553423777,6162,6162
1553425986,6155,6155
1553427898,6151,6151
1553429795,6151,6151
1553431722,6141,6141
1553433630,6142,6142
1553435576,6144,6144
1553437481,6146,6146
1553439376,6147,6147
1553441334,6133,6133
1553443469,6127,6127
1553445374,6119,6119
1553447330,6113,6113
1553449237,6103,6103
1553451147,6075,6075
1553453055,6047,6047
1553454992,6318,6318
1553456911,7971,7971
1553458837,8019,8019
1553460771,8059,8059
1553462685,8105,8105
1553464600,8151,8151
1553466523,8175,8175
1553468692,8223,8223
1553470493,8256,8256
1553472352,8297,8297
1553474199,8319,8319
1553476384,8342,8342
1553478549,8367,8367
1553480491,8383,8383
1553482378,8405,8405
1553484293,8416,8416
1553486246,8419,8419
1553488129,8398,8398
1553490319,8404,8404
1553492251,8412,8412
1553494147,8409,8409
1553496064,8410,8410
1553497963,8401,8401
1553499878,8391,8391
1553501822,8349,8349
1553503719,8338,8338
1553505632,8328,8328
1553507579,8306,8306
1553509486,8290,8290
1553511440,8280,8280
1553513334,8266,8266
1553515415,8229,8229
1553517398,8202,8202
1553519349,8170,8170
1553521271,8125,8125
1553523169,8093,8093
1553525090,8057,8057
1553527260,8035,8035
1553529153,7993,7993
1553531087,7955,7955
1553532898,7963,7963
1553534937,7935,7935
1553537142,7969,7969
1553539009,8013,8013
1553541185,8044,8044
1553543083,7047,7047
1553545019,7041,7041
1553546873,7024,7024
1553548872,7010,7010
1553550767,6990,6990
1553552677,6981,6981
1553554623,6970,6970
1553556513,6967,6967
1553558648,8368,8368
1553560619,10513,10513
1553562546,12495,12495
1553564447,14173,14173
1553566368,14179,14179
1553568298,14163,14163
1553570220,14154,14154
1553572122,14154,14154
1553574049,14147,14147
1553575976,14131,14131
1553577874,14123,14123
1553579802,14099,14099
