DateTime,AddedIPs,RemovedIPs
1552669391,2,0
1552671387,1,1
1552673338,1,0
1552675213,3,2
1552677136,2,1
1552679082,1,5
1552680983,0,4
1552682912,2,2
1552684841,2,1
1552686731,2,1
1552690070,4,5
1552692036,2,2
1552695878,5,2
1552697793,1,1
1552699728,1,2
1552701885,4,4
1552703791,0,2
1552705708,2,1
1552707675,0,4
1552709562,1,3
1552713400,1,4
1552715319,1,3
1552717250,2,1
1552719163,0,3
1552721079,0,1
1552722990,0,2
1552724927,3,0
1552727010,1,4
1552728991,3,1
1552732826,0,2
1552734806,4,1
1552736708,1,1
1552738613,1,1
1552740526,1,1
1552742673,3,3
1552744589,1,0
1552746533,0,1
1552748691,3,1
1552750588,2,1
1552752570,1,1
1552754461,1,1
1552756597,1,1
1552758517,1,1
1552760471,1,1
1552762346,0,5
1552764268,2,0
1552766212,2,1
1552768105,4,1
1552771001,3,3
1552772902,1,2
1552774854,1,2
1552776744,2,2
1552779246,2,2
1552781206,2,2
1552783220,1,3
1552785146,3,1
1552787081,0,4
1552788980,5,1
1552790906,2,0
1552792836,2,2
1552794759,3,0
1552796666,2,1
1552798594,3,1
1552802601,2,1
1552804587,4,2
1552806545,4,0
1552808441,2,0
1552810350,3,2
1552812260,1,1
1552814201,4,4
1552816121,2,0
1552818017,4,0
1552819957,4,2
1552821911,1,3
1552823779,1,0
1552825715,3,1
1552827769,1,2
1552829781,2,2
1552831725,1,1
1552833623,0,2
1552835547,2,1
1552837481,0,2
1552839376,2,1
1552841305,0,1
1552843232,1,1
1552845149,2,1
1552847069,1,1
1552848996,2,0
1552850900,2,2
1552853779,1,5
1552855708,3,2
1552857646,1,2
1552859542,2,1
1552861490,1,1
1552863397,0,2
1552866365,1,4
1552868227,2,0
1552870117,2,2
1552872057,1,2
1552873989,1,1
1552875889,1,3
1552877813,2,2
1552879714,3,4
1552881946,2,2
1552883810,2,2
1552885738,0,2
1552887633,1,2
1552889560,1,1
1552891489,1,3
1552893387,3,4
1552895317,1,2
1552897251,3,2
1552899163,2,1
1552901099,0,4
1552903022,4,2
1552904935,1,6
1552907050,2,3
1552908998,4,1
1552910940,3,3
1552912823,3,1
1552914781,1,2
1552916659,2,1
1552918583,3,1
1552920529,1,0
1552922688,2,2
1552924600,2,0
1552926519,2,2
1552928577,1,1
1552930389,1,2
1552932293,2,1
1552934184,1,1
1552936123,2,2
1552938023,1,2
1552939956,1,0
1552942616,2,3
1552944526,2,2
1552946621,3,1
1552948601,0,2
1552952446,1,1
1552954385,2,2
1552956297,2,1
1552958205,0,2
1552960110,3,0
1552962074,2,2
1552963949,2,2
1552965872,4,3
1552967807,4,1
1552969742,0,2
1552971801,0,1
1552973778,0,1
1552975723,4,1
1552977650,2,1
1552979567,3,3
1552981485,1,1
1552983419,1,3
1552985310,2,2
1552987247,4,0
1552989172,3,3
1552991070,0,2
1552993016,2,2
1552994960,2,3
1552997024,1,2
1552998978,2,4
1553000925,3,2
1553002996,2,2
1553004997,1,3
1553006916,6,1
1553008854,0,2
1553010788,2,2
1553012697,3,2
1553014610,4,1
1553016516,2,1
1553018687,0,2
1553020586,1,1
1553022507,5,2
1553024421,3,1
1553026360,6,1
1553028280,0,1
1553030189,2,3
1553032132,1,2
1553034041,4,1
1553035942,2,0
1553037876,3,0
1553039802,1,2
1553041712,0,1
1553043851,3,2
1553045785,3,0
1553047762,0,4
1553049642,1,2
1553051553,0,3
1553053461,5,3
1553055651,1,2
1553057554,2,0
1553059476,3,0
1553063337,1,5
1553065404,2,3
1553067381,2,2
1553069295,3,0
1553071234,0,1
1553073141,4,4
1553075087,1,5
1553077020,2,0
1553078909,1,1
1553080818,1,3
1553082773,1,1
1553084670,5,1
1553086614,4,3
1553088540,1,1
1553090560,1,3
1553092571,3,4
1553094505,2,2
1553096610,2,2
1553098605,0,3
1553100499,2,2
1553102418,2,4
1553104348,3,0
1553106265,0,1
1553108205,1,2
1553110097,3,3
1553112122,1,5
1553113945,3,4
1553115944,1,1
1553117820,1,2
1553119733,3,3
1553121644,0,2
1553123555,1,4
1553125504,2,1
1553127412,1,0
1553129326,3,1
1553131262,0,4
1553133193,3,2
1553135094,2,1
1553138921,1,2
1553141158,1,3
1553143001,6,2
1553144951,0,3
1553146824,0,1
1553148763,1,0
1553150696,2,2
1553152594,3,1
1553154510,3,3
1553156442,2,2
1553158418,5,2
1553160369,3,2
1553162308,1,1
1553164357,1,3
1553166286,1,1
1553168180,1,1
1553170139,2,2
1553172033,1,5
1553173944,2,3
1553175867,1,1
1553177789,3,3
1553179699,2,1
1553181611,1,1
1553183529,3,2
1553185454,2,0
1553187368,0,3
1553189332,3,1
1553191303,1,3
1553193590,3,1
1553195567,1,1
1553197479,2,3
1553199418,1,1
1553201310,2,2
1553203237,4,2
1553205172,2,2
1553207076,2,1
1553209033,5,0
1553210927,1,2
1553213100,3,1
1553215012,5,2
1553216919,0,1
1553218825,1,1
1553220761,0,2
1553222696,3,2
1553224607,2,1
1553226514,1,0
1553228463,1,5
1553230355,0,2
1553232287,2,0
1553236131,0,3
1553238298,2,2
1553240190,3,3
1553242108,2,3
1553244040,3,3
1553245956,1,4
1553247888,1,2
1553249828,1,1
1553251717,3,1
1553253648,1,2
1553255555,1,1
1553257498,1,2
1553259386,3,2
1553261360,1,1
1553263516,1,1
1553265613,1,4
1553267579,2,0
1553269464,0,2
1553271424,1,4
1553273330,4,0
1553275405,6,3
1553277410,3,1
1553279322,5,2
1553281394,4,2
1553283425,1,2
1553285309,0,1
1553287241,2,2
1553289398,0,4
1553291325,1,2
1553293254,4,1
1553295148,2,6
1553297072,2,1
1553299017,0,2
1553300905,3,5
1553302983,2,1
1553304977,4,1
1553306934,2,0
1553308822,0,3
1553311023,1,2
1553312906,1,1
1553314819,2,1
1553316780,1,0
1553318668,0,2
1553320628,1,0
1553322504,2,0
1553324644,1,2
1553326593,3,3
1553328506,0,2
1553330414,1,3
1553332335,1,1
1553334262,3,1
1553336195,2,1
1553338114,0,3
1553340043,3,1
1553341932,3,1
1553343856,3,1
1553345781,0,3
1553347714,3,1
1553350604,1,1
1553352504,1,1
1553354444,0,2
1553356376,2,0
1553358281,1,1
1553360202,3,4
1553362123,1,7
1553364271,3,4
1553366186,1,3
1553368131,3,4
1553370022,0,1
1553371943,2,0
1553373901,1,2
1553377722,0,1
1553379653,2,4
1553381562,0,2
1553383478,2,2
1553385420,2,0
1553387330,0,3
1553389384,1,2
1553391186,2,4
1553393061,2,2
1553395000,2,0
1553398814,2,2
1553400737,1,1
1553402677,0,2
1553404581,2,0
1553406501,1,0
1553408448,2,3
