DateTime,Entries,UniqueIPs
1552705708,1126,1126
1552707675,1132,1132
1552709562,1119,1119
1552711487,1114,1114
1552713400,1115,1115
1552715320,1130,1130
1552717251,1123,1123
1552719164,1137,1137
1552721079,1136,1136
1552722991,1138,1138
1552724927,1134,1134
1552727011,1137,1137
1552728991,1139,1139
1552730923,1122,1122
1552732827,1132,1132
1552734807,1078,1078
1552736723,1094,1094
1552738614,1094,1094
1552740527,1105,1105
1552742674,1101,1101
1552744589,1099,1099
1552746534,1102,1102
1552748691,1102,1102
1552750588,1093,1093
1552752571,1091,1091
1552754462,1075,1075
1552756598,1067,1067
1552758517,1061,1061
1552760471,1072,1072
1552762347,1064,1064
1552764269,1047,1047
1552766212,1052,1052
1552768120,1052,1052
1552771002,1045,1045
1552772903,1050,1050
1552774855,1073,1073
1552776744,1077,1077
1552779247,1069,1069
1552781207,1059,1059
1552783220,1057,1057
1552785147,1058,1058
1552787082,1052,1052
1552788980,1065,1065
1552790906,1059,1059
1552792837,1057,1057
1552794760,1065,1065
1552796667,1067,1067
1552798594,1060,1060
1552800518,1051,1051
1552802620,1036,1036
1552804588,1034,1034
1552806546,1028,1028
1552808441,1011,1011
1552810350,1005,1005
1552812261,1007,1007
1552814202,1006,1006
1552816121,1008,1008
1552818018,1009,1009
1552819958,1006,1006
1552821912,1014,1014
1552823794,1000,1000
1552825715,975,975
1552827774,1009,1009
1552829782,1019,1019
1552831725,1030,1030
1552833624,1036,1036
1552835547,1041,1041
1552837481,1050,1050
1552839377,1059,1059
1552841306,1063,1063
1552843233,1090,1090
1552845150,1102,1102
1552847069,1088,1088
1552848997,1111,1111
1552850900,1135,1135
1552853779,1157,1157
1552855709,1180,1180
1552857647,1178,1178
1552859543,1197,1197
1552861490,1193,1193
1552863398,1205,1205
1552866366,1221,1221
1552868227,1238,1238
1552870118,1262,1262
1552872058,1275,1275
1552873990,1270,1270
1552875889,1270,1270
1552877814,1282,1282
1552879715,1278,1278
1552881946,1305,1305
1552883811,1310,1310
1552885739,1297,1297
1552887633,1326,1326
1552889560,1342,1342
1552891489,1362,1362
1552893387,1372,1372
1552895318,1375,1375
1552897252,1383,1383
1552899163,1380,1380
1552901099,1373,1373
1552903023,1388,1388
1552904936,1403,1403
1552907077,1416,1416
1552908999,1418,1418
1552910940,1437,1437
1552912824,1450,1450
1552914783,1444,1444
1552916660,1436,1436
1552918583,1441,1441
1552920530,1438,1438
1552922689,1443,1443
1552924601,1451,1451
1552926520,1460,1460
1552928585,1470,1470
1552930390,1466,1466
1552932296,1470,1470
1552934185,1465,1465
1552936123,1478,1478
1552938023,1478,1478
1552939957,1475,1475
1552942618,1453,1453
1552944526,1449,1449
1552946633,1452,1452
1552948602,1442,1442
1552950543,1435,1435
1552952446,1446,1446
1552954386,1449,1449
1552956298,1445,1445
1552958206,1429,1429
1552960111,1439,1439
1552962074,1440,1440
1552963950,1443,1443
1552965872,1438,1438
1552967808,1441,1441
1552969743,1452,1452
1552971801,1460,1460
1552973778,1431,1431
1552975723,1427,1427
1552977650,1416,1416
1552979567,1413,1413
1552981485,1419,1419
1552983419,1417,1417
1552985310,1419,1419
1552987248,1424,1424
1552989172,1421,1421
1552991071,1423,1423
1552993017,1426,1426
1552994961,1424,1424
1552997025,1417,1417
1552998979,1428,1428
1553000926,1419,1419
1553002997,1414,1414
1553004998,1417,1417
1553006916,1442,1442
1553008854,1431,1431
1553010789,1419,1419
1553012698,1419,1419
1553014611,1411,1411
1553016517,1410,1410
1553018688,1394,1394
1553020587,1379,1379
1553022508,1342,1342
1553024421,1309,1309
1553026360,1282,1282
1553028281,1258,1258
1553030189,1241,1241
1553032132,1237,1237
1553034042,1257,1257
1553035943,1258,1258
1553037877,1273,1273
1553039802,1264,1264
1553041713,1270,1270
1553043857,1256,1256
1553045785,1290,1290
1553047763,1302,1302
1553049642,1290,1290
1553051553,1274,1274
1553053461,1281,1281
1553055652,1279,1279
1553057555,1274,1274
1553059477,1290,1290
1553061383,1307,1307
1553063337,1308,1308
1553065410,1306,1306
1553067382,1305,1305
1553069295,1314,1314
1553071235,1335,1335
1553073142,1341,1341
1553075087,1343,1343
1553077021,1345,1345
1553078911,1334,1334
1553080819,1331,1331
1553082774,1316,1316
1553084670,1310,1310
1553086615,1315,1315
1553088541,1312,1312
1553090566,1310,1310
1553092571,1292,1292
1553094506,1277,1277
1553096611,1310,1310
1553098606,1309,1309
1553100500,1300,1300
1553102419,1304,1304
1553104348,1300,1300
1553106265,1312,1312
1553108206,1327,1327
1553110098,1354,1354
1553112131,1374,1374
1553113946,1368,1368
1553115944,1378,1378
1553117820,1378,1378
1553119734,1370,1370
1553121645,1362,1362
1553123555,1351,1351
1553125504,1344,1344
1553127412,1350,1350
1553129326,1346,1346
1553131263,1341,1341
1553133193,1322,1322
1553135094,1318,1318
1553137015,1310,1310
1553138922,1319,1319
1553141159,1293,1293
1553143001,1295,1295
1553144951,1305,1305
1553146824,1289,1289
1553148764,1284,1284
1553150696,1291,1291
1553152595,1287,1287
1553154510,1280,1280
1553156443,1275,1275
1553158419,1253,1253
1553160370,1261,1261
1553162309,1256,1256
1553164358,1247,1247
1553166287,1242,1242
1553168180,1247,1247
1553170139,1251,1251
1553172033,1232,1232
1553173944,1206,1206
