DateTime,AddedIPs,RemovedIPs
1552347871,2,0
1552349833,1,0
1552352067,3,0
1552353911,1,0
1552355852,1,1
1552357742,4,0
1552359803,3,0
1552361812,1,0
1552363731,1,0
1552365650,1,1
1552367652,4,0
1552369473,3,0
1552371429,2,0
1552373329,4,1
1552379098,2,0
1552380989,3,0
1552382930,2,0
1552385007,1,0
1552386985,1,0
1552388918,2,2
1552390839,1,0
1552392748,1,1
1552396596,2,1
1552400451,1,0
1552402337,3,0
1552404285,2,1
1552406208,1,0
1552408106,3,1
1552410189,3,0
1552414125,1,0
1552419879,3,3
1552421777,1,0
1552423705,1,1
1552425633,2,1
1552431391,1,3
1552435424,1,3
1552437399,0,1
1552439308,0,2
1552441241,3,2
1552443144,0,1
1552445067,2,3
1552446991,1,4
1552449162,1,1
1552451080,1,1
1552453006,2,2
1552454938,2,3
1552457074,1,4
1552458989,2,4
1552460915,1,0
1552462849,2,0
1552464742,0,2
1552466672,4,2
1552468577,0,2
1552470516,2,2
1552474349,4,2
1552476263,0,1
1552478208,2,2
1552480122,2,0
1552482134,1,1
1552483970,2,1
1552488046,0,2
1552489980,3,4
1552491911,2,1
1552495757,0,5
1552497685,0,1
1552501481,1,1
1552505331,2,2
1552507495,2,2
1552509390,1,1
1552511340,2,1
1552513298,1,1
1552515320,3,0
1552517139,0,1
1552519025,1,0
1552520929,1,1
1552524751,2,0
1552526681,2,1
1552528660,0,2
1552530806,1,1
1552532718,2,2
1552536525,1,2
1552538461,1,1
1552540395,1,1
1552542324,1,2
1552544235,1,2
1552546140,2,2
1552548083,2,0
1552549982,1,2
1552551888,1,3
1552553825,1,1
1552555974,0,1
1552557938,2,1
1552559857,0,3
1552561750,2,1
1552563643,1,1
1552565563,1,2
1552567486,0,1
1552569433,0,1
1552571317,1,2
1552573258,2,0
1552575180,0,2
1552577098,1,2
1552579011,0,1
1552580964,1,0
1552586963,0,1
1552591009,2,0
1552592925,0,4
1552596747,0,2
1552598672,1,2
1552600612,0,1
1552602673,1,2
1552604653,1,1
1552606826,5,0
1552608748,1,1
1552610696,1,2
1552612595,1,1
1552614511,2,1
1552616458,21,1
1552618356,0,2
1552620275,2,0
1552622217,1,0
1552624103,2,2
1552626204,0,1
1552628177,2,1
1552630155,1,1
1552632021,0,2
1552633946,2,1
1552635911,1,1
1552637785,1,1
1552639702,0,2
1552641657,1,0
1552643543,1,1
1552645709,5,1
1552647826,0,2
1552649776,1,1
1552651960,0,1
1552655804,1,0
1552657717,1,1
1552659647,0,2
1552661552,1,0
1552663499,1,1
1552665392,1,0
1552667346,0,1
1552669392,2,0
1552675214,4,0
1552677137,1,1
1552679083,2,1
1552680984,2,0
1552684842,0,1
1552686732,2,0
1552690071,2,1
1552692037,1,4
1552693947,1,2
1552695894,1,1
1552697794,0,1
1552699729,1,1
1552701886,0,17
1552703792,0,6
1552705709,0,1
1552707676,0,1
1552709563,1,3
1552715320,0,3
1552719164,1,1
1552721080,3,2
1552722992,3,0
1552724928,0,1
1552727012,2,1
1552730923,1,3
1552732827,1,3
1552734807,0,1
1552736723,1,0
1552738614,4,0
1552742674,0,1
1552744590,2,1
1552746534,3,0
1552748692,1,2
1552752571,1,1
1552754462,0,1
1552756598,3,1
1552758518,2,0
1552760472,1,3
1552762347,0,2
1552764269,0,2
1552768120,1,2
1552772904,0,2
1552774855,0,1
1552776745,0,1
1552779247,1,1
1552781207,1,1
1552783221,0,1
1552785147,1,1
1552787082,1,0
1552794760,1,0
1552796667,0,1
1552802640,2,0
1552804588,0,1
1552806546,1,1
1552808442,1,3
1552810351,0,2
1552812261,0,2
1552814202,2,0
1552818018,1,1
1552819958,0,1
1552821913,0,1
1552823794,1,0
1552825716,0,4
1552829782,1,0
1552831726,0,2
1552833625,0,3
1552835548,0,1
1552837482,0,1
1552841307,1,0
1552843233,1,4
1552845151,1,2
1552847070,1,0
1552850901,1,0
1552853780,1,1
1552857648,1,0
1552859543,1,0
1552863398,1,0
1552866367,1,1
1552868228,1,1
1552870118,1,0
1552872058,1,1
1552873990,2,1
1552877814,1,0
1552879716,0,1
1552887634,0,1
1552889561,2,1
1552891490,1,0
1552893388,0,1
1552895319,1,1
1552899164,1,0
1552901100,2,2
1552904936,1,1
1552907085,2,0
1552909000,2,1
1552914784,0,1
1552918584,1,0
1552926520,0,1
1552928592,1,1
1552932525,1,1
1552934410,1,1
1552936341,0,1
1552938273,1,0
1552940175,1,1
1552944527,0,1
1552946660,0,1
1552950543,0,1
1552954386,0,2
1552956298,1,1
1552958207,0,1
1552960111,0,2
1552963950,1,1
1552965873,1,0
1552971825,2,0
1552973779,2,0
1552975724,0,2
1552977651,1,1
1552979568,1,0
1552981486,0,1
1552983420,2,0
1552985311,1,1
1552987248,3,2
1552991071,0,1
1552993017,0,2
1552994961,0,2
1552997025,3,0
1553002997,1,0
1553004999,1,1
1553012698,1,0
1553014611,1,1
1553018689,0,1
1553020587,0,1
1553024422,1,1
1553026361,1,1
1553028281,2,0
1553032133,1,0
1553034042,2,0
1553035943,1,0
1553043859,1,1
1553045786,1,0
1553047763,1,0
1553049643,0,1
1553051568,0,1
1553055652,1,0
1553057555,0,1
1553059477,1,3
1553063338,3,0
1553065412,1,1
1553067382,0,1
1553069296,0,1
1553071236,1,2
1553073142,0,3
1553077021,1,0
1553080819,1,0
1553082774,1,3
1553084671,1,0
1553088541,0,1
1553090571,1,1
1553092572,1,0
1553098606,1,1
1553100500,1,1
1553102420,1,0
1553104349,2,0
1553106266,1,0
1553108206,3,0
1553110098,0,1
1553112139,0,1
1553113946,1,1
1553115945,0,1
1553117821,1,1
1553119734,0,1
1553121646,0,2
1553125505,1,0
1553129327,0,1
1553131263,1,1
1553135095,1,1
1553138922,1,0
1553141159,1,1
1553144952,1,0
1553146825,1,1
1553150697,0,3
1553152595,0,1
1553154511,1,0
1553156444,1,0
1553158419,1,1
1553160370,3,0
1553164358,2,1
1553168181,0,2
1553170140,2,0
1553172034,0,1
1553175868,1,0
1553177790,0,2
1553179700,1,0
1553183530,1,0
1553185455,0,2
1553187369,1,0
1553189333,0,1
1553191317,0,3
1553195569,0,3
1553199419,2,1
1553203238,1,0
1553205173,1,1
1553210928,0,1
1553216920,0,1
1553220762,0,1
1553222697,1,0
1553224608,0,1
1553228464,0,1
1553230356,0,1
1553232288,1,0
1553234202,2,1
1553238300,1,0
1553240191,1,1
1553242109,0,1
1553244041,0,1
1553245957,0,2
1553247889,0,1
1553249830,0,1
1553251718,0,1
1553255556,0,2
1553261361,1,1
1553265640,1,1
1553267581,1,0
1553269465,0,1
1553273332,1,1
1553277411,1,0
1553285310,1,2
1553287242,2,0
1553289399,3,1
1553291326,1,1
1553297073,1,0
1553302994,1,0
1553308823,0,1
1553318669,0,1
1553320630,0,2
1553324650,0,1
1553326594,0,1
1553330415,1,0
1553338116,1,0
1553341933,1,0
1553347716,1,0
1553350605,0,1
1553352505,0,2
1553354445,1,0
1553360203,0,1
1553364273,0,1
1553371944,0,2
1553373902,0,1
1553375802,2,3
1553377724,0,1
1553381563,1,0
1553383480,0,1
1553389393,1,1
1553395233,1,0
1553399096,1,0
1553406766,1,0
1553412503,2,0
1553416576,0,1
1553418529,3,0
1553420448,1,0
1553424274,0,1
1553428357,1,1
1553430275,1,0
1553432518,1,0
