DateTime,AddedIPs,RemovedIPs
1552522864,2,0
1552524752,1,1
1552526681,2,0
1552528661,1,3
1552530807,2,2
1552532718,2,0
1552534617,1,3
1552536526,0,5
1552538462,0,2
1552540395,2,2
1552542324,3,2
1552544236,1,0
1552546140,0,5
1552548084,0,1
1552551889,0,2
1552553825,1,1
1552555975,1,0
1552559857,0,1
1552561751,1,0
1552563644,0,2
1552565563,0,2
1552567486,1,3
1552569433,0,2
1552571318,0,3
1552573259,1,5
1552577099,1,0
1552579011,0,1
1552580964,1,0
1552582997,8,1
1552585009,0,2
1552586963,0,1
1552589105,1,0
1552591010,1,0
1552592925,0,1
1552598672,0,1
1552600613,3,2
1552602674,1,2
1552604660,2,0
1552606826,1,3
1552608749,1,1
1552610697,1,1
1552612596,2,1
1552616459,0,2
1552618357,0,2
1552620275,0,2
1552622218,1,1
1552626205,1,3
1552628178,1,1
1552630155,5,1
1552633946,3,1
1552639703,1,3
1552641658,0,2
1552645710,2,0
1552647857,0,1
1552649777,0,2
1552651961,1,0
1552653895,0,2
1552655805,1,0
1552657718,3,1
1552659647,2,0
1552661553,1,1
1552663499,2,0
1552665392,1,1
1552667346,3,0
1552669393,0,1
1552673339,3,0
1552675214,1,0
1552677137,1,0
1552679084,3,0
1552680984,1,2
1552682914,4,0
1552684843,1,0
1552686732,0,4
1552690071,2,2
1552692038,0,2
1552693948,0,1
1552695894,0,1
1552697795,1,2
1552701886,3,1
1552703792,0,2
1552707676,1,1
1552709564,2,0
1552711488,0,1
1552713401,3,0
1552715321,2,1
1552717252,1,1
1552721080,1,2
1552724928,0,2
1552727012,0,1
1552728992,1,0
1552730924,1,1
1552742675,0,2
1552744590,0,3
1552746535,0,1
1552748692,0,1
1552750589,1,2
1552754463,1,2
1552756598,1,0
1552758518,1,0
1552762348,2,1
1552764270,1,1
1552766213,0,4
1552768121,1,2
1552771003,2,3
1552772904,2,1
1552776745,0,1
1552779248,4,0
1552781208,2,0
1552783221,0,1
1552785148,1,1
1552787083,2,0
1552788981,1,0
1552792838,2,1
1552796668,2,1
1552798595,1,2
1552800518,1,2
1552802645,0,2
1552804589,0,1
1552806547,0,1
1552808442,1,0
1552810354,1,0
1552814203,1,1
1552816122,2,0
1552818019,1,2
1552819958,0,1
1552823795,1,0
1552825716,3,0
1552827778,3,1
1552831726,2,2
1552837482,2,0
1552839378,6,1
1552841307,0,1
1552843234,1,1
1552845151,0,1
1552847071,3,0
1552848998,2,1
1552850902,1,0
1552853781,2,0
1552855725,1,0
1552857649,1,3
1552859544,1,1
1552861491,1,0
1552863399,3,2
1552866367,3,5
1552868228,4,1
1552870119,5,0
1552873991,1,2
1552875890,0,1
1552877815,0,2
1552879716,1,1
1552881947,2,1
1552883812,1,0
1552885740,3,3
1552887635,1,4
1552889562,1,2
1552891490,3,0
1552897253,1,1
1552899165,1,0
1552901100,1,0
1552903024,2,1
1552904937,1,0
1552907089,0,1
1552909000,0,1
1552910941,1,1
1552912825,0,4
1552914784,0,2
1552916661,1,0
1552920531,2,0
1552922690,2,0
1552924601,0,1
1552926521,2,2
1552928597,2,1
1552930573,2,2
1552932526,1,0
1552934410,6,1
1552936341,1,0
1552938273,1,1
1552940176,1,3
1552942619,2,1
1552946677,1,4
1552948603,2,2
1552950544,0,2
1552952447,0,3
1552954387,1,1
1552956299,2,3
1552958207,0,1
1552960112,1,1
1552962075,0,1
1552963951,2,0
1552965874,2,1
1552969744,1,2
1552971835,0,2
1552975724,2,2
1552977652,0,3
1552983421,1,1
1552985311,2,2
1552987249,0,1
1552989173,0,3
1552991072,0,2
1552993018,0,2
1552994962,0,1
1552997039,3,0
1552998980,0,1
1553000927,3,1
1553002998,2,1
1553004999,1,2
1553006917,0,1
1553008856,0,1
1553010789,2,1
1553014612,1,2
1553016518,0,2
1553018689,2,1
1553020588,0,2
1553022509,2,1
1553024422,0,1
1553026361,3,0
1553028282,2,1
1553030190,1,0
1553032134,1,1
1553035944,2,4
1553037878,2,1
1553039803,1,1
1553041714,2,2
1553043861,1,0
1553045786,2,3
1553047764,1,1
1553051569,1,1
1553053462,0,2
1553055653,1,5
1553057556,1,0
1553059478,2,1
1553067383,1,0
1553069296,0,1
1553071236,1,1
1553073143,1,0
1553077022,2,0
1553078926,0,1
1553080820,1,1
1553082775,5,1
1553084671,1,0
1553086616,4,0
1553088542,1,2
1553092572,1,3
1553094507,1,0
1553096612,2,0
1553098607,1,2
1553100501,1,0
1553102420,1,0
1553104349,1,1
1553106266,0,1
1553108207,3,2
1553110099,3,0
1553112145,2,4
1553113947,0,1
1553115946,0,2
1553117821,1,1
1553119735,1,1
1553121646,2,0
1553123556,1,2
1553125505,2,1
1553127413,2,1
1553129327,1,4
1553131264,0,2
1553137016,1,0
1553138923,0,2
1553143002,2,1
1553144952,0,3
1553146825,1,0
1553148765,1,1
1553150698,3,3
1553152596,1,2
1553156444,0,1
1553160371,1,0
1553164359,1,1
1553166288,1,2
1553168181,1,1
1553170141,1,3
1553173945,0,1
1553175869,1,1
1553177791,1,0
1553179701,5,1
1553181613,1,6
1553183530,0,3
1553185455,1,3
1553187370,0,2
1553189334,1,2
1553195569,3,5
1553197480,2,2
1553199419,1,0
1553201312,2,0
1553205174,1,2
1553207078,1,3
1553210929,1,0
1553213103,2,0
1553215014,1,0
1553216920,0,1
1553218827,0,1
1553220762,3,0
1553222698,0,1
1553228465,2,1
1553230356,1,1
1553232288,2,1
1553236133,0,2
1553238301,0,3
1553240192,1,0
1553242110,0,1
1553244042,1,0
1553245957,1,1
1553247890,0,2
1553249830,0,1
1553251718,0,1
1553253650,1,2
1553255557,1,1
1553259388,0,1
1553261361,1,3
1553263547,0,2
1553265669,118,3
1553267582,0,3
1553271433,3,2
1553273332,1,1
1553277412,1,0
1553279323,1,0
1553283427,0,3
1553285311,3,0
1553287242,3,2
1553289399,4,0
1553291326,3,2
1553293256,4,0
1553295149,2,1
1553297074,1,2
1553299019,2,1
1553300906,1,3
1553303009,5,14
1553304979,1,1
1553306936,2,6
1553311025,1,0
1553312907,0,1
1553314821,0,2
1553316782,1,1
1553318669,0,1
1553320630,0,1
1553322506,1,0
1553324654,16,0
1553326595,3,1
1553332337,2,1
1553338117,1,1
1553340045,2,1
1553341934,3,0
1553343857,3,0
1553345782,1,0
1553347716,0,1
1553350605,5,2
1553352506,2,110
1553354445,1,0
1553356378,3,0
1553358283,0,8
1553360203,1,0
1553362125,2,0
1553364274,2,1
1553366188,1,0
1553368133,1,1
1553370023,1,0
1553371945,1,2
1553373903,1,4
1553379654,1,0
1553381564,2,3
1553383480,0,1
1553385422,3,3
1553387332,0,1
1553389396,3,5
1553391382,0,1
1553393352,1,2
1553395234,2,1
1553399096,1,0
1553401003,1,1
1553402911,1,0
1553408663,1,1
1553410633,0,3
1553412504,1,0
1553414590,3,0
1553416576,2,0
1553420449,1,2
1553422345,1,0
1553426454,1,1
1553428357,1,1
1553430276,1,1
1553432520,2,1
1553434375,3,1
1553436303,4,2
1553438195,0,3
1553440122,0,2
1553442061,2,1
1553444211,1,1
1553446128,2,2
1553448029,4,2
1553449973,0,2
1553451891,0,1
1553453788,2,0
1553455709,3,1
1553457801,1,2
1553459779,0,1
1553461700,1,1
1553463640,2,2
1553467714,2,3
1553470496,4,0
1553472354,0,1
1553474201,2,2
1553476387,2,2
1553478551,0,1
1553480493,0,1
1553482380,3,0
1553484295,7,0
1553486248,1,0
1553488131,1,1
1553490325,1,1
1553494150,1,0
1553496067,1,0
1553497979,3,0
1553499881,0,2
1553503736,2,1
1553505634,1,0
1553507581,0,4
1553509488,1,1
1553511442,2,2
1553513337,0,2
1553515418,1,2
1553517401,1,0
1553519351,0,2
1553521275,1,2
1553527262,3,1
1553529156,1,2
1553531089,1,1
1553532900,2,1
1553534939,1,1
1553537144,1,1
