DateTime,AddedIPs,RemovedIPs
1543886687,1,0
1543934206,1,0
1543946225,0,76
1543954144,0,1
1543960369,1,0
1543968355,1,0
1543972368,0,1
1544006695,1,0
1544020632,0,1
1544032613,1,0
1544046266,0,1
1544056106,0,1
1544068366,1,0
1544072215,1,0
1544076323,1,0
1544090197,1,0
1544092130,0,1
1544109418,1,0
1544118994,0,1
1544126701,76,0
1544152394,1,0
1544154403,0,1
1544158130,0,1
1544164370,0,1
1544172301,69,0
1544174222,851,0
1544176133,1406,0
1544178073,1258,0
1544195588,0,1
1544213339,0,57
1544215249,1,0
1544230941,1,0
1544244512,1,0
1544250313,1,0
1544260156,1,702
1544262054,0,1185
1544263958,0,1693
1544266115,0,25
1544285817,1,0
1544297555,1,0
1544301664,0,1
1544317514,0,1
1544331176,0,1
1544336910,0,1
1544346760,0,1
1544354446,1,0
1544371840,0,1
1544383467,0,1
1544389311,1,0
1544456464,1,0
1544481861,0,1
1544487456,1,0
1544499422,77,0
1544515341,0,1
1544543324,0,1
1544573244,0,1
1544583155,0,77
1544615875,1,0
1544634529,1,0
1544703900,0,1
1544717610,0,1
1544728858,1,0
1544814277,0,1
1544825774,1,0
1544853138,1,0
1544909084,1,0
1544912896,0,1
1544940270,0,1
1544978933,1,0
1544996431,0,1
1545027661,1,0
1545064597,0,1
1545111661,0,1
1545146683,1,0
1545231407,0,1
1545266902,1,0
1545352842,0,1
1545426988,77,0
1545501889,1,0
1545527096,1,0
1545528997,0,77
1545588144,0,1
1545601873,1,0
1545612516,0,1
1545662918,1,0
1545688398,0,1
1545747160,0,1
1545798525,1,0
1545825881,1,0
1545885376,0,1
1545900984,1,0
1545912982,0,1
1545985460,0,1
1546144824,1,0
1546229787,0,1
1546320286,1,0
1546322181,1,0
1546365406,1,0
1546392323,1,0
1546407637,0,1
1546409802,0,1
1546452525,0,1
1546456623,78,0
1546464772,1,0
1546477356,0,1
1546542326,0,1
1546544225,1,77
1546555979,0,1
1546608029,1,0
1546630159,0,1
1546679575,1,0
1546693318,0,1
1546764038,0,1
1546809875,1,0
1546837028,1,0
1546874200,1,0
1546897760,0,1
1546961112,0,1
1546978866,0,1
1546987452,1,0
1546995419,1,0
1547075075,0,1
1547080863,0,1
1547382992,1,0
1547469294,1,0
1547471126,0,1
1547480949,1,0
1547554874,1,1
1547560611,3,0
1547562539,2,0
1547566630,1,1
1547576708,1,0
1547607971,1,0
1547641500,0,1
1547647508,0,3
1547649662,0,2
1547653470,0,1
1547661380,0,1
1547693096,0,1
1547730282,1,0
1547734108,1,0
1547741791,1,0
1547745639,1,0
1547751865,1,0
1547753783,1,0
1547755985,1,0
1547759802,1,0
1547763864,1,0
1547765778,3,0
1547767710,2,0
1547796979,1,0
1547807091,1,0
1547810902,1,0
1547813163,1,0
1547817166,0,1
1547820999,0,1
1547827290,0,1
1547831149,0,1
1547839230,0,1
1547841140,0,1
1547843096,0,1
1547847148,0,1
1547849072,0,1
1547850991,0,2
1547853189,0,3
1547884847,0,1
1547892777,0,1
1547898502,0,1
1547901398,1,1
1547958772,1,0
1547964768,1,0
1547983964,1,0
1547987784,0,1
1548003384,1,0
1548025521,1,0
