DateTime,Entries,UniqueIPs
1543886687,78,78
1543934206,79,79
1543946225,3,3
1543954144,2,2
1543960369,3,3
1543968355,4,4
1543972368,3,3
1544006695,4,4
1544020632,3,3
1544032613,4,4
1544046266,3,3
1544056106,2,2
1544068366,3,3
1544072215,4,4
1544076323,5,5
1544090197,6,6
1544092130,5,5
1544109418,6,6
1544118994,5,5
1544126701,81,81
1544152394,82,82
1544154403,81,81
1544158130,80,80
1544164370,79,79
1544172301,148,148
1544174222,999,999
1544176133,2405,2405
1544178073,3663,3663
1544195588,3662,3662
1544213339,3605,3605
1544215249,3606,3606
1544230941,3607,3607
1544244512,3608,3608
1544250313,3609,3609
1544260156,2908,2908
1544262054,1723,1723
1544263958,30,30
1544266115,5,5
1544285817,6,6
1544297555,7,7
1544301664,6,6
1544317514,5,5
1544331176,4,4
1544336910,3,3
1544346760,2,2
1544354446,3,3
1544371840,2,2
1544383467,1,1
1544389311,2,2
1544456464,3,3
1544481861,2,2
1544487456,3,3
1544499422,80,80
1544515341,79,79
1544543324,78,78
1544573244,77,77
1544583155,0,0
1544615875,1,1
1544634529,2,2
1544703900,1,1
1544717610,0,0
1544728858,1,1
1544814277,0,0
1544825774,1,1
1544853138,2,2
1544909084,3,3
1544912896,2,2
1544940270,1,1
1544978933,2,2
1544996431,1,1
1545027661,2,2
1545064597,1,1
1545111661,0,0
1545146683,1,1
1545231407,0,0
1545266902,1,1
1545352842,0,0
1545426988,77,77
1545501889,78,78
1545527096,79,79
1545528997,2,2
1545588144,1,1
1545601873,2,2
1545612516,1,1
1545662918,2,2
1545688398,1,1
1545747160,0,0
1545798525,1,1
1545825881,2,2
1545885376,1,1
1545900984,2,2
1545912982,1,1
1545985460,0,0
1546144824,1,1
1546229787,0,0
1546320286,1,1
1546322181,2,2
1546365406,3,3
1546392323,4,4
1546407637,3,3
1546409802,2,2
1546452525,1,1
1546456623,79,79
1546464772,80,80
1546477356,79,79
1546542326,78,78
1546544225,2,2
1546555979,1,1
1546608029,2,2
1546630159,1,1
1546679575,2,2
1546693318,1,1
1546764038,0,0
1546809875,1,1
1546837028,2,2
1546874200,3,3
1546897760,2,2
1546961112,1,1
1546978866,0,0
1546987452,1,1
1546995419,2,2
1547075075,1,1
1547080863,0,0
1547382992,1,1
1547469294,2,2
1547471126,1,1
1547480949,2,2
1547554874,2,2
1547560611,5,5
1547562539,7,7
1547566630,7,7
1547576708,8,8
1547607971,9,9
1547641500,8,8
1547647508,5,5
1547649662,3,3
1547653470,2,2
1547661380,1,1
1547693096,0,0
1547730282,1,1
1547734108,2,2
1547741791,3,3
1547745639,4,4
1547751865,5,5
1547753783,6,6
1547755985,7,7
1547759802,8,8
1547763864,9,9
1547765778,12,12
1547767710,14,14
1547796979,15,15
1547807091,16,16
1547810902,17,17
1547813163,18,18
1547817166,17,17
1547820999,16,16
1547827290,15,15
1547831149,14,14
1547839230,13,13
1547841140,12,12
1547843096,11,11
1547847148,10,10
1547849072,9,9
1547850991,7,7
1547853189,4,4
1547884847,3,3
1547892777,2,2
1547898502,1,1
1547901398,1,1
1547958772,2,2
1547964768,3,3
1547983964,4,4
1547987784,3,3
1548003384,4,4
1548025521,5,5
1548044949,4,4
1548046954,5,5
1548050774,4,4
1548070622,3,3
1548090339,2,2
1548098220,3,3
1548111965,2,2
1548125787,3,3
1548133530,2,2
1548141179,3,3
1548151010,4,4
1548154937,5,5
1548183908,4,4
1548195633,5,5
1548211738,4,4
1548217475,5,5
1548227569,4,4
1548237335,3,3
1548239687,2,2
1548281566,1,1
1548301308,2,2
1548307513,1,1
1548334955,2,2
1548337009,3,3
1548355236,4,4
1548386702,4,4
1548390801,5,5
1548421976,3,3
1548439995,2,2
1548451961,3,3
1548453941,4,4
1548467574,5,5
1548473355,4,4
1548477161,3,3
1548516066,4,4
1548537637,3,3
1548541489,2,2
1548553032,1,1
1548601744,0,0
1548623792,1,1
1548647799,2,2
1548649648,4,4
1548655500,5,5
1548665135,6,6
1548669184,7,7
1548671088,8,8
1548679250,9,9
1548710208,8,8
1548714080,9,9
1548716234,10,10
1548726274,11,11
1548735890,8,8
1548741733,8,8
1548751495,7,7
1548755337,6,6
1548757257,5,5
1548764918,4,4
1548800917,3,3
1548802971,2,2
1548809576,3,3
1548811477,2,2
1548821366,3,3
1548829248,2,2
1548845075,3,3
1548877020,81,81
1548897193,80,80
1548909172,79,79
1548930780,78,78
1548936531,79,79
1548967733,80,80
1548985476,81,81
1548987691,82,82
1549024630,81,81
1549028446,3,3
1549055559,2,2
1549071396,1,1
1549073576,0,0
1549196696,1,1
1549202934,2,2
1549244000,3,3
1549284776,2,2
1549288906,1,1
1549328197,0,0
1549352676,1,1
1549437896,0,0
1549500269,1,1
1549546380,2,2
1549552157,3,3
1549587161,2,2
1549604941,3,3
1549616720,4,4
1549639995,3,3
1549649563,2,2
1549661081,3,3
1549691794,2,2
1549703347,1,1
1549705268,2,2
1549747713,1,1
1549756127,2,2
1549771741,3,3
1549775554,4,4
1549783258,5,5
1549790935,4,4
1549829561,5,5
1549843000,4,4
1549856687,5,5
1549858864,4,4
1549860777,5,5
1549862709,4,4
1549870596,3,3
1549915752,2,2
1549942862,1,1
1549946702,0,0
1550022260,1,1
1550040512,2,2
1550056399,3,3
1550081311,4,4
1550110140,3,3
1550125718,4,4
1550127745,3,3
1550143012,2,2
1550152623,3,3
1550166308,2,2
1550189801,3,3
1550214765,4,4
1550226269,3,3
1550239716,2,2
1550272853,397,397
1550274762,1537,1537
1550276697,3147,3147
1550278585,3677,3677
1550299715,3678,3678
1550352281,3679,3679
1550358357,3674,3674
1550360465,2638,2638
1550362388,1267,1267
1550364312,3,3
1550366218,2,2
1550416138,1,1
1550437489,0,0
1550447567,1,1
1550466522,3,3
1550533985,2,2
1550551477,0,0
1550623971,1,1
1550628086,2,2
1550641480,3,3
1550651056,4,4
