DateTime,AddedIPs,RemovedIPs
1553312434,3,10
1553313150,6,7
1553313879,7,8
1553314591,7,6
1553315313,3,3
1553316028,3,3
1553316762,4,3
1553317721,3,3
1553318429,2,8
1553319154,2,8
1553319871,1,2
1553320603,4,1
1553321310,1,0
1553322038,1,0
1553322755,1,5
1553323478,3,2
1553324187,0,6
1553324923,6,2
1553325609,2,1
1553326347,1,0
1553327052,1,3
1553327790,2,2
1553328492,1,3
1553329952,2,6
1553330671,3,4
1553331386,1,1
1553332121,2,6
1553332830,5,1
1553333560,1,1
1553334250,3,3
1553334973,3,2
1553335693,6,0
1553336415,3,0
1553337140,3,1
1553337857,1,2
1553338571,3,4
1553339322,3,4
1553340028,1,3
1553340755,5,4
1553341469,5,0
1553342190,3,6
1553342909,2,0
1553343645,1,2
1553344332,3,5
1553345055,5,5
1553345767,2,2
1553346499,1,1
1553347209,2,3
1553347938,3,3
1553348652,2,4
1553349392,4,1
1553350092,2,2
1553350813,3,1
1553351530,6,1
1553352251,3,4
1553352966,5,0
1553353694,2,6
1553354409,3,0
1553355137,0,2
1553355850,2,3
1553356574,6,3
1553357293,2,3
1553358008,4,2
1553358981,3,3
1553359689,2,2
1553360427,2,1
1553361136,3,3
1553361854,6,3
1553362568,3,2
1553363296,2,6
1553364017,2,3
1553364736,2,3
1553365455,2,2
1553366169,2,2
1553366891,1,5
1553367628,4,5
1553368336,5,2
1553369051,3,4
1553369769,2,0
1553370742,0,2
1553371453,3,3
1553372177,3,2
1553372889,2,4
1553373612,2,1
1553374332,2,4
1553375324,2,3
1553376033,3,1
1553376754,3,2
1553377473,5,1
1553378191,1,3
1553378910,2,0
1553379630,3,2
1553380357,2,5
1553381071,3,2
1553381787,3,0
1553382518,1,8
1553383227,4,0
1553383952,6,0
1553384673,1,0
1553385391,2,5
1553386572,1,4
1553387291,5,6
1553388009,2,5
1553388731,4,4
1553389722,5,1
1553390429,5,4
1553391158,4,8
1553391848,3,2
1553392570,5,4
1553393322,1,1
1553394043,4,4
1553394759,7,10
1553395469,9,10
1553396191,7,5
1553396910,7,9
1553397633,8,5
1553398352,2,4
1553399077,6,5
1553399794,6,7
1553400514,11,7
1553401226,1,7
1553401965,3,5
1553402650,3,2
1553403371,6,4
1553404121,5,2
1553404830,1,4
1553405558,3,2
1553406269,2,0
1553406990,1,1
1553407710,1,4
1553408434,1,4
1553409152,2,4
1553409874,3,0
1553410594,4,2
1553411327,4,3
1553412007,3,3
1553412733,1,3
1553413455,3,1
1553414179,4,2
1553414910,1,4
1553415632,2,3
1553416357,1,1
1553417078,0,3
1553417787,2,0
1553418515,3,0
1553419236,4,2
1553419960,5,3
1553420650,1,6
1553421371,2,1
1553422093,3,4
1553422815,4,2
1553423529,7,1
1553424255,4,2
1553424968,4,0
1553425968,1,9
1553426655,2,2
1553427371,6,5
1553428338,3,1
1553429053,1,2
1553429781,3,1
1553430516,0,4
1553431238,2,5
1553431948,1,1
1553432674,3,2
1553433393,3,3
1553434112,4,5
1553434837,1,4
1553435553,3,6
1553436280,2,2
1553436996,6,0
1553437710,4,2
1553438429,2,1
1553439175,3,1
1553439871,3,1
1553440596,2,3
1553441320,1,4
1553442038,7,1
1553442751,2,5
1553443763,3,1
1553444429,3,1
1553445159,4,2
1553446107,4,6
1553446826,5,4
1553447536,0,1
1553448256,3,2
1553448976,0,6
1553449695,3,2
1553450425,5,3
1553451133,5,0
1553451860,1,3
1553452569,3,2
