DateTime,AddedIPs,RemovedIPs
1553028986,8,10
1553030141,9,22
1553030910,4,5
1553032598,24,19
1553033742,14,3
1553035244,30,22
1553036183,8,10
1553037274,10,14
1553039136,19,14
1553040873,16,13
1553042447,19,16
1553043394,13,5
1553044488,17,6
1553045631,19,15
1553048067,25,25
1553049760,24,15
1553050604,15,10
1553051752,16,11
1553053237,30,22
1553054451,10,14
1553055640,11,10
1553056850,14,19
1553057793,14,8
1553058880,18,10
1553059706,8,8
1553060560,13,12
1553061388,14,8
1553062477,10,18
1553063728,10,13
1553064952,15,14
1553066143,10,14
1553067777,20,14
1553069428,32,12
1553070598,21,13
1553071810,17,6
1553073037,12,11
1553074962,28,18
1553075785,9,9
1553076889,17,7
1553078452,35,11
1553080042,19,12
1553081319,21,9
1553084065,41,15
1553085335,15,15
1553086482,21,11
1553087740,26,13
1553088935,21,12
1553090126,20,17
1553091265,5,6
1553092550,5,15
1553093727,6,8
1553094866,10,18
1553096139,6,15
1553098240,19,19
1553100179,34,26
1553100985,12,3
1553102143,22,11
1553103645,27,22
1553105676,30,24
1553106521,9,9
1553107844,35,36
1553109036,25,18
1553110255,22,22
1553111741,24,23
1553112944,12,13
1553114433,20,24
1553116237,26,26
1553117439,12,11
1553119567,17,32
1553121053,12,12
1553122489,12,4
1553123742,23,14
1553124504,7,5
1553126136,14,27
1553127274,9,18
1553128849,20,23
1553129810,11,15
1553131714,10,21
1553133025,16,31
1553134483,5,19
1553135836,13,11
1553137006,8,11
1553138067,11,9
1553139650,17,14
1553141093,14,12
1553142357,6,6
1553144144,6,18
1553145267,6,10
1553146916,12,12
1553148886,24,10
1553149707,32,5
1553151028,40,23
1553152488,31,23
1553153655,20,22
1553155009,18,11
1553156151,25,17
1553158201,29,21
1553159667,21,15
1553160945,30,14
1553162142,9,24
1553163284,15,19
1553164953,17,35
1553167704,42,28
1553168922,14,17
1553170473,37,12
1553171744,4,26
1553173201,6,22
1553174070,2,5
1553174904,21,4
1553176228,2,23
1553177437,22,7
1553178527,8,15
1553179826,9,26
1553181277,8,19
1553182110,4,2
1553184355,19,22
1553185852,8,13
1553187337,5,11
1553188546,16,9
1553189727,10,11
1553190926,17,11
1553192064,18,8
1553193647,26,15
1553195438,32,18
1553195664,6,0
1553196946,11,15
1553198741,14,28
1553199277,1,7
1553200106,15,5
1553201399,14,13
1553202864,25,22
1553204146,14,15
1553205325,17,10
1553206157,10,10
1553207319,11,8
1553208523,9,15
1553209837,21,13
1553211048,17,12
1553212315,10,16
1553213434,11,11
1553214794,23,17
1553216133,24,9
1553217343,17,17
1553218846,19,18
1553219797,24,10
1553220938,14,22
1553222567,18,17
1553224550,17,22
1553226047,27,21
1553228086,26,23
1553229345,19,19
1553230486,17,6
1553231702,10,17
1553233248,24,17
1553234207,18,12
1553236266,28,31
1553237787,37,20
1553238876,4,24
1553241346,32,42
1553242467,8,22
1553244046,22,26
1553244994,23,13
1553246067,13,19
1553247340,11,27
1553248602,4,9
1553249683,6,19
1553250506,10,5
1553251824,21,22
1553253043,4,12
1553254253,8,21
1553255565,14,11
1553256879,18,16
1553258135,11,20
