DateTime,AddedIPs,RemovedIPs
1552367687,3,2
1552369371,7,1
1552370605,7,3
1552372271,8,3
1552372963,2,1
1552374651,12,3
1552375713,5,1
1552377393,11,5
1552378472,8,2
1552379308,2,2
1552381034,8,5
1552382447,5,2
1552383636,5,5
1552384591,2,0
1552385682,0,1
1552387536,0,1
1552389272,1,0
1552390955,1,0
1552392890,6,2
1552393711,5,2
1552395041,4,2
1552396487,1,2
1552397317,2,0
1552399002,0,2
1552401772,1,3
1552402610,0,1
1552403742,1,0
1552405370,1,12
1552406197,0,1
1552407344,1,1
1552408111,5,0
1552409751,8,1
1552410884,7,5
1552412553,8,4
1552413391,5,0
1552414486,5,0
1552416080,5,3
1552417183,6,3
1552418446,4,0
1552420071,5,2
1552421670,10,1
1552422822,5,0
1552424190,9,1
1552425287,2,1
1552426116,1,0
1552427798,13,2
1552428869,4,1
1552430428,5,5
1552432485,5,6
1552434166,10,2
1552436088,4,2
1552437684,7,0
1552439687,5,3
1552440527,1,0
1552441660,2,4
1552443289,3,1
1552444976,4,2
1552445813,4,0
1552446939,2,1
1552448492,6,3
1552450476,12,1
1552451331,2,0
1552454073,12,1
1552455692,10,1
1552456846,7,1
1552458529,9,2
1552459359,4,1
1552461359,0,2
1552462535,0,2
1552463794,3,0
1552466140,1,0
1552468475,1,0
1552469310,0,2
1552470933,2,3
1552472083,0,1
1552473351,1,1
1552475450,0,8
1552477359,0,7
1552478192,0,1
1552479280,1,10
1552480119,0,1
1552481802,1,13
1552482879,1,6
1552484445,33,2
1552486480,33,6
1552487979,21,11
1552489836,27,5
1552491029,13,18
1552492191,13,0
1552493451,13,10
1552494658,18,4
1552496200,16,1
1552497270,9,10
1552498550,9,6
1552500871,16,3
1552502537,10,4
1552504472,15,5
1552505311,1,0
1552506467,6,4
1552508086,8,8
1552509758,11,8
1552513000,12,8
1552514138,5,1
1552516123,6,4
1552517447,7,7
1552518651,7,2
1552520572,8,4
1552522471,4,2
1552524085,5,9
1552525856,6,3
1552527117,3,3
1552528547,4,3
1552529695,5,2
1552530900,6,1
1552532055,2,1
1552533296,4,4
1552534112,3,0
1552534982,1,4
1552535814,1,0
1552536874,0,4
1552537713,0,1
1552538571,0,4
1552540476,0,6
1552542180,0,5
1552543561,1,0
1552546233,4,9
1552547697,0,5
1552549390,1,8
1552551274,3,3
1552553264,0,10
1552554875,1,7
1552556573,1,1
1552558490,0,1
1552559316,0,1
1552562092,4,5
1552563308,1,8
1552565139,1,3
1552565687,0,1
1552566872,1,1
1552567996,0,1
1552569342,0,1
1552571663,1,3
1552572934,0,1
1552573710,0,1
1552576549,2,2
1552577727,1,13
1552579003,1,2
1552580147,1,3
1552581682,0,4
1552582613,1,1
1552583743,0,2
1552584510,0,1
1552585481,0,2
1552586761,1,3
1552589789,1,3
1552590956,1,3
1552592692,1,2
1552594469,5,3
1552596171,0,3
1552598083,2,4
1552600601,1,6
1552601753,0,1
1552605274,2,6
1552606881,0,410
1552631734,388,26
1552636235,0,1
1552942714,84,620
1552945237,3,1
1552946189,0,1
1552947320,1,1
1552948970,0,3
1552952444,0,1
1552955333,1,0
1552956475,1,1
1552957648,0,1
1552959066,1,0
1552961160,0,1
1552963019,0,1
1552964179,1,0
1552965348,1,0
1552967734,2,2
1552971399,1,0
1552972478,0,1
1552974993,4,0
1552976913,1,0
1552978505,1,1
1552981291,0,3
1552982583,1,1
1552984986,1,1
1552988146,0,1
1552989784,1,0
1552991319,2,0
1552992897,1,0
1552994079,1,0
1552996598,1,0
1552997672,1,0
1553001276,1,0
1553004883,1,0
1553005723,1,0
1553006870,0,1
1553010096,0,38
1553011616,0,1
1553013819,1,0
1553015680,2,2
1553020979,1,0
1553025390,3,1
1553030917,0,1
1553033748,1,0
1553035282,0,1
1553039143,1,1
1553040880,1,1
1553042494,0,2
1553044495,0,1
1553048074,2,2
1553051759,1,0
1553053288,1,0
1553055936,1,0
1553057800,2,0
1553059713,1,0
1553062483,0,1
1553066150,1,0
1553067791,1,0
1553070610,1,1
1553073044,4,0
1553074969,3,1
1553075792,1,0
1553076895,2,0
1553080063,1,2
1553081325,2,0
1553084072,2,0
1553087747,1,0
1553088942,1,2
1553096146,0,5
1553098248,1,2
1553099881,1,0
1553100992,1,0
1553102150,0,2
1553103696,1,1
1553104598,1,0
1553105682,1,0
1553106527,2,0
1553107851,0,4
1553109044,0,3
1553110267,0,1
1553112951,1,1
1553114458,1,0
1553116244,1,4
1553117448,2,1
1553119582,2,1
1553121063,1,0
1553122495,2,0
1553127286,0,1
1553128890,1,1
1553130946,1,0
1553134489,0,1
1553135853,0,2
1553138074,0,1
1553146930,0,1
1553148893,1,1
1553149715,1,0
1553152495,0,1
1553156158,1,1
1553158213,2,1
1553160951,1,1
1553162149,1,0
1553164960,1,1
1553167711,1,0
1553168928,1,1
1553171750,0,1
1553174077,1,0
1553176239,1,2
1553177445,0,1
1553178534,7,0
1553179833,6,0
1553181284,1,0
