DateTime,AddedIPs,RemovedIPs
1553020114,26,4
1553021806,7,9
1553023731,10,1
1553025397,7,10
1553026557,1,4
1553028180,6,11
1553028999,6,11
1553030154,8,16
1553030923,4,5
1553032611,21,15
1553033756,14,1
1553035292,31,15
1553036196,7,9
1553037288,18,12
1553039150,15,14
1553040886,18,10
1553042506,18,12
1553043408,12,4
1553044503,18,6
1553045651,18,15
1553048082,26,22
1553049787,22,14
1553050617,14,10
1553051788,14,9
1553053304,29,24
1553054747,12,13
1553055956,9,10
1553057807,23,17
1553058893,23,9
1553059720,3,9
1553061401,25,13
1553062489,13,16
1553063743,6,12
1553064967,17,14
1553066158,7,13
1553067817,20,12
1553069441,32,8
1553070619,19,10
1553071824,17,6
1553073052,13,9
1553074976,26,15
1553075799,9,8
1553076901,19,5
1553078508,33,10
1553080078,15,11
1553081332,18,9
1553084084,40,15
1553085349,13,13
1553086498,22,10
1553087754,27,13
1553088951,20,11
1553090140,18,16
1553091285,5,4
1553092570,5,12
1553093741,6,7
1553094880,10,13
1553096153,5,8
1553098254,17,13
1553099893,27,9
1553100209,4,2
1553100997,12,3
1553102157,19,8
1553103711,24,18
1553104605,10,7
1553105688,22,12
1553106534,7,9
1553107857,31,26
1553109051,23,14
1553110288,19,18
1553111758,25,19
1553112960,11,11
1553114477,20,14
1553116251,24,18
1553117459,11,6
1553119596,12,26
1553121086,10,8
1553122502,13,4
1553123756,22,13
1553124517,8,5
1553126149,14,20
1553127292,9,17
1553128908,19,26
1553129825,11,9
1553130953,3,16
1553131728,7,2
1553133043,16,24
1553134495,4,17
1553135860,13,8
1553137020,8,8
1553138080,11,7
1553139729,17,17
1553141111,13,7
1553142406,6,7
1553144157,5,11
1553145280,7,9
1553146945,11,9
1553148899,21,6
1553149723,17,5
1553151043,33,22
1553152502,15,23
1553153694,18,19
1553155022,17,11
1553156167,23,17
1553158225,27,20
1553159680,16,15
1553160958,28,13
1553162155,9,24
1553163298,14,16
1553164967,15,34
1553167717,39,25
1553168936,11,16
1553170486,36,12
1553171757,4,24
1553173502,4,23
1553174083,2,4
1553174917,19,4
1553176252,2,20
1553177452,22,5
1553178542,8,16
1553179840,9,24
1553181290,8,20
1553182124,3,1
1553184397,18,19
1553185876,7,14
1553187351,5,11
1553188561,15,7
1553189739,9,10
1553190939,16,9
1553192077,17,8
1553193716,25,13
1553195677,35,12
1553196960,9,15
1553198754,14,25
1553199290,1,7
1553200119,19,4
1553201417,10,13
1553202877,22,19
1553204158,15,15
1553205340,17,12
1553206180,10,8
1553207331,11,8
1553208565,9,14
1553209853,21,14
1553211086,18,12
1553212351,8,16
1553213448,19,10
1553214814,15,17
1553216147,22,9
1553217357,21,16
1553218917,18,24
1553219811,23,7
1553220952,16,21
1553222581,16,16
1553224588,23,21
1553226116,22,23
1553228099,24,20
1553229359,20,17
1553230501,16,7
1553231720,9,17
1553233288,24,15
1553234221,16,13
1553235360,20,19
1553236318,9,13
1553237803,33,20
1553238896,5,24
1553241366,28,41
1553242487,8,22
1553244134,22,29
1553245008,23,10
1553246080,12,17
1553247354,13,24
1553248616,3,11
1553249700,8,18
1553250518,8,5
1553251837,22,18
1553253332,2,17
1553254525,8,17
1553255638,11,6
1553256892,15,16
1553258150,14,20
1553259362,8,11
1553260550,12,10
1553261815,19,8
1553262957,17,10
1553265021,26,18
1553266293,26,18
1553267459,12,6
1553267703,2,1
1553268842,16,16
1553270013,4,10
1553271288,12,19
1553272538,16,18
1553274582,20,19
1553275840,22,19
1553277099,9,21
1553278245,27,11
1553279484,21,25
1553280995,21,12
1553282090,15,18
1553283696,15,19
1553284607,9,4
1553285781,10,29
1553286939,22,12
1553288196,20,8
1553289354,10,8
1553290539,11,18
1553292348,23,22
1553294152,26,15
1553296480,27,22
1553298052,43,20
1553299686,24,33
1553300081,16,8
1553300918,14,17
1553302609,14,31
1553303699,5,21
1553304829,10,10
1553306200,22,11
1553307278,3,16
1553308958,8,21
1553310917,6,10
1553312726,23,19
1553313423,4,3
1553314561,17,19
1553316176,16,23
1553317007,7,4
1553318154,6,9
1553319732,22,22
1553321700,39,19
1553323360,24,26
1553326117,20,27
1553327562,18,23
1553328887,11,15
1553330139,12,14
1553331347,10,4
1553332491,5,9
1553333609,11,16
1553334824,9,11
1553335941,3,13
1553336921,16,6
1553338594,19,25
1553339764,6,19
1553341305,12,22
1553342211,8,9
1553343293,2,10
1553344556,8,6
1553345834,15,9
1553347723,23,6
1553349354,15,11
1553350542,19,7
1553352169,21,16
1553353801,11,9
1553354932,22,7
1553356312,14,19
1553357693,16,15
1553359164,30,18
1553360211,15,11
1553361286,12,23
1553362956,5,18
1553364464,14,21
1553365589,16,5
1553367403,38,19
1553368551,7,13
1553370055,24,20
1553370998,5,9
1553372153,12,22
1553373689,10,14
1553375458,11,17
1553376802,10,16
1553378137,19,8
1553379278,21,11
1553381104,22,25
1553382645,15,20
1553384559,20,12
1553387327,51,21
1553389000,14,24
1553390156,5,20
1553391297,9,7
1553391771,10,7
1553392618,4,7
1553393751,8,14
1553395318,13,16
1553397014,27,23
1553397304,2,5
1553398491,5,17
1553399816,21,14
1553401721,12,17
1553403441,16,12
1553404559,15,19
1553406167,15,20
1553407016,5,9
1553408159,20,16
1553409710,22,16
1553411441,25,24
1553412888,9,14
1553414152,11,10
1553416117,15,24
1553417796,11,20
1553418949,8,9
1553420047,5,16
1553420578,21,5
1553422374,10,23
1553423315,14,4
1553424957,12,12
1553426085,9,7
1553427755,13,16
1553429371,11,16
1553430521,16,2
1553432217,8,21
1553433289,17,12
1553434956,13,32
1553436924,6,14
1553438139,19,11
1553439753,12,13
1553440496,12,3
1553442155,29,14
1553444923,24,36
1553446452,12,22
1553447687,16,18
1553449354,21,30
1553450212,6,1
1553451332,5,8
1553452897,11,15
1553453811,6,2
1553454877,2,25
1553456572,6,28
1553458559,14,13
1553459933,31,11
1553461607,18,30
1553463323,12,17
1553465225,31,20
1553466694,20,21
1553468006,13,8
1553470633,24,25
1553471807,38,13
1553472957,12,25
1553474341,8,17
1553476247,8,14
1553477422,7,11
1553479060,19,6
1553480934,15,22
1553483691,25,25
1553484532,7,5
1553486142,9,18
1553487300,8,12
1553488960,22,21
1553490654,15,21
1553490908,8,3
1553492575,14,17
1553493987,2,17
1553495392,5,11
1553496180,4,5
1553497018,16,2
1553498080,8,9
1553499773,9,22
1553500599,19,5
1553501685,21,13
1553502524,12,10
1553504154,19,18
1553505292,30,7
1553506119,16,6
1553507745,23,14
1553508950,13,14
1553510454,13,16
1553511406,15,3
1553512485,12,7
1553514175,25,15
1553515496,7,18
1553516926,25,7
1553517763,7,30
1553518614,17,6
1553519749,11,10
1553520520,17,3
1553521677,25,19
1553523280,28,25
1553524499,11,18
1553525970,27,19
1553527260,15,6
1553528578,16,34
1553529903,18,13
1553531139,16,5
1553532156,15,15
1553534079,23,11
1553534918,15,6
1553536615,19,16
1553537693,18,10
1553538523,8,5
1553540716,17,27
1553542971,26,15
1553544361,10,4
1553545723,11,5
1553547394,18,15
1553548489,7,5
1553549318,11,4
1553550168,2,13
1553552091,19,17
1553552926,7,3
1553554250,8,17
1553555679,17,8
1553557364,14,17
1553558745,9,18
1553560117,16,2
1553560973,3,16
1553561797,6,1
1553562914,5,9
1553563719,4,3
1553564576,3,7
1553565398,4,1
1553566496,4,5
1553568165,9,7
1553568997,8,0
1553570198,4,7
1553571714,7,9
1553572601,12,0
1553573759,5,3
1553575291,12,14
1553577279,10,9
1553578116,2,1
1553578957,8,5
1553580349,8,9
1553580928,5,0
1553581735,5,1
1553582574,4,8
1553584492,4,9
1553585323,3,3
1553586163,1,6
1553586998,13,3
