DateTime,AddedIPs,RemovedIPs
1553037248,103,56
1553039108,168,67
1553040848,132,101
1553042408,145,81
1553043367,94,37
1553044458,90,56
1553045602,100,128
1553048048,170,88
1553049737,128,90
1553050576,57,0
1553051708,76,74
1553053208,110,76
1553054390,68,68
1553055611,61,7
1553056808,65,103
1553057767,52,24
1553058848,61,41
1553059688,61,0
1553060535,53,86
1553061368,62,1
1553062448,56,88
1553063708,87,112
1553064908,68,32
1553066108,87,64
1553067749,103,98
1553068856,82,62
1553070011,92,1
1553071571,86,99
1553073016,95,130
1553074936,141,111
1553075768,50,1
1553076847,71,58
1553078411,95,79
1553079871,116,107
1553081300,123,0
1553084047,332,151
1553085308,96,82
1553086443,105,32
1553087707,97,80
1553088908,99,100
1553090108,99,60
1553091247,79,112
1553092508,96,88
1553093708,99,21
1553094848,91,55
1553096108,86,114
1553098216,141,84
1553100150,114,138
1553100967,65,0
1553102117,85,71
1553103607,91,87
1553105647,143,406
1553106487,58,0
1553107827,87,395
1553109007,69,142
1553110216,74,183
1553111707,73,64
1553112915,58,85
1553114410,79,118
1553116216,105,106
1553117412,91,101
1553119528,93,124
1553121021,80,102
1553122471,90,40
1553123708,75,73
1553124487,43,0
1553126107,75,159
1553127248,55,92
1553128811,92,131
1553129767,46,42
1553131687,125,94
1553133006,81,193
1553134447,57,90
1553135810,71,101
1553136989,64,32
1553138047,47,85
1553139607,113,138
1553141045,87,107
1553142330,87,1
1553144117,142,173
1553145247,54,56
1553146841,127,125
1553148308,93,122
1553148857,61,1
1553149688,82,0
1553151008,105,199
1553152447,98,100
1553153636,91,143
1553154974,121,43
1553156107,78,121
1553158182,150,181
1553159647,101,74
1553160909,56,145
1553162108,76,52
1553163247,59,83
1553164928,150,137
1553167687,199,87
1553168891,55,209
1553169994,76,88
1553170447,19,0
1553171717,54,126
1553173178,79,114
1553174048,42,3
1553174887,54,0
1553176196,54,146
1553177407,57,99
1553178487,55,0
1553179808,63,142
1553181016,67,64
1553181247,11,0
1553182092,58,0
1553184317,168,230
1553185809,79,161
1553187307,86,51
1553188516,69,113
1553189708,84,119
1553190908,103,49
1553192047,88,65
1553193611,106,100
1553195415,103,121
1553195646,21,0
1553196908,123,84
1553198716,167,117
1553199247,111,0
1553200091,185,1
1553201377,235,170
1553202847,217,77
1553204115,131,102
1553205308,99,28
