DateTime,AddedIPs,RemovedIPs
1552989772,2,4
1552991318,5,0
1552992896,1,3
1552994078,3,4
1552994910,1,0
1552996597,4,3
1552997671,0,3
1552999122,0,5
1553000206,1,1
1553001275,3,1
1553002562,2,2
1553003662,1,4
1553004883,2,3
1553005721,1,0
1553006869,1,2
1553008490,2,1
1553010089,1,0
1553011609,1,2
1553013219,4,2
1553013816,1,1
1553015679,1,0
1553016934,0,1
1553018196,0,2
1553020107,3,0
1553020975,1,3
1553021799,2,0
1553023724,2,0
1553025389,4,0
1553026549,4,3
1553028165,2,4
1553030147,3,6
1553032604,3,1
1553033747,1,3
1553035252,3,5
1553036188,1,1
1553037280,2,5
1553039142,1,8
1553040879,4,11
1553042491,3,19
1553043400,3,0
1553044494,3,8
1553045642,3,6
1553048073,13,8
1553049769,6,14
1553050609,4,0
1553051758,2,9
1553053248,2,6
1553054712,4,8
1553055917,4,0
1553057799,7,29
1553058885,4,5
1553059712,2,0
1553060573,4,11
1553061393,1,0
1553062482,2,10
1553063735,6,9
1553064958,3,2
1553066149,6,6
1553067787,10,11
1553069434,4,7
1553070607,3,9
1553071815,2,0
1553073043,4,25
1553074968,6,6
1553075791,6,0
1553076894,2,1
1553078490,5,6
1553080058,8,1
1553081324,1,0
1553084071,4,7
1553085340,0,1
1553087746,1,3
1553088941,3,3
1553090132,2,1
1553091271,1,9
1553092555,1,8
1553093733,1,1
1553094872,0,2
1553096145,1,1
1553098246,2,1
1553099879,1,5
1553100191,0,1
1553102149,3,1
1553103684,1,2
1553104597,3,0
1553105681,2,3
1553106526,3,0
1553107850,3,4
1553109043,1,3
1553110262,1,1
1553111750,1,1
1553112950,1,2
1553114450,1,2
1553116243,1,1
1553117447,1,1
1553119573,1,3
1553121058,2,1
1553122494,2,1
1553123748,0,2
1553124510,4,0
1553126141,3,3
1553127285,4,5
1553128884,6,4
1553129815,4,0
1553130944,2,4
1553131719,6,0
1553133030,7,7
1553134488,4,4
1553135849,5,4
1553137012,7,1
1553138073,2,3
1553139697,3,6
1553141100,4,2
1553142370,5,0
1553144150,9,9
1553145273,3,2
1553146926,4,7
1553148892,4,1
1553149714,5,0
1553151034,6,19
1553152494,2,11
1553153668,3,7
1553155014,1,2
1553156156,1,5
1553158211,6,3
1553159672,3,1
1553160950,5,6
1553162148,2,0
1553163290,3,2
1553164959,1,5
1553167710,1,2
1553168927,2,1
1553170478,5,2
1553171749,1,1
1553173250,0,2
1553174076,1,0
1553174910,3,0
1553176238,0,2
1553177444,1,2
1553178532,0,1
1553179832,5,2
1553181283,2,0
1553182116,2,0
1553184361,4,6
1553185864,2,0
1553187342,3,0
1553188552,2,0
1553189732,1,0
1553190932,0,1
1553193658,2,1
1553195444,3,2
1553195669,2,0
1553196951,1,5
1553198747,3,2
1553199282,2,0
1553201409,3,5
1553202870,1,4
1553204151,1,1
1553206172,2,1
1553207324,6,0
1553208535,1,3
1553209845,1,1
1553211056,1,2
1553212321,1,1
1553213440,1,3
1553214805,2,2
1553216138,20,1
1553217349,4,6
1553218888,7,7
1553219803,2,0
1553220944,9,5
1553222572,5,4
1553224558,7,3
1553226103,6,8
1553228091,5,4
1553229351,8,4
1553230493,1,0
1553231708,4,6
1553233259,1,5
1553234212,3,0
1553236288,5,17
1553237794,4,4
1553238887,3,5
1553241359,4,5
1553242474,5,5
1553244096,9,8
1553245000,2,0
1553246073,4,5
1553247346,6,4
1553248608,3,0
1553249691,1,9
1553250511,0,1
1553251830,3,8
1553253057,1,1
1553254262,3,3
1553255571,11,0
1553256884,5,1
1553258141,1,1
1553259354,4,0
1553260542,1,3
1553261807,0,2
1553262949,2,1
1553265011,3,0
1553267451,3,1
1553268833,0,2
1553272530,1,3
1553274575,3,3
1553275826,0,2
1553277089,3,2
1553278237,2,2
1553279460,0,3
1553280987,1,0
1553282082,0,1
1553283661,1,2
1553284600,1,0
1553285765,1,1
1553286931,1,3
1553288189,1,0
1553289346,0,2
1553290532,1,5
1553292341,9,3
1553294144,3,4
1553296472,4,6
1553298044,1,6
1553299661,52,5
1553302601,2,10
1553303691,4,4
1553304816,6,8
1553306192,3,0
1553307271,6,3
1553308950,5,5
1553310907,5,6
1553312689,5,4
1553314551,6,6
1553316169,5,2
1553316999,2,0
1553318144,4,3
1553319691,3,5
1553321691,8,5
1553323352,7,9
1553326111,5,4
1553327544,5,2
1553328880,6,2
1553330131,3,2
1553331340,1,0
1553332484,4,7
1553333596,0,5
1553334810,0,1
1553335934,6,1
1553336914,5,0
1553338587,3,4
1553339754,3,5
1553341261,6,1
1553342203,4,0
1553343285,2,2
1553344548,4,3
1553345826,1,1
1553347715,3,1
1553349347,2,1
1553350535,2,5
1553352162,4,1
1553353766,3,3
1553354926,1,0
1553356285,4,2
1553357685,0,4
1553359138,3,1
1553360204,4,0
1553361279,2,1
1553362949,5,3
1553364410,1,1
1553367396,2,4
1553368542,2,2
1553370046,1,2
1553372144,3,3
1553373649,6,1
1553375450,1,0
1553376777,0,10
1553378130,2,2
1553379271,3,2
1553381082,16,0
1553382638,3,2
1553384552,5,4
1553387319,3,23
1553388992,3,5
