DateTime,AddedIPs,RemovedIPs
1553028162,33,73
1553028990,9,9
1553030146,21,48
1553030915,23,3
1553032603,34,16
1553033746,26,26
1553035249,36,17
1553036187,22,18
1553037279,26,24
1553039140,62,17
1553040878,32,32
1553042489,60,38
1553043398,50,7
1553044493,32,16
1553045640,50,79
1553048071,70,31
1553049766,55,26
1553050607,6,9
1553051756,24,28
1553053244,45,23
1553054457,25,18
1553055645,16,4
1553056855,21,36
1553057798,16,3
1553058884,22,12
1553059710,13,2
1553060569,12,19
1553061392,28,6
1553062480,17,34
1553063733,28,68
1553064957,30,18
1553066147,31,29
1553067783,24,32
1553069433,34,23
1553070604,21,30
1553071814,22,8
1553073042,22,47
1553074967,23,59
1553075790,9,6
1553076893,18,27
1553078457,24,34
1553080053,21,51
1553081323,21,12
1553084070,76,55
1553085339,28,34
1553086489,32,9
1553087745,24,39
1553088940,28,65
1553090131,33,38
1553091269,28,70
1553092553,31,33
1553093732,43,6
1553094871,30,20
1553096144,45,50
1553098245,65,32
1553100188,41,56
1553100989,18,5
1553102148,23,33
1553103651,23,49
1553105680,67,177
1553106525,26,2
1553107848,11,89
1553109041,19,23
1553110260,21,41
1553111749,26,9
1553112948,12,37
1553114443,23,33
1553116242,38,17
1553117445,29,22
1553119576,22,35
1553121057,32,29
1553122493,29,9
1553123747,30,26
1553124508,12,6
1553126140,14,49
1553127278,16,36
1553128854,36,34
1553129814,9,8
1553131717,36,47
1553133029,16,60
1553134487,15,20
1553135847,21,26
1553137011,17,17
1553138072,18,39
1553139658,47,67
1553141098,29,32
1553142365,46,4
1553144148,74,60
1553145271,23,17
1553146924,67,56
1553148890,66,15
1553149712,31,2
1553151033,28,47
1553152493,28,15
1553153659,43,29
1553155013,65,12
1553156155,35,37
1553158209,43,55
1553159671,49,29
1553160949,15,60
1553162146,41,14
1553163289,14,26
1553164958,39,43
1553167708,67,26
1553168926,17,101
1553170477,15,37
1553171748,15,29
1553173249,14,20
1553174074,6,6
1553174908,8,4
1553176235,17,19
1553177442,20,9
1553178531,14,6
1553179831,15,17
1553181281,22,20
1553182115,11,7
1553184360,59,49
1553185860,27,36
1553187341,15,18
1553188550,8,24
1553189731,26,48
1553190930,28,12
1553192068,28,30
1553193652,19,23
1553195443,19,50
1553195668,10,2
1553196950,33,22
1553198746,17,29
1553199281,67,5
1553200110,128,7
1553201408,35,43
1553202868,34,23
1553204149,7,30
1553205330,7,14
1553206171,10,18
1553207323,24,4
1553208530,19,66
1553209844,12,16
1553211055,17,28
1553212320,31,25
1553213439,34,41
1553214803,75,55
1553216137,54,21
1553217347,26,30
1553218852,7,75
1553219801,11,27
1553220942,14,12
1553222571,40,46
1553224556,97,32
1553226093,38,30
1553228089,101,24
1553229350,39,29
1553230491,30,5
1553231707,22,37
1553233257,34,29
1553234211,7,3
1553236282,14,77
1553237793,7,6
1553238880,4,20
1553241358,77,49
1553242472,14,23
1553244058,19,22
1553244999,13,14
1553246071,16,11
1553247344,12,21
1553248606,30,4
1553249690,25,21
1553250510,18,1
1553251829,36,31
1553253051,27,33
1553254260,27,37
1553255569,27,16
1553256883,38,41
1553258140,41,34
1553259352,61,17
1553260540,24,35
1553261805,39,42
1553262948,29,15
1553265010,55,102
1553266284,38,26
1553267450,32,50
1553267694,4,3
1553268831,14,42
1553269985,37,4
1553271279,25,26
1553272529,23,32
1553274574,32,52
1553275825,16,65
1553277080,33,8
1553278235,7,18
1553279457,12,31
1553280986,18,6
1553282080,14,24
1553283650,13,21
1553284599,6,2
1553285763,14,32
1553286930,15,48
1553288188,16,13
1553289345,14,19
1553290530,15,19
1553292340,27,43
1553294143,38,28
1553296471,38,18
1553298042,29,50
1553299659,105,16
1553300072,40,11
1553300909,209,38
1553302600,266,91
1553303690,473,20
1553304810,154,26
1553306191,28,6
1553307270,23,29
1553308949,54,41
1553310905,67,19
1553312687,25,75
1553313414,8,3
1553314550,12,67
1553316168,21,77
1553316998,6,4
1553318143,16,32
1553319649,14,78
1553321110,18,37
1553321690,9,3
1553323350,20,75
1553326109,101,54
1553327534,20,57
1553328878,26,43
1553330130,15,37
1553331338,21,4
1553332483,15,56
1553333590,14,17
1553334807,40,22
1553335932,31,34
1553336913,15,7
1553338586,34,35
1553339752,38,29
1553341259,32,20
1553342202,18,9
1553343284,19,17
1553344546,17,25
1553345825,20,8
1553347714,22,25
1553349345,20,18
1553350533,11,23
1553352161,26,15
1553353759,44,44
1553354924,17,6
1553356284,21,49
1553357684,40,13
1553359137,44,20
1553360203,24,0
1553361278,26,47
1553362948,47,22
1553364403,45,17
1553365575,34,10
