DateTime,Entries,UniqueIPs
1553028162,3679,3679
1553028990,3679,3679
1553030146,3652,3652
1553030915,3672,3672
1553032603,3690,3690
1553033746,3690,3690
1553035249,3709,3709
1553036187,3713,3713
1553037279,3715,3715
1553039140,3760,3760
1553040878,3760,3760
1553042489,3782,3782
1553043398,3825,3825
1553044493,3841,3841
1553045640,3812,3812
1553048071,3851,3851
1553049766,3880,3880
1553050607,3877,3877
1553051756,3873,3873
1553053244,3895,3895
1553054457,3902,3902
1553055645,3914,3914
1553056855,3899,3899
1553057798,3912,3912
1553058884,3922,3922
1553059710,3933,3933
1553060569,3926,3926
1553061392,3948,3948
1553062480,3931,3931
1553063733,3891,3891
1553064957,3903,3903
1553066147,3905,3905
1553067783,3897,3897
1553069433,3908,3908
1553070604,3899,3899
1553071814,3913,3913
1553073042,3888,3888
1553074967,3852,3852
1553075790,3855,3855
1553076893,3846,3846
1553078457,3836,3836
1553080053,3806,3806
1553081323,3815,3815
1553084070,3836,3836
1553085339,3830,3830
1553086489,3853,3853
1553087745,3838,3838
1553088940,3801,3801
1553090131,3796,3796
1553091269,3754,3754
1553092553,3752,3752
1553093732,3789,3789
1553094871,3799,3799
1553096144,3794,3794
1553098245,3827,3827
1553100188,3812,3812
1553100989,3825,3825
1553102148,3815,3815
1553103651,3789,3789
1553105680,3679,3679
1553106525,3703,3703
1553107848,3625,3625
1553109041,3621,3621
1553110260,3601,3601
1553111749,3618,3618
1553112948,3593,3593
1553114443,3583,3583
1553116242,3604,3604
1553117445,3611,3611
1553119576,3598,3598
1553121057,3601,3601
1553122493,3621,3621
1553123747,3625,3625
1553124508,3631,3631
1553126140,3596,3596
1553127278,3576,3576
1553128854,3578,3578
1553129814,3579,3579
1553131717,3568,3568
1553133029,3524,3524
1553134487,3519,3519
1553135847,3514,3514
1553137011,3514,3514
1553138072,3493,3493
1553139658,3473,3473
1553141098,3470,3470
1553142365,3512,3512
1553144148,3526,3526
1553145271,3532,3532
1553146924,3543,3543
1553148890,3594,3594
