DateTime,AddedIPs,RemovedIPs
1553030138,36,73
1553030908,43,1
1553032592,64,52
1553033739,52,41
1553035238,64,40
1553036180,38,20
1553037271,62,29
1553039132,89,48
1553040871,64,58
1553042435,89,39
1553043386,61,19
1553044485,60,30
1553045624,79,90
1553048064,109,59
1553049756,84,47
1553050601,26,9
1553051745,45,35
1553053233,54,42
1553054410,41,37
1553055635,35,8
1553056843,36,50
1553057791,30,17
1553058877,39,25
1553059703,36,4
1553060555,30,47
1553061385,49,4
1553062474,36,55
1553063726,56,86
1553064944,53,21
1553066138,58,38
1553067769,56,59
1553069426,64,37
1553070592,38,68
1553071807,55,3
1553073035,44,69
1553074956,77,77
1553075782,19,2
1553076886,37,37
1553078441,46,56
1553080035,52,77
1553081317,58,3
1553084062,190,93
1553085333,52,62
1553086475,63,23
1553087737,65,55
1553088933,62,76
1553090124,52,47
1553091263,48,88
1553092544,74,55
1553093725,71,13
1553094864,67,30
1553096136,69,73
1553098238,94,49
1553100172,70,84
1553100983,37,3
1553102140,43,51
1553103641,61,62
1553105673,83,215
1553106518,40,3
1553107841,33,140
1553109033,36,44
1553110253,41,84
1553111734,50,25
1553112942,29,45
1553114427,43,60
1553116235,56,49
1553117435,51,51
1553119562,48,71
1553121046,49,57
1553122486,58,26
1553123738,51,38
1553124501,24,3
1553126133,38,88
1553127271,30,51
1553128844,46,63
1553129803,20,18
1553131711,74,64
1553133022,40,104
1553134480,35,52
1553135826,51,49
1553137004,40,22
1553138065,28,58
1553139642,73,94
1553141085,52,69
1553142351,62,3
1553144141,99,96
1553145264,34,32
1553146911,89,97
1553148883,97,34
1553149704,50,1
1553151025,58,104
1553152480,54,32
1553153652,56,56
1553154995,81,23
1553156143,52,66
1553158198,93,105
1553159664,65,50
1553160942,30,93
1553162139,59,25
1553163278,31,44
1553164951,67,73
1553167702,115,50
1553168916,44,149
1553170470,52,60
1553171741,34,68
1553173196,43,58
1553174068,29,1
1553174901,39,2
1553176225,41,63
1553177435,47,48
1553178525,30,3
1553179824,32,63
1553181036,38,30
1553181274,6,0
1553182108,23,2
1553184353,102,114
1553185847,50,70
1553187334,40,32
1553188543,18,41
1553189724,48,69
1553190924,40,31
1553192062,42,48
1553193641,44,57
1553195436,45,71
1553195661,14,5
1553196939,52,40
1553198739,42,66
1553199274,73,1
1553200104,144,2
1553201391,62,98
1553202862,59,52
1553204143,38,58
1553205322,30,28
1553206151,28,34
1553207316,49,3
1553208516,44,120
1553209831,49,42
1553211042,31,63
1553212312,58,30
1553213432,66,62
1553214787,86,104
1553216131,84,24
1553217340,51,49
1553218838,39,80
1553219795,29,35
1553220935,39,36
1553222564,77,74
1553224548,149,62
1553226044,75,70
1553228083,147,56
1553229342,54,74
1553230484,55,7
1553231700,52,71
1553233242,69,67
1553234201,23,0
1553236259,58,155
1553237784,30,27
1553238873,33,41
1553241340,126,101
1553242465,38,62
1553244040,54,57
1553244992,36,24
1553246064,38,29
1553247337,35,56
1553248599,49,3
1553249681,43,56
1553250503,27,3
1553251822,48,88
1553253036,46,66
1553254241,45,140
1553255563,46,23
1553256876,65,72
1553258133,84,93
1553259341,86,25
1553260532,43,56
1553261795,61,89
1553262941,44,33
1553265001,118,205
1553266278,62,45
1553267444,64,71
1553267682,8,2
1553268824,34,71
1553269979,57,18
1553271272,61,64
1553272522,69,69
1553274563,80,84
1553275818,51,88
1553277066,56,22
1553278230,32,39
1553279451,46,64
1553280980,46,14
1553282074,46,47
1553283633,41,69
1553284593,26,2
1553285750,30,58
1553286924,26,73
1553288181,45,22
1553289339,40,37
1553290523,31,46
1553292333,76,76
