DateTime,AddedIPs,RemovedIPs
1552424189,0,1
1552425286,0,1
1552426115,1,0
1552427797,1,1
1552428869,1,0
1552430422,0,1
1552434164,1,1
1552436087,2,0
1552437683,1,1
1552439686,3,1
1552441659,0,3
1552444974,2,3
1552446938,1,1
1552450475,0,1
1552454072,1,2
1552455682,1,1
1552456801,1,0
1552459358,0,1
1552460201,1,0
1552462534,1,0
1552466139,0,1
1552472082,0,1
1552473350,0,1
1552478191,1,0
1552479279,0,1
1552482879,2,1
1552484444,0,3
1552486479,2,0
1552487972,1,1
1552491028,0,1
1552493450,0,2
1552498549,1,0
1552500871,0,1
1552504471,1,0
1552506463,0,2
1552508086,1,1
1552509756,0,1
1552513000,1,0
1552514137,1,0
1552516122,1,1
1552518651,2,0
1552520570,2,1
1552522470,1,2
1552524084,1,1
1552527112,1,1
1552528546,0,1
1552529694,0,1
1552530899,1,1
1552533295,2,1
1552536873,0,1
1552540476,1,0
1552543558,2,1
1552546233,1,0
1552547696,1,0
1552553263,1,0
1552562091,2,0
1552565138,1,2
1552565686,0,1
1552566863,2,0
1552567995,2,1
1552569341,1,0
1552570491,1,0
1552576549,0,1
1552577726,0,1
1552578997,1,0
1552580145,0,1
1552583742,1,0
1552589788,1,1
1552592691,1,0
1552596169,0,1
1552598083,1,0
1552600600,0,1
1552603402,0,1
1552605273,0,1
1552606878,1,1
1552631733,13,10
1552633852,3,0
1552942713,58,47
1552945235,0,1
1552946188,1,0
1552947311,0,1
1552948968,0,1
1552953957,3,1
1552954482,1,0
1552959064,0,2
1552963018,1,1
1552964177,2,0
1552965347,0,2
1552968950,1,0
1552970491,1,2
1552974049,1,0
1552974992,0,1
1552979756,1,0
1552983939,1,1
1552984982,0,1
1552988145,1,0
1552991318,1,0
1552994910,0,1
1552996598,1,1
1552997671,0,1
1552999123,0,1
1553000207,6,0
1553001275,1,1
1553002563,1,0
1553003662,0,1
1553005722,1,0
1553006869,2,0
1553008490,1,2
1553010088,2,1
1553013220,0,1
1553015680,1,0
1553016934,0,1
1553020107,0,1
1553020976,0,1
1553021799,0,1
1553025389,2,0
1553028166,1,0
1553028991,0,1
1553030147,2,0
1553032604,2,2
1553033747,1,0
1553035280,0,3
1553036188,0,1
1553037280,1,2
1553039142,1,1
1553040879,1,1
1553042492,1,0
1553043400,0,1
1553045642,0,1
1553048073,1,0
1553049771,1,6
1553050609,1,0
1553051758,3,0
1553053251,1,4
1553054723,2,0
1553055925,0,2
1553057799,2,0
1553058885,1,0
1553059712,0,1
1553060575,0,1
1553061393,1,0
1553063735,1,0
1553064959,1,0
1553066149,1,1
1553067788,1,1
1553069434,2,1
1553070608,1,1
1553071816,0,1
1553073044,1,2
1553074969,0,1
1553075791,1,0
1553078491,1,2
1553080060,3,1
1553081324,1,2
1553084071,3,7
1553085341,1,1
1553086491,3,2
1553087747,1,2
1553088941,0,1
1553090133,1,0
1553091271,0,2
1553093733,1,1
1553094872,0,1
1553096145,0,1
1553098247,1,2
1553099880,2,0
1553102149,1,0
1553104597,0,1
1553105681,2,1
1553107850,3,2
1553109044,2,3
1553110266,0,1
1553111750,2,1
1553112950,1,1
1553114452,0,1
1553116243,2,1
1553117447,1,1
1553119579,1,1
1553121062,2,1
1553122494,2,2
1553123748,1,0
1553124510,1,1
1553126142,2,4
1553127285,4,1
1553128887,0,5
1553130945,1,0
1553133031,2,1
1553134488,1,2
1553135852,2,1
1553137012,0,1
1553138073,2,0
1553139700,2,0
1553142375,0,2
1553144150,1,0
1553145273,0,1
1553146929,1,0
1553148892,3,1
1553149714,0,1
1553151034,2,1
1553153676,1,2
1553156157,1,0
1553158212,1,1
1553160950,0,1
1553163290,1,0
1553164959,0,1
1553167710,1,1
1553168927,1,0
1553170479,2,1
1553171749,1,5
1553173253,2,3
1553174076,1,1
1553176238,1,1
1553177444,1,0
1553181283,0,1
1553182116,1,0
1553185864,0,1
1553188552,1,0
1553189733,0,4
1553190932,0,1
1553192070,1,1
