DateTime,AddedIPs,RemovedIPs
1553030129,71,45
1553030899,66,3
1553032579,152,60
1553033721,60,30
1553035225,112,43
1553036176,48,7
1553037266,59,37
1553039122,90,28
1553040861,65,36
1553042421,58,38
1553043380,32,19
1553044470,30,32
1553045620,40,55
1553048059,74,48
1553049749,58,52
1553050590,33,5
1553051729,31,41
1553053222,72,52
1553054403,35,31
1553055624,34,12
1553056828,40,43
1553057781,29,19
1553058867,29,31
1553059698,31,4
1553060546,31,40
1553061379,22,14
1553062463,31,27
1553063720,37,26
1553064929,24,21
1553066122,32,28
1553067762,40,37
1553070023,62,31
1553071584,34,34
1553073028,31,40
1553074949,55,37
1553075777,31,5
1553076866,25,26
1553078424,41,40
1553079893,62,32
1553081310,62,15
1553084058,128,65
1553085323,51,27
1553086462,42,20
1553087727,34,38
1553088923,41,34
1553090118,45,17
1553091257,36,17
1553092527,29,24
1553093719,37,12
1553094858,36,29
1553096126,25,34
1553098228,55,42
1553100162,37,53
1553100977,27,4
1553102129,38,29
1553103626,42,42
1553105659,60,201
1553106504,21,3
1553107836,55,253
1553109024,36,102
1553110231,37,102
1553111719,38,55
1553112933,33,42
1553114419,36,52
1553116230,47,54
1553117429,33,45
1553119545,59,50
1553121033,26,45
1553122481,37,29
1553123722,32,51
1553124496,21,5
1553126123,47,66
1553127261,33,40
1553128832,42,58
1553129788,25,22
1553131701,47,23
1553133016,31,65
1553134465,28,28
1553135821,16,50
1553136999,28,16
1553138059,19,29
1553139627,39,45
1553141060,28,33
1553142343,27,5
1553144131,36,59
1553145258,19,19
1553146897,30,57
1553148872,49,59
1553149698,18,17
1553151019,31,84
1553152463,25,48
1553153646,36,78
1553154982,37,25
1553156128,28,63
1553158193,51,82
1553159658,36,32
1553160928,29,69
1553162126,33,29
1553163264,25,36
1553164941,95,53
1553167697,90,56
1553168907,22,71
1553170461,39,53
1553171730,35,47
1553173190,51,51
1553174061,19,7
1553174895,20,23
1553176215,29,74
1553177429,22,77
1553178514,37,6
1553179818,39,81
1553181031,41,42
1553181260,9,1
1553182102,36,3
1553184334,65,105
1553185822,37,92
1553187320,48,22
1553188531,45,76
1553189719,45,54
1553190918,60,18
1553192055,41,24
1553193631,50,43
1553195430,55,59
1553195656,5,3
1553196926,71,39
1553198730,140,53
1553199265,47,2
1553200099,46,16
1553201386,175,71
1553202857,162,34
1553204137,97,49
1553205317,80,18
1553206146,32,36
1553207303,39,11
1553208511,32,76
1553209825,53,55
1553211033,27,42
1553212307,41,20
1553213421,28,44
1553214776,32,40
1553216121,42,26
1553217325,28,43
1553218823,54,58
1553219786,29,38
1553220925,47,35
1553222555,43,63
1553224536,66,72
1553226033,50,58
1553228072,53,71
1553229336,38,46
1553230479,37,7
1553231689,33,54
1553233231,43,51
1553234186,29,20
1553236244,48,98
1553237778,44,37
1553238862,31,26
1553241326,77,79
1553242459,80,33
1553244026,98,47
1553244982,53,40
1553246058,37,33
1553247328,40,38
1553248585,34,3
1553249667,26,46
1553250497,25,6
1553251817,30,81
1553253026,34,33
1553254229,34,51
1553255557,30,24
1553256870,39,47
1553258122,40,54
1553259325,41,9
1553260521,27,35
1553261780,32,44
1553262931,26,11
1553264995,43,89
1553266272,39,25
1553267430,27,35
1553267668,5,3
1553268806,35,38
1553271267,66,52
1553272516,41,53
1553274060,45,46
1553275808,64,63
1553277061,40,26
1553278220,43,42
1553279441,36,44
1553280975,41,21
1553282064,23,33
1553283622,58,37
1553284584,41,6
1553285740,62,35
1553286918,43,46
1553288176,28,24
1553289329,31,23
1553290518,37,36
1553292329,58,44
1553294124,38,50
1553296458,63,51
1553298025,55,64
1553299615,49,71
1553300059,16,1
1553300897,32,17
1553302580,40,59
1553303664,28,27
1553304778,30,43
1553306178,33,18
1553307257,29,31
1553308939,40,43
1553310872,38,33
1553312652,47,43
1553313389,16,6
1553314532,34,50
1553316145,39,53
1553316982,18,1
1553318122,29,28
1553319621,44,53
1553320815,33,38
1553321677,18,23
1553323338,38,68
1553326098,68,39
1553327523,29,45
1553328857,32,38
1553330118,45,38
1553331319,30,1
1553332462,24,29
1553333574,36,46
1553334795,43,48
1553335920,29,41
1553336897,37,17
1553338575,44,56
1553339726,30,41
1553341224,41,49
1553342186,36,7
1553343268,36,46
1553344526,26,39
1553345813,31,17
1553346919,34,23
1553347699,17,5
1553349310,53,31
1553350511,24,63
1553352143,38,35
1553353476,27,45
1553354913,29,17
1553356273,38,52
1553357660,56,35
1553359120,29,75
1553360184,27,8
1553361261,25,81
1553362937,40,56
1553364375,37,104
1553365564,33,9
1553367380,46,131
1553368522,34,83
1553370026,40,101
1553370976,25,4
1553372121,36,287
1553373619,105,210
1553375434,108,119
1553376750,34,56
1553378116,45,31
1553379257,33,37
1553381044,70,50
1553382623,58,48
1553384538,51,52
1553387303,80,67
1553388978,36,60
1553390131,30,32
1553391266,21,59
1553391744,17,20
1553392591,18,1
1553393721,24,50
1553395223,35,49
1553396983,40,66
1553397269,9,1
1553398401,24,47
1553399790,37,29
1553401700,48,43
1553403397,40,54
1553404525,28,47
1553406144,53,34
1553406986,24,7
1553408121,33,69
1553409632,31,66
1553411419,41,136
1553412861,25,303
1553414123,36,96
1553416097,46,173
1553417776,30,72
1553418919,23,38
1553419982,22,52
1553420545,15,10
1553422306,52,42
1553423296,31,10
1553424925,51,63
1553426060,34,41
1553427736,48,56
1553429305,30,30
1553430498,34,15
1553432198,48,39
1553433259,18,70
1553434936,44,51
