DateTime,Entries,UniqueIPs
1553030129,11739,11739
1553030899,11802,11802
1553032579,11894,11894
1553033721,11924,11924
1553035225,11993,11993
1553036176,12034,12034
1553037266,12056,12056
1553039122,12118,12118
1553040861,12147,12147
1553042421,12167,12167
1553043380,12180,12180
1553044470,12178,12178
1553045620,12163,12163
1553048059,12189,12189
1553049749,12195,12195
1553050590,12223,12223
1553051729,12213,12213
1553053222,12233,12233
1553054403,12237,12237
1553055624,12259,12259
1553056828,12256,12256
1553057781,12266,12266
1553058867,12264,12264
1553059698,12291,12291
1553060546,12282,12282
1553061379,12290,12290
1553062463,12294,12294
1553063720,12305,12305
1553064929,12308,12308
1553066122,12312,12312
1553067762,12315,12315
1553070023,12346,12346
1553071584,12346,12346
1553073028,12337,12337
1553074949,12355,12355
1553075777,12381,12381
1553076866,12380,12380
1553078424,12381,12381
1553079893,12411,12411
1553081310,12458,12458
1553084058,12521,12521
1553085323,12545,12545
1553086462,12567,12567
1553087727,12563,12563
1553088923,12570,12570
1553090118,12598,12598
1553091257,12617,12617
1553092527,12622,12622
1553093719,12647,12647
1553094858,12654,12654
1553096126,12645,12645
1553098228,12658,12658
1553100162,12642,12642
1553100977,12665,12665
1553102129,12674,12674
1553103626,12674,12674
1553105659,12533,12533
1553106504,12551,12551
1553107836,12353,12353
1553109024,12287,12287
1553110231,12222,12222
1553111719,12205,12205
1553112933,12196,12196
1553114419,12180,12180
1553116230,12173,12173
1553117429,12161,12161
1553119545,12170,12170
1553121033,12151,12151
1553122481,12159,12159
1553123722,12140,12140
1553124496,12156,12156
1553126123,12137,12137
1553127261,12130,12130
1553128832,12114,12114
1553129788,12117,12117
1553131701,12141,12141
1553133016,12107,12107
1553134465,12107,12107
1553135821,12073,12073
1553136999,12085,12085
1553138059,12075,12075
1553139627,12069,12069
1553141060,12064,12064
1553142343,12086,12086
1553144131,12063,12063
1553145258,12063,12063
1553146897,12036,12036
1553148872,12026,12026
1553149698,12027,12027
1553151019,11974,11974
1553152463,11951,11951
1553153646,11909,11909
1553154982,11921,11921
1553156128,11886,11886
1553158193,11855,11855
1553159658,11859,11859
1553160928,11819,11819
1553162126,11823,11823
1553163264,11812,11812
1553164941,11854,11854
1553167697,11888,11888
1553168907,11839,11839
1553170461,11825,11825
1553171730,11813,11813
1553173190,11813,11813
1553174061,11825,11825
1553174895,11822,11822
1553176215,11777,11777
1553177429,11722,11722
1553178514,11753,11753
1553179818,11711,11711
1553181031,11710,11710
1553181260,11718,11718
1553182102,11751,11751
1553184334,11711,11711
1553185822,11656,11656
1553187320,11682,11682
1553188531,11651,11651
1553189719,11642,11642
1553190918,11684,11684
1553192055,11701,11701
1553193631,11708,11708
1553195430,11704,11704
1553195656,11706,11706
1553196926,11738,11738
1553198730,11825,11825
1553199265,11870,11870
1553200099,11900,11900
1553201386,12004,12004
1553202857,12132,12132
1553204137,12180,12180
1553205317,12242,12242
1553206146,12238,12238
1553207303,12266,12266
1553208511,12222,12222
1553209825,12220,12220
1553211033,12205,12205
1553212307,12226,12226
1553213421,12210,12210
1553214776,12202,12202
1553216121,12218,12218
1553217325,12203,12203
1553218823,12199,12199
1553219786,12190,12190
1553220925,12202,12202
1553222555,12182,12182
1553224536,12176,12176
1553226033,12168,12168
1553228072,12150,12150
1553229336,12142,12142
1553230479,12172,12172
1553231689,12151,12151
1553233231,12143,12143
1553234186,12152,12152
1553236244,12102,12102
1553237778,12109,12109
1553238862,12114,12114
1553241326,12112,12112
1553242459,12159,12159
1553244026,12210,12210
1553244982,12223,12223
1553246058,12227,12227
1553247328,12229,12229
1553248585,12260,12260
1553249667,12240,12240
1553250497,12259,12259
1553251817,12208,12208
1553253026,12209,12209
1553254229,12192,12192
1553255557,12198,12198
1553256870,12190,12190
1553258122,12176,12176
1553259325,12208,12208
1553260521,12200,12200
1553261780,12188,12188
1553262931,12203,12203
1553264995,12157,12157
1553266272,12171,12171
1553267430,12163,12163
1553267668,12165,12165
1553268806,12162,12162
1553271267,12176,12176
1553272516,12164,12164
1553274060,12163,12163
1553275808,12164,12164
1553277061,12178,12178
1553278220,12179,12179
1553279441,12171,12171
1553280975,12191,12191
1553282064,12181,12181
1553283622,12202,12202
1553284584,12237,12237
1553285740,12264,12264
1553286918,12261,12261
1553288176,12265,12265
1553289329,12273,12273
1553290518,12274,12274
1553292329,12288,12288
1553294124,12276,12276
1553296458,12288,12288
1553298025,12279,12279
1553299615,12257,12257
1553300059,12272,12272
1553300897,12287,12287
1553302580,12268,12268
1553303664,12269,12269
1553304778,12256,12256
1553306178,12271,12271
1553307257,12269,12269
1553308939,12266,12266
1553310872,12271,12271
1553312652,12275,12275
1553313389,12285,12285
1553314532,12269,12269
1553316145,12255,12255
1553316982,12272,12272
1553318122,12273,12273
1553319621,12264,12264
1553320815,12259,12259
1553321677,12254,12254
1553323338,12224,12224
1553326098,12253,12253
1553327523,12237,12237
1553328857,12231,12231
1553330118,12238,12238
1553331319,12267,12267
1553332462,12262,12262
1553333574,12252,12252
1553334795,12247,12247
1553335920,12235,12235
1553336897,12255,12255
1553338575,12243,12243
1553339726,12232,12232
1553341224,12224,12224
1553342186,12253,12253
1553343268,12243,12243
1553344526,12230,12230
1553345813,12244,12244
1553346919,12255,12255
1553347699,12267,12267
1553349310,12289,12289
1553350511,12250,12250
1553352143,12253,12253
1553353476,12235,12235
1553354913,12247,12247
1553356273,12233,12233
1553357660,12254,12254
1553359120,12208,12208
1553360184,12227,12227
1553361261,12171,12171
1553362937,12155,12155
1553364375,12088,12088
1553365564,12112,12112
1553367380,12027,12027
1553368522,11978,11978
1553370026,11917,11917
1553370976,11938,11938
1553372121,11687,11687
1553373619,11582,11582
1553375434,11571,11571
1553376750,11549,11549
1553378116,11563,11563
1553379257,11559,11559
1553381044,11579,11579
1553382623,11589,11589
1553384538,11588,11588
1553387303,11601,11601
1553388978,11577,11577
1553390131,11575,11575
1553391266,11537,11537
1553391744,11534,11534
1553392591,11551,11551
1553393721,11525,11525
1553395223,11511,11511
1553396983,11485,11485
1553397269,11493,11493
1553398401,11470,11470
1553399790,11478,11478
1553401700,11483,11483
1553403397,11469,11469
1553404525,11450,11450
1553406144,11469,11469
1553406986,11486,11486
1553408121,11450,11450
1553409632,11415,11415
1553411419,11320,11320
1553412861,11042,11042
1553414123,10982,10982
1553416097,10855,10855
1553417776,10813,10813
1553418919,10798,10798
1553419982,10768,10768
1553420545,10773,10773
1553422306,10783,10783
1553423296,10804,10804
1553424925,10792,10792
1553426060,10785,10785
1553427736,10777,10777
1553429305,10777,10777
1553430498,10796,10796
1553432198,10805,10805
1553433259,10753,10753
1553434936,10746,10746
1553436884,10742,10742
1553438117,10735,10735
1553439687,10713,10713
1553440458,10725,10725
1553442136,10697,10697
1553444900,10707,10707
1553446432,10664,10664
1553447668,10662,10662
1553449336,10633,10633
1553450188,10650,10650
1553451309,10637,10637
1553452826,10625,10625
1553453783,10678,10678
1553454856,10730,10730
1553456539,10948,10948
1553458523,11101,11101
1553459909,11151,11151
1553461558,11195,11195
1553463290,11259,11259
1553465124,11294,11294
1553466635,11300,11300
1553467964,11337,11337
1553470547,11352,11352
1553471779,11362,11362
1553472920,11378,11378
1553474319,11394,11394
1553476220,11413,11413
1553477338,11430,11430
1553479017,11422,11422
1553480127,11421,11421
1553480909,11425,11425
1553483664,11410,11410
1553484500,11427,11427
1553486119,11404,11404
1553487273,11398,11398
1553488938,11374,11374
1553490870,11415,11415
1553492542,11402,11402
1553493928,11407,11407
1553495314,11433,11433
1553496158,11407,11407
1553496991,11411,11411
1553498058,11407,11407
1553499749,11389,11389
1553500578,11392,11392
1553501660,11383,11383
1553502499,11399,11399
1553504127,11375,11375
1553505262,11359,11359
1553506097,11380,11380
1553507722,11369,11369
1553508921,11378,11378
1553510418,11386,11386
1553511380,11386,11386
1553512462,11381,11381
1553514149,11352,11352
1553516421,11359,11359
1553516900,11373,11373
1553517736,11336,11336
1553518580,11359,11359
1553519693,11363,11363
1553520497,11368,11368
1553521654,11356,11356
1553522815,11353,11353
1553523258,11362,11362
1553524450,11346,11346
1553525931,11334,11334
1553527226,11350,11350
1553528544,11308,11308
1553529834,11329,11329
1553531118,11358,11358
1553532136,11372,11372
1553534057,11517,11517
1553534897,11580,11580
1553536584,11606,11606
1553537660,11636,11636
