DateTime,AddedIPs,RemovedIPs
1550804232,2,0
1550805313,1,0
1550807177,3,0
1550808892,4,0
1550810537,3,1
1550812348,3,0
1550813328,3,0
1550814188,1,0
1550817721,1,1
1550820895,0,1
1550822091,0,1
1550837695,1,0
1550839153,0,1
1550840957,0,1
1550852087,1,0
1550867341,1,0
1550881733,1,0
1550887577,1,0
1550889353,1,0
1550892526,2,0
1550900470,1,0
1550904640,2,2
1550909200,1,0
1550910655,0,2
1550912147,0,1
1550927684,1,0
1550929367,0,1
1550931303,2,0
1550932560,0,3
1550933805,0,1
1550934968,1,0
1550944612,2,0
1550945704,3,0
1550946529,2,0
1550966147,0,3
1550968850,0,3
1550972527,0,2
1550974501,1,2
1550976116,0,2
1550978179,0,3
1550980656,0,3
1550982066,0,3
1550983332,0,6
1550985320,1,0
1550986868,1,1
1550993325,1,0
1551004579,1,0
1551006909,1,1
1551009413,0,1
1551034058,1,0
1551038201,0,1
1551045360,1,0
1551051767,0,1
1551054348,2,0
1551066115,1,0
1551068112,1,0
1551073367,0,2
1551097728,0,1
1551099056,0,1
1551104107,0,1
1551114823,0,1
1551130816,4,0
1551139032,1,0
1551156129,0,2
1551159765,3,0
1551163281,0,2
1551165288,1,0
1551168914,1,0
1551175417,0,1
1551193021,0,1
1551194100,0,1
1551198649,1,1
1551204994,0,2
1551206576,0,5
1551211607,1,0
1551212093,1,0
1551216970,0,1
1551219378,4,0
1551231078,0,1
1551235367,0,1
1551243419,1,0
1551253561,3,0
1551261974,0,1
1551264173,0,1
1551266153,2,0
1551268567,0,2
1551270533,0,2
1551280290,1,0
1551295917,0,1
1551299323,0,1
1551302924,1,0
1551307387,1,0
1551309304,0,1
1551316495,1,0
1551322607,0,1
1551328919,1,0
1551332575,1,0
1551336084,0,1
1551337207,1,0
1551340244,0,1
1551344152,1,0
1551351349,0,1
1551352577,2,0
1551356099,1,0
1551357717,0,3
1551366912,0,2
1551368579,0,5
1551372181,0,3
1551377704,1,0
1551391018,1,0
1551394624,1,0
1551396972,1,1
1551398223,1,0
1551400128,1,0
1551404584,0,1
1551413476,0,1
1551415375,2,0
1551417289,0,1
1551420672,0,1
1551424571,0,2
1551438907,0,1
1551440582,0,1
1551446102,0,1
1551447695,2,1
1551464746,1,0
1551466382,2,0
1551476585,0,2
1551485416,1,0
1551492979,0,1
1551494575,0,1
1551498124,0,1
1551505327,1,0
1551506228,1,0
1551512505,0,1
1551514488,1,0
1551515747,0,1
1551517673,1,0
1551521747,0,3
1551525302,0,2
1551528232,1,0
1551533338,2,0
1551536936,1,1
1551539475,0,1
1551543361,1,0
1551544551,1,0
1551548566,1,0
1551554923,0,1
1551568499,1,0
1551570153,2,1
1551571013,1,0
1551584469,0,1
1551590929,1,1
1551597297,0,1
1551614203,0,1
1551616979,0,1
1551621044,0,1
1551631247,1,0
1551636899,0,1
1551637732,1,0
1551642104,1,1
1551643553,2,0
1551648531,1,0
1551654901,0,1
1551656568,1,0
1551660131,1,0
1551662483,0,1
1551669073,0,1
1551673813,1,0
1551675426,2,0
1551678170,1,0
1551690890,0,1
1551698088,1,0
1551703370,4,0
1551704211,4,0
1551705307,2,0
1551706559,2,0
1551710525,1,0
1551712570,1,0
1551714103,0,1
1551716171,0,2
1551737712,1,0
1551738968,0,1
1551759386,0,1
1551760969,1,0
1551790268,1,0
1551798940,0,1
1551800565,0,1
1551804173,1,0
1551807952,1,0
1551818564,0,1
1551820482,1,0
1551831277,1,0
1551832975,1,0
1551837411,1,0
1551853290,1,1
1551868681,0,4
1551871668,1,1
1551873367,0,1
1551874495,0,9
1551875657,0,1
1551879760,1,0
1551881696,1,2
1551887804,0,1
1551904975,1,0
1551906635,1,0
1551923436,0,1
1551933098,1,2
1551935755,1,0
1551941798,1,0
1551944256,1,0
1551949002,1,0
1551952604,1,0
1551957043,1,5
1551958975,0,1
1551960358,0,1
1551966166,1,0
1551968147,1,0
1551969681,8,0
1551970602,1,0
1551973678,0,1
1551977430,1,0
1551978885,1,1
1551987779,2,0
