DateTime,AddedIPs,RemovedIPs
1553289574,17,15
1553290295,9,11
1553291014,16,10
1553291734,14,22
1553292454,8,12
1553293174,19,8
1553293895,9,10
1553294614,12,18
1553295335,9,15
1553296055,18,14
1553296775,16,14
1553297494,9,38
1553298215,11,19
1553298935,19,12
1553299656,9,22
1553300380,20,33
1553301094,12,18
1553301815,6,25
1553302535,21,16
1553303254,15,13
1553303975,20,11
1553304695,14,18
1553305415,9,15
1553306137,8,18
1553307814,32,23
1553308535,10,13
1553309255,12,13
1553309975,16,16
1553310935,19,13
1553311655,8,8
1553312374,8,12
1553313095,10,16
1553313815,16,14
1553314536,14,10
1553315254,10,19
1553315976,18,7
1553316694,13,11
1553317655,13,22
1553318375,22,16
1553319095,20,17
1553319814,18,10
1553320536,11,12
1553321253,19,13
1553321975,22,8
1553322693,20,10
1553323415,13,10
1553324135,19,13
1553325814,35,37
1553326539,18,8
1553327254,12,16
1553327975,20,12
1553328695,16,15
1553329895,21,22
1553330614,6,14
1553331336,16,29
1553332053,13,20
1553332775,23,30
1553333974,17,36
1553334694,9,39
1553335414,12,26
1553336133,139,27
1553336855,17,25
1553337574,13,19
1553338294,8,15
1553339256,18,25
1553339975,13,16
1553340696,11,19
1553341414,13,19
1553342134,12,20
1553342854,10,21
1553344055,17,30
1553344775,13,24
1553345493,15,10
1553346215,17,20
1553346934,16,20
1553347653,15,23
1553348374,18,22
1553349094,23,22
1553349815,20,9
1553350534,23,20
1553351254,23,23
1553351976,17,23
1553352694,13,20
1553353413,14,20
1553354136,14,24
1553354854,33,17
1553355575,18,21
1553356295,14,20
1553357016,22,18
1553357735,16,15
1553358456,20,20
1553359175,15,9
1553359894,23,19
1553360615,23,16
1553361337,24,23
1553362054,18,24
1553362775,19,21
1553363494,21,11
1553364934,70,33
1553365655,11,20
1553366374,28,18
1553367094,20,14
1553368054,18,21
1553368775,18,17
1553369494,22,15
1553370214,18,13
1553370937,12,19
1553371654,18,11
1553372375,17,12
1553373093,20,17
1553373814,12,13
1553374538,13,22
1553375254,12,16
1553375974,17,19
1553376694,21,13
1553377413,21,16
1553378135,12,21
1553378854,16,8
1553379575,16,19
1553380294,13,9
1553381015,19,11
1553381735,16,14
1553382454,20,22
1553383173,14,14
1553383894,9,14
1553384615,17,9
1553385335,23,19
1553386057,12,10
1553386774,18,17
1553387493,16,13
1553388213,8,7
1553388936,13,22
1553389654,11,10
1553390374,17,21
1553391574,15,26
1553392293,14,8
1553393254,9,16
1553393975,12,14
1553394694,22,18
1553395415,16,11
1553396135,38,20
1553396855,9,13
1553397573,11,11
1553398295,20,9
1553399014,16,9
1553399734,17,13
1553400454,15,12
1553401174,9,18
1553402374,32,27
1553403094,11,20
1553404055,20,15
1553404774,10,31
1553405495,19,25
1553406215,11,22
1553406933,14,15
1553407655,8,16
1553408373,12,19
1553409094,19,23
1553409815,9,19
1553410535,24,21
1553412213,44,32
1553412937,11,18
1553413655,15,12
1553414855,35,29
1553415574,14,14
1553416296,15,12
1553417014,10,9
1553417737,12,15
1553418455,15,12
1553419175,56,23
1553420374,31,21
