DateTime,Entries,UniqueIPs
1553289574,31068,31068
1553290295,31066,31066
1553291014,31072,31072
1553291734,31064,31064
1553292454,31060,31060
1553293174,31071,31071
1553293895,31070,31070
1553294614,31064,31064
1553295335,31058,31058
1553296055,31062,31062
1553296775,31064,31064
1553297494,31035,31035
1553298215,31027,31027
1553298935,31034,31034
1553299656,31021,31021
1553300380,31008,31008
1553301094,31002,31002
1553301815,30983,30983
1553302535,30988,30988
1553303254,30990,30990
1553303975,30999,30999
1553304695,30995,30995
1553305415,30989,30989
1553306137,30979,30979
1553307814,30988,30988
1553308535,30985,30985
1553309255,30984,30984
1553309975,30984,30984
1553310935,30990,30990
1553311655,30990,30990
1553312374,30986,30986
1553313095,30980,30980
1553313815,30982,30982
1553314536,30986,30986
1553315254,30977,30977
1553315976,30988,30988
1553316694,30990,30990
1553317655,30981,30981
1553318375,30987,30987
1553319095,30990,30990
1553319814,30998,30998
1553320536,30997,30997
1553321253,31003,31003
1553321975,31017,31017
1553322693,31027,31027
1553323415,31030,31030
1553324135,31036,31036
1553325814,31034,31034
1553326539,31044,31044
1553327254,31040,31040
1553327975,31048,31048
1553328695,31049,31049
1553329895,31048,31048
1553330614,31040,31040
1553331336,31027,31027
1553332053,31020,31020
1553332775,31013,31013
1553333974,30994,30994
1553334694,30964,30964
1553335414,30950,30950
1553336133,31062,31062
1553336855,31054,31054
1553337574,31048,31048
1553338294,31041,31041
1553339256,31034,31034
1553339975,31031,31031
1553340696,31023,31023
1553341414,31017,31017
1553342134,31009,31009
1553342854,30998,30998
1553344055,30985,30985
1553344775,30974,30974
1553345493,30979,30979
1553346215,30976,30976
1553346934,30972,30972
1553347653,30964,30964
1553348374,30960,30960
1553349094,30961,30961
1553349815,30972,30972
1553350534,30975,30975
1553351254,30975,30975
1553351976,30969,30969
1553352694,30962,30962
1553353413,30956,30956
1553354136,30946,30946
1553354854,30962,30962
1553355575,30959,30959
1553356295,30953,30953
1553357016,30957,30957
1553357735,30958,30958
1553358456,30958,30958
1553359175,30964,30964
1553359894,30968,30968
1553360615,30975,30975
1553361337,30976,30976
1553362054,30970,30970
1553362775,30968,30968
1553363494,30978,30978
1553364934,31015,31015
1553365655,31006,31006
1553366374,31016,31016
1553367094,31022,31022
1553368054,31019,31019
1553368775,31020,31020
1553369494,31027,31027
1553370214,31032,31032
1553370937,31025,31025
1553371654,31032,31032
1553372375,31037,31037
1553373093,31040,31040
1553373814,31039,31039
1553374538,31030,31030
1553375254,31026,31026
1553375974,31024,31024
1553376694,31032,31032
1553377413,31037,31037
1553378135,31028,31028
1553378854,31036,31036
1553379575,31033,31033
1553380294,31037,31037
1553381015,31045,31045
1553381735,31047,31047
1553382454,31045,31045
1553383173,31045,31045
1553383894,31040,31040
1553384615,31048,31048
1553385335,31052,31052
1553386057,31054,31054
1553386774,31055,31055
1553387493,31058,31058
1553388213,31059,31059
1553388936,31050,31050
1553389654,31051,31051
1553390374,31047,31047
1553391574,31036,31036
1553392293,31042,31042
1553393254,31035,31035
1553393975,31033,31033
1553394694,31037,31037
1553395415,31042,31042
1553396135,31060,31060
1553396855,31056,31056
1553397573,31056,31056
1553398295,31067,31067
1553399014,31074,31074
1553399734,31078,31078
1553400454,31081,31081
1553401174,31072,31072
1553402374,31077,31077
1553403094,31068,31068
1553404055,31073,31073
1553404774,31052,31052
1553405495,31046,31046
1553406215,31035,31035
1553406933,31034,31034
1553407655,31026,31026
1553408373,31019,31019
1553409094,31015,31015
1553409815,31005,31005
1553410535,31008,31008
1553412213,31020,31020
1553412937,31013,31013
1553413655,31016,31016
1553414855,31022,31022
1553415574,31022,31022
1553416296,31025,31025
1553417014,31026,31026
1553417737,31023,31023
1553418455,31026,31026
1553419175,31059,31059
1553420374,31069,31069
1553421093,31080,31080
1553421815,31069,31069
1553422533,30946,30946
1553423254,30928,30928
1553423975,30930,30930
1553424694,30934,30934
1553426374,30927,30927
1553427095,30926,30926
1553427814,30921,30921
1553428536,30922,30922
1553429256,30919,30919
1553430455,30930,30930
1553431173,30927,30927
1553431895,30923,30923
1553432616,30917,30917
1553433336,30905,30905
1553434055,30902,30902
1553434774,30900,30900
1553435494,30890,30890
1553436215,30913,30913
1553436935,30964,30964
1553437654,30981,30981
1553438374,30982,30982
1553439094,31033,31033
1553439814,31043,31043
1553440534,31054,31054
1553441256,31039,31039
1553441974,31038,31038
1553442694,31041,31041
1553443655,31043,31043
1553444375,31042,31042
1553445575,31034,31034
1553446539,31027,31027
1553447734,31008,31008
1553448456,31005,31005
1553449174,31005,31005
1553449895,31001,31001
1553450615,30965,30965
1553451335,30964,30964
1553452054,30965,30965
1553452775,30959,30959
1553453494,30942,30942
1553454455,30952,30952
1553455174,30954,30954
1553455894,30943,30943
1553456613,30952,30952
1553457336,30948,30948
1553458054,30949,30949
1553458774,30948,30948
1553459975,30925,30925
1553460694,30921,30921
1553461414,30929,30929
1553462134,30930,30930
1553463335,30923,30923
1553464055,30921,30921
1553464836,30924,30924
1553465735,30921,30921
1553466455,30931,30931
1553467175,30936,30936
1553467895,30928,30928
1553471255,30938,30938
1553471974,30991,30991
1553473176,30987,30987
1553473894,30985,30985
1553474614,30991,30991
1553475335,30991,30991
1553476775,30988,30988
1553477495,30995,30995
1553478934,30996,30996
1553479655,30998,30998
1553480374,30998,30998
1553481094,30992,30992
1553481815,30983,30983
1553482539,30955,30955
1553483256,30958,30958
1553483974,30957,30957
1553484694,30957,30957
1553485415,30955,30955
1553486136,30947,30947
1553486854,30946,30946
1553487575,30947,30947
1553488295,30940,30940
1553489024,30937,30937
1553489734,30939,30939
1553491415,30938,30938
1553492135,30943,30943
1553492855,30935,30935
1553494072,30933,30933
1553494776,30923,30923
1553495495,30909,30909
1553496694,30889,30889
1553497415,30875,30875
1553498135,30865,30865
1553498853,30865,30865
1553499574,30866,30866
1553500295,30869,30869
1553501015,30880,30880
1553501734,30898,30898
1553502455,30908,30908
1553503175,30913,30913
1553503895,30916,30916
1553504615,30915,30915
1553505335,30919,30919
1553506055,30899,30899
1553506775,30909,30909
1553507495,30910,30910
1553508455,30961,30961
1553509175,30969,30969
1553509893,30966,30966
1553510615,30963,30963
1553511335,30967,30967
1553512055,30968,30968
1553512774,30960,30960
1553513495,30961,30961
1553514214,30958,30958
1553514935,30968,30968
1553515654,30976,30976
1553516854,30978,30978
1553517576,30985,30985
1553518293,30990,30990
1553519254,30998,30998
1553519975,31006,31006
1553521174,30988,30988
1553521895,30991,30991
1553522855,30952,30952
1553523575,30894,30894
1553524294,30890,30890
1553525016,30843,30843
1553525736,30833,30833
1553526454,30825,30825
1553527176,30821,30821
1553527895,30816,30816
1553528614,30812,30812
1553529335,30809,30809
1553530055,30807,30807
1553530774,30809,30809
1553531494,30811,30811
1553532694,30831,30831
1553533413,30830,30830
1553534134,30836,30836
1553534854,30837,30837
1553535575,30852,30852
1553536294,30851,30851
1553537253,30852,30852
1553537974,30846,30846
1553538695,30848,30848
1553539415,30842,30842
1553540135,30848,30848
1553541093,30848,30848
1553541815,30845,30845
1553542534,30842,30842
1553543254,30825,30825
1553544456,30829,30829
1553545173,30831,30831
1553548055,30847,30847
1553548774,30844,30844
1553550214,30833,30833
1553550934,30834,30834
1553551654,30832,30832
1553552375,30822,30822
1553553095,30818,30818
1553553815,30812,30812
1553554535,30817,30817
1553555254,30817,30817
1553555974,30814,30814
1553556694,30811,30811
1553557414,30809,30809
1553558136,30744,30744
1553559815,30743,30743
1553560535,30739,30739
1553561255,30733,30733
1553562454,30726,30726
1553563175,30726,30726
1553563896,30722,30722
1553565095,30717,30717
1553566294,30704,30704
1553567013,30698,30698
1553567734,30683,30683
1553568694,30679,30679
1553569414,30675,30675
1553570134,30667,30667
1553570855,30658,30658
1553571575,30652,30652
1553572295,30644,30644
1553573015,30635,30635
1553573734,30640,30640
1553574488,5601,5601
1553575174,30637,30637
1553575896,30625,30625
1553576614,30623,30623
1553577333,30613,30613
1553578055,30615,30615
1553578774,30593,30593
1553579495,30590,30590
1553580215,30586,30586
1553580934,30581,30581
1553581654,30581,30581
1553583094,30587,30587
1553584535,30570,30570
1553585254,30574,30574
1553585975,30574,30574
1553586694,30581,30581
1553587895,30579,30579
1553588614,30567,30567
1553589334,30586,30586
1553590054,30584,30584
1553590776,30582,30582
1553591493,30604,30604
1553592215,30616,30616
1553592936,30812,30812
1553593655,30809,30809
1553594373,30805,30805
1553595095,30759,30759
1553595814,30764,30764
1553596535,30762,30762
1553597256,30773,30773
1553598454,30771,30771
1553599175,30772,30772
1553599895,30774,30774
1553600614,30773,30773
1553601336,30765,30765
1553602056,30762,30762
1553603255,31105,31105
1553603975,31108,31108
1553604695,31105,31105
1553606134,31103,31103
1553606855,31114,31114
1553607575,31119,31119
1553608294,31112,31112
1553609015,31110,31110
1553609734,31104,31104
1553611415,31105,31105
1553612135,31096,31096
1553613095,31096,31096
1553613814,31106,31106
1553614536,31109,31109
1553615255,31124,31124
1553616454,31133,31133
1553617175,31126,31126
1553617894,31123,31123
1553618615,31115,31115
1553619336,31115,31115
1553620055,31113,31113
1553620775,31110,31110
1553621494,31098,31098
1553622215,31095,31095
1553622936,31092,31092
1553625334,31090,31090
1553626054,31086,31086
1553627255,31071,31071
1553627975,31066,31066
1553629174,31067,31067
1553629895,31063,31063
1553630855,31063,31063
1553631574,31062,31062
1553632293,31062,31062
1553633014,31062,31062
1553633735,31070,31070
1553634455,31063,31063
1553635176,31055,31055
1553635894,31054,31054
1553637096,31049,31049
1553637814,31053,31053
1553638535,31054,31054
1553639254,31075,31075
1553639974,31072,31072
1553640695,31070,31070
1553641415,31066,31066
1553642135,31060,31060
1553642854,31060,31060
1553643575,31058,31058
1553644294,31060,31060
1553645014,31063,31063
1553645735,31065,31065
1553646454,31066,31066
1553647175,31068,31068
1553647894,31064,31064
1553648615,31076,31076
1553649334,31077,31077
1553650055,31075,31075
1553650776,31077,31077
1553651493,31079,31079
1553652454,31077,31077
1553653175,31079,31079
1553653894,31084,31084
1553654614,31097,31097
1553655334,31096,31096
1553656054,31096,31096
1553656774,31099,31099
1553657495,31105,31105
1553658217,31106,31106
1553658935,31102,31102
1553659655,31110,31110
1553660375,31108,31108
1553661095,31102,31102
1553661815,31099,31099
1553662557,31101,31101
1553663261,31100,31100
1553663974,31105,31105
1553664695,31096,31096
1553665414,31097,31097
1553666135,31097,31097
1553666855,31091,31091
1553667574,31089,31089
1553668295,31089,31089
1553669014,31090,31090
1553669736,31094,31094
1553670455,31094,31094
1553671173,31106,31106
1553671894,31099,31099
1553672615,31102,31102
1553673336,31083,31083
1553674056,31078,31078
1553674774,31079,31079
1553675495,31083,31083
1553676215,31084,31084
1553676936,31087,31087
1553677655,31075,31075
1553678375,31072,31072
1553679093,31071,31071
1553679815,31062,31062
1553680535,31060,31060
1553681253,31047,31047
1553681975,31057,31057
1553682695,31055,31055
1553683414,31039,31039
1553684134,31034,31034
1553684855,31028,31028
1553685574,31028,31028
