DateTime,AddedIPs,RemovedIPs
1550921043,84,77
1550927043,155,95
1550932803,89,70
1550934723,74,82
1550940483,129,123
1550949362,99,78
1550951283,93,84
1550957043,134,158
1550963043,137,179
1550968803,53,104
1550974563,153,146
1550980323,109,165
1550985363,73,99
1550989204,89,82
1550993043,94,84
1550996883,60,53
1551003603,127,84
1551009362,132,94
1551015123,82,70
1551018963,96,78
1551023043,83,79
1551029043,138,96
1551035763,154,139
1551039843,104,101
1551043685,125,105
1551050643,119,177
1551055923,50,119
1551057844,103,97
1551061682,85,92
1551066722,125,146
1551075364,147,196
1551079442,97,81
1551086162,120,96
1551093363,130,144
1551101043,120,91
1551105123,72,75
1551107043,73,75
1551112804,76,65
1551118563,152,120
1551124323,110,85
1551128162,166,149
1551136802,135,196
1551142563,155,218
1551149523,86,90
1551151442,50,78
1551155282,75,96
1551160084,98,104
1551163924,173,162
1551171641,129,105
1551175443,78,59
1551183124,129,111
1551188884,113,111
1551198003,124,115
1551201842,83,68
1551208563,108,64
1551211684,173,156
1551219845,167,154
1551226322,128,201
1551232322,139,167
1551238083,60,87
1551244803,166,180
1551250564,169,161
1551259203,141,109
1551266165,121,124
1551271922,79,50
1551273843,69,51
1551277684,86,71
1551280563,72,65
1551284643,78,73
1551290643,152,128
1551294484,83,78
1551298325,103,92
1551306005,160,163
1551313684,110,198
1551318482,87,89
1551320405,75,80
1551324243,48,90
1551328323,84,88
1551334322,182,190
1551342242,153,134
1551346083,95,73
1551350883,89,70
1551356646,116,121
1551363363,150,111
1551367443,80,72
1551374163,131,127
1551381842,159,120
1551385682,100,82
1551388563,86,86
1551393604,85,115
1551397443,118,197
1551403443,138,106
1551410403,178,149
1551416162,197,204
1551420963,92,103
1551428643,164,132
1551432724,92,55
1551436562,77,65
1551440403,80,76
1551446163,139,97
1551451922,138,147
1551457924,91,62
1551463924,151,122
1551471842,144,154
1551475683,85,101
1551480723,80,85
1551482642,72,100
1551489363,146,190
1551495123,76,78
1551497042,50,69
1551500883,85,107
1551506643,184,193
1551514564,151,111
1551520323,65,54
1551524163,89,85
1551528243,160,111
1551534003,168,119
1551539763,78,102
1551543602,116,65
1551551524,134,130
1551557523,129,142
1551563283,126,155
1551573125,96,169
1551576962,91,103
1551580805,78,75
1551582723,59,76
1551588723,134,209
1551597363,166,144
1551605282,112,93
1551608163,91,59
1551615842,162,103
1551619685,87,89
1551626644,157,133
1551632643,92,85
1551634564,89,78
1551638404,88,88
1551642243,116,76
1551648003,145,149
1551651842,82,87
1551659763,104,204
1551663604,98,116
1551669362,132,133
1551675123,149,186
1551680883,91,87
1551683763,106,98
1551689523,68,70
1551693362,158,119
1551699603,89,66
1551705368,114,109
1551709924,76,73
1551713763,84,86
1551717605,85,50
1551723363,154,135
1551729124,183,133
1551734883,135,195
1551745443,86,100
1551749283,133,213
1551756003,132,140
1551761762,79,106
1551766562,166,189
1551770402,92,76
1551774243,71,65
1551781923,155,99
1551787683,128,105
1551793443,76,57
1551799203,113,132
1551806885,159,132
1551813603,193,134
1551819362,158,167
1551826322,138,185
1551832083,69,110
1551838805,168,181
1551846483,122,144
1551852963,173,188
1551856804,93,83
1551860162,86,72
1551864003,78,64
1551869283,125,117
1551875042,77,47
1551881763,138,104
1551885603,70,77
1551891363,121,120
1551898082,106,78
1551903843,96,86
1551905763,174,139
1551911044,89,103
1551916083,69,111
1551921843,110,189
1551928562,120,130
1551934323,157,181
1551940082,82,93
1551942962,109,68
1551950643,80,62
1551952563,121,106
1551961212,141,101
1551968883,122,100
1551975602,123,131
1551981363,146,118
1551989282,98,90
1551991204,116,78
1551995042,101,117
1552000808,131,187
1552007764,131,191
1552013522,126,155
1552022163,143,170
1552027925,161,151
1552033683,76,60
1552039683,146,100
1552047363,127,108
1552051204,76,72
1552056963,154,128
1552065603,127,121
1552069443,105,76
