DateTime,Entries,UniqueIPs
1552684580,1403,1445
1552686492,1435,1479
1552688430,1417,1459
1552690493,1416,1458
1552692514,1417,1462
1552694437,1436,1482
1552696331,1432,1479
1552698272,1424,1470
1552700168,1439,1486
1552702105,1435,1481
1552704034,1422,1468
1552705937,1428,1477
1552707855,1443,1494
1552709796,1446,1500
1552711692,1442,1499
1552713634,1474,1532
1552715528,1475,1533
1552717456,1465,1521
1552719387,1467,1520
1552721313,1458,1512
1552723216,1463,1518
1552725136,1457,1511
1552727322,1457,1511
1552729212,1458,1512
1552731132,1443,1495
1552733073,1440,1493
1552735215,1436,1489
1552737139,1425,1478
1552739056,1425,1479
1552740970,1428,1482
1552742907,1446,1501
1552744812,1438,1495
1552746733,1435,1492
1552748926,1419,1476
1552750812,1411,1467
1552752733,1425,1480
1552754672,1425,1478
1552756579,1415,1472
1552758492,1416,1473
1552760432,1417,1474
1552762332,1422,1478
1552764255,1434,1490
1552766189,1432,1488
1552768092,1431,1488
1552770026,1420,1474
1552771955,1417,1471
1552773859,1409,1463
1552775771,1402,1460
1552777847,1398,1456
1552779650,1404,1463
1552781563,1406,1468
1552783478,1407,1468
1552785374,1408,1468
1552787296,1407,1467
1552789229,1401,1465
1552791136,1409,1473
1552793054,1403,1467
1552794995,1403,1466
1552796892,1412,1475
1552798867,1404,1463
1552800759,1406,1465
1552802927,1389,1449
1552804814,1400,1459
1552806735,1390,1451
1552808652,1392,1451
1552810594,1386,1447
1552812492,1392,1450
1552814412,1375,1432
1552816358,1381,1440
1552818276,1377,1436
1552820168,1391,1450
1552822088,1390,1449
1552824035,1371,1430
1552825931,1361,1421
1552828119,1358,1418
1552830010,1345,1409
1552831929,1346,1409
1552833869,1367,1430
1552835769,1381,1444
1552837693,1385,1449
1552839632,1382,1446
1552841527,1363,1428
1552843452,1363,1427
1552845386,1352,1417
1552847288,1343,1410
1552849227,1341,1407
1552851149,1330,1396
1552853050,1336,1402
1552854966,1319,1384
1552856924,1317,1382
1552858811,1312,1377
1552860731,1310,1376
1552862667,1308,1372
1552864571,1304,1367
1552866652,1296,1359
1552868659,1293,1356
1552870567,1290,1353
1552872507,1289,1353
1552874422,1284,1346
1552876330,1295,1354
1552878272,1296,1355
1552880169,1289,1349
1552882127,1285,1345
1552884011,1265,1327
1552885937,1257,1318
1552889806,1233,1293
1552891694,1236,1297
1552893639,1234,1295
1552895549,1234,1299
1552899392,1195,1259
1552901559,1198,1258
1552903462,1205,1264
1552905374,1210,1269
1552907323,1207,1266
1552909213,1211,1270
1552911383,1219,1278
1552913293,1217,1274
1552915212,1212,1270
1552917147,1199,1256
1552919074,1206,1264
1552922178,1186,1240
1552924111,1204,1258
1552926007,1232,1287
1552927928,1228,1283
1552929852,1231,1288
1552931787,1198,1252
1552933691,1199,1254
1552935635,1193,1246
1552937549,1221,1275
1552939719,1203,1258
1552942875,1200,1254
1552945005,1199,1254
1552946920,1200,1255
1552948811,1202,1254
1552950736,1213,1262
1552952674,1212,1262
1552954836,1212,1262
1552956731,1214,1264
1552958677,1216,1267
1552960590,1213,1263
1552962494,1213,1264
1552964423,1209,1259
1552966363,1198,1247
1552968283,1199,1246
1552970173,1203,1251
1552972128,1210,1256
1552974013,1227,1271
1552975940,1251,1295
1552977855,1263,1306
1552979793,1265,1309
1552981958,1242,1285
