DateTime,AddedIPs,RemovedIPs
1552684580,16,21
1552686492,16,0
1552688430,24,20
1552690493,20,18
1552692514,18,12
1552694437,11,11
1552696331,9,13
1552698272,11,26
1552700168,22,15
1552702105,9,6
1552704034,10,20
1552705937,20,23
1552707855,14,15
1552709796,15,26
1552711692,20,19
1552713634,22,12
1552715528,21,18
1552717456,7,11
1552719387,25,23
1552721313,11,26
1552723216,18,21
1552725136,9,25
1552727322,20,18
1552729212,9,8
1552731132,9,22
1552733073,2,0
1552735215,7,1
1552737139,15,15
1552739056,26,16
1552740970,15,18
1552742907,32,20
1552744812,26,29
1552746733,18,23
1552748926,10,21
1552750812,14,17
1552752733,27,0
1552754672,24,17
1552756579,17,12
1552758492,26,21
1552760432,18,12
1552762332,13,12
1552764255,29,21
1552766189,19,26
1552768092,27,20
1552770026,14,19
1552771955,11,31
1552773859,14,0
1552775771,20,21
1552777847,13,23
1552779650,18,24
1552781563,13,25
1552783478,13,26
1552785374,19,26
1552787296,15,22
1552789229,12,16
1552791136,10,14
1552793054,19,21
1552794995,16,19
1552796892,28,24
1552798867,13,25
1552800759,25,24
1552802927,11,19
1552804814,19,24
1552806735,14,21
1552808652,16,24
1552810594,16,18
1552812492,20,13
1552814412,16,18
1552816358,18,27
1552818276,4,21
1552820168,8,22
1552822088,3,25
1552824035,3,16
1552825931,16,12
1552828119,18,21
1552830010,16,0
1552831929,16,12
1552833869,24,19
1552835769,18,19
1552837693,16,27
1552839632,27,20
1552841527,9,19
1552843452,21,24
1552845386,13,17
1552847288,18,20
1552849227,15,15
1552851149,15,18
1552853050,12,26
1552854966,16,15
1552856924,14,18
1552858811,11,15
1552860731,13,21
1552862667,12,14
1552864571,12,24
1552866652,14,15
1552868659,11,12
1552870567,9,17
1552872507,12,15
1552874422,12,20
1552876330,21,22
1552878272,16,14
1552880169,10,13
1552882127,15,18
1552884011,9,13
1552885937,4,20
1552889806,14,32
1552891694,18,14
1552893639,13,13
1552895549,19,25
1552899392,14,15
1552901559,10,14
1552903462,19,15
1552905374,2,15
1552907323,4,17
1552909213,7,18
1552911383,10,0
1552913293,12,16
1552915212,16,18
1552917147,8,17
1552919074,21,24
1552922178,22,17
1552924111,34,18
1552926007,19,23
1552927928,17,21
1552929852,17,23
1552931787,19,11
1552933691,17,15
1552935635,14,11
1552937549,19,17
1552939719,14,19
1552942875,14,17
1552945005,12,31
1552946920,17,0
1552948811,16,21
1552950736,24,18
1552952674,13,17
1552954836,18,38
1552956731,17,0
1552958677,15,20
1552960590,11,18
1552962494,19,16
1552964423,16,16
1552966363,10,12
1552968283,17,16
1552970173,13,6
1552972128,14,15
1552974013,16,15
1552975940,18,19
1552977855,23,28
1552979793,23,15
1552981958,23,21
1552983857,14,13
1552985792,5,18
1552987693,14,26
1552989622,35,9
1552991554,3,10
1552993463,8,12
1552995393,7,22
1552997324,13,25
1552999212,15,18
1553001140,18,20
1553003324,15,0
1553005237,19,10
1553007395,19,20
1553009559,17,12
1553011454,14,0
1553013393,15,37
1553017214,15,27
1553019404,18,18
1553021294,10,23
1553023211,13,16
1553028988,16,76
1553030893,15,21
1553032830,18,22
1553034752,18,15
1553036653,19,18
1553038569,20,0
1553040512,14,15
1553042656,17,16
1553044578,18,13
1553046498,19,21
1553048409,16,14
1553050352,20,15
1553052251,13,0
1553054188,13,21
1553056094,17,21
1553058036,11,12
1553059941,13,21
1553061876,14,14
1553063776,13,10
1553065725,11,14
1553067633,13,17
1553069535,18,11
1553071699,15,14
1553073611,12,14
1553075552,12,11
1553077455,2,0
1553079373,6,8
1553081314,20,6
1553083241,16,9
1553085157,18,3
1553087078,23,0
1553088971,16,10
1553090897,28,16
1553092832,15,15
1553094736,26,12
1553096900,19,18
1553099080,16,25
1553100995,16,18
1553102896,26,24
1553104837,15,19
1553106758,22,29
1553108663,17,23
1553110577,20,28
1553114433,16,38
1553116600,19,16
1553118514,13,17
1553120409,18,13
1553122574,12,14
1553124495,10,13
1553126428,11,19
1553128477,20,20
1553130509,15,0
1553132406,12,14
1553134326,15,22
1553136268,18,13
1553138169,14,14
1553140087,14,13
1553142027,13,18
1553143927,8,10
1553145851,17,8
1553147788,14,29
1553149684,16,18
1553151623,16,19
1553153554,16,18
1553155475,16,15
1553157366,19,8
1553159290,18,16
1553161209,14,6
1553163133,11,9
1553165071,4,12
1553166968,3,12
1553168887,15,14
1553170837,9,15
1553172747,22,27
1553174650,20,20
1553176568,32,30
1553178508,23,28
1553180454,13,13
1553182339,10,16
1553184283,24,22
1553186176,23,19
1553188094,20,9
1553190031,19,7
1553191947,13,10
1553193886,23,18
1553195797,18,9
1553197698,17,12
1553199608,21,10
1553201538,13,13
1553203459,25,0
1553205370,10,15
1553207310,25,22
1553209230,27,21
1553211134,13,12
1553213325,15,0
1553215213,16,14
1553217161,14,18
1553219054,15,8
1553220978,18,16
1553223143,17,18
1553225053,16,14
1553226995,16,5
1553228892,16,13
1553230834,13,18
1553232736,10,0
1553234679,26,24
1553236587,21,19
1553238525,21,21
1553240436,15,15
1553242337,21,16
1553244257,14,16
1553246197,8,24
1553248096,8,6
1553251935,11,19
1553253873,2,7
1553255793,17,25
1553257715,16,26
1553259639,18,25
1553261534,24,17
1553263723,14,25
1553266119,17,17
1553268012,18,23
1553269933,10,20
1553271881,17,19
1553273768,12,16
1553275706,18,25
1553277637,11,27
1553279558,15,23
1553281479,12,17
1553283397,12,17
1553285295,6,20
1553287217,10,20
1553289383,19,35
1553291295,16,15
1553293231,13,23
1553295134,13,0
1553297057,24,19
1553298991,18,15
1553300890,16,12
1553302823,17,9
1553304754,7,17
1553306923,15,30
1553308812,8,0
1553311002,21,29
1553312896,21,16
1553314810,12,13
1553316754,21,19
1553318655,19,25
1553320599,14,25
1553322493,12,6
1553324420,16,22
1553326343,10,10
1553328259,16,15
1553330171,12,11
1553332118,17,0
1553334032,17,34
1553335934,15,7
1553337853,16,0
1553339774,11,0
1553341698,9,5
1553343641,7,12
1553345553,20,27
1553347455,19,16
1553349388,22,30
1553351312,18,22
1553353226,10,16
1553355134,19,10
1553357077,13,15
1553358977,10,19
1553360911,12,25
1553362831,16,19
1553364732,21,25
1553366650,24,21
1553368573,23,16
1553370738,20,25
1553372653,23,15
1553374592,12,30
1553376490,14,16
1553378666,14,32
1553380570,17,0
1553382515,13,20
1553384415,17,14
1553386337,18,22
1553388277,18,15
1553390174,13,14
1553392094,17,14
1553394040,13,29
1553395933,20,0
1553397854,11,12
1553399791,13,15
1553401690,11,18
1553403623,16,24
1553405555,16,13
1553407456,16,21
1553409374,15,14
1553411324,21,17
1553413214,13,20
1553415139,22,18
1553417075,16,19
1553418981,8,21
1553420897,14,11
1553422812,8,18
1553424753,6,2
1553426651,9,6
1553428589,1,3
1553430512,12,3
1553432437,17,18
1553434339,17,17
1553436276,26,15
1553438178,15,18
1553440098,14,23
1553442035,17,13
1553444180,13,16
1553446104,15,27
1553448010,20,9
1553449952,9,23
1553451856,24,14
1553453771,18,17
1553455689,16,14
1553457628,13,17
1553459557,13,17
1553461480,17,16
1553465309,19,24
1553467236,16,13
1553470861,13,28
1553472763,13,13
1553474676,17,15
1553476571,19,9
1553478522,14,11
1553480436,14,16
1553482333,15,18
1553484257,17,17
1553486195,20,11
1553488095,12,19
1553490035,8,10
1553491936,22,5
1553493862,18,0
1553495774,17,7
1553497700,12,15
1553499635,23,16
1553501538,18,19
1553503456,15,0
1553505398,8,15
1553507293,11,8
1553509234,8,16
1553511149,9,4
1553513055,8,2
1553514991,17,5
1553516914,16,7
1553518848,6,11
1553520758,17,13
1553522926,16,9
1553524813,19,21
1553526734,35,0
1553528677,26,21
1553530577,13,29
1553532492,24,11
1553534409,20,14
1553536351,17,18
1553538254,22,15
1553540190,22,17
1553542090,22,13
1553544037,17,19
1553547167,24,18
1553549063,17,13
1553550990,17,17
1553552892,21,15
1553554832,16,18
1553556758,22,18
1553558927,16,9
1553560818,19,16
1553562736,21,14
1553564679,18,16
1553566573,11,11
1553568759,7,19
1553570654,15,16
1553572572,21,9
1553574498,13,14
1553576426,20,17
1553578336,13,18
1553580280,10,23
1553582185,20,19
1553586034,17,46
1553587955,23,20
1553589856,11,14
1553591774,5,5
1553593718,21,12
1553595623,8,31
1553597530,8,3
1553599456,3,8
1553601391,9,9
1553603309,12,11
1553605243,13,8
1553607135,28,16
1553609082,22,21
1553611003,15,15
1553613161,15,16
1553615058,21,14
1553616975,25,14
1553620835,15,14
1553622729,27,16
1553624937,23,20
1553626840,22,13
1553628757,14,15
1553630922,13,0
1553632816,20,0
1553634740,20,13
1553636677,22,12
1553638597,16,13
1553640496,23,16
1553642436,13,17
1553646260,13,36
1553648170,15,14
1553650115,14,18
1553653956,7,38
1553655915,6,24
1553657777,11,15
1553659730,21,8
1553661611,11,15
1553665471,22,27
1553667373,9,18
1553669293,16,11
1553671230,18,11
1553673132,18,13
1553675054,14,14
1553676989,8,10
1553680842,16,23
1553682757,8,1
1553684655,10,7
