DateTime,AddedIPs,RemovedIPs
1552684580,46,60
1552686492,58,45
1552688430,48,57
1552690493,51,47
1552692514,52,51
1552694437,45,48
1552696331,50,51
1552698272,52,42
1552700168,61,61
1552702105,55,61
1552704034,44,54
1552705937,61,43
1552707855,51,59
1552709796,54,53
1552711692,56,55
1552713634,61,55
1552715528,54,59
1552717456,35,58
1552719387,58,37
1552721313,49,58
1552723216,55,47
1552725136,50,53
1552727322,64,54
1552729212,34,63
1552731132,20,35
1552733073,13,24
1552735215,19,13
1552737139,52,17
1552739056,61,49
1552740970,55,62
1552742907,60,56
1552744812,46,62
1552746733,52,44
1552748926,26,48
1552750812,51,27
1552752733,62,52
1552754672,60,60
1552756579,63,61
1552758492,53,60
1552760432,60,56
1552762332,52,57
1552764255,61,52
1552766189,43,61
1552768092,55,43
1552770026,40,57
1552771955,51,38
1552773859,50,49
1552775771,55,54
1552777847,50,53
1552779650,58,53
1552781563,44,55
1552783478,50,49
1552785374,58,43
1552787296,52,56
1552789229,51,55
1552791136,53,55
1552793054,52,48
1552794995,58,57
1552796892,56,55
1552798867,41,60
1552800759,63,38
1552802927,50,61
1552804814,46,49
1552806735,55,50
1552808652,43,55
1552810594,49,43
1552812492,52,50
1552814412,34,56
1552816358,49,30
1552818276,13,53
1552820168,24,15
1552822088,21,22
1552824035,6,22
1552825931,59,7
1552828119,52,52
1552830010,63,56
1552831929,50,63
1552833869,66,48
1552835769,54,64
1552837693,52,55
1552839632,58,52
1552841527,40,55
1552843452,54,42
1552845386,52,57
1552847288,49,52
1552849227,43,47
1552851149,40,42
1552853050,47,39
1552854966,39,48
1552856924,48,39
1552858811,39,47
1552860731,45,39
1552862667,45,42
1552864571,38,46
1552866652,50,38
1552868659,51,49
1552870567,39,53
1552872507,53,40
1552874422,40,53
1552876330,55,38
1552878272,54,59
1552880169,48,49
1552882127,52,48
1552884011,42,54
1552885937,39,39
1552889806,50,38
1552891694,48,54
1552893639,48,49
1552895549,47,44
1552899392,43,49
1552901559,38,48
1552903462,52,37
1552905374,20,56
1552907323,21,22
1552909213,28,19
1552911383,23,24
1552913293,47,27
1552915212,51,44
1552917147,44,46
1552919074,56,47
1552922178,63,59
1552924111,64,62
1552926007,65,66
1552927928,52,57
1552929852,56,56
1552931787,49,57
1552933691,52,48
1552935635,41,54
1552937549,47,40
1552939719,50,44
1552942875,45,49
