DateTime,AddedIPs,RemovedIPs
1548236752,3,21
1548247853,1,28
1548258937,5,22
1548269975,3,21
1548280951,4,25
1548291710,3,21
1548302288,1,24
1548312875,5,11
1548323712,5,17
1548334350,2,13
1548345118,2,13
1548356189,4,25
1548366888,1,36
1548377997,4,22
1548388718,4,35
1548399759,5,26
1548411026,4,13
1548422248,1,21
1548433205,5,22
1548444251,2,14
1548454899,4,19
1548465745,4,11
1548476838,4,12
1548487722,8,10
1548498684,3,15
1548509211,8,11
1548520126,4,7
1548531054,2,17
1548542329,5,53
1548553390,2,38
1548564723,2,20
1548575082,4,31
1548585960,4,23
1548596603,2,20
1548607893,0,22
1548618979,8,20
1548629540,2,25
1548640422,4,33
1548651176,4,30
1548662099,3,30
1548673009,1,20
1548683784,2,22
1548694803,2,20
1548705833,3,19
1548716629,1,30
1548727865,3,40
1548738604,1,45
1548749352,5,21
1548760124,3,36
1548771353,4,42
1548782301,6,24
1548793430,6,20
1548804410,7,25
1548814951,4,18
1548825887,2,19
1548836803,6,15
1548847553,4,10
1548858482,1,20
1548869383,0,32
1548880311,5,34
1548891079,4,31
1548901910,4,36
1548912976,0,31
1548923559,4,18
1548934335,1,25
1548945259,2,26
1548956290,5,14
1548967290,4,14
1548994760,5,71
1549005490,2,32
1549016306,6,33
1549027084,2,25
1549037800,2,10
1549048061,2,12
1549059231,1,9
1549069628,2,10
1549080606,2,13
1549090919,1,9
1549101049,1,7
1549111945,2,7
1549122621,2,8
1549132865,1,7
1549143793,3,5
1549154819,6,2
1549165414,6,4
1549176397,2,4
1549187051,1,2
1549197652,2,3
1549208603,5,7
1549219663,3,8
1549230557,6,4
1549241354,7,4
1549252297,0,4
1549263043,2,10
1549274143,0,3
1549284668,2,4
1549295539,7,2
1549306451,4,4
1549317258,3,4
1549328091,2,5
1549338442,2,4
1549348759,3,4
1549359718,4,3
1549370562,0,4
1549381446,4,7
1549392662,2,5
1549404014,5,4
1549415061,1,8
1549426309,3,10
1549437466,5,5
1549447923,3,4
1549458941,5,8
1549469923,2,6
1549481014,1,1
1549492025,2,4
1549502387,1,1
1549513370,2,1
1549524485,2,3
1549535440,7,1
1549546054,3,5
1549557387,3,1
1549567512,5,5
1549578377,3,1
1549588206,1,4
1549599072,1,4
1549610181,2,0
1549620723,0,3
1549631181,0,2
1549642044,2,2
1549651694,2,4
1549662397,0,2
1549673222,0,7
1549684287,0,4
1549695584,2,4
1549706592,7,3
1549717614,0,5
1549728853,5,3
1549739598,2,2
1549750320,2,5
1549760770,2,4
1549771875,4,3
1549782466,5,2
1549793365,4,3
1549815284,1,22
1549826247,5,2
1549837069,3,1
1549847845,2,1
1549858771,6,2
1549869640,6,4
1549880165,2,3
1549891053,4,1
1549901727,4,0
1549911902,2,5
1549922668,0,3
1549933418,3,3
1549944366,2,2
1549954801,0,1
1549965858,2,5
1549976308,0,3
1549987123,2,1
1549997279,2,3
1550008077,2,4
1550018815,3,2
1550029755,7,2
1550040712,2,1
1550051405,5,4
1550062093,3,0
1550073072,2,2
1550084051,3,6
1550095166,6,4
1550106237,8,5
1550117134,2,3
1550128063,1,3
1550138884,5,4
1550149851,4,2
1550160784,4,3
1550171266,9,2
1550182273,6,0
1550193253,1,3
1550204065,3,3
1550214686,4,3
1550225765,5,3
1550236339,4,2
1550246893,7,8
1550257765,4,7
1550268594,5,3
1550279457,0,3
1550290415,7,2
1550300227,3,0
1550311202,3,1
1550322018,3,2
1550333161,3,1
1550344076,5,6
1550353984,4,5
1550364971,1,5
1550376244,0,2
1550387293,2,2
1550398324,2,2
1550409031,4,1
1550419800,4,5
1550430318,5,1
1550441090,4,2
1550451717,7,3
1550462513,2,4
1550473228,1,6
1550484221,5,0
1550495094,3,3
1550506977,6,3
1550517680,2,3
1550528091,1,4
1550539214,5,3
1550549842,4,2
1550560674,3,4
1550571203,4,6
1550581990,1,5
1550592794,3,3
1550603823,5,3
1550614748,5,0
1550625619,6,2
1550636157,2,2
1550646935,4,7
1550656940,4,2
1550667481,7,5
1550677481,3,6
1550688444,5,8
1550699337,3,3
1550710281,7,2
1550721363,5,2
1550732416,6,3
1550743142,9,5
1550754187,2,4
1550764894,4,7
1550775787,0,3
1550786814,3,3
1550797739,2,4
1550808591,4,2
1550819186,0,2
1550829880,1,5
1550841007,2,0
1550851848,6,1
1550861873,3,2
1550872608,5,0
1550883475,3,4
1550894326,3,6
1550904998,5,3
1550915866,4,2
1550926730,3,5
1550938050,6,5
1550949091,3,3
1550960129,2,4
1550971143,0,1
1550981835,6,2
1550992787,1,5
1551003625,4,4
1551014384,2,2
1551025426,3,1
1551035510,1,3
1551046409,1,3
1551057357,2,5
1551068166,3,3
1551078989,3,3
1551089965,2,6
1551100990,3,2
1551111814,3,5
1551122800,1,2
1551133753,4,3
1551144690,3,2
1551154810,5,1
1551165479,5,3
1551176397,2,2
1551186436,4,2
1551197437,4,2
1551208071,4,5
1551218928,5,3
1551229796,7,4
1551240640,3,4
1551251693,6,2
1551262526,3,3
1551273448,1,3
1551283981,4,4
1551294325,3,2
1551305291,1,1
1551316514,5,3
1551327389,1,1
1551338288,5,8
1551349427,4,5
1551360482,7,4
1551371437,1,4
1551382820,5,6
1551393961,1,5
1551405082,4,4
1551416135,5,3
1551426665,3,3
1551437572,3,0
1551448349,1,3
1551458944,5,1
1551469757,2,4
1551480627,3,3
1551491135,4,5
1551502196,2,0
1551512839,2,2
1551523297,4,5
1551534216,3,1
1551545106,2,2
1551555971,5,0
1551566850,5,1
1551577915,8,0
1551588967,4,1
1551599560,2,2
1551609937,2,2
1551620778,1,2
1551631795,2,3
1551642845,4,3
1551653589,2,3
1551664454,3,4
1551675557,4,4
1551685366,4,3
1551696479,0,1
1551708075,3,0
1551718896,6,4
1551728888,3,1
1551739909,4,6
1551750907,6,2
1551761789,4,4
1551772716,3,5
1551783690,2,0
1551794532,5,4
1551805670,5,3
1551816327,5,12
1551827270,4,5
1551838170,4,5
1551849115,4,2
1551860113,3,2
1551871179,2,1
1551881905,0,2
1551892304,5,2
1551903069,3,4
1551914105,5,2
1551924983,2,4
1551935831,4,3
1551946661,3,4
1551957406,0,6
1551968286,1,2
1551978907,2,1
1551989724,7,5
1552000709,3,4
1552011147,2,1
1552021452,1,3
1552032506,5,2
1552043221,4,5
1552054228,2,2
1552065370,4,3
1552076401,7,3
1552086642,4,4
1552097738,3,4
1552108776,4,5
1552119807,3,4
1552130724,4,2
1552141351,10,4
1552152196,5,2
1552163126,4,4
1552174082,5,5
1552185095,2,3
1552195921,3,3
1552206968,2,1
1552217693,4,1
1552228425,3,2
1552239307,4,5
1552250362,6,2
1552261458,2,1
1552271889,5,2
1552282694,4,3
1552293793,4,3
1552304607,5,1
1552315926,7,4
1552326874,4,2
1552337414,3,4
1552348142,2,3
1552359097,5,0
1552369986,6,0
1552380761,4,0
1552391398,8,0
1552402320,6,0
1552413290,1,5
1552423904,6,3
1552434679,4,5
1552445626,4,3
1552456319,1,2
1552467035,6,1
1552478174,5,2
1552488830,1,5
1552499699,2,2
1552510531,4,3
1552521606,4,1
1552532309,2,3
1552542988,1,4
1552554252,1,2
1552565310,2,2
1552575606,3,5
1552586377,3,3
1552597082,0,2
1552607893,3,4
1552618511,3,5
1552629181,5,3
1552640076,5,3
1552650990,7,4
1552661967,8,2
1552673035,4,2
1552684009,5,3
1552695288,4,11
1552705926,2,8
1552716887,4,2
1552727698,1,6
1552737617,1,4
1552748349,2,3
1552758949,6,2
1552769458,4,7
1552780475,2,3
1552791367,3,6
1552802311,2,3
1552813198,3,5
1552824213,0,6
1552835231,1,8
1552845961,5,3
1552856882,5,4
1552868140,5,2
1552878281,3,2
1552889207,2,3
1552899696,1,3
1552910552,3,3
1552921484,2,4
1552932502,1,6
1552943782,12,7
1552954758,8,6
1552965758,4,2
1552976853,11,3
1552987832,16,4
1552998853,12,5
1553009992,22,5
1553020970,24,3
1553032079,27,2
1553043071,21,5
1553054086,17,4
1553064970,14,6
1553075742,25,2
1553086762,27,2
1553098109,18,4
1553109108,25,5
1553119938,15,6
1553130885,12,4
1553141963,15,4
1553152940,16,2
1553163997,8,3
1553175040,21,2
1553186135,9,2
1553196846,14,5
1553208012,13,7
1553218993,7,4
1553229850,7,2
1553240309,7,2
1553251462,2,6
1553262218,8,3
1553273150,7,4
1553284104,4,5
1553294760,5,6
1553305631,7,7
1553316663,6,3
1553327214,5,7
1553338347,7,6
1553349239,4,5
1553359992,6,3
1553370851,10,3
1553380967,14,5
1553391798,2,3
1553402828,10,4
1553414161,4,2
1553425922,7,4
1553436744,9,6
1553447782,4,2
1553458696,3,3
1553470463,4,2
1553481104,4,7
1553491721,2,4
1553502633,2,1
1553513669,1,5
1553524698,1,4
1553535256,3,3
1553546339,6,3
1553554747,4,2
1553576687,2,1
1553587154,3,1
1553598310,6,2
1553609464,3,3
1553620370,3,3
1553631279,5,1
1553642352,4,1
1553653281,4,4
1553663915,2,1
1553674752,3,5
1553685756,5,2
