DateTime,AddedIPs,RemovedIPs
1548080821,3052,3052
1548091621,3674,3674
1548102421,4139,4139
1548113221,4470,4470
1548124021,4921,4921
1548134821,2018,2018
1548145621,1688,1688
1548156421,1970,1970
1548167221,2828,2828
1548178021,3437,3437
1548188821,3948,3948
1548199621,4291,4291
1548210421,4776,4776
1548221221,2143,2143
1548232021,1811,1811
1548242821,2082,2082
1548253621,2858,2858
1548264421,3477,3477
1548275221,3945,3945
1548286021,4333,4333
1548296821,4444,4444
1548437221,6650,6650
1548448021,4025,4025
1548458821,4409,4409
1548469621,4761,4761
1548480421,1982,1982
1548491221,1730,1730
1548502021,2029,2029
1548512821,2891,2891
1548523621,3433,3433
1548534421,3913,3913
1548545221,4312,4312
1548556021,4746,4746
1548566821,1990,1990
1548577621,1664,1664
1548588422,1815,1815
1548599221,2726,2726
1548610021,3311,3311
1548620821,3818,3818
1548631621,4182,4182
1548642421,4752,4752
1548653221,2090,2090
1548664021,1689,1689
1548674821,2038,2038
1548685621,2918,2918
1548696421,3461,3461
1548707221,3992,3992
1548718021,4383,4383
1548728821,4956,4956
1548739621,3248,3248
1548750421,1892,1892
1548761221,1622,1622
1548772021,2589,2589
1548782821,3234,3234
1548793621,3793,3793
1548804421,4224,4224
1548815221,4726,4726
1548826021,2004,2004
1548836821,1711,1711
1548847621,1808,1808
1548858421,2667,2667
1548869221,3063,3063
1548880021,3736,3736
1548890821,4067,4067
1548901621,4168,4168
1548912421,4605,4605
1548923221,543,543
1548934021,1524,1524
1548944821,1630,1630
1548955621,2115,2115
1548966421,2699,2699
1548977221,3208,3208
1548988021,4229,4229
1548998821,2832,2832
1549009621,1360,1360
1549020421,1248,1248
1549031221,1725,1725
1549042021,2192,2192
1549052821,2956,2956
1549063621,3372,3372
1549074421,4235,4235
1549085221,1540,1540
1549096021,1277,1277
1549106821,1120,1120
1549117621,1198,1198
1549128421,1986,1986
1549139221,2479,2479
1549150021,2907,2907
1549160821,4111,4111
1549171621,1493,1493
1549182421,1138,1138
1549193221,1073,1073
1549204021,1025,1025
1549214821,1628,1628
1549225621,2170,2170
1549236421,2537,2537
1549247222,3828,3828
1549258021,1509,1509
1549268821,1137,1137
1549279621,1120,1120
1549290421,1002,1002
1549301221,1658,1658
1549312021,2200,2200
1549322821,2663,2663
1549333621,3773,3773
1549344421,1317,1317
1549355221,1319,1319
1549366021,643,643
1549376821,921,921
1549387621,1332,1332
1549398421,1886,1886
1549409221,2294,2294
1549420021,3474,3474
1549430821,1549,1549
1549441621,994,994
1549452421,1018,1018
1549463221,649,649
1549474021,1397,1397
1549484821,1943,1943
1549495621,2401,2401
1549506421,3466,3466
1549517221,1578,1578
1549528021,774,774
1549538821,1016,1016
1549549621,897,897
1549560421,1430,1430
1549571221,1970,1970
1549582021,2399,2399
1549592821,3440,3440
1549603621,1328,1328
1549614421,1131,1131
1549625221,976,976
1549636021,939,939
1549646821,1456,1456
1549657621,2048,2048
1549668421,2481,2481
1549679221,3587,3587
1549690021,1410,1410
1549700821,1235,1235
1549711621,1127,1127
1549722421,1085,1085
1549733221,1720,1720
1549744021,2310,2310
1549754821,2730,2730
1549765621,3854,3854
1549776421,1520,1520
1549787221,1205,1205
1549798021,1238,1238
1549808821,1201,1201
1549819621,1857,1857
1549830421,2426,2426
1549841221,2881,2881
1549852021,3974,3974
1549862821,1407,1407
1549873621,1188,1188
1549884421,1075,1075
1549895221,987,987
1549906021,1638,1638
1549916821,2156,2156
1549927621,2715,2715
1549938421,3757,3757
1549949221,1464,1464
1549960021,1220,1220
1549970821,1136,1136
1549981621,1152,1152
1549992421,1860,1860
1550003221,2393,2393
1550014021,2843,2843
1550024821,3787,3787
1550035621,1553,1553
1550046421,1335,1335
1550057221,1180,1180
1550068021,1891,1891
1550078821,2648,2648
1550089621,3192,3192
1550100421,3543,3543
1550111221,4644,4644
1550122021,1902,1902
1550132821,1874,1874
1550143621,1409,1409
1550154421,1987,1987
1550165221,2657,2657
1550176021,3134,3134
1550186821,3526,3526
1550197621,4840,4840
1550208421,1817,1817
1550219221,1858,1858
1550230021,1429,1429
1550240821,1059,1059
1550251621,1753,1753
1550262421,2396,2396
1550273221,2783,2783
1550284021,5002,5002
1550294821,1850,1850
1550305621,1852,1852
1550316421,1380,1380
1550327221,1251,1251
1550338021,1057,1057
1550348821,1548,1548
1550359621,2046,2046
1550370421,4974,4974
1550381221,1637,1637
1550392021,1884,1884
1550402821,1460,1460
1550413621,1183,1183
1550424421,995,995
1550435221,860,860
1550446021,1275,1275
1550456821,4326,4326
1550467621,1911,1911
1550478421,2114,2114
1550489221,1492,1492
1550500021,1370,1370
1550510821,1005,1005
1550521621,1496,1496
1550532421,1944,1944
1550543221,4146,4146
1550554021,1172,1172
1550564821,1181,1181
1550575621,943,943
1550586421,824,824
1550597221,900,900
1550608021,1079,1079
1550618821,760,760
1550629621,2339,2339
1550640421,1810,1810
1550651221,2179,2179
1550662021,1469,1469
1550672822,1212,1212
1550683621,1003,1003
1550694421,1538,1538
1550705221,1952,1952
1550716021,3338,3338
1550726821,1224,1224
1550737621,1251,1251
1550748421,1107,1107
1550759221,817,817
1550770022,761,761
1550780821,611,611
1550791621,563,563
1550802421,1981,1981
1550813221,1610,1610
1550824021,1177,1177
1550834821,996,996
1550845621,822,822
1550856421,1489,1489
1550867221,980,980
1550878021,1118,1118
1550888821,2777,2777
1550899621,1356,1356
1550910421,1825,1825
1550921221,1303,1303
1550932021,1091,1091
1550942821,930,930
1550953621,924,924
1550964421,1382,1382
1550975221,2972,2972
1550986021,987,987
1550996821,885,885
1551007621,828,828
1551018421,717,717
1551029221,676,676
1551040021,908,908
1551050821,622,622
1551061621,1584,1584
1551072421,909,909
1551083221,957,957
1551094021,913,913
1551104822,803,803
1551115621,759,759
1551126421,629,629
1551137221,528,528
1551148021,1463,1463
1551158821,879,879
1551169621,920,920
1551180421,814,814
1551191221,707,707
1551202021,695,695
1551212821,649,649
1551223621,551,551
1551234421,1299,1299
1551245221,794,794
1551256021,807,807
1551266821,776,776
1551277621,723,723
1551288421,652,652
1551299221,651,651
1551310021,523,523
1551320821,1357,1357
1551331621,704,704
1551342421,699,699
1551353221,649,649
1551364021,631,631
1551374821,848,848
1551385621,413,413
1551396421,526,526
1551407221,1307,1307
1551418021,885,885
1551428821,1010,1010
1551439621,641,641
1551450421,585,585
1551461221,580,580
1551472021,552,552
1551482821,484,484
1551493621,1433,1433
1551504421,719,719
1551515221,643,643
1551526021,716,716
1551536821,641,641
1551551221,744,744
1551562021,476,476
1551572821,308,308
1551583621,1326,1326
1551594421,575,575
1551605221,572,572
1551616021,573,573
1551626821,367,367
1551637621,678,678
1551648421,479,479
1551659221,1238,1238
1551670021,1241,1241
1551680821,730,730
1551691621,694,694
1551702421,590,590
1551713221,547,547
1551724021,598,598
1551734821,489,489
1551745621,1058,1058
1551756421,1030,1030
1551767221,628,628
1551778021,591,591
1551788821,569,569
1551799621,368,368
1551810421,679,679
1551821221,368,368
1551832021,442,442
1551842821,1369,1369
1551853621,470,470
1551864421,872,872
1551875221,573,573
1551886021,578,578
1551896821,549,549
1551907621,535,535
1551918421,1148,1148
1551929221,1036,1036
1551940021,461,461
1551950821,843,843
1551961621,541,541
1551972421,523,523
1551983221,556,556
1551994021,467,467
1552004821,1115,1115
1552015621,1122,1122
1552026421,671,671
1552037221,537,537
1552048021,501,501
1552058821,363,363
1552069621,676,676
1552080421,436,436
1552091221,895,895
1552102021,1176,1176
1552112821,476,476
1552123621,849,849
1552134421,358,358
1552145221,734,734
1552156021,394,394
1552166821,700,700
1552177621,948,948
1552188421,1243,1243
1552199221,732,732
1552210021,678,678
1552220821,624,624
1552231621,698,698
1552242421,651,651
1552253221,530,530
1552264021,1133,1133
1552274821,1189,1189
1552285621,801,801
1552296421,770,770
1552307221,734,734
1552318021,638,638
1552328821,602,602
1552339621,544,544
1552350421,1042,1042
1552361221,1086,1086
1552372021,736,736
1552382821,503,503
1552393621,937,937
1552404421,676,676
1552415221,616,616
1552426021,581,581
1552436821,1119,1119
1552447621,1119,1119
1552458421,869,869
1552469221,791,791
1552480021,733,733
1552490821,646,646
1552501621,570,570
1552512421,380,380
1552598821,3793,3793
1552609621,1277,1277
1552620421,1263,1263
1552631221,1055,1055
1552642021,1185,1185
1552652821,854,854
1552663621,731,731
1552674421,600,600
1552685221,562,562
1552696021,1265,1265
1552706821,1294,1294
1552717621,998,998
1552728421,909,909
1552739221,799,799
1552750021,694,694
1552760821,647,647
1552771621,593,593
1552782421,1361,1361
1552793221,1286,1286
1552804021,950,950
1552814821,1055,1055
1552825621,839,839
1552836421,697,697
1552847221,633,633
1552858021,639,639
1552868821,1376,1376
1552879621,1566,1566
1552890421,1589,1589
1552901221,1334,1334
1552912022,803,803
1552922821,705,705
1552933621,621,621
1552944421,585,585
1552955221,1635,1635
1552966021,1609,1609
1552976821,1738,1738
1552987621,1346,1346
1552998421,982,982
1553009221,836,836
1553020021,799,799
1553030821,637,637
1553041621,2136,2136
1553052421,1449,1449
1553063221,2227,2227
1553074021,1483,1483
1553084821,1028,1028
1553095621,904,904
1553106421,822,822
1553117221,1284,1284
1553128021,2714,2714
1553138821,1421,1421
1553149621,1931,1931
1553160421,1062,1062
1553171221,1171,1171
1553182021,623,623
1553192821,446,446
1553203621,618,618
1553214421,533,533
1553225221,2501,2501
1553236021,1191,1191
1553246821,635,635
1553257621,960,960
1553268421,699,699
1553279221,613,613
1553290021,386,386
1553300821,455,455
1553311621,1347,1347
1553322421,790,790
1553333221,693,693
1553344021,650,650
1553354821,610,610
1553365621,600,600
1553376421,589,589
1553387221,486,486
1553398021,1340,1340
1553408821,782,782
1553419621,781,781
1553430421,688,688
1553441221,641,641
1553452021,637,637
1553462821,545,545
1553473621,490,490
1553484421,1282,1282
1553495221,797,797
1553506021,1079,1079
1553516821,716,716
1553527621,603,603
1553538421,366,366
1553549221,522,522
1553560021,469,469
1553570821,1186,1186
1553581621,686,686
1553592421,866,866
1553603221,611,611
1553614021,557,557
1553624821,552,552
1553635621,342,342
1553646421,552,552
1553657221,1281,1281
1553668021,712,712
1553678821,901,901
