DateTime,AddedIPs,RemovedIPs
1548267872,176,331
1548270274,361,1
1548272674,202,614
1548275099,236,2
1548276996,173,235
1548279625,162,251
1548281090,137,276
1548283698,197,297
1548285897,190,556
1548288080,178,3
1548290419,170,5
1548293799,192,3
1548295966,202,2
1548298842,155,2
1548301949,179,2
1548304852,168,8
1548307016,143,2
1548309874,182,563
1548312753,185,407
1548315646,163,483
1548317800,146,418
1548321144,233,332
1548324759,175,177
1548327377,167,376
1548330279,169,350
1548333395,166,182
1548335558,155,181
1548338168,262,217
1548341540,274,526
1548344650,278,191
1548348524,251,441
1548352359,384,377
1548353812,243,2
1548355936,290,204
1548359314,293,550
1548362191,306,253
1548365809,309,174
1548368205,321,339
1548371807,322,204
1548375887,314,424
1548379719,354,202
1548383578,303,420
1548387401,236,174
1548390758,230,201
1548407537,458,1032
1548411185,167,391
1548415252,281,181
1548418362,163,155
1548422455,237,345
1548426976,271,285
1548430363,268,270
1548433948,368,312
1548436373,201,245
1548446178,386,1255
1548450020,323,355
1548457964,277,693
1548461546,271,377
1548465169,241,349
1548471638,261,723
1548475459,240,257
1548485770,297,498
1548488273,215,4
1548495507,292,217
1548498769,196,177
1548502351,253,302
1548507374,277,192
1548512185,294,253
1548519852,395,562
1548526369,299,636
1548529247,277,2
1548533793,398,356
1548539560,418,381
1548543653,393,5
1548548676,289,495
1548554444,306,316
1548558035,216,4
1548564270,278,534
1548568831,270,8
1548576275,255,435
1548581560,199,3
1548594974,429,1086
1548598580,296,5
1548603392,316,276
1548606510,320,401
1548617768,504,558
1548635564,528,1542
1548649611,405,541
1548663380,359,883
1548664483,200,4
1548699633,724,1893
1548700588,393,6
1548714056,492,566
1548748578,658,969
1548750756,300,254
1548754590,362,598
1548765862,405,6
1548776655,417,11
1548790332,474,841
1548801872,459,727
1548811935,423,9
1548816995,379,7
1548822759,382,3
1548828758,411,7
1548845564,472,975
1548855857,305,352
1548858262,257,11
1548862359,373,12
1548865475,334,385
1548867872,273,4
1548871487,342,13
1548874594,314,5
1548878447,353,397
1548883228,330,6
1548886359,265,6
1548890441,327,388
1548940847,748,1827
1548942765,255,205
1548947086,334,285
1548950449,303,330
1548991480,795,3290
1548996282,338,18
1548999168,327,9
1549003216,283,5
1549006596,243,7
1549012360,265,10
1549016920,300,6
1549022190,237,10
1549043798,437,1645
1549049569,406,3
1549053165,349,8
1549062030,341,6
1549065144,212,5
1549075974,322,11
1549085081,353,611
1549088445,258,290
1549092290,270,239
1549095877,250,258
1549101880,303,250
1549104766,256,289
1549115562,393,356
1549118198,349,9
1549131616,401,263
1549135721,378,3
1549139324,298,372
1549142917,353,385
1549147241,270,1
1549164738,392,862
1549168123,297,5
1549172444,208,231
1549176765,207,253
1549180114,176,251
1549183961,208,260
1549188758,213,273
1549191877,209,331
1549196183,213,5
1549200764,314,12
1549204591,294,261
1549211558,394,426
1549225237,410,715
1549228131,332,332
1549231236,350,340
1549235078,246,412
1549238176,197,6
1549241546,197,6
1549254970,311,548
1549259800,205,171
1549263642,223,204
1549266248,228,6
1549270360,184,187
1549277553,234,386
1549295769,449,1155
1549298209,326,491
1549301570,308,4
1549305131,261,10
1549309019,341,7
1549323162,402,1216
1549325078,344,203
1549330107,362,314
1549333961,330,3
1549338756,246,1
1549342360,190,207
1549356496,340,662
1549360340,291,219
1549363718,197,7
1549386019,482,913
1549386990,255,4
1549403561,440,1048
1549405952,380,7
1549410270,315,266
1549452264,739,2666
1549457552,353,16
1549461169,360,8
1549463559,271,4
1549467138,307,10
1549471228,384,10
1549475326,376,710
1549478459,323,12
1549481550,287,8
1549539373,501,479
1549540330,281,1214
1549542736,315,13
1549557412,454,1294
1549559538,350,383
1549566510,411,776
1549574176,444,848
1549580681,415,10
1549585234,350,16
1549588818,332,7
1549610414,521,11
1549611403,322,3
1549617390,285,7
1549622904,252,4
1549639972,464,680
1549641145,224,13
1549646439,295,580
1549651474,221,8
1549693218,679,1905
1549785378,696,4061
1549788029,292,6
1549794508,387,5
1549799323,325,5
1549810094,475,4
1549889316,776,1323
1549893642,398,9
1549901062,462,897
1549905132,407,11
1549908975,394,3
1549914757,440,6
1549917869,444,3
1549920296,363,10
1549923871,411,9
1549973565,730,16
1549977376,355,243
1549981713,316,311
1549985560,293,4
1549990358,328,370
1550058966,815,2778
1550066922,569,729
1550070740,360,343
1550162898,837,3164
1550254334,971,877
1550345540,963,957
1550356099,655,1
1550359956,536,3
1550376733,758,5
1550377709,432,5
1550383969,554,5
1550417287,833,14
1550421133,465,10
1550479580,839,3608
1550488121,529,10
1550489073,437,10
1550507155,609,453
1550512593,543,910
1550515938,489,4
1550519789,484,7
1550569218,816,478
1550574041,361,6
1550574979,302,315
1550575962,285,654
1550577387,275,9
1550577890,20,0
1550578358,323,8
1550579293,342,2
1550580261,343,6
1550581224,260,6
1550585790,282,9
1550587228,293,10
1550590837,312,3
1550592016,160,0
1550593007,19,0
1550594419,19,106
1550595371,13,1
1550597790,46,0
1550601159,55,49
1550609078,119,505
1550610521,22,0
1550613401,39,0
1550616998,56,0
1550618679,22,0
1550623471,113,0
1550626118,78,0
1550627048,41,0
1550631636,101,0
1550632833,310,1450
1550634744,57,0
1550638593,276,5
1550640517,98,1
1550642917,356,5
1550644838,210,7
1550647480,238,7
1550654052,219,5
1550662808,287,904
1550664503,261,242
1550667882,264,1213
1550671459,324,4
1550673158,290,317
1550680382,303,666
1550684423,414,479
1550733608,501,1119
1550739158,390,1416
1550747084,376,282
1550750169,265,2
1550761009,587,1696
1550830098,884,1573
1550857218,827,1560
1550884838,706,13
1550976500,859,2423
1551035331,932,6
1551127217,950,1854
1551219114,957,980
1551222536,531,3
1551249140,929,5
1551263083,656,6
1551354779,898,2995
1551382337,756,4
1551383293,458,3
1551387154,431,6
1551402017,717,9
1551407333,542,11
1551411169,413,8
1551480281,859,2145
1551481218,342,12
1551488186,446,7
1551493238,459,497
1551497566,370,489
1551501166,384,817
1551504988,322,9
1551513621,395,2
1551518096,288,7
1551527785,397,8
1551531388,264,8
1551567371,691,305
1551568367,394,357
1551570731,320,5
1551575089,396,375
1551576502,308,8
1551578932,309,5
1551585387,299,648
1551588249,259,311
1551592336,265,380
1551661942,872,3000
1551730345,931,2466
1551810032,924,951
1551868833,889,959
1551896170,687,7
1551988817,937,2491
1552078954,973,969
1552128493,942,2
1552187533,880,955
1552279474,866,1762
1552284535,468,8
1552318361,839,10
1552344967,700,7
1552425372,860,1916
1552427074,428,7
1552434514,451,861
1552440020,443,11
1552480810,801,11
1552497639,628,11
1552500524,336,11
1552504845,318,8
1552510606,320,6
1552530258,614,1889
1552532920,273,3
1552536734,63,1
1552536989,224,4
1552540354,292,4
1552545634,360,8
1552548510,280,11
1552552106,296,5
1552555473,258,6
1552559795,242,2
1552563163,236,6
1552567231,228,465
1552588570,483,599
1552589553,214,6
1552592437,224,341
1552599159,354,526
1552602250,223,10
1552602651,45,0
1552606363,230,4
1552628169,699,1068
1552638760,433,808
1552641643,284,4
1552645247,306,267
1552648130,250,221
1552651478,223,262
1552655323,313,440
1552659378,247,6
1552663484,257,5
1552666817,257,4
1552684127,486,720
1552690504,316,618
1552696831,318,647
1552700437,260,4
1552711453,360,6
1552733301,555,1261
1552734255,219,4
1552737637,274,248
1552742204,289,605
1552745798,281,281
1552748937,272,8
1552751813,263,268
1552756124,313,482
1552760443,310,7
1552801697,746,1832
1552804356,231,13
1552805069,62,0
1552821370,263,424
1552822090,300,51
1552826428,307,309
1552830996,289,293
1552835310,280,281
1552842513,393,635
1552845388,295,334
1552867232,549,762
1552873228,321,3
1552876831,291,6
1552894579,534,837
1552901562,314,6
1552909692,321,300
1552944496,813,1795
1552978089,789,1258
1552979084,298,7
1552981451,308,348
1552984351,365,7
1552987228,349,6
1552997783,560,1062
1553006897,386,4
1553010269,328,9
1553014110,287,6
1553041697,678,760
1553048909,373,9
1553082252,764,1720
1553083731,276,5
1553089231,353,416
1553094990,310,320
1553103393,387,1020
1553194363,498,1342
1553194574,287,2223
1553200107,480,4
1553213336,577,4
1553217172,357,2
1553220044,344,6
1553222670,298,3
1553225560,314,10
1553236112,446,6
1553239206,259,5
1553247376,585,4
1553257939,407,7
1553261054,251,10
1553264414,262,6
1553271892,292,7
1553275226,301,4
1553288436,432,706
1553310507,608,1015
1553316770,367,429
1553358621,798,2493
1553367368,461,581
1553370272,305,6
1553374594,342,7
1553377210,305,623
1553381078,321,6
1553383959,303,6
1553388986,369,11
1553410834,602,1169
1553413713,283,5
1553415639,268,8
1553418522,273,7
1553421150,250,3
1553424031,270,4
1553425975,244,6
1553427873,222,2
1553429531,222,6
1553431955,190,9
1553437717,354,10
1553440603,223,4
1553445739,257,347
1553449955,236,6
1553458123,300,487
1553462199,229,219
1553464861,213,288
1553507552,758,2280
1553549303,787,3404
1553554835,399,848
1553581711,710,6
1553586040,337,11
1553590844,429,3
1553595162,376,770
1553605729,488,3
1553610526,362,6
1553615317,368,3
1553619401,323,4
1553622999,307,8
1553627534,283,4
1553629962,289,11
1553632361,306,6
1553635237,262,10
1553684913,730,2342
