DateTime,Entries,UniqueIPs
1548267872,10017,10017
1548270274,10377,10377
1548272674,9965,9965
1548275099,10199,10199
1548276996,10137,10137
1548279625,10048,10048
1548281090,9909,9909
1548283698,9809,9809
1548285897,9443,9443
1548288080,9618,9618
1548290419,9783,9783
1548293799,9972,9972
1548295966,10172,10172
1548298842,10325,10325
1548301949,10502,10502
1548304852,10662,10662
1548307016,10803,10803
1548309874,10422,10422
1548312753,10200,10200
1548315646,9880,9880
1548317800,9608,9608
1548321144,9509,9509
1548324759,9507,9507
1548327377,9298,9298
1548330279,9117,9117
1548333395,9101,9101
1548335558,9075,9075
1548338168,9120,9120
1548341540,8868,8868
1548344650,8955,8955
1548348524,8765,8765
1548352359,8772,8772
1548353812,9013,9013
1548355936,9099,9099
1548359314,8842,8842
1548362191,8895,8895
1548365809,9030,9030
1548368205,9012,9012
1548371807,9130,9130
1548375887,9020,9020
1548379719,9172,9172
1548383578,9055,9055
1548387401,9117,9117
1548390758,9146,9146
1548407537,8572,8572
1548411185,8348,8348
1548415252,8448,8448
1548418362,8456,8456
1548422455,8348,8348
1548426976,8334,8334
1548430363,8332,8332
1548433948,8388,8388
1548436373,8344,8344
1548446178,7475,7475
1548450020,7443,7443
1548457964,7027,7027
1548461546,6921,6921
1548465169,6813,6813
1548471638,6351,6351
1548475459,6334,6334
1548485770,6133,6133
1548488273,6344,6344
1548495507,6419,6419
1548498769,6438,6438
1548502351,6389,6389
1548507374,6474,6474
1548512185,6515,6515
1548519852,6348,6348
1548526369,6011,6011
1548529247,6286,6286
1548533793,6328,6328
1548539560,6365,6365
1548543653,6753,6753
1548548676,6547,6547
1548554444,6537,6537
1548558035,6749,6749
1548564270,6493,6493
1548568831,6755,6755
1548576275,6575,6575
1548581560,6771,6771
1548594974,6114,6114
1548598580,6405,6405
1548603392,6445,6445
1548606510,6364,6364
1548617768,6310,6310
1548635564,5296,5296
1548649611,5160,5160
1548663380,4636,4636
1548664483,4832,4832
1548699633,3663,3663
1548700588,4050,4050
1548714056,3976,3976
1548748578,3665,3665
1548750756,3711,3711
1548754590,3475,3475
1548765862,3874,3874
1548776655,4280,4280
1548790332,3913,3913
1548801872,3645,3645
1548811935,4059,4059
1548816995,4431,4431
1548822759,4810,4810
1548828758,5214,5214
1548845564,4711,4711
1548855857,4664,4664
1548858262,4910,4910
1548862359,5271,5271
1548865475,5220,5220
1548867872,5489,5489
1548871487,5818,5818
1548874594,6127,6127
1548878447,6083,6083
1548883228,6407,6407
1548886359,6666,6666
1548890441,6605,6605
1548940847,5526,5526
1548942765,5576,5576
1548947086,5625,5625
1548950449,5598,5598
1548991480,3103,3103
1548996282,3423,3423
1548999168,3741,3741
1549003216,4019,4019
1549006596,4255,4255
1549012360,4510,4510
1549016920,4804,4804
1549022190,5031,5031
1549043798,3823,3823
1549049569,4226,4226
1549053165,4567,4567
1549062030,4902,4902
1549065144,5109,5109
1549075974,5420,5420
1549085081,5162,5162
1549088445,5130,5130
1549092290,5161,5161
1549095877,5153,5153
1549101880,5206,5206
1549104766,5173,5173
1549115562,5210,5210
1549118198,5550,5550
1549131616,5688,5688
1549135721,6063,6063
1549139324,5989,5989
1549142917,5957,5957
1549147241,6226,6226
1549164738,5756,5756
1549168123,6048,6048
1549172444,6025,6025
1549176765,5979,5979
1549180114,5904,5904
1549183961,5852,5852
1549188758,5792,5792
1549191877,5670,5670
1549196183,5878,5878
1549200764,6180,6180
1549204591,6213,6213
1549211558,6181,6181
1549225237,5876,5876
1549228131,5876,5876
1549231236,5886,5886
1549235078,5720,5720
1549238176,5911,5911
1549241546,6102,6102
1549254970,5865,5865
1549259800,5899,5899
1549263642,5918,5918
1549266248,6140,6140
1549270360,6137,6137
1549277553,5985,5985
1549295769,5279,5279
1549298209,5114,5114
1549301570,5418,5418
1549305131,5669,5669
1549309019,6003,6003
1549323162,5189,5189
1549325078,5330,5330
1549330107,5378,5378
1549333961,5705,5705
1549338756,5950,5950
1549342360,5933,5933
1549356496,5611,5611
1549360340,5683,5683
1549363718,5873,5873
1549386019,5442,5442
1549386990,5693,5693
1549403561,5085,5085
1549405952,5458,5458
1549410270,5507,5507
1549452264,3580,3580
1549457552,3917,3917
1549461169,4269,4269
1549463559,4536,4536
1549467138,4833,4833
1549471228,5207,5207
1549475326,4873,4873
1549478459,5184,5184
1549481550,5463,5463
1549539373,5485,5485
1549540330,4552,4552
1549542736,4854,4854
1549557412,4014,4014
1549559538,3981,3981
1549566510,3616,3616
1549574176,3212,3212
1549580681,3617,3617
1549585234,3951,3951
1549588818,4276,4276
1549610414,4786,4786
1549611403,5105,5105
1549617390,5383,5383
1549622904,5631,5631
1549639972,5415,5415
1549641145,5626,5626
1549646439,5341,5341
1549651474,5554,5554
1549693218,4328,4328
1549785378,963,963
1549788029,1249,1249
1549794508,1631,1631
1549799323,1951,1951
1549810094,2422,2422
1549889316,1875,1875
1549893642,2264,2264
1549901062,1829,1829
1549905132,2225,2225
1549908975,2616,2616
1549914757,3050,3050
1549917869,3491,3491
1549920296,3844,3844
1549923871,4246,4246
1549973565,4960,4960
1549977376,5072,5072
1549981713,5077,5077
1549985560,5366,5366
1549990358,5324,5324
1550058966,3361,3361
1550066922,3201,3201
1550070740,3218,3218
1550162898,891,891
1550254334,985,985
1550345540,991,991
1550356099,1645,1645
1550359956,2178,2178
1550376733,2931,2931
1550377709,3358,3358
1550383969,3907,3907
1550417287,4726,4726
1550421133,5181,5181
1550479580,2412,2412
1550488121,2931,2931
1550489073,3358,3358
1550507155,3514,3514
1550512593,3147,3147
1550515938,3632,3632
1550519789,4109,4109
1550569218,4447,4447
1550574041,4802,4802
1550574979,4789,4789
1550575962,4420,4420
1550577387,4686,4686
1550577890,4706,4706
1550578358,5021,5021
1550579293,5361,5361
1550580261,5698,5698
1550581224,5952,5952
1550585790,6225,6225
1550587228,6508,6508
1550590837,6817,6817
1550592016,6977,6977
1550593007,6996,6996
1550594419,6909,6909
1550595371,6921,6921
1550597790,6967,6967
1550601159,6973,6973
1550609078,6587,6587
1550610521,6609,6609
1550613401,6648,6648
1550616998,6704,6704
1550618679,6726,6726
1550623471,6839,6839
1550626118,6917,6917
1550627048,6958,6958
1550631636,7059,7059
1550632833,5919,5919
1550634744,5976,5976
1550638593,6247,6247
1550640517,6344,6344
1550642917,6695,6695
1550644838,6898,6898
1550647480,7129,7129
1550654052,7343,7343
1550662808,6726,6726
1550664503,6745,6745
1550667882,5796,5796
1550671459,6116,6116
1550673158,6089,6089
1550680382,5726,5726
1550684423,5661,5661
1550733608,5043,5043
1550739158,4017,4017
1550747084,4111,4111
1550750169,4374,4374
1550761009,3265,3265
1550830098,2576,2576
1550857218,1843,1843
1550884838,2536,2536
1550976500,972,972
1551035331,1898,1898
1551127217,994,994
