DateTime,AddedIPs,RemovedIPs
1548267872,360,361
1548270274,456,453
1548272674,509,512
1548275099,468,465
1548276996,469,472
1548279625,434,432
1548281090,368,371
1548283698,453,461
1548285897,417,407
1548288080,450,460
1548290419,385,378
1548293799,458,456
1548295966,436,449
1548298842,434,423
1548301949,415,422
1548304852,417,416
1548307016,387,384
1548309874,386,383
1548312753,399,403
1548315646,352,359
1548317800,406,402
1548321144,426,418
1548324759,390,396
1548327377,380,373
1548330279,343,339
1548333395,346,349
1548335558,373,376
1548338168,465,465
1548341540,524,520
1548344650,507,508
1548348524,527,527
1548352359,536,540
1548353812,515,515
1548355936,503,498
1548359314,515,516
1548362191,513,516
1548365809,532,530
1548368205,512,517
1548371807,544,540
1548375887,540,541
1548379719,561,565
1548383578,556,552
1548387401,457,461
1548390758,437,434
1548407537,690,698
1548411185,365,353
1548415252,453,456
1548418362,459,459
1548422455,439,437
1548426976,468,471
1548430363,467,460
1548433948,509,514
1548436373,507,503
1548446178,559,559
1548450020,526,531
1548457964,551,551
1548461546,457,458
1548465169,504,503
1548471638,479,477
1548475459,421,420
1548485770,467,469
1548488273,401,407
1548495507,506,504
1548498769,455,452
1548502351,405,402
1548507374,468,470
1548512185,554,554
1548519852,545,544
1548526369,535,533
1548529247,493,494
1548533793,524,528
1548539560,562,557
1548543653,547,549
1548548676,532,538
1548554444,517,521
1548558035,446,437
1548564270,453,458
1548568831,457,452
1548576275,491,494
1548581560,341,333
1548594974,574,583
1548598580,460,457
1548603392,524,527
1548606510,503,497
1548617768,601,600
1548635564,628,633
1548649611,632,633
1548663380,521,517
1548664483,347,352
1548699633,811,806
1548700588,475,473
1548714056,580,580
1548748578,828,829
1548750756,476,482
1548754590,481,489
1548765862,546,540
1548776655,533,529
1548790332,567,567
1548801872,538,533
1548811935,574,577
1548816995,482,479
1548822759,512,514
1548828758,562,561
1548845564,714,718
1548855857,458,464
1548858262,419,421
1548862359,510,497
1548865475,487,491
1548867872,480,484
1548871487,504,499
1548874594,505,505
1548878447,534,535
1548883228,520,519
1548886359,471,476
1548890441,489,482
1548940847,927,931
1548942765,474,470
1548947086,491,494
1548950449,460,462
1548991480,900,903
1548996282,508,506
1548999168,432,435
1549003216,459,457
1549006596,427,422
1549012360,421,429
1549016920,452,449
1549022190,457,454
1549043798,571,574
1549049569,507,504
1549053165,497,501
1549062030,529,522
1549065144,430,436
1549075974,517,514
1549085081,522,521
1549088445,416,418
1549092290,447,443
1549095877,404,406
1549101880,439,439
1549104766,407,407
1549115562,566,564
1549118198,510,511
1549131616,582,582
1549135721,521,515
1549139324,509,517
1549142917,510,510
1549147241,502,512
1549164738,615,611
1549168123,478,473
1549172444,464,463
1549176765,336,334
1549180114,329,336
1549183961,327,321
1549188758,358,355
1549191877,388,396
1549196183,385,382
1549200764,481,482
1549204591,475,472
1549211558,534,530
1549225237,614,617
1549228131,493,492
1549231236,505,510
1549235078,513,510
1549238176,350,350
1549241546,351,350
1549254970,482,483
1549259800,337,335
1549263642,345,348
1549266248,396,397
1549270360,404,406
1549277553,362,357
1549295769,589,586
1549298209,460,458
1549301570,493,500
1549305131,476,476
1549309019,513,507
1549323162,640,644
1549325078,493,492
1549330107,523,527
1549333961,506,506
1549338756,495,491
1549342360,403,398
1549356496,462,468
1549360340,449,451
1549363718,441,441
1549386019,639,637
1549386990,482,477
1549403561,645,652
1549405952,501,500
1549410270,517,517
1549452264,880,876
1549457552,530,533
1549461169,518,515
1549463559,470,482
1549467138,476,469
1549471228,525,521
1549475326,474,474
1549478459,498,500
1549481550,490,490
1549539373,500,493
1549540330,459,472
1549542736,498,497
1549557412,537,535
1549559538,445,440
1549566510,512,516
1549574176,500,497
1549580681,546,557
1549585234,477,473
1549588818,461,458
1549610414,675,682
1549611403,492,482
1549617390,507,511
1549622904,452,460
1549639972,606,593
1549641145,472,476
1549646439,472,472
1549651474,488,484
1549693218,814,823
1549785378,904,910
1549788029,300,301
1549794508,452,448
1549799323,455,452
1549810094,537,532
1549889316,927,923
1549893642,432,432
1549901062,497,497
1549905132,500,504
1549908975,482,475
1549914757,522,525
1549917869,511,510
1549920296,475,477
1549923871,512,511
1549973565,983,980
1549977376,495,495
1549981713,500,501
1549985560,432,438
1549990358,460,458
1550058966,933,937
1550066922,615,607
1550070740,523,530
1550162898,972,968
1550254334,977,977
1550345540,966,964
1550356099,664,664
1550359956,551,548
1550376733,783,787
1550377709,506,503
1550383969,606,608
1550417287,926,928
1550421133,546,544
1550479580,955,963
1550488121,578,573
1550489073,490,491
1550507155,744,741
1550512593,594,594
1550515938,533,535
1550519789,537,531
1550569218,980,985
1550574041,466,469
1550574979,393,389
1550575962,407,409
1550577387,389,390
1550577890,20,21
1550578358,450,448
1550579293,471,467
1550580261,502,509
1550581224,457,451
1550585790,450,450
1550587228,454,452
1550590837,468,469
1550592016,166,168
1550593007,19,19
1550594419,19,19
1550595371,14,14
1550597790,46,46
1550601159,55,54
1550609078,119,118
1550610521,22,22
1550613401,39,39
1550616998,56,56
1550618679,22,22
1550623471,113,110
1550626118,78,78
1550627048,41,41
1550631636,101,100
1550632833,444,469
1550634744,57,59
1550638593,442,439
1550640517,99,106
1550642917,481,475
1550644838,415,415
1550647480,405,398
1550654052,395,399
1550662808,436,423
1550664503,431,433
1550667882,431,428
1550671459,461,457
1550673158,474,474
1550680382,461,459
1550684423,474,481
1550733608,500,491
1550739158,480,483
1550747084,470,471
1550750169,272,273
1550761009,679,683
1550830098,945,955
1550857218,884,876
1550884838,776,784
1550976500,904,897
1551035331,944,938
1551127217,973,971
1551219114,977,981
1551222536,534,533
1551249140,952,965
1551263083,706,699
1551354779,954,957
1551382337,764,753
1551383293,484,484
1551387154,497,508
1551402017,789,787
1551407333,608,608
1551411169,547,550
1551480281,957,949
1551481218,455,455
1551488186,533,540
1551493238,561,564
1551497566,525,531
1551501166,499,491
1551504988,474,475
1551513621,521,531
1551518096,434,439
1551527785,566,549
1551531388,406,404
1551567371,823,822
1551568367,490,480
1551570731,489,503
1551575089,522,524
1551576502,450,457
1551578932,482,472
1551585387,510,517
1551588249,431,431
1551592336,448,456
1551661942,976,951
1551730345,977,980
1551810032,973,974
1551868833,920,919
1551896170,738,732
1551988817,970,973
1552078954,973,973
1552128493,950,969
1552187533,916,910
1552279474,916,914
1552284535,478,480
1552318361,906,896
1552344967,767,770
1552425372,933,932
1552427074,468,463
1552434514,523,526
1552440020,514,513
1552480810,942,949
1552497639,721,720
1552500524,459,460
1552504845,483,483
1552510606,504,504
1552530258,740,747
1552532920,397,408
1552536734,64,64
1552536989,335,323
1552540354,406,411
1552545634,518,509
1552548510,419,420
1552552106,483,481
1552555473,443,452
1552559795,445,444
1552563163,426,415
1552567231,430,434
1552588570,653,655
1552589553,394,386
1552592437,421,422
1552599159,519,524
1552602250,424,414
1552602651,45,45
1552606363,494,499
1552628169,854,849
1552638760,582,608
1552641643,466,449
1552645247,487,482
1552648130,434,437
1552651478,399,395
1552655323,468,470
1552659378,446,451
1552663484,428,429
1552666817,424,420
1552684127,647,647
1552690504,480,479
1552696831,470,472
1552700437,407,419
1552711453,517,507
1552733301,709,710
1552734255,382,379
1552737637,407,405
1552742204,455,455
1552745798,448,446
1552748937,424,423
1552751813,442,441
1552756124,491,497
1552760443,495,490
1552801697,899,910
1552804356,376,365
1552805069,62,63
1552821370,395,393
1552822090,300,304
1552826428,448,451
1552830996,439,438
1552835310,408,408
1552842513,502,497
1552845388,443,450
1552867232,704,692
1552873228,458,463
1552876831,435,429
1552894579,679,706
1552901562,461,461
1552909692,461,443
1552944496,903,898
1552978089,907,914
1552979084,404,397
1552981451,422,436
1552984351,490,479
1552987228,483,489
1552997783,705,699
1553006897,556,561
1553010269,465,460
1553014110,470,472
1553041697,827,828
1553048909,528,532
1553082252,904,895
1553083731,410,416
1553089231,491,483
1553094990,481,485
1553103393,529,533
1553194363,500,485
1553194574,412,418
1553200107,484,484
1553213336,635,649
1553217172,490,475
1553220044,428,434
1553222670,442,443
1553225560,440,441
1553236112,582,581
1553239206,472,463
1553247376,735,753
1553257939,595,590
1553261054,450,442
1553264414,436,438
1553271892,500,498
1553275226,482,485
1553288436,676,673
1553310507,754,755
1553316770,540,536
1553358621,910,913
1553367368,567,567
1553370272,438,440
1553374594,482,477
1553377210,406,411
1553381078,466,466
1553383959,448,449
1553388986,533,529
1553410834,768,788
1553413713,421,412
1553415639,422,424
1553418522,440,436
1553421150,407,404
1553424031,416,421
1553425975,405,395
1553427873,418,415
1553429531,434,443
1553431955,447,439
1553437717,562,572
1553440603,404,397
1553445739,491,487
1553449955,447,446
1553458123,508,506
1553462199,418,426
1553464861,386,384
1553507552,909,911
1553549303,895,896
1553554835,454,455
1553581711,783,776
1553586040,431,439
1553590844,529,539
1553595162,487,488
1553605729,592,584
1553610526,476,472
1553615317,533,525
1553619401,482,489
1553622999,446,446
1553627534,480,481
1553629962,445,447
1553632361,477,473
1553635237,488,490
1553684913,912,926
